"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2018-08-09,"BUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-17,"MIA",20,31,64.5,289,9.3,14.9,2,0,1,9,117.4,13,26,53,2,2,5,23,53,43,10,2,13,1,0,0,0,0,7,0,4,0,0,NA,0,4,4,100,2,47,23.5,0,24,2,24,12,0,19,5,217,43.4,21,5,10,50,0,0,0,8,67,342,0,0
2018-08-24,"NE",18.5,28.5,64.95,234,8.1,13.35,1.5,1,2,15,93.4,10.5,28.5,139.5,4.65,2.5,7.5,21.5,59,40.5,18.5,2,10,1,0,1,0,0,5,0,3.5,0,0.5,0,0,3.5,3.5,100,3,58.5,20.5,0,27,1.5,17,11,0,14.5,4.5,208.5,46.7,21,5.5,11,50,0,0,0,7.5,60,373.5,0,0
2018-08-30,"PIT",19.3333333333333,30,64.5,234,7.76666666666667,12.6,1.33333333333333,0.666666666666667,1.33333333333333,10,93.8666666666667,11.3333333333333,29.3333333333333,126,4.16666666666667,2,7,19,58.3333333333333,40,18.3333333333333,1.33333333333333,6.66666666666667,0.666666666666667,0,1,0.333333333333333,0,4.66666666666667,0,6.66666666666667,1.33333333333333,1.66666666666667,50,0,2.66666666666667,2.66666666666667,100,2.33333333333333,45.3333333333333,20,0,24.3333333333333,2,25,11.9,0,19.6666666666667,4,179.333333333333,44.5666666666667,21,6.33333333333333,12.3333333333333,51.1,0.333333333333333,0.333333333333333,33.3333333333333,7.33333333333333,70.6666666666667,360,0,0
2018-09-09,"DAL",23.5,36.25,64.75,256.25,7.3,11.825,1.5,0.5,1.75,12,94.05,13.25,27.5,117,4.15,1.75,7.5,24,55.75,37.5,18.25,1.25,8,0.5,0,0.75,0.25,0,4.5,0,6.5,1.25,1.5,66.6666666666667,0,2.75,2.75,100,3.25,65.25,20.2,0,26.75,1.75,18.75,8.925,0,14.75,4,175.75,43.75,23.75,6.25,12.75,49.05,0.5,0.75,37.5,8,74.5,373.25,0,0.5
2018-09-16,"ATL",22.2,34.2,64.88,234.2,6.96,11.36,1.2,0.4,2,12.6,91.72,12.4,28.4,123,4.24,1.8,7.8,20.8,56,36.8,19.2,2.2,12.8,0.4,0,0.8,0.4,0,3.6,0,6,1.2,1.4,75,0,2.4,2.4,100,2.6,52.2,20.2,0,21.4,2.2,27.4,10.24,0,17.8,4.4,198,44.56,23,5.8,12.6,45.9,0.4,0.6,30,8.2,75.6,357.2,0,0.6
2018-09-23,"CIN",23.8333333333333,36,65.9166666666667,248.166666666667,6.98333333333333,11.2166666666667,1.5,0.5,2,13.3333333333333,93.9833333333333,13.6666666666667,26.6666666666667,122.666666666667,4.65,1.5,7.5,22.5,55.6666666666667,38.6666666666667,17,1.83333333333333,10.6666666666667,0.5,0,1,0.333333333333333,0,3.16666666666667,0,6,1.16666666666667,1.33333333333333,80,0,2.5,2.5,100,2.33333333333333,47.8333333333333,21.36,0,22.1666666666667,2.16666666666667,24.3333333333333,9.28333333333333,0,15.6666666666667,4.33333333333333,196.833333333333,45.1,23.6666666666667,5.66666666666667,12.3333333333333,45.8333333333333,0.5,0.666666666666667,41.6666666666667,8,71.1666666666667,370.833333333333,0,0.5
2018-10-07,"NYG",22.5714285714286,34.2857142857143,65.4285714285714,233.714285714286,6.85714285714286,11.0428571428571,1.57142857142857,0.428571428571429,1.85714285714286,11.8571428571429,95.9857142857143,13.1428571428571,28.7142857142857,138,4.78571428571429,1.57142857142857,8,22.2857142857143,54.5714285714286,38,16.5714285714286,1.85714285714286,12.2857142857143,1,0,0.857142857142857,0.285714285714286,0,3.71428571428571,0,6.14285714285714,1.14285714285714,1.28571428571429,83.3333333333333,0,2.71428571428571,2.71428571428571,100,2,41,21.36,0,19,2,21.4285714285714,8.52857142857143,0,14,4.28571428571429,192.285714285714,44.5571428571429,23.5714285714286,5.71428571428571,12.4285714285714,45.8857142857143,0.428571428571429,0.714285714285714,35.7142857142857,7.28571428571429,63.4285714285714,371.714285714286,0,0.428571428571429
2018-10-14,"WAS",22.375,34.375,64.75,233.5,6.825,11.075,1.625,0.625,1.75,11,93.425,13,29,135.5,4.6625,1.375,7.75,23.375,53.625,37.125,16.5,1.75,10.875,1.125,0,0.75,0.375,0.125,4,0,7.25,1.5,1.625,85.7142857142857,0,2.75,2.75,100,1.75,35.875,21.36,0,16.625,1.875,18.375,7.0875,0,11.875,4.125,187.375,45.3625,23.25,5.5,12.5,44,0.5,0.75,43.75,6.875,58.25,369,0,0.375
2018-10-21,"PHI",22.8888888888889,35,65.0555555555556,237.444444444444,6.81111111111111,10.9777777777778,1.66666666666667,0.666666666666667,1.66666666666667,10.4444444444444,93.4,13.2222222222222,27.7777777777778,129.444444444444,4.64444444444444,1.22222222222222,7.66666666666667,23.3333333333333,54.1111111111111,38,16.1111111111111,1.88888888888889,10.4444444444444,1,0,0.777777777777778,0.333333333333333,0.111111111111111,4.33333333333333,0,6.77777777777778,1.44444444444444,1.55555555555556,87.5,0,2.44444444444444,2.55555555555556,88.8888888888889,1.77777777777778,36,20.8833333333333,0,17,1.77777777777778,16.4444444444444,6.41111111111111,0,10.6666666666667,4,181.333333333333,45.2444444444444,23.1111111111111,5.22222222222222,12.1111111111111,42.8111111111111,0.444444444444444,0.777777777777778,38.8888888888889,7,57.8888888888889,366.888888888889,0,0.555555555555556
