"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2018-08-09,"SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-20,"BAL",20,29,69,189,6.5,10.6,1,0,3,22,101.4,10,33,76,2.3,0,5,17,55,33,22,4,34,1,0,1,0,0,3,0,13,4,4,100,0,1,1,100,1,6,6,0,6,5,15,3,0,8,4,168,42,18,4,16,25,1,1,100,5,45,265,0,1
2018-08-25,"SF",21,34.5,62,202,5.95,10.95,1,1,3.5,27.5,81.35,9,27.5,72.5,2.7,0,5.5,18.5,59.5,40.5,19,3.5,29.5,0.5,0,1.5,1,0,3,0,10,3,3,100,0,1,1,100,2.5,50,14.75,0,18,4,15,4,0,7,5,220,43.65,16.5,5,17,29.15,1.5,2,83.35,9,87,274.5,0,1
2018-08-30,"CIN",20.3333333333333,32.6666666666667,63.1666666666667,224.333333333333,7.06666666666667,12.2,1,0.666666666666667,2.66666666666667,21.6666666666667,90.3333333333333,10,30,75,2.56666666666667,0.333333333333333,5,18,60,43,17,3.33333333333333,25,0.666666666666667,0,1.33333333333333,1,0,4,0,10.3333333333333,3,3,100,0,1.33333333333333,1.33333333333333,100,2,40.3333333333333,16.8333333333333,0,19,3,12,4.66666666666667,0,6.66666666666667,5,220.333333333333,43.8333333333333,17.3333333333333,6,17,35.1333333333333,1.33333333333333,1.66666666666667,88.9,8.66666666666667,83,299.333333333333,0,0.666666666666667
2018-09-09,"CIN",22,35.25,63.075,248.75,7.175,12.225,1.5,0.75,2.25,18.5,92.75,11.75,28.75,83,3,0.5,5.75,20,61.5,42.25,19.25,2.75,19.75,0.5,0,1.5,0.75,0,4.75,0,8.5,2.25,2.25,100,0,1.75,1.75,100,2.5,55.5,18.95,0,22,2.5,13,7.5,0,9,4.5,198,43.8,19.75,6.75,16.25,42.425,1.25,1.75,79.175,8.5,83.75,331.75,0,1
2018-09-16,"WAS",25.4,38.8,65.18,260,6.9,11.42,1.6,0.8,2.2,17.6,92.84,12.8,27.4,81.4,3.08,0.4,5.4,22.8,58.6,42,16.6,2.6,18.6,0.6,0,1.6,0.8,0,4.2,0,9,2.4,2.6,93.75,0,1.8,1.8,100,2.4,55.2,20.56,0,23.2,2.2,10.4,6,0,7.2,4,177.4,44.54,20.6,7.6,16.4,46.88,1,1.4,63.34,8.2,85.2,341.4,0,1
2018-09-23,"PHI",24.6666666666667,37.5,65.6,246.166666666667,6.7,10.9333333333333,1.66666666666667,1,2,15,90.2333333333333,12.3333333333333,27.5,85.1666666666667,3.18333333333333,0.5,5.33333333333333,20.5,61.5,42.6666666666667,18.8333333333333,2.66666666666667,19.3333333333333,0.5,0,1.5,0.833333333333333,0,4.66666666666667,0,8,2,2.16666666666667,93.75,0,2,2,100,2.16666666666667,49.1666666666667,20.3,0,22.5,1.83333333333333,8.66666666666667,6,0,6,4.16666666666667,187,44.95,20,7.83333333333333,16.3333333333333,48.45,0.833333333333333,1.16666666666667,52.7833333333333,7.83333333333333,75.3333333333333,331.333333333333,0,0.833333333333333
2018-09-30,"HOU",24.7142857142857,38,64.9428571428571,231.142857142857,6.22857142857143,10.3142857142857,1.57142857142857,0.857142857142857,2,16.1428571428571,88.4428571428572,11.8571428571429,25.4285714285714,82.7142857142857,3.47142857142857,0.428571428571429,5,20.4285714285714,62.5714285714286,44.2857142857143,18.2857142857143,3,20.5714285714286,0.571428571428571,0,1.42857142857143,0.857142857142857,0,4.85714285714286,0,8.28571428571429,2.14285714285714,2.28571428571429,95,0,1.85714285714286,1.85714285714286,100,2.14285714285714,47.1428571428571,19.9,0,22.8571428571429,1.71428571428571,7.71428571428571,5.33333333333333,0,5.42857142857143,4.28571428571429,192,44.8714285714286,19.1428571428571,7,15.7142857142857,43.9142857142857,0.857142857142857,1.28571428571429,52.3857142857143,8.28571428571429,75.5714285714286,313.857142857143,0,0.714285714285714
2018-10-04,"NE",26.625,41,64.8875,256.875,6.325,10.475,1.875,0.75,2.25,17.5,90.95,13.25,24.375,77.5,3.3375,0.375,4.75,22.5,64.375,46.75,17.625,3.5,21.5,0.625,0,1.25,0.75,0,4.5,0,8.25,2.125,2.25,95.8333333333333,0,1.875,1.875,100,2.125,45.25,19.4125,0,22.5,1.625,9.125,7.28571428571429,0,7.125,4.375,195.5,44.7625,20.25,7.375,15.875,45.775,0.75,1.25,45.8375,8.5,76.75,334.375,0,0.875
2018-10-14,"NYJ",27.8888888888889,43,64.8333333333333,267.777777777778,6.28888888888889,10.3777777777778,2,0.888888888888889,2.11111111111111,16.6666666666667,90.2222222222222,14,24,78.2222222222222,3.41111111111111,0.333333333333333,4.77777777777778,24.2222222222222,65.7777777777778,44.1111111111111,21.6666666666667,3.11111111111111,19.1111111111111,0.777777777777778,0,1.11111111111111,0.666666666666667,0,4.33333333333333,0,8,2,2.22222222222222,89.2857142857143,0,2,2,100,2,41.8888888888889,18.9222222222222,0,21.6666666666667,1.66666666666667,12.3333333333333,8.75,0,10,4.22222222222222,189.555555555556,45.0444444444444,20.8888888888889,7.33333333333333,15.7777777777778,45.8777777777778,0.888888888888889,1.44444444444444,48.1555555555556,8,72.1111111111111,346,0,0.888888888888889
2018-10-21,"BUF",27.4,43,63.7,271.1,6.36,10.65,2.2,1.1,1.9,15,88.98,14.1,23.9,83.1,3.62,0.3,5,26,65.9,44.1,21.8,3,18.5,0.8,0,1.2,0.7,0,4.1,0,8.2,2,2.2,90.625,0,2.2,2.2,100,2,42.7,19.53,0,22.2,1.5,11.1,8.75,0,9,4,179.9,45.19,21.2,7.1,15.4,45.46,0.8,1.4,43.34,8,71.5,354.2,0,0.9
2018-10-28,"OAK",26.4545454545455,41.1818181818182,64.6272727272727,260.636363636364,6.4,10.5181818181818,2.36363636363636,1,1.72727272727273,13.6363636363636,92.8454545454545,13.7272727272727,25.0909090909091,95.5454545454545,3.82727272727273,0.363636363636364,5.54545454545455,24.0909090909091,64.7272727272727,43.8181818181818,20.9090909090909,2.90909090909091,17.4545454545455,1,0,1.27272727272727,0.818181818181818,0,4.27272727272727,0,7.90909090909091,1.90909090909091,2.09090909090909,91.6666666666667,0,2.18181818181818,2.36363636363636,95.4545454545455,1.81818181818182,38.8181818181818,19.53,0,20.1818181818182,1.36363636363636,10.0909090909091,8.75,0,8.18181818181818,4,180.636363636364,45.3545454545455,21.2727272727273,7.09090909090909,15.1818181818182,46.2181818181818,0.818181818181818,1.45454545454545,43.9454545454545,7.63636363636364,68.1818181818182,356.181818181818,0,0.818181818181818
2018-11-11,"JAC",26.0833333333333,40.3333333333333,65.1583333333333,258.833333333333,6.50833333333333,10.55,2.41666666666667,0.916666666666667,1.58333333333333,12.5,95.575,13.6666666666667,26.3333333333333,106.083333333333,3.975,0.5,6,24.4166666666667,63.1666666666667,42.5,20.6666666666667,2.66666666666667,16,0.916666666666667,0,1.25,0.833333333333333,0,4.08333333333333,0,8.08333333333333,1.91666666666667,2.08333333333333,92.5,0,2.33333333333333,2.5,95.8333333333333,1.75,37,19.3,0,19.9166666666667,1.33333333333333,10.0833333333333,8.88888888888889,0,8.33333333333333,3.75,169.416666666667,45.4083333333333,21.8333333333333,7.25,15,48.1333333333333,0.75,1.33333333333333,40.2833333333333,7.83333333333333,68.9166666666667,364.916666666667,0,0.75
2018-11-18,"TEN",25.6923076923077,39.4615384615385,65.7153846153846,260.846153846154,6.76153846153846,10.7846153846154,2.46153846153846,0.923076923076923,1.46153846153846,11.5384615384615,97.7230769230769,13.4615384615385,26.0769230769231,104.153846153846,3.93846153846154,0.538461538461538,5.84615384615385,24.5384615384615,63.6923076923077,43.5384615384615,20.1538461538462,2.46153846153846,14.7692307692308,0.846153846153846,0,1.23076923076923,0.846153846153846,0,4.30769230769231,0,7.69230769230769,1.76923076923077,2,84.0909090909091,0,2.38461538461538,2.53846153846154,96.1538461538462,1.69230769230769,34.6923076923077,18.275,0,18.9230769230769,1.30769230769231,9.76923076923077,8.6,0,8.15384615384615,3.69230769230769,167,45.4538461538462,21.4615384615385,7.15384615384615,14.6923076923077,48.6230769230769,0.692307692307692,1.23076923076923,37.1846153846154,7.76923076923077,67.0769230769231,365,0,0.692307692307692
