"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2018-08-09,"WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-16,"PHI",18,28,64.3,161,5.8,9.2,0,0,1,4,80.2,7,40,140,3.5,3,12,17,56,34,22,3,19,0,0,1,1,0,1,0,4,1,1,100,0,1,1,100,3,53,17.7,0,25,1,0,0,0,0,6,295,49.2,20,7,15,46.7,2,2,100,4,36,301,0,1,NA
2018-08-24,"CAR",21,34,62.15,177.5,5.3,8.85,1.5,0,1,7,89.25,8,35,140,4.1,1.5,10.5,18.5,59,40,19,5.5,33,0.5,0,1,1,0.5,3.5,0,8.5,2,2,100,0,2.5,2.5,100,2,37.5,19.85,0,23.5,2.5,7.5,1.9,0,3.5,6.5,318,48.95,23,6,15,40,1,1,50,5.5,65,317.5,0,0.5,NA
2018-08-30,"NYG",23.3333333333333,36.6666666666667,63.6666666666667,188.666666666667,5.2,8.4,1,0,0.666666666666667,4.66666666666667,85.7,9.33333333333333,29.6666666666667,113.333333333333,3.8,1.33333333333333,8.33333333333333,20.6666666666667,62,35.3333333333333,26.6666666666667,3.66666666666667,22,0.333333333333333,0,1,0.666666666666667,0.333333333333333,3.66666666666667,0,7.66666666666667,2,2.33333333333333,88.9,0,1.66666666666667,1.66666666666667,100,2.66666666666667,42,17.5,0,22.3333333333333,2,5.33333333333333,1.6,0,2.66666666666667,5.33333333333333,259.333333333333,48.4,21.6666666666667,5.66666666666667,14.6666666666667,38.5666666666667,1,1.33333333333333,50,5.33333333333333,62.6666666666667,302,0,0.666666666666667,NA
2018-09-09,"HOU",22,35.5,61.825,179,5.075,8.475,1,0.5,1,5.25,77.725,8.75,29.25,134.75,4.625,1.25,8.5,18.5,64.5,37.5,27,3.5,22.75,0.75,0,1,0.5,0.25,4.75,0,7,1.75,2,91.675,0,1.75,1.75,100,2,31.5,17.5,0,16.75,2.25,6.5,2.025,0,4,5.5,268.75,48.675,21.25,5.25,14.25,36.625,0.75,1,37.5,6,66,313.75,0,0.5,NA
2018-09-16,"JAC",22.8,36.2,62.8,196.6,5.42,8.92,1.4,0.6,1.2,6.2,82.62,10.2,29.6,132.2,4.48,1,7.8,18.8,65,36,29,3.4,21.8,0.8,0,0.8,0.6,0.2,5,0,7.4,1.8,2,93.34,0,2,2,100,1.8,29,17.875,0,17.2,2,5.2,1.62,0,3.2,5.6,271.2,48.3,21.6,5,14.2,35.02,0.8,1,50,6,60,328.8,0,0.8,27
2018-09-23,"DET",23,36,63.7666666666667,200.5,5.56666666666667,9.06666666666667,1.5,0.5,1.33333333333333,7.5,86.5333333333333,10.5,28.6666666666667,123.833333333333,4.3,0.833333333333333,7.33333333333333,20.8333333333333,62.6666666666667,37.8333333333333,24.8333333333333,2.83333333333333,18.1666666666667,0.833333333333333,0,1,0.666666666666667,0.166666666666667,4.66666666666667,0,7.5,1.83333333333333,2.16666666666667,88.9,0,2,2,100,1.83333333333333,32,19,0,18.5,1.66666666666667,4.33333333333333,1.62,0,2.66666666666667,5.33333333333333,263,49.5,21,4.83333333333333,13.8333333333333,34.7333333333333,0.666666666666667,0.833333333333333,41.6666666666667,5.33333333333333,54.1666666666667,324.333333333333,0,0.833333333333333,23.5
2018-09-30,"MIA",21.7142857142857,34.5714285714286,62.3428571428571,189,5.42857142857143,9.12857142857143,1.42857142857143,0.571428571428571,1.42857142857143,8.28571428571429,83.4714285714286,9.57142857142857,27.2857142857143,118.857142857143,4.35714285714286,0.714285714285714,7.28571428571429,21.5714285714286,63.7142857142857,39.4285714285714,24.2857142857143,2.57142857142857,16.5714285714286,0.857142857142857,0,0.857142857142857,0.571428571428571,0.142857142857143,4.28571428571429,0,7,1.71428571428571,2,90.4857142857143,0,1.85714285714286,1.85714285714286,100,2.28571428571429,46.1428571428571,20.2,0,22.2857142857143,1.42857142857143,3.71428571428571,1.62,0,2.28571428571429,5.28571428571429,256.428571428571,48.6285714285714,19.7142857142857,4.42857142857143,13.1428571428571,32.9428571428571,0.571428571428571,0.857142857142857,35.7142857142857,5.28571428571429,51.8571428571429,307.857142857143,0,0.714285714285714,19
2018-10-04,"IND",21.875,34.625,62.7625,199.625,5.725,9.475,1.625,0.75,1.25,7.25,84.8125,10,28.875,125.875,4.3625,0.875,7.625,19.75,61.25,37,24.25,2.5,16.875,0.875,0,0.75,0.625,0.125,4.125,0,7.125,1.625,1.875,91.675,0,2.25,2.25,100,2,40.375,20.2,0,19.5,1.875,8.875,2.85,0,5,4.875,234.375,47.55,20.5,5.125,13.375,37.1625,0.5,0.75,31.25,5.375,52.5,325.5,0,0.625,23.75
2018-10-14,"KC",23.2222222222222,35.6666666666667,64.3777777777778,215.333333333333,5.95555555555556,9.53333333333333,1.77777777777778,0.888888888888889,1.11111111111111,6.44444444444444,86.7888888888889,10.8888888888889,28.2222222222222,122.666666666667,4.34444444444444,1,7.55555555555556,20.2222222222222,62.4444444444444,37.5555555555556,24.8888888888889,2.33333333333333,16.1111111111111,1,0,0.777777777777778,0.666666666666667,0.111111111111111,4.77777777777778,0,7.22222222222222,1.55555555555556,1.77777777777778,92.6,0,2.55555555555556,2.55555555555556,100,1.88888888888889,38.7777777777778,21.0285714285714,0,20.2222222222222,1.88888888888889,10.1111111111111,3.87142857142857,0,6.11111111111111,4.77777777777778,229.777777777778,47.6333333333333,21.1111111111111,5.11111111111111,13,38.5888888888889,0.444444444444444,0.666666666666667,27.7777777777778,5.55555555555556,52.2222222222222,338,0,0.555555555555556,26.6
