"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2018-08-09,"PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-16,"GB",20,29,69,252,8.7,13.8,2,1,4,23,107.7,9,30,94,3.1,1,6,14,48,38,10,2,12,2,0,3,1,0,3,0,11,3,3,100,0,2,2,100,1,17,17,0,17,3,12,4,0,8,5,221,44.2,19,3,14,21.4,1,1,100,8,42,346,0,0,NA
2018-08-25,"TEN",18.5,29.5,62.85,235.5,8,13.95,2.5,1.5,3.5,21.5,97.9,10,28.5,122.5,4.35,1.5,6.5,32.5,53,39.5,13.5,2.5,15,1,0,2,1,0,2.5,0,6.5,1.5,1.5,100,0,2,2,100,3.5,67.5,18.35,0,22,1.5,6,4,0,4,5.5,244,44.35,19.5,3,12.5,24.35,0.5,1,50,10,79,358,0,0,NA
2018-08-30,"CAR",20.3333333333333,32.3333333333333,62.9666666666667,229,7.23333333333333,12.4,2,1.33333333333333,2.66666666666667,16.6666666666667,90.9333333333333,10,27,102,3.73333333333333,1,5.66666666666667,23.6666666666667,55.3333333333333,39,16.3333333333333,3.66666666666667,25.3333333333333,1.33333333333333,0,1.33333333333333,0.666666666666667,0,2.33333333333333,0,7.66666666666667,2,2,100,0,1.66666666666667,1.66666666666667,100,2.66666666666667,48.3333333333333,15.5666666666667,0,18,2.33333333333333,13.6666666666667,5.65,0,5.33333333333333,5.33333333333333,240.333333333333,45.1,18.6666666666667,3.33333333333333,13,25.7666666666667,0.333333333333333,1,33.3333333333333,9.33333333333333,75.3333333333333,331,0,0,NA
2018-09-09,"CLE",18.5,29.5,62.7,232,8.3,14.175,2.25,1,2.25,15.5,104.075,10,27.25,97.75,3.55,1.25,5.75,23.75,61.25,39.75,21.5,3.5,23.5,1,0,1.75,1,0,3.25,0,7.5,1.75,1.75,100,0,2.25,2.25,100,2.75,54.25,17.675,0,20.75,2,12.5,6.76666666666667,0,6.25,5,226.75,45.45,19,3.75,12.25,31.825,0.25,0.75,25,9,83.5,329.75,0,0,NA
2018-09-16,"KC",19.4,31.8,61.38,248.2,8.16,14.26,2,1.4,2.6,16.8,95.36,11.4,28.8,110,3.74,1.4,6,23.2,62.8,40.4,22.4,4.2,28.2,1,0,1.6,0.8,0,4.6,0,6.6,1.4,1.6,75,0,2.4,2.4,100,2.8,57.2,18.74,0,22.2,2.6,21.2,7.875,0,9.4,5.4,236.4,44.22,20.2,4.4,12.8,34.8,0.2,0.6,20,9.6,90,358.2,0,0.6,21
2018-09-24,"TB",22.6666666666667,36.5,61.9833333333333,280.5,8.03333333333333,13.8166666666667,2.16666666666667,1.16666666666667,2.33333333333333,15.6666666666667,96.85,13.6666666666667,26.1666666666667,97.1666666666667,3.53333333333333,1.5,5.33333333333333,26.3333333333333,60.5,39.3333333333333,21.1666666666667,3.66666666666667,24.1666666666667,0.833333333333333,0,1.66666666666667,0.833333333333333,0,4,0.166666666666667,6,1.16666666666667,1.5,60,0,2.5,2.66666666666667,95.8333333333333,3,58.8333333333333,18.4166666666667,0,22.5,2.33333333333333,18.6666666666667,7.5,0,8.83333333333333,5.33333333333333,234.666666666667,44.3833333333333,22.3333333333333,4.16666666666667,12.5,33.55,0.5,0.833333333333333,33.3333333333333,10,90,377.666666666667,0,0.5,29
2018-09-30,"BAL",23.7142857142857,36.7142857142857,64.4,288.285714285714,8.14285714285714,13.5285714285714,2.28571428571429,1.14285714285714,2.42857142857143,16,100.257142857143,14,25.5714285714286,94.4285714285714,3.52857142857143,1.28571428571429,5,26.4285714285714,59.1428571428571,40,19.1428571428571,3.57142857142857,23.4285714285714,1.14285714285714,0.142857142857143,1.57142857142857,0.857142857142857,0,4.85714285714286,0.142857142857143,6,1.14285714285714,1.57142857142857,58.3333333333333,0,2.57142857142857,2.85714285714286,92.8571428571429,2.71428571428571,53.4285714285714,18.7857142857143,0,22.2857142857143,2.14285714285714,18.2857142857143,8.91666666666667,0,9.85714285714286,5.28571428571429,233.714285714286,44.5571428571429,22.2857142857143,4,12.2857142857143,32.6571428571429,0.428571428571429,0.714285714285714,28.5714285714286,10.4285714285714,99.2857142857143,382.714285714286,0,0.428571428571429,29.3333333333333
2018-10-07,"ATL",24.125,38,63.525,285.375,7.825,13.1,2.125,1.125,2.25,15.125,96.7875,13.75,23.75,85,3.3,1.125,4.5,26.375,60.75,41.125,19.625,3.375,21.5,1,0.125,1.5,0.875,0,4.375,0.125,6,1.25,1.625,64.2857142857143,0,2.25,2.5,92.8571428571429,2.875,56.75,18.9375,0,23.875,2,16.375,8.07142857142857,0,9,5.25,230.25,44.1375,21.25,3.75,12.25,30.6625,0.375,0.75,25,9.75,91.875,370.375,0,0.5,25.5
2018-10-14,"CIN",23.5555555555556,37,63.7444444444444,281.444444444444,7.91111111111111,13.1111111111111,2.22222222222222,1.11111111111111,2,13.4444444444444,98.5555555555556,13.4444444444444,24.3333333333333,90.1111111111111,3.43333333333333,1.22222222222222,5,25.3333333333333,61.3333333333333,41.6666666666667,19.6666666666667,3.66666666666667,23.8888888888889,0.888888888888889,0.111111111111111,1.44444444444444,0.888888888888889,0.111111111111111,3.88888888888889,0.111111111111111,5.88888888888889,1.11111111111111,1.44444444444444,64.2857142857143,0,2.55555555555556,2.88888888888889,91.6625,2.66666666666667,53,19.3888888888889,0,23.7777777777778,1.77777777777778,14.5555555555556,8.07142857142857,0,8,5,220.555555555556,44.5333333333333,21.3333333333333,4.33333333333333,12.2222222222222,35.5888888888889,0.333333333333333,0.666666666666667,22.2222222222222,9.44444444444444,88.1111111111111,371.555555555556,0,0.444444444444444,28.6
