"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2019-08-08,"LAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-15,"OAK",23,32,71.9,206,6.4,9.5,1,1,2,13,87.9,12,25,83,3.3,1,4,13,52,42,10,3,19,1,0,1,1,0,2,0,5,1,1,100,55,2,2,100,1,25,25,0,25,2,10,5,0,7,4,190,47.5,19,4,11,36.4,0,0,0,9,73,289,1,0
2019-08-24,"MIN",22,35,63.6,232.5,6.6,11.3,2,0.5,2.5,14.5,96.25,11.5,23,99,4.4,0.5,4.5,23,58.5,46.5,12,2,12.5,0.5,0,0.5,0.5,0,1,0,6.5,1.5,1.5,100,50,2,2,100,3.5,79,23.6,0,25,2,10,5,0,8,4.5,216.5,48.05,20.5,3,11.5,26.55,0.5,0.5,50,11.5,90.5,331.5,0.5,0
2019-08-29,"DEN",24.3333333333333,38.6666666666667,63.4,252.333333333333,6.5,11,1.33333333333333,0.333333333333333,2,13,91.5,11.6666666666667,22,89.3333333333333,4.1,0.333333333333333,4,22,57.3333333333333,43,14.3333333333333,2.33333333333333,13.6666666666667,0.333333333333333,0,1,0.333333333333333,0,3.33333333333333,0,7.33333333333333,2,2,100,49,1.33333333333333,1.33333333333333,100,2.33333333333333,52.6666666666667,23.6,0,16.6666666666667,2.66666666666667,19.3333333333333,6.5,0,14.6666666666667,5.33333333333333,249,47,18.6666666666667,4.33333333333333,13.3333333333333,31.4333333333333,0.333333333333333,0.333333333333333,33.3333333333333,12.3333333333333,97.3333333333333,341.666666666667,0.333333333333333,0
2019-09-08,"DET",23.25,37.25,62.7,233.25,6.2,10.675,1.25,0.5,2.25,14.25,87.275,10,19.75,80.25,4.1,0.25,3.5,21.5,58,42,16,2,12.25,1,0,1,0.25,0,3.75,0,5.75,1.5,1.5,100,36.75,1.25,1.25,100,2,47.75,26.7333333333333,0,20.75,2.5,15.5,5.375,0,12,5.5,258,47.125,16,3.75,12.75,28.125,0.25,0.75,25,11.5,89.25,313.5,0.25,0.5
2019-09-15,"BAL",24.4,40.6,60.9,241.6,5.98,10.66,1.4,0.6,2.8,18,84.86,11.2,20.4,86.6,4.26,0.2,3.4,22.6,60.2,43.4,16.8,2.2,14.6,0.8,0,1.2,0.6,0,3.8,0,7.2,2,2,100,37.8,1.2,1.2,100,2.4,55.4,25.425,0,23,2.6,16,5.5,0,11.2,6,282.4,47.2,17,4.8,14.6,30.68,0.2,0.6,20,10.6,78.4,328.2,0.4,0.4
2019-09-22,"CAR",24.5,40.5,61.1666666666667,256.166666666667,6.35,11.2166666666667,1.16666666666667,0.5,2.83333333333333,18.3333333333333,85.8,11.3333333333333,18.8333333333333,75.5,3.85,0.333333333333333,3.16666666666667,22.6666666666667,61.6666666666667,44,17.6666666666667,2.16666666666667,14.5,0.666666666666667,0,1.16666666666667,0.5,0,4,0,7.5,2.16666666666667,2.16666666666667,100,35.1666666666667,1,1,100,2.66666666666667,56,23.3,0,23,2.33333333333333,13.3333333333333,4.58333333333333,0,9.33333333333333,5.83333333333333,279.833333333333,48.2333333333333,16.6666666666667,4.33333333333333,14,28.6,0.333333333333333,0.666666666666667,33.3333333333333,10.1666666666667,77,331.666666666667,0.333333333333333,0.333333333333333
2019-09-29,"SEA",25.2857142857143,40.8571428571429,62.4,237.714285714286,5.87142857142857,10.4428571428571,1.28571428571429,0.714285714285714,3.57142857142857,22.2857142857143,83.9857142857143,11,19.2857142857143,82,4.08571428571429,0.285714285714286,4.14285714285714,24.8571428571429,61,42.5714285714286,18.4285714285714,2.14285714285714,15.4285714285714,0.571428571428571,0,1.28571428571429,0.571428571428571,0,3.71428571428571,0,7.57142857142857,2.14285714285714,2.14285714285714,100,36.8571428571429,1.14285714285714,1.14285714285714,100,2.42857142857143,50.7142857142857,22.5833333333333,0,22.4285714285714,2.28571428571429,14.2857142857143,5.35714285714286,0,10.8571428571429,5.71428571428571,270.142857142857,47.4,17.2857142857143,5,14.4285714285714,32.0714285714286,0.428571428571429,0.714285714285714,42.8571428571429,9.71428571428571,73.4285714285714,319.714285714286,0.142857142857143,0.285714285714286
2019-10-06,"CIN",24.875,39.75,63.2,233.75,5.9375,10.5125,1.125,0.75,3.625,23.875,83.2,11.125,19.75,86.125,4.2,0.375,4.375,25.125,61.875,43.25,18.625,2.375,15.375,0.5,0,1.5,0.5,0,3.5,0,7.125,2,2.25,90.4714285714286,36.375,1.125,1.125,100,2.125,44.375,22.5833333333333,0,19.625,2.125,12.625,4.8125,0,9.625,5.375,254,47.35,17.625,4.75,13.75,32.225,0.375,0.625,37.5,9.375,69.75,319.875,0,0.25
2019-10-13,"ATL",24.3333333333333,38.8888888888889,63.1222222222222,235.333333333333,6.14444444444444,10.7444444444444,1,0.666666666666667,3.33333333333333,21.7777777777778,83.6333333333333,11.3333333333333,21.7777777777778,106.111111111111,4.51111111111111,0.555555555555556,5.11111111111111,24.8888888888889,61.7777777777778,42.5555555555556,19.2222222222222,2.22222222222222,13.6666666666667,0.444444444444444,0,1.33333333333333,0.444444444444444,0,3.44444444444444,0,7.88888888888889,2.22222222222222,2.55555555555556,89.1625,35.7777777777778,1.22222222222222,1.22222222222222,100,2.11111111111111,45.2222222222222,23.0714285714286,0,20.7777777777778,2.11111111111111,13.8888888888889,5.61111111111111,0,10.4444444444444,5.11111111111111,242.444444444444,47.6444444444444,18.5555555555556,4.88888888888889,13.6666666666667,33.7777777777778,0.444444444444444,0.666666666666667,44.4444444444444,9.66666666666667,72.6666666666667,341.444444444444,0,0.222222222222222
