"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2019-08-08,"JAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-15,"GB",16,32,50,163,5.1,10.9,1,1,1,11,63.8,9,36,125,3.5,0,7,0,48,31,17,4,21,2,1,0,0,0,8,0,17,5,5,100,55,2,2,100,1,21,21,0,21,2,24,12,0,24,3,159,53,18,7,16,43.8,0,1,0,4,29,288,1,0
2019-08-22,"PHI",16,29,55.75,167.5,5.85,11.1,1,1,1,9.5,71.4,7.5,36.5,148,4.05,0.5,8.5,6.5,46,31.5,14.5,3.5,20.5,1,0.5,0,0.5,0,5.5,0,15.5,4.5,4.5,100,53.5,2,2,100,1.5,32,21.25,0,25,2.5,27.5,11.15,0,18,3.5,178,51.15,17.5,6,15.5,38.55,1,1.5,50,4,34.5,315.5,0.5,0
2019-08-29,"WAS",17,29,59,179.333333333333,6.23333333333333,10.9666666666667,1.33333333333333,0.666666666666667,0.666666666666667,6.33333333333333,83.8666666666667,7,31,112,3.36666666666667,0.666666666666667,7,9.33333333333333,44.6666666666667,31.6666666666667,13,3.33333333333333,20.6666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,4.33333333333333,0,13,3.66666666666667,3.66666666666667,100,52,2,2,100,1.33333333333333,24.3333333333333,17.1666666666667,0,19.6666666666667,3,32.3333333333333,10.9333333333333,0,19,3.66666666666667,183,50.2,16,6,14.3333333333333,42.3666666666667,0.666666666666667,1,33.3333333333333,5.66666666666667,52.3333333333333,291.333333333333,0.333333333333333,0
2019-09-08,"MIA",17.75,31,57.775,185.25,6.05,10.825,1.25,0.5,0.75,6.25,82.825,7.25,32.75,123,3.55,0.75,8,8.75,43.5,31.75,11.75,3,15.75,0.75,0.25,0.25,0.25,0,4,0,11.75,3.25,3.25,100,51,2,2,100,1.25,25.75,20.375,0,22.25,3.25,25.5,8.525,0,16.25,4,186.75,47.55,16.75,6.5,15.25,42.875,1,1.5,41.675,7.25,65.5,308.25,0.5,0
2019-09-15,"ARI",18.8,30,63.92,223.8,7.74,11.96,2.2,0.4,0.8,5.2,97.92,9.2,35.4,151.4,4,1,8.4,9,41,30.4,10.6,3,14.8,1,0.2,0.2,0.4,0,5,0,11.6,2.8,2.8,100,47.6,3.2,3.2,100,1.2,22.4,18.1,0,19.6,3,26.2,9.72,0,16,3.4,160.6,49.24,19.6,6.6,14.4,47.02,1.2,1.6,53.34,6.6,60.4,375.2,1,0
2019-09-22,"KC",19.6666666666667,31.1666666666667,64.0833333333333,229.5,7.61666666666667,11.85,2.16666666666667,0.333333333333333,1,6.66666666666667,99.0666666666667,10.3333333333333,35,156.5,4.25,0.833333333333333,8.5,10.3333333333333,41.3333333333333,30.8333333333333,10.5,3,15.6666666666667,0.833333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0,4.5,0,11.5,2.83333333333333,2.83333333333333,100,48.1666666666667,3,3,100,1.33333333333333,26.3333333333333,18.9166666666667,0,20.6666666666667,3,29.3333333333333,10.6,0,17.5,3.33333333333333,155.333333333333,48.2,20.6666666666667,6.66666666666667,14.3333333333333,47.5166666666667,1,1.5,44.45,7.16666666666667,60.6666666666667,386,0.833333333333333,0
2019-09-29,"CLE",20,32.8571428571429,62.2428571428571,232.285714285714,7.35714285714286,11.8857142857143,1.85714285714286,0.285714285714286,1.28571428571429,8.28571428571429,95,10.8571428571429,34.5714285714286,163.142857142857,4.54285714285714,1.28571428571429,9.42857142857143,13.5714285714286,43.4285714285714,32.7142857142857,10.7142857142857,2.71428571428571,15,0.714285714285714,0.142857142857143,0.428571428571429,0.285714285714286,0,4,0,10.4285714285714,2.57142857142857,2.57142857142857,100,46.8571428571429,2.71428571428571,2.71428571428571,100,1.42857142857143,29.2857142857143,19.5714285714286,0,21.2857142857143,2.57142857142857,25.1428571428571,10.6,0,15,3.28571428571429,155,48.6,21.8571428571429,6.42857142857143,14.1428571428571,46.2285714285714,1.28571428571429,1.85714285714286,48.8142857142857,7.14285714285714,60.5714285714286,395.428571428571,0.714285714285714,0
2019-10-06,"PIT",20.5,33,63.2875,231,7.25,11.6875,2,0.5,1.625,10.375,95.1375,11,33.875,164.375,4.725,1.125,9.625,16.875,44.625,33.5,11.125,2.5,13.75,0.75,0.125,0.375,0.25,0,4.375,0,9.75,2.375,2.375,100,46.125,2.625,2.625,100,1.875,38.25,19.65,0,21.875,2.375,23.75,11.0857142857143,0,14.875,3.25,152,47.9875,22.125,6.125,13.625,45.45,1.25,1.875,48.9625,6.625,54.875,395.375,0.375,0.125
2019-10-13,"CIN",20.3333333333333,32.4444444444444,63.8,220.777777777778,7,11.3333333333333,1.88888888888889,0.777777777777778,2,11.6666666666667,90.6666666666667,10.6666666666667,34.5555555555556,161.444444444444,4.58888888888889,1.11111111111111,9.77777777777778,17.5555555555556,44.8888888888889,33.3333333333333,11.5555555555556,2.33333333333333,13.4444444444444,0.777777777777778,0.111111111111111,0.555555555555556,0.333333333333333,0,4.22222222222222,0,10.2222222222222,2.55555555555556,2.55555555555556,100,46.3333333333333,2.55555555555556,2.55555555555556,100,1.77777777777778,39.1111111111111,22.5777777777778,0,24.5555555555556,2.22222222222222,21.3333333333333,9.95,0,13.4444444444444,3.22222222222222,152.333333333333,48.4,22.1111111111111,6.11111111111111,13.7777777777778,44.8444444444444,1.22222222222222,1.77777777777778,54.6333333333333,7.11111111111111,59,382.222222222222,0.222222222222222,0.111111111111111
