"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2019-08-08,"CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-16,"BUF",20,36,55.6,173,4.8,9.4,1,1,3,15,67.8,12,24,96,4,1,5,13,46,42,4,5,35,0,0,1,0,0,5,0,11,3,3,100,55,2,2,100,2,46,23,0,24,7,131,18.7,0,57,4,164,41,18,5,14,35.7,1,1,100,4,31,269,-2,1,NA
2019-08-22,"NE",21,39,54,164,4.25,8.9,1,1,3,22.5,64.95,10.5,22.5,99.5,4.45,0.5,5,20,54.5,37.5,17,3,18,0.5,0,1,0.5,0,3.5,0,8.5,2.5,2.5,100,54.5,1,1,100,1.5,39.5,28,0,28.5,4.5,70,11.6,0,33,5.5,261.5,46.15,18,3.5,13.5,25.55,1,1.5,75,5.5,46.5,263.5,-0.5,0.5,NA
2019-08-29,"PIT",17.6666666666667,32.6666666666667,54.3333333333333,125.333333333333,3.63333333333333,8.66666666666667,0.666666666666667,0.666666666666667,3.33333333333333,29,65.5333333333333,8.33333333333333,20.6666666666667,83.3333333333333,3.96666666666667,0.333333333333333,4,16.6666666666667,63.3333333333333,44.6666666666667,18.6666666666667,3.66666666666667,19.3333333333333,0.333333333333333,0,1,0.666666666666667,0,3,0,6.66666666666667,2,2,100,50,0.666666666666667,0.666666666666667,100,1,26.3333333333333,28,0,19,4,48.3333333333333,8.3,0,23,6.33333333333333,312.666666666667,48.0666666666667,14.3333333333333,3,13,22.6,1,1.33333333333333,83.3333333333333,6.66666666666667,60.3333333333333,208.666666666667,0,0.333333333333333,NA
2019-09-08,"LA",18.75,33,56.925,164.25,4.8,10.125,1.25,1,4,31.25,74.15,9.5,22.5,88,3.875,0.25,5,17.25,58.75,41.5,17.25,4,23.75,0.5,0,1,0.5,0,3.25,0,6.25,1.75,2,87.5,52.25,1,1,100,1.75,43,26.4333333333333,0,21.5,4,47.25,8.975,0,22.25,5.75,281,47.675,16.5,4.25,13.5,30.275,0.75,1,62.5,6.75,61.25,252.25,-0.5,0.5,NA
2019-09-12,"TB",20,34,58.7,174.6,4.98,10.02,1,1,3.8,29.6,73.74,10.2,22.6,95.8,4.2,0.8,5.6,19.8,59,41.4,17.6,3.4,19.6,0.6,0,0.8,0.4,0,3.8,0,6.8,1.8,2.2,83.34,52.2,1.4,1.4,100,1.8,44.6,26.2,0,22.4,3.6,43.8,10.18,0,21,5.4,263.4,47.8,17.4,4.4,13,33.32,0.6,0.8,50,6.6,58.2,270.4,-0.8,0.8,27
2019-09-22,"ARI",20.8333333333333,36.8333333333333,57.0833333333333,197.666666666667,5.16666666666667,10.5666666666667,0.833333333333333,0.833333333333333,3.66666666666667,28,73.1333333333333,11.1666666666667,22,86.3333333333333,3.85,0.666666666666667,5,19.8333333333333,59.6666666666667,39.3333333333333,20.3333333333333,3.33333333333333,19.5,0.5,0,0.666666666666667,0.333333333333333,0,3.33333333333333,0.166666666666667,7.66666666666667,2.16666666666667,2.5,86.1166666666667,52.5,1.16666666666667,1.16666666666667,100,1.66666666666667,40.6666666666667,25.16,0,22.1666666666667,3.66666666666667,43,10.1166666666667,0,24,5.33333333333333,261.666666666667,48.2666666666667,17.8333333333333,4.16666666666667,13.1666666666667,31.3333333333333,0.5,1.16666666666667,41.6666666666667,6.33333333333333,56.8333333333333,284,-0.833333333333333,0.833333333333333,20.5
2019-09-29,"HOU",20.5714285714286,35.2857142857143,59.3714285714286,203.714285714286,5.74285714285714,11.0142857142857,1.28571428571429,0.714285714285714,3.42857142857143,27,83.3142857142857,11.5714285714286,23.2857142857143,98.7142857142857,4.1,0.714285714285714,4.85714285714286,19.8571428571429,60,41.7142857142857,18.2857142857143,4,23.2857142857143,0.714285714285714,0,0.571428571428571,0.285714285714286,0,3.42857142857143,0.142857142857143,7.71428571428571,2,2.28571428571429,88.1,50.1428571428571,1.71428571428571,1.71428571428571,100,1.71428571428571,40,23.9666666666667,0,21.8571428571429,3.28571428571429,36.8571428571429,8.67142857142857,0,20.5714285714286,5,245,48.2714285714286,18.2857142857143,4.14285714285714,12.7142857142857,32.5714285714286,0.428571428571429,1,35.7142857142857,5.85714285714286,53.7142857142857,302.428571428571,-0.571428571428571,0.857142857142857,26.3333333333333
2019-10-06,"JAC",21,35.125,60.775,203.625,5.775,10.85,1.125,0.625,3.375,27.25,84.0625,12,23.875,98.125,4.0125,0.75,4.625,18.625,59.75,41,18.75,4.25,24.375,0.75,0,0.625,0.375,0,3.5,0.125,8,2.125,2.375,89.5875,50.75,1.625,1.625,100,1.75,41,23.9714285714286,0,23,3,32.25,7.5875,0,18,4.875,234.125,47.175,18.375,4.5,12.875,34.75,0.375,0.875,31.25,5.875,51.375,301.75,-0.625,1.125,23.75
2019-10-13,"TB",20.5555555555556,34.6666666666667,60.1111111111111,198.777777777778,5.71111111111111,10.8222222222222,1.11111111111111,0.555555555555556,3.33333333333333,26.5555555555556,83.9333333333333,11.7777777777778,24.2222222222222,118.888888888889,4.74444444444444,1,5.11111111111111,19.5555555555556,60.8888888888889,40.6666666666667,20.2222222222222,4,23.4444444444444,0.666666666666667,0,0.777777777777778,0.666666666666667,0.111111111111111,4.11111111111111,0.111111111111111,7.55555555555556,1.88888888888889,2.33333333333333,79.6333333333333,45.1111111111111,1.88888888888889,2,96.6666666666667,1.77777777777778,40.7777777777778,23.4125,0,22.7777777777778,2.77777777777778,29,7.07777777777778,0,16.3333333333333,4.88888888888889,234.555555555556,47.2222222222222,18.7777777777778,4.44444444444444,12.7777777777778,34.5888888888889,0.333333333333333,0.888888888888889,27.7777777777778,6.11111111111111,53.4444444444444,317.666666666667,-0.222222222222222,1,25.8
2019-10-27,"SF",20.5,34.4,60.35,199.8,5.79,10.88,1.2,0.5,3.2,25.7,86,11.8,24.7,112.9,4.47,1.1,4.9,20.2,60.1,40.9,19.2,4.3,24.6,1.1,0,0.9,0.8,0.1,5,0.1,8.1,2,2.6,77.67,45.5,2.1,2.2,97.1428571428571,1.6,36.7,23.4125,0,20.5,2.6,27.1,7.37,0,15.7,5.1,246.1,47.5,18.6,4.3,13,33.13,0.4,0.9,35,5.8,51.1,312.7,0.4,1,27.6666666666667
2019-11-03,"TEN",20.3636363636364,34.6363636363636,59.5363636363636,190.727272727273,5.50909090909091,10.6454545454545,1.09090909090909,0.727272727272727,3.54545454545455,28.6363636363636,80.8090909090909,11.4545454545455,24.1818181818182,114.454545454545,4.68181818181818,1.09090909090909,4.81818181818182,23,59.7272727272727,41.3636363636364,18.3636363636364,4.18181818181818,24.0909090909091,1.09090909090909,0,0.818181818181818,0.727272727272727,0.0909090909090909,4.63636363636364,0.181818181818182,7.63636363636364,1.90909090909091,2.45454545454545,79.7,45.0909090909091,1.90909090909091,2,97.1428571428571,2.09090909090909,46.7272727272727,23.1444444444444,0,21.8181818181818,2.45454545454545,24.6363636363636,6.7,0,14.2727272727273,5.27272727272727,252.181818181818,47.2454545454545,18,4.09090909090909,13,31.5181818181818,0.363636363636364,1,31.8181818181818,6.09090909090909,52.8181818181818,305.181818181818,0.181818181818182,0.909090909090909,25.5714285714286
2019-11-10,"GB",20.0833333333333,34.4166666666667,59,192.666666666667,5.60833333333333,10.8916666666667,1.16666666666667,0.75,3.5,27.75,81.1083333333333,11.5833333333333,24.9166666666667,117.916666666667,4.68333333333333,1.16666666666667,5,22.75,59.4166666666667,41.25,18.1666666666667,4.16666666666667,23.8333333333333,1.16666666666667,0,0.833333333333333,0.75,0.0833333333333333,4.58333333333333,0.166666666666667,7.5,1.83333333333333,2.41666666666667,77.225,44.25,2,2.16666666666667,94.375,2.08333333333333,47.1666666666667,23.43,0,22.6666666666667,2.41666666666667,23.5,6.6,0,14,5.16666666666667,244.083333333333,46.5416666666667,18.3333333333333,4.16666666666667,13.0833333333333,31.8666666666667,0.5,1.08333333333333,37.5,6.08333333333333,54.8333333333333,310.583333333333,0.333333333333333,0.833333333333333,26.125
2019-11-17,"ATL",20.6923076923077,35.0769230769231,59.4692307692308,199.461538461538,5.67692307692308,10.9,1.15384615384615,0.769230769230769,3.46153846153846,27.6153846153846,81.3461538461538,12.1538461538462,24.7692307692308,118.076923076923,4.72307692307692,1.15384615384615,5.07692307692308,22.8461538461538,58.8461538461538,40.6923076923077,18.1538461538462,4,22.6153846153846,1.07692307692308,0,0.769230769230769,0.692307692307692,0.0769230769230769,4.53846153846154,0.153846153846154,7.23076923076923,1.76923076923077,2.30769230769231,78.9769230769231,44.6923076923077,1.92307692307692,2.07692307692308,95,2.23076923076923,49.6923076923077,23.1181818181818,0,23.6923076923077,2.23076923076923,21.6923076923077,6.6,0,12.9230769230769,5,234.692307692308,46.0923076923077,18.9230769230769,4.15384615384615,12.8461538461538,32.4923076923077,0.538461538461538,1.07692307692308,42.3076923076923,6,54.1538461538462,317.538461538462,0.153846153846154,0.846153846153846,25
2019-11-24,"NO",21.4285714285714,36.1428571428571,59.65,204.5,5.65714285714286,10.8714285714286,1.07142857142857,1,3.57142857142857,29.5714285714286,78.9285714285714,12.3571428571429,24.0714285714286,115.142857142857,4.75,1.07142857142857,4.85714285714286,23.2857142857143,58.7142857142857,40.5,18.2142857142857,3.92857142857143,22.3571428571429,1,0,0.785714285714286,0.642857142857143,0.0714285714285714,4.42857142857143,0.142857142857143,6.92857142857143,1.71428571428571,2.21428571428571,80.4785714285714,43.7142857142857,1.78571428571429,1.92857142857143,95,2.28571428571429,51,23.0833333333333,0,23.7857142857143,2.14285714285714,20.5714285714286,6.55384615384615,0,12.4285714285714,4.92857142857143,231.285714285714,46.1428571428571,18.7857142857143,4,12.9285714285714,31.1928571428571,0.714285714285714,1.35714285714286,43.5714285714286,6.14285714285714,55.1428571428571,319.642857142857,-0.142857142857143,0.785714285714286,22.8
2019-12-01,"WAS",21.5333333333333,36.1333333333333,59.9333333333333,206.2,5.70666666666667,10.8866666666667,1.2,0.933333333333333,3.6,29.3333333333333,81.18,12.5333333333333,24.4,115.533333333333,4.71333333333333,1.06666666666667,4.93333333333333,24,58.4,40.2666666666667,18.1333333333333,3.8,21.6,1,0,0.733333333333333,0.6,0.0666666666666667,4.46666666666667,0.133333333333333,6.93333333333333,1.73333333333333,2.26666666666667,79.56,44.2666666666667,1.73333333333333,2,88.83,2.2,49.4,23.3846153846154,0,24,2.13333333333333,19.2,6.08571428571429,0,11.6,4.8,224.266666666667,45.8666666666667,19.2666666666667,4.06666666666667,12.9333333333333,31.68,0.733333333333333,1.33333333333333,47.3333333333333,5.93333333333333,53.1333333333333,321.733333333333,-0.133333333333333,0.8,23.5454545454545
2019-12-08,"ATL",21.875,36.75,59.85625,206.625,5.6375,10.85,1.25,0.9375,3.8125,31.5625,81.20625,12.875,24.125,112.375,4.625,1.0625,4.75,24.3125,58.375,39.6875,18.6875,3.875,22.3125,0.9375,0,0.75,0.5625,0.0625,4.25,0.125,6.6875,1.625,2.125,79.56,41.5,1.8125,2.0625,89.8454545454545,2.125,47.3125,22.8571428571429,0,23.5,2.1875,20.1875,6.46,0,11.875,5,231.375,45.64375,19.4375,4.125,13.125,31.65625,0.75,1.375,47.5,5.875,52.5,319,-0.25,0.8125,23.3333333333333
2019-12-15,"SEA",22.2352941176471,37,60.3529411764706,208.882352941176,5.65882352941177,10.8294117647059,1.23529411764706,1,3.88235294117647,32.5294117647059,80.9352941176471,13.1764705882353,24,111.647058823529,4.61764705882353,1.05882352941176,4.94117647058824,25.2352941176471,58.2941176470588,39.6470588235294,18.6470588235294,3.70588235294118,21.6470588235294,0.882352941176471,0,0.705882352941177,0.529411764705882,0.0588235294117647,4.23529411764706,0.117647058823529,6.76470588235294,1.64705882352941,2.11764705882353,80.8375,41.7647058823529,1.82352941176471,2.05882352941176,90.6916666666667,2.17647058823529,48.4705882352941,22.82,0,23.5882352941176,2.17647058823529,20,6.5875,0,11.7647058823529,4.94117647058824,228.647058823529,45.6823529411765,19.8823529411765,4.05882352941176,12.9411764705882,31.5588235294118,0.705882352941177,1.29411764705882,44.7058823529412,5.94117647058824,52,320.529411764706,-0.470588235294118,0.882352941176471,23.0769230769231
