"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2019-08-10,"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-17,"LA",29,50,58,239,4.8,8.7,0,0,3,13,71.4,11,18,55,3.1,0,3,17,53,44,9,1,5,2,0,0,0,0,5,0,9,3,4,75,40,0,0,NA,3,60,20,0,24,2,25,12.5,0,17,5,235,47,20,4,15,26.7,0,2,0,5,59,294,1,1,NA
2019-08-24,"HOU",25.5,42,61.35,198,4.7,8.35,0.5,0.5,3,16.5,73.3,9,21,74.5,3.5,0.5,4.5,13.5,54,41.5,12.5,0.5,2.5,1.5,0,0,0.5,0,5.5,0,5.5,1.5,2.5,37.5,20,1,1,100,1.5,30,20,0,12,3.5,17,7.15,0,10.5,6.5,311.5,47.75,20,3.5,14,24.9,0,1,0,8,73.5,272.5,0.5,1,NA
2019-08-29,"TB",25,42,59.9333333333333,215,5.1,9.13333333333333,1,0.333333333333333,2.33333333333333,13.6666666666667,79.2333333333333,10,24,87.3333333333333,3.6,0.666666666666667,5,9,51,40,11,3,13,1.66666666666667,0,1,1,0,5.33333333333333,0,7,1.66666666666667,2.33333333333333,58.3333333333333,25.3333333333333,2,2,100,1.33333333333333,29.6666666666667,24.5,0,17.6666666666667,3.33333333333333,26.3333333333333,9.76666666666667,0,17.6666666666667,6.66666666666667,313,46.8666666666667,20.3333333333333,3.66666666666667,14.3333333333333,25.5,0,1.33333333333333,0,9.66666666666667,85.6666666666667,302.333333333333,1.66666666666667,0.666666666666667,NA
2019-09-08,"NYG",25,42.25,59.475,221,5.225,9.6,1,0.5,2.75,19,78.2,10.25,22.75,75.5,3.225,0.5,4.5,11,53.75,38.5,15.25,3.25,16.75,2,0.25,1,0.75,0,5.25,0,6,1.5,2,68.75,27,1.5,1.75,66.6666666666667,1.25,28,24,0,19,3.25,19.75,7.325,0,13.25,6.25,287.75,45.75,19,4.5,15,29.425,0.5,1.75,16.675,10,84,296.5,1.25,1,NA
2019-09-15,"WAS",25,40.2,63.2,257.8,6.72,10.92,1.6,0.4,2.2,15.2,94.22,11.8,24.2,78.2,3.18,0.6,4.4,12.2,53.8,39.6,14.2,2.8,14.2,1.6,0.2,1.4,1,0,5.2,0,5.8,1.2,1.6,68.75,21.6,2.2,2.4,75,1.2,22.4,18,0,15.2,2.6,15.8,7.325,0,10.6,5.8,263.2,44.86,19.8,4.8,14,35.54,0.4,1.4,13.34,9.2,76.6,336,1.4,0.8,35
2019-09-22,"MIA",25.1666666666667,38.5,67.1166666666667,258.333333333333,7.05,10.8166666666667,1.83333333333333,0.5,2,14,99.1,11.8333333333333,25.8333333333333,100.666666666667,3.7,0.666666666666667,5.5,13.6666666666667,52.6666666666667,38.8333333333333,13.8333333333333,2.5,14,1.33333333333333,0.166666666666667,1.16666666666667,0.833333333333333,0,4.83333333333333,0,6,1.16666666666667,1.5,75,22.1666666666667,2.5,2.66666666666667,80,1.16666666666667,20.5,16.6,0,14.5,2.5,13.8333333333333,6.26,0,9.5,5.16666666666667,236.166666666667,45.8,20.6666666666667,5.16666666666667,13.5,40.2166666666667,0.333333333333333,1.16666666666667,11.1166666666667,9,75,359,1,0.666666666666667,33
2019-09-29,"NO",24.2857142857143,37.5714285714286,66.0142857142857,255.857142857143,7.11428571428571,11.1142857142857,1.85714285714286,0.571428571428571,1.85714285714286,12.7142857142857,98,11.8571428571429,27,119.857142857143,4.15714285714286,0.857142857142857,6.85714285714286,12.5714285714286,53,38.2857142857143,14.7142857142857,2.57142857142857,14.5714285714286,1.14285714285714,0.142857142857143,1.28571428571429,0.857142857142857,0,5.57142857142857,0,6.14285714285714,1.14285714285714,1.57142857142857,70.8333333333333,23,2.71428571428571,2.85714285714286,83.3333333333333,1,17.5714285714286,16.6,0,12.4285714285714,2.28571428571429,13.7142857142857,7.38333333333333,0,10,4.85714285714286,221.428571428571,45.5857142857143,21.7142857142857,5.14285714285714,13,41.6142857142857,0.285714285714286,1,9.52857142857143,8.85714285714286,78.5714285714286,375.714285714286,0.857142857142857,0.571428571428571,32.3333333333333
2019-10-06,"GB",24,37,66.1,250.375,7.025,10.9875,1.625,0.625,1.75,12.5,94.9,11.375,26.125,110.5,3.925,0.875,6.5,12.5,54.25,39.25,15,2.875,18.25,1.125,0.125,1.125,0.75,0,5.25,0,5.875,1.125,1.5,75,23.625,2.5,2.625,85.7142857142857,0.875,15.375,16.6,0,10.875,2.25,13.75,7.32857142857143,0,10.5,4.75,216.375,45.55,20.875,5,12.75,40.9625,0.25,1,8.3375,8.5,76.75,360.875,0.5,0.75,26.75
2019-10-13,"NYJ",24.3333333333333,37.7777777777778,65.5777777777778,271.555555555556,7.35555555555556,11.6666666666667,1.66666666666667,0.888888888888889,1.88888888888889,13.5555555555556,93.6666666666667,12.2222222222222,25.5555555555556,111.777777777778,4.13333333333333,0.888888888888889,6.77777777777778,14.8888888888889,54.3333333333333,38.7777777777778,15.5555555555556,2.77777777777778,18.7777777777778,1,0.111111111111111,1,0.666666666666667,0,5,0,5.88888888888889,1.11111111111111,1.66666666666667,69.7875,25,2.55555555555556,2.66666666666667,87.5,1.11111111111111,21.7777777777778,17.8833333333333,0,12.7777777777778,2.33333333333333,14.2222222222222,7.1625,0,10.4444444444444,4.55555555555556,203.444444444444,44.1888888888889,22.1111111111111,4.66666666666667,12.2222222222222,39.1888888888889,0.222222222222222,0.888888888888889,7.41111111111111,8.77777777777778,82,383.333333333333,0.111111111111111,0.666666666666667,26.2
