"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2019-08-01,"ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-08,"SEA",17,29,58.6,93,3.2,6.6,1,0,3,19,78.5,6,28,95,3.4,1,4,10,60,36,24,3,17,1,0,0,0,0,8,0,2,0,0,NA,0,2,2,100,3,73,24.3,0,26,3,23,7.7,0,18,9,417,46.3,14,3,15,20,1,2,50,8,90,188,-1,2
2019-08-19,"SF",20,34,58.8,150,4.25,8.2,1,0.5,3,19,75.85,8,24,93,4,0.5,4,16,64.5,36,28.5,2.5,17,0.5,0,0,0,0,5,0,4,1,1,100,12.5,1,1,100,4,79,20.65,0,25,4,14,4.35,0,10.5,6,278.5,46.5,15.5,3,14,21.55,1,2.5,41.65,9.5,92,243,-1,1
2019-08-24,"LA",19.6666666666667,35.3333333333333,55.8666666666667,134,3.73333333333333,7.9,0.666666666666667,0.666666666666667,4,25,66.5666666666667,7.33333333333333,25,99.6666666666667,4.06666666666667,0.666666666666667,4.66666666666667,18.6666666666667,57,32.6666666666667,24.3333333333333,2.66666666666667,16.3333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0,5,0,5.66666666666667,1.66666666666667,1.66666666666667,100,25.6666666666667,0.666666666666667,0.666666666666667,100,3,60,21.1,0,24,4,13.3333333333333,3.9,0,9.33333333333333,6.33333333333333,302,47.6333333333333,16.3333333333333,4.66666666666667,15.6666666666667,28.4,0.666666666666667,2,27.7666666666667,9.33333333333333,84,233.666666666667,-0.333333333333333,0.666666666666667
2019-08-29,"ARI",20.25,35.25,57.625,135.5,3.8,7.625,0.5,0.75,3.25,21,65,7.25,24,93,3.925,0.5,4.75,16.5,57.5,35,22.5,2,12.25,0.5,0,0.25,0.25,0,4.25,0,5.75,1.75,1.75,100,28.75,0.5,0.5,100,2.5,50,20.825,0,23,3.5,11.25,3.55,0,8.25,5.75,269.75,46.55,16.25,4.5,14.5,30.4,0.5,1.75,20.825,8.5,74.5,228.5,-0.5,0.5
2019-09-09,"OAK",20.2,35,57.86,151.6,4.32,8.34,0.6,1.2,2.8,18.4,62.32,8.4,25.6,99.2,3.92,0.6,4.8,14.6,53.4,33.8,19.6,2.2,13.4,0.6,0,0.6,0.6,0,4.6,0,6.2,1.8,2,91.675,33,0.8,0.8,100,2,40,20.825,0,18.4,3.6,16.6,4.74,0,10,5.4,253.6,46.7,16.8,4.4,14.2,30.48,0.4,1.6,16.66,7.6,66.6,250.8,-0.4,0.4
2019-09-15,"CHI",20.3333333333333,34.3333333333333,59.5,167.833333333333,4.93333333333333,9.08333333333333,0.666666666666667,1,2.83333333333333,18.5,69.4833333333333,8.83333333333333,25.1666666666667,98.5,3.95,0.5,4.66666666666667,16.1666666666667,54.1666666666667,34.3333333333333,19.8333333333333,1.83333333333333,11.1666666666667,0.5,0,0.5,0.5,0,4.33333333333333,0,6.83333333333333,2,2.33333333333333,88.34,34,0.833333333333333,0.833333333333333,100,1.66666666666667,33.3333333333333,20.825,0,15.3333333333333,3,13.8333333333333,4.74,0,8.33333333333333,5,235.5,46.9666666666667,17,4.66666666666667,14,33.1,0.333333333333333,1.33333333333333,13.8833333333333,7.33333333333333,62.8333333333333,266.333333333333,-0.333333333333333,0.333333333333333
2019-09-22,"GB",22.4285714285714,36.5714285714286,61,184.142857142857,5.02857142857143,8.97142857142857,0.714285714285714,1,2.71428571428571,17.2857142857143,71.4285714285714,10.2857142857143,25,97.2857142857143,3.92857142857143,0.428571428571429,4.71428571428571,16.1428571428571,53.5714285714286,34.5714285714286,19,1.57142857142857,9.57142857142857,0.428571428571429,0,0.428571428571429,0.428571428571429,0,4.42857142857143,0,6.71428571428571,2,2.28571428571429,90.2833333333333,35.2857142857143,0.714285714285714,0.714285714285714,100,1.42857142857143,28.5714285714286,20.825,0,13.1428571428571,3.14285714285714,16.8571428571429,5.41666666666667,0,9.57142857142857,5,230.428571428571,45.9714285714286,18.4285714285714,4.42857142857143,14,31.4285714285714,0.714285714285714,1.57142857142857,26.1857142857143,7.71428571428571,65.4285714285714,281.428571428571,-0.428571428571429,0.285714285714286
2019-09-29,"JAC",22.125,35.625,62,181.25,5.1,9.175,0.625,1,3.125,21.625,71.975,10.5,26.625,103.75,3.925,0.625,5.125,17.5,52.25,34,18.25,1.375,8.375,0.375,0,0.375,0.375,0,4.125,0,6.375,1.875,2.125,91.6714285714286,34.625,0.75,0.875,87.5,1.375,32.5,28.66,0,19,2.875,15.125,5.07142857142857,0,8.75,4.75,220.125,46.3875,18.625,4.875,14.125,34.1625,0.75,1.625,29.1625,7.125,60.625,285,-0.75,0.5
2019-10-06,"LAC",22.1111111111111,35.8888888888889,61.5444444444444,194.777777777778,5.42222222222222,9.68888888888889,0.888888888888889,1,2.77777777777778,19.2222222222222,74.9666666666667,11,25.4444444444444,99.7777777777778,3.96666666666667,0.555555555555556,4.77777777777778,18.4444444444444,54.6666666666667,35.3333333333333,19.3333333333333,1.77777777777778,10.4444444444444,0.333333333333333,0,0.444444444444444,0.333333333333333,0,4,0,6.33333333333333,1.77777777777778,2,92.7125,34.4444444444444,1,1.11111111111111,90,1.55555555555556,36.5555555555556,27.7166666666667,0,19.6666666666667,2.77777777777778,14.5555555555556,5.0625,0,8.88888888888889,4.88888888888889,225.777777777778,46.2555555555556,18.6666666666667,4.77777777777778,13.7777777777778,34.4111111111111,0.666666666666667,1.44444444444444,25.9222222222222,6.88888888888889,59.2222222222222,294.555555555556,-0.777777777777778,0.444444444444444
2019-10-13,"TEN",21.3,34.3,62.39,191.2,5.67,10.02,0.9,1,2.8,19.6,76.89,10.5,26.1,108.9,4.17,0.6,5.1,17.9,54.7,35.8,18.9,1.6,9.4,0.5,0,0.5,0.3,0,4.2,0,6.5,1.8,2.1,89.8222222222222,35.6,1.1,1.2,91.6666666666667,1.4,32.9,27.7166666666667,0,17.7,2.9,15.3,5.11111111111111,0,9.2,4.8,221.6,46.23,18.3,4.6,13.5,33.7,0.6,1.3,23.33,7.4,65.5,300.1,-0.6,0.5
2019-10-17,"KC",21,33.7272727272727,62.5636363636364,189,5.7,10,0.818181818181818,1,2.63636363636364,18.7272727272727,76,10.1818181818182,26.4545454545455,108.363636363636,4.1,0.636363636363636,5,16.2727272727273,54.2727272727273,36.2727272727273,18,2.09090909090909,12.3636363636364,0.727272727272727,0,0.545454545454545,0.272727272727273,0,4.27272727272727,0,6.81818181818182,1.90909090909091,2.18181818181818,90.84,37.1818181818182,1.09090909090909,1.18181818181818,92.8571428571429,1.27272727272727,29.9090909090909,27.7166666666667,0,16.0909090909091,2.90909090909091,18.2727272727273,6.2,0,12.1818181818182,5.09090909090909,237.909090909091,46.5818181818182,17.6363636363636,4.36363636363636,13.5454545454545,31.9363636363636,0.545454545454545,1.18181818181818,21.2090909090909,7.45454545454545,64.1818181818182,297.363636363636,-0.363636363636364,0.454545454545455
2019-10-27,"IND",21,33.75,62.5,184.416666666667,5.55,10.0083333333333,0.75,0.916666666666667,3.16666666666667,23.75,76.3083333333333,10,26,105.25,4.04166666666667,0.666666666666667,4.91666666666667,17.4166666666667,54.0833333333333,36.4166666666667,17.6666666666667,2,11.5,0.666666666666667,0,0.5,0.25,0,4.33333333333333,0,6.25,1.75,2.08333333333333,82.5818181818182,34.0833333333333,1,1.08333333333333,92.8571428571429,1.16666666666667,27.4166666666667,27.7166666666667,0,14.75,3,17.75,5.90909090909091,0,11.6666666666667,5.25,241.416666666667,46.0333333333333,17.4166666666667,4.08333333333333,13.5,29.9166666666667,0.583333333333333,1.33333333333333,22.2166666666667,7.16666666666667,61.5833333333333,289.666666666667,-0.416666666666667,0.5
2019-11-03,"CLE",20.9230769230769,33.6153846153846,62.5,183,5.52307692307692,9.90769230769231,0.692307692307692,0.846153846153846,3.15384615384615,22.5384615384615,76.3461538461538,9.84615384615385,26.1538461538462,105.846153846154,4.03846153846154,0.692307692307692,5.07692307692308,17.2307692307692,54.3846153846154,36.9230769230769,17.4615384615385,2.15384615384615,11.4615384615385,0.615384615384615,0,0.615384615384615,0.307692307692308,0,4.38461538461539,0,6.30769230769231,1.76923076923077,2.07692307692308,84.0333333333333,33.6923076923077,1,1.07692307692308,93.75,1.23076923076923,28.3076923076923,26.5428571428571,0,15.5384615384615,3,18.0769230769231,6.025,0,11.8461538461538,5.38461538461539,244.076923076923,45.5230769230769,17.6923076923077,3.92307692307692,13.3846153846154,28.9,0.538461538461538,1.23076923076923,20.5076923076923,7.38461538461539,63.6153846153846,288.846153846154,-0.307692307692308,0.461538461538462
2019-11-17,"MIN",20.2857142857143,32.6428571428571,62.3214285714286,182.428571428571,5.75714285714286,10.35,0.785714285714286,0.785714285714286,3.14285714285714,22.2142857142857,79.8642857142857,9.57142857142857,25.7142857142857,107.357142857143,4.2,0.714285714285714,5.07142857142857,17.3571428571429,55.6428571428571,37.3571428571429,18.2857142857143,2.14285714285714,11.5,0.571428571428571,0,0.571428571428571,0.285714285714286,0,4.42857142857143,0,6.28571428571429,1.71428571428571,2,85.2615384615385,34.3571428571429,1.14285714285714,1.21428571428571,94.4444444444444,1.28571428571429,29.7857142857143,26.2875,0,16.7142857142857,2.85714285714286,18.2142857142857,7.1,0,12.4285714285714,5.28571428571429,239,45.3642857142857,17.3571428571429,3.85714285714286,13.0714285714286,29.2142857142857,0.5,1.14285714285714,19.0428571428571,7.35714285714286,63,289.785714285714,-0.357142857142857,0.5
2019-11-24,"BUF",20.1333333333333,33.1333333333333,61.1666666666667,188.266666666667,5.82666666666667,10.6866666666667,0.8,0.8,3.06666666666667,21.2666666666667,78.9733333333333,9.66666666666667,26.2,108.466666666667,4.17333333333333,0.733333333333333,5.13333333333333,18,55.8,37.4666666666667,18.3333333333333,2.33333333333333,13.0666666666667,0.533333333333333,0,0.666666666666667,0.4,0,4.26666666666667,0,6.6,1.8,2.13333333333333,84.5285714285714,35.2,1.2,1.26666666666667,95,1.26666666666667,30.6,28.0333333333333,0,18.4,2.66666666666667,17,7.1,0,11.6,5.13333333333333,230.066666666667,44.6733333333333,17.5333333333333,3.93333333333333,13.4,29.12,0.733333333333333,1.33333333333333,24.44,7.26666666666667,61.1333333333333,296.733333333333,-0.266666666666667,0.466666666666667
2019-12-01,"LAC",19.5,32.625,59.84375,179.5625,5.5875,10.53125,0.75,0.8125,3.125,22,76.0625,9.3125,25.625,107,4.225,0.6875,5,18.125,57.1875,38.625,18.5625,2.25,12.5625,0.5625,0,0.625,0.375,0,4.1875,0,6.375,1.75,2.0625,85.56,35.8125,1.125,1.1875,95,1.375,32.5,27.26,0,18.9375,2.5,15.9375,7.1,0,10.875,5.3125,237.875,44.65625,17,3.8125,13.25,28.4375,0.6875,1.25,22.9125,7.25,61.6875,286.5625,-0.25,0.4375
2019-12-08,"HOU",19.4117647058824,32.3529411764706,60.1058823529412,176.882352941176,5.54117647058824,10.3470588235294,0.823529411764706,0.823529411764706,2.94117647058824,20.7058823529412,76.5588235294118,9.23529411764706,25.5882352941176,105.647058823529,4.17647058823529,0.647058823529412,4.88235294117647,18.2352941176471,57.8823529411765,38.4117647058824,19.4705882352941,2.29411764705882,13.0588235294118,0.588235294117647,0,0.588235294117647,0.411764705882353,0,4.05882352941176,0,6.64705882352941,1.82352941176471,2.11764705882353,86.4625,36.8235294117647,1.17647058823529,1.23529411764706,95.4545454545455,1.41176470588235,33.8823529411765,27.3272727272727,0,19.5882352941176,2.35294117647059,15,7.1,0,10.2352941176471,5.29411764705882,237.176470588235,44.6882352941176,16.7647058823529,4,13.3529411764706,29.5117647058824,0.647058823529412,1.17647058823529,21.5647058823529,7,59.5294117647059,282.529411764706,-0.176470588235294,0.411764705882353
2019-12-15,"KC",19.5555555555556,32.0555555555556,61.2944444444444,183.777777777778,5.85,10.55,0.944444444444444,0.833333333333333,2.83333333333333,20,79.8611111111111,9.5,25.6666666666667,104.777777777778,4.12777777777778,0.666666666666667,4.88888888888889,18.5555555555556,58.5555555555556,38.3333333333333,20.2222222222222,2.33333333333333,13,0.666666666666667,0,0.611111111111111,0.444444444444444,0.0555555555555556,4.33333333333333,0,6.72222222222222,1.77777777777778,2.05555555555556,87.2588235294118,36.7777777777778,1.38888888888889,1.44444444444444,95.8333333333333,1.38888888888889,33.8333333333333,27.8,0,20.3333333333333,2.27777777777778,14.2777777777778,6.73571428571429,0,9.77777777777778,5.11111111111111,228.777777777778,44.5944444444444,17.0555555555556,4.05555555555556,13.0555555555556,31.3444444444444,0.611111111111111,1.11111111111111,20.3666666666667,7,59,288.555555555556,-0.0555555555555556,0.388888888888889
2019-12-22,"DET",19.4736842105263,32.4736842105263,60.4368421052632,184.578947368421,5.80526315789474,10.6052631578947,0.894736842105263,0.842105263157895,2.78947368421053,19.4210526315789,78.3315789473684,9.52631578947368,25.1052631578947,102,4.09473684210526,0.631578947368421,4.78947368421053,18.7894736842105,58.8421052631579,38.4736842105263,20.3684210526316,2.36842105263158,13,0.684210526315789,0,0.578947368421053,0.421052631578947,0.0526315789473684,4.36842105263158,0,6.52631578947368,1.73684210526316,2,87.9666666666667,36.5263157894737,1.31578947368421,1.36842105263158,95.8333333333333,1.42105263157895,34.6842105263158,27.5846153846154,0,20.6842105263158,2.21052631578947,13.9473684210526,6.82,0,9.68421052631579,5.05263157894737,225.736842105263,44.5,16.9473684210526,4.10526315789474,13.1052631578947,31.5736842105263,0.631578947368421,1.21052631578947,21.0473684210526,7,59.6842105263158,286.578947368421,-0.0526315789473684,0.368421052631579
2019-12-29,"OAK",19.8,32.55,61.24,185.25,5.805,10.455,0.9,0.8,2.65,18.45,79.41,9.7,25.5,104.4,4.115,0.7,4.95,18.7,58.3,37.85,20.45,2.45,13.45,0.65,0,0.55,0.4,0.05,4.35,0,6.65,1.75,2,88.6,36.4,1.4,1.45,96.1538461538462,1.4,35.3,28.9714285714286,0,22,2.2,14.35,7.08125,0,9.9,5,223.9,44.64,17.35,4.15,13.05,32.08,0.65,1.2,24.995,6.95,59.2,289.65,-0.05,0.35
