"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2019-08-10,"CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-17,"PIT",23,38,60.5,285,7.5,12.7,3,1,1,6,99.8,14,24,115,4.8,2,7,17,48,32,16,3,15,2,0,0,2,0,9,0,8,1,1,100,35,5,5,100,4,151,37.8,0,50,3,17,5.7,0,11,4,172,43,23,6,12,50,0,0,0,11,91,400,3,0
2019-08-24,"SF",22.5,40.5,55.85,245.5,6.15,11.4,2,0.5,2,11.5,86.95,12,22.5,112,5,1,7,17,54.5,38,16.5,2,10,1.5,0,1,1.5,0,7,0,4.5,0.5,1,50,17.5,3,3,100,4,110.5,27.65,0,36,3,11,3.7,0,13.5,5,220,43.85,20,6,13.5,45,1,1,50,9,67.5,357.5,1,1.5
2019-08-29,"GB",21,36.3333333333333,58.6666666666667,225.333333333333,6.3,11.2666666666667,1.66666666666667,0.333333333333333,2.33333333333333,12,90.3,11,20,95.6666666666667,4.73333333333333,1,5.66666666666667,20.3333333333333,57.6666666666667,39,18.6666666666667,2,11.6666666666667,1,0,0.666666666666667,1,0,6,0,4.66666666666667,0.666666666666667,1,66.6666666666667,20,2.66666666666667,2.66666666666667,100,4.33333333333333,107.333333333333,25.1666666666667,0,33.3333333333333,2.33333333333333,8,3.13333333333333,0,9.66666666666667,5,233,46.5,17.3333333333333,5.33333333333333,12.6666666666667,42.1333333333333,1,1,66.6666666666667,8,65.3333333333333,321,0.666666666666667,1
2019-09-08,"JAC",22,37,60.025,218.5,6,10.5,1.75,0.5,2.5,10.75,88.675,10.5,21.25,95.75,4.5,0.75,6.25,22,54.25,37.75,16.5,2.25,12.5,1,0,0.75,1,0,5.25,0,5.5,1,1.25,75,25.75,2.5,2.5,100,4.25,112.5,26.875,0,36.25,2.5,10.5,3.85,0,9.5,4.75,214.25,44.75,18,5.5,13,42.325,1.25,1.25,75,9.5,83.25,314.25,0.5,1
2019-09-15,"OAK",22.6,36.4,62.72,250.4,7.02,11.42,2,0.4,2,8.6,98.76,11,22.2,99.2,4.46,0.8,6.8,22.8,53.6,36.6,17,2,10.6,1,0,0.8,1,0,4.8,0,7.6,1.6,1.8,80,29.8,2.8,2.8,100,3.8,99,26,0,34.4,2.2,8.4,3.08,0,7.6,4,181.6,46,19.2,5.4,12.4,43.86,1,1,60,8.6,77.6,349.6,0.8,0.8
2019-09-22,"BAL",23.8333333333333,37.6666666666667,63.6333333333333,281.333333333333,7.5,11.9833333333333,2.33333333333333,0.333333333333333,2,8.33333333333333,104.166666666667,12.1666666666667,22.1666666666667,87.8333333333333,3.95,0.666666666666667,6,20.6666666666667,53.6666666666667,37.1666666666667,16.5,2.16666666666667,12.1666666666667,1.16666666666667,0,1.16666666666667,0.833333333333333,0,5,0,7,1.33333333333333,1.5,80,24.8333333333333,3,3,100,3.5,88.6666666666667,24.75,0,31.8333333333333,2.83333333333333,15,3.9,0,9.66666666666667,4.16666666666667,184,44.8666666666667,20,5.83333333333333,12.6666666666667,46.0666666666667,0.833333333333333,0.833333333333333,50,8.83333333333333,83.6666666666667,369.166666666667,0.833333333333333,0.833333333333333
2019-09-29,"DET",24.2857142857143,37.5714285714286,64.9714285714286,293,7.82857142857143,12.2571428571429,2.42857142857143,0.285714285714286,1.85714285714286,8.71428571428571,108.142857142857,12.4285714285714,22.5714285714286,95.2857142857143,4.18571428571429,0.714285714285714,6.42857142857143,21.7142857142857,54.7142857142857,38.2857142857143,16.4285714285714,2.28571428571429,13,1,0,1,0.714285714285714,0,5,0,7.28571428571429,1.42857142857143,1.57142857142857,83.3333333333333,27.2857142857143,3,3.14285714285714,96.4285714285714,3,76,24.75,0,27.2857142857143,2.57142857142857,14.1428571428571,4.62857142857143,0,9.57142857142857,3.85714285714286,170.285714285714,44.7428571428571,21,5.71428571428571,12.1428571428571,47.4285714285714,0.714285714285714,0.857142857142857,42.8571428571429,8.14285714285714,76.1428571428571,388.285714285714,0.714285714285714,0.714285714285714
2019-10-06,"IND",24.25,38.125,63.9875,295.75,7.7875,12.3625,2.125,0.25,1.625,7.625,104.75,12.875,22.875,98.75,4.275,1,6.625,22.75,56,39.625,16.375,2.5,15.125,0.875,0,1.125,0.875,0.125,5.375,0,7.625,1.5,1.75,80.9571428571429,29.375,3.125,3.25,96.875,3.375,84.25,24.6,0,27.5,2.5,12.75,4.2375,0,9.5,3.625,160.375,44.8375,22,5.5,11.75,47.05,0.75,0.875,50,8,73,394.5,0.5,1
2019-10-13,"HOU",24,38.2222222222222,63.1444444444444,294.888888888889,7.74444444444444,12.6111111111111,2,0.222222222222222,1.88888888888889,10.4444444444444,103.322222222222,12.7777777777778,21.8888888888889,91.7777777777778,4.08888888888889,0.888888888888889,6.22222222222222,22.3333333333333,57.6666666666667,40.2222222222222,17.4444444444444,2.22222222222222,13.4444444444444,0.888888888888889,0,1,0.777777777777778,0.111111111111111,5,0,7.55555555555556,1.55555555555556,1.77777777777778,83.3375,30.1111111111111,2.88888888888889,3,97.2222222222222,3.11111111111111,77.3333333333333,24.275,0,26.8888888888889,2.44444444444444,11.4444444444444,3.82222222222222,0,8.66666666666667,3.66666666666667,159.777777777778,44.1666666666667,21.5555555555556,5.33333333333333,11.7777777777778,45.5222222222222,0.777777777777778,1,50,8.33333333333333,78.7777777777778,386.666666666667,0.444444444444444,1
