"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2019-08-10,"LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-15,"ARI",26,37,70.3,258,7,10.2,1,2,2,8,77.1,15,31,149,4.8,1,6,3,47,31,16,1,5,0,0,0,0,0,3,0,2,0,0,NA,0,2,2,100,0,0,NA,0,0,7,26,3.7,0,8,7,299,42.7,21,6,14,42.9,1,1,100,11,127,407,-2,0,NA
2019-08-29,"SEA",23.5,30.5,78.9,254,8.7,11.2,2,1,1.5,7,113.9,14,35.5,136,3.95,1,6.5,14.5,45,35.5,9.5,2,10.5,0,0,0,0,0,3.5,0.5,4.5,0.5,0.5,100,12.5,3,3,100,1.5,23.5,15.7,0,9.5,5,18.5,3.7,0,8,6,273,46.05,21.5,6,13,46.45,0.5,0.5,50,9.5,98,390,-1,0,NA
2019-09-09,"DEN",25.3333333333333,33.6666666666667,76.7666666666667,240.666666666667,7.56666666666667,10.1666666666667,1.33333333333333,0.666666666666667,2,12,104.966666666667,12.6666666666667,35,128.666666666667,3.76666666666667,1,6.33333333333333,15.3333333333333,44.3333333333333,31.6666666666667,12.6666666666667,2.33333333333333,17.3333333333333,0,0,0,0,0,3,0.333333333333333,6,1.33333333333333,1.66666666666667,87.5,22.6666666666667,2,2,100,1,15.6666666666667,15.7,0,6.33333333333333,4.33333333333333,16.3333333333333,3.8,0,7.66666666666667,5.66666666666667,263,46.9,21.3333333333333,5.66666666666667,15,39.7333333333333,1.33333333333333,1.66666666666667,58.3333333333333,8,77.6666666666667,369.333333333333,-1,0.333333333333333,NA
2019-09-15,"KC",24.5,31.75,78.725,245.25,8.175,10.575,1.25,0.5,1.5,9,108.975,12.25,33.25,121,3.7,1.25,6.75,15.5,49,32.25,16.75,2.5,17.75,0,0,0.25,0,0,3,0.25,6,1.25,1.5,91.6666666666667,24.25,2.25,2.25,100,1.25,37,33.1,0,22.75,3.5,14.5,5.1,0,8,5,230.75,46.35,20.75,6.75,14.75,47.65,1,1.25,43.75,8.25,73.75,366.25,-0.75,0.25,24
2019-09-22,"MIN",24.2,33,75.08,231.8,7.48,10.18,1.2,0.8,1.8,11.2,99.4,12.2,30.4,122.6,4.32,1,6.4,18,50.6,35.2,15.4,2.4,15.6,0,0,0.4,0.2,0,2.8,0.2,5.6,1.2,1.4,93.75,25.2,2,2,100,1.2,35.6,32.0666666666667,0,24.2,3.2,13.6,5.08,0,8.6,5.2,237.4,45.88,20.4,6.6,14.6,46.7,1,1.2,55,8,69.4,354.4,-0.8,0.2,17
2019-09-29,"IND",24.6666666666667,33.1666666666667,75.8,228.833333333333,7.28333333333333,9.98333333333333,1.33333333333333,0.833333333333333,2.16666666666667,14,100.116666666667,12.5,28.6666666666667,116.833333333333,4.33333333333333,0.833333333333333,5.83333333333333,20.6666666666667,52.1666666666667,35.6666666666667,16.5,2,13,0,0,0.333333333333333,0.166666666666667,0,2.66666666666667,0.166666666666667,5,1,1.33333333333333,75,21,2,2,100,1,29.6666666666667,32.0666666666667,0,20.1666666666667,3,11.3333333333333,4.23333333333333,0,7.16666666666667,5,234,47.2833333333333,19.8333333333333,6,14,43.4666666666667,1.16666666666667,1.5,56.95,7.83333333333333,71.8333333333333,345.666666666667,-0.833333333333333,0.166666666666667,16
2019-10-06,"CHI",24.1428571428571,32.8571428571429,74.6428571428571,223.142857142857,7.11428571428571,9.84285714285714,1.42857142857143,0.714285714285714,2,12,100.871428571429,12.2857142857143,29.1428571428571,127,4.55714285714286,0.857142857142857,6.42857142857143,21.1428571428571,51.7142857142857,36.5714285714286,15.1428571428571,1.71428571428571,11.1428571428571,0.142857142857143,0.142857142857143,0.428571428571429,0.285714285714286,0,3.71428571428571,0.142857142857143,5.28571428571429,1,1.28571428571429,79.1666666666667,21.7142857142857,2.28571428571429,2.28571428571429,100,1.14285714285714,30.1428571428571,28.175,0,20.7142857142857,2.85714285714286,10.2857142857143,3.91428571428571,0,6.57142857142857,5,236.714285714286,47.7571428571429,20,5.85714285714286,13.7142857142857,43.2142857142857,1.14285714285714,1.42857142857143,63.1,8.28571428571429,73,350.142857142857,-0.571428571428571,0.285714285714286,19.75
2019-10-20,"GB",24.25,32.75,75.075,223.875,7.125,9.7625,1.25,0.625,1.75,10.5,100.325,12,30.375,132.25,4.525,1.125,7.25,21.125,50.25,36.75,13.5,2,14.375,0.375,0.125,0.375,0.25,0,3.625,0.125,5.375,1,1.25,82.1428571428571,24.125,2.375,2.375,100,1.125,32.875,32.94,0,24.625,2.625,10.625,5.05,0,7.375,4.875,228.375,47.1,20.625,5.875,13.5,44.0625,1.125,1.375,67.7125,8,72.5,356.125,-0.5,0.5,20.6
2019-10-27,"HOU",24.2222222222222,32.5555555555556,75.3333333333333,235.555555555556,7.51111111111111,10.2,1.44444444444444,0.666666666666667,1.55555555555556,9.33333333333333,103.577777777778,12.4444444444444,30.4444444444444,134.777777777778,4.57777777777778,1,7,23.4444444444444,50.1111111111111,36.4444444444444,13.6666666666667,1.88888888888889,13.6666666666667,0.333333333333333,0.111111111111111,0.333333333333333,0.222222222222222,0,3.22222222222222,0.111111111111111,5.44444444444444,1,1.22222222222222,84.375,26.4444444444444,2.44444444444444,2.44444444444444,100,1.22222222222222,34.6666666666667,31.5333333333333,0,25.6666666666667,2.55555555555556,14.6666666666667,7.1,0,10.1111111111111,4.55555555555556,214.777777777778,47.7555555555556,20.6666666666667,6,13.2222222222222,46.2333333333333,1,1.33333333333333,60.1888888888889,8,75.2222222222222,370.333333333333,-0.666666666666667,0.555555555555556,21.1666666666667
