"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2019-08-09,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-18,"SEA",19,27,70.4,247,9.1,13,3,0,0,0,135.9,13,27,210,7.8,1,6,25,60,42,18,2,18,1,1,0,0,0,6,0,4,0,0,NA,0,4,4,100,5,129,25.8,0,35,1,0,0,0,0,2,85,42.5,21,5,7,71.4,0,0,0,13,136,457,0,1,NA
2019-08-24,"ARI",23.5,31,75.2,259.5,8.45,11.35,2.5,0.5,0,0,121.05,15.5,33,173.5,5.65,1,6.5,22,52,35.5,16.5,1.5,11,1,0.5,0.5,0,0,5,0,4.5,0.5,0.5,100,12,3,3,100,5.5,129,23.65,0,35.5,1.5,5.5,2.75,0,5.5,3,130,43.15,24,8,12.5,66.25,0.5,0.5,50,9.5,111.5,433,0,0.5,NA
2019-08-29,"BUF",20.6666666666667,30.3333333333333,67.3666666666667,232.333333333333,7.66666666666667,11.8666666666667,2,0.333333333333333,1,5.33333333333333,108.9,14,31.6666666666667,179,5.96666666666667,1.33333333333333,6.33333333333333,17.6666666666667,52.6666666666667,37.3333333333333,15.3333333333333,1.33333333333333,10.6666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0,0,4.66666666666667,0,3.66666666666667,0.333333333333333,1,50,8,2.66666666666667,2.66666666666667,100,4.33333333333333,106.666666666667,26.1,0,35.6666666666667,2,14.3333333333333,5.4,0,9.33333333333333,4,181.333333333333,44.5333333333333,22,6.33333333333333,12.6666666666667,51.8666666666667,1,1,66.6666666666667,8.33333333333333,91,411.333333333333,0,0.333333333333333,NA
2019-09-08,"ATL",21.5,31.25,68.175,224.25,7.225,11.075,1.75,0.75,1,6.25,99.625,13.75,33.5,168.25,5.35,1.25,7,20,51,36.75,14.25,1.25,11.25,0.5,0.25,0.5,0.25,0,4.75,0,5.5,1,1.75,58.3333333333333,19.5,2.5,2.5,100,3.25,80,26.1,0,26.75,1.75,10.75,4.05,0,7,3.75,165.75,43.325,22.75,6.25,13.25,48.9,1,1,75,7.25,76,392.5,-0.25,0.25,NA
2019-09-15,"GB",18.8,27,70.54,198.8,7.72,11.32,1.6,0.6,1,5.2,107.86,11.8,34.4,169,5.18,1.6,7.6,18.4,52.6,39.2,13.4,1.8,15.4,0.8,0.2,0.6,0.4,0,5.4,0,5.2,0.8,1.4,58.3333333333333,15.6,2.8,2.8,100,2.8,66.6,22.825,0,24,1.4,8.6,4.05,0,5.6,4,182,44.54,21.8,6,12.6,49.12,0.8,0.8,60,8,80.8,367.8,0.4,0.2,28
2019-09-22,"OAK",18,27.8333333333333,66.0833333333333,202.833333333333,7.6,12.1666666666667,1.5,0.833333333333333,1,5.5,98.7,10.8333333333333,33.1666666666667,173.833333333333,5.53333333333333,1.5,7.66666666666667,18.8333333333333,54.1666666666667,40.1666666666667,14,1.83333333333333,15.8333333333333,0.666666666666667,0.166666666666667,0.666666666666667,0.666666666666667,0,5.16666666666667,0,5,0.833333333333333,1.5,56.25,18.1666666666667,2.5,2.66666666666667,91.6666666666667,2.33333333333333,55.5,22.825,0,20,1.83333333333333,11.3333333333333,4.5,0,7.16666666666667,4.33333333333333,195.666666666667,44.45,20.6666666666667,5.66666666666667,12.6666666666667,46.0666666666667,0.666666666666667,0.666666666666667,50,8,84,376.666666666667,0,0.5,22
2019-09-29,"CHI",17.5714285714286,26.8571428571429,66.8428571428571,198.714285714286,7.7,12.0857142857143,1.42857142857143,0.714285714285714,0.857142857142857,4.71428571428571,100.6,10.4285714285714,33.8571428571429,179.142857142857,5.54285714285714,1.71428571428571,8,18.1428571428571,54.2857142857143,40.5714285714286,13.7142857142857,2.14285714285714,17.5714285714286,0.714285714285714,0.142857142857143,0.571428571428571,0.571428571428571,0,4.57142857142857,0,5.71428571428571,1,1.57142857142857,65,22.7142857142857,2.71428571428571,2.85714285714286,92.8571428571429,2.14285714285714,51.1428571428571,23.26,0,20.7142857142857,2,12.7142857142857,4.91666666666667,0,8,4,181.285714285714,44.8857142857143,21,5.57142857142857,12.1428571428571,47.4285714285714,0.571428571428571,0.571428571428571,42.8571428571429,7.71428571428571,80.4285714285714,377.857142857143,0.142857142857143,0.428571428571429,26
2019-10-06,"NYG",18.75,28,67.8625,196.625,7.375,11.65,1.25,0.625,1.5,10.5,99.475,10.25,31.625,161.75,5.1625,1.625,7.375,17.875,55.125,41.875,13.25,2,16.25,0.625,0.125,0.5,0.5,0,4.375,0,5,0.875,1.375,65,19.875,2.375,2.5,92.8571428571429,1.875,44.75,23.26,0,18.125,2.25,12.625,4.64285714285714,0,8.125,4.125,188,45.15,20.25,5.5,12.25,46.3125,0.625,0.75,43.75,7.625,77.25,358.375,-0.125,0.625,21
2019-10-13,"PHI",19.1111111111111,27.8888888888889,69.3777777777778,205.777777777778,7.7,11.9,1.33333333333333,0.555555555555556,1.66666666666667,12.3333333333333,103.822222222222,10.6666666666667,31.8888888888889,167.222222222222,5.27777777777778,1.44444444444444,7.22222222222222,17,54.7777777777778,41.2222222222222,13.5555555555556,2.22222222222222,18.3333333333333,0.666666666666667,0.111111111111111,0.444444444444444,0.444444444444444,0,5.11111111111111,0.111111111111111,6,1.22222222222222,1.66666666666667,70.8333333333333,23,2.33333333333333,2.44444444444444,93.75,1.88888888888889,44.4444444444444,22.8833333333333,0,19.7777777777778,2.11111111111111,12.8888888888889,5.9375,0,8.88888888888889,3.77777777777778,173.444444444444,46.4666666666667,20.4444444444444,5.44444444444444,12.1111111111111,46.2222222222222,0.666666666666667,0.777777777777778,50,8.11111111111111,81.1111111111111,373,-0.111111111111111,0.666666666666667,22.4
