"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2019-08-09,"MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-18,"LAC",22,33,66.7,196,5.9,9.7,2,1,2,18,92.2,12,29,141,4.9,0,9,34,45,33,12,0,0,0,0,0,1,0,3,0,13,4,4,100,52,1,1,100,6,174,29,0,40,1,0,0,0,0,2,91,45.5,27,6,12,50,0,0,0,8,73,337,0,0,NA
2019-08-24,"NYJ",19,30,63,178.5,5.95,10.35,2,1,2,16.5,90.05,11,31,152,4.9,0,9,25.5,52.5,32.5,20,0.5,2,1,0,0,0.5,0,5,0,10,3,3,100,42.5,1,1,100,4.5,123,26.5,0,34.5,3,27.5,5.5,0,13,3.5,168.5,47.35,23,4,11,35,0,0.5,0,8,81,330.5,-0.5,1,NA
2019-08-29,"MIA",21.6666666666667,35,62,227.333333333333,6.36666666666667,11.0666666666667,1.66666666666667,0.666666666666667,2,15.3333333333333,90.3,12.3333333333333,29,128,4.33333333333333,0,7,21.3333333333333,52.6666666666667,33.3333333333333,19.3333333333333,1,5,0.666666666666667,0,0.333333333333333,0.666666666666667,0,4,0.333333333333333,11.3333333333333,3.33333333333333,3.66666666666667,93.3333333333333,41.6666666666667,1.33333333333333,1.33333333333333,100,4.33333333333333,105,23.4333333333333,0,32.3333333333333,3.66666666666667,49.3333333333333,9.86666666666667,0.333333333333333,34.6666666666667,4.33333333333333,213.666666666667,48.4666666666667,22.6666666666667,5.33333333333333,13.6666666666667,37.3666666666667,0,0.333333333333333,0,10.6666666666667,101.333333333333,355.333333333333,0,0.666666666666667,NA
2019-09-09,"HOU",21.75,33.75,64.825,215.75,6.275,10.375,1.5,0.5,2,12,92.65,11.5,27.5,127,4.6,0.25,7.25,20,55.5,34.75,20.75,1,4,0.5,0,0.25,0.5,0,3.75,0.25,8.75,2.5,2.75,93.3333333333333,31.25,1.25,1.25,100,4,95.75,23.25,0,30.75,3,38.25,8.65,0.25,27.25,4.25,209.25,48.6,21.25,5.5,13,41.65,0,0.5,0,9,84.75,342.75,0,0.5,NA
2019-09-15,"LA",23.8,35.6,66.74,245,6.7,10.62,1.6,0.6,1.8,11.2,95.28,13,26.2,131.2,5.08,0.4,7,21.6,54.6,35.6,19,2,10,0.6,0,0.2,0.4,0,3.4,0.2,9.4,2.6,3,88.75,36.6,1.6,1.6,100,3.6,83.8,22.2,0,28.8,3,34.6,8.26,0.2,24.8,3.8,185,47.68,22,5.8,12.6,46.04,0,0.4,0,8.6,77.4,376.2,0,0.4,30
2019-09-22,"SEA",23.1666666666667,35.5,65.1333333333333,235.333333333333,6.46666666666667,10.5333333333333,1.33333333333333,0.666666666666667,1.83333333333333,12,89.7333333333333,12.6666666666667,25.1666666666667,118.833333333333,4.7,0.333333333333333,6.16666666666667,22.5,54.8333333333333,36.1666666666667,18.6666666666667,2.16666666666667,11.3333333333333,0.5,0,0.333333333333333,0.5,0,2.83333333333333,0.166666666666667,9.33333333333333,2.66666666666667,3,91,39.1666666666667,1.33333333333333,1.33333333333333,100,3,69.8333333333333,22.2,0,24,3,34.5,8.76666666666667,0.166666666666667,23.8333333333333,4,194.833333333333,47.8666666666667,20.8333333333333,5.5,12.6666666666667,43.5,0,0.5,0,9,79,354.166666666667,0,0.333333333333333,19.5
2019-09-29,"DAL",22.5714285714286,34.2857142857143,65.8857142857143,227,6.48571428571429,10.3571428571429,1.42857142857143,0.571428571428571,1.57142857142857,10.2857142857143,93.0142857142857,12.1428571428571,24.8571428571429,114.428571428571,4.57142857142857,0.428571428571429,5.85714285714286,23.1428571428571,56.7142857142857,37.2857142857143,19.4285714285714,1.85714285714286,9.71428571428571,0.428571428571429,0,0.428571428571429,0.571428571428571,0.142857142857143,2.85714285714286,0.142857142857143,8.42857142857143,2.28571428571429,2.57142857142857,91,33.5714285714286,1.57142857142857,1.71428571428571,95.8333333333333,3,68.4285714285714,21.8333333333333,0,25.1428571428571,3,37.1428571428571,10.0428571428571,0.285714285714286,28,4.28571428571429,213.285714285714,48.7428571428571,20,5.14285714285714,12.4285714285714,41.1857142857143,0.142857142857143,0.571428571428571,14.2857142857143,9.28571428571429,77.7142857142857,341.428571428571,0,0.428571428571429,24
2019-10-06,"TB",22.625,33.75,67.2375,217.25,6.3,10.1125,1.25,0.625,2,14.5,91.25,11.375,25.125,114.75,4.5375,0.375,6.375,21.5,56,36.75,19.25,1.75,9.875,0.5,0,0.625,0.75,0.125,3,0.125,8.875,2.5,2.75,92.5,34.625,1.375,1.5,95.8333333333333,2.75,63.5,22.8571428571429,0,25.625,2.75,35.375,11.6625,0.25,27.375,4.25,208.375,48.0875,19.75,5.25,12.625,41.4,0.125,0.5,12.5,9.25,78,332,0.25,0.375,21
2019-10-13,"JAC",23.2222222222222,34,68.4111111111111,231.444444444444,6.66666666666667,10.3555555555556,1.55555555555556,0.666666666666667,1.77777777777778,12.8888888888889,95.7888888888889,12.1111111111111,25.7777777777778,114.444444444444,4.43333333333333,0.333333333333333,6.22222222222222,21.7777777777778,54.7777777777778,36.7777777777778,18,2.22222222222222,13.8888888888889,0.444444444444444,0,0.666666666666667,0.666666666666667,0.111111111111111,3.22222222222222,0.111111111111111,8.66666666666667,2.33333333333333,2.55555555555556,93.5714285714286,34,1.66666666666667,1.77777777777778,96.4285714285714,2.44444444444444,56.4444444444444,22.8571428571429,0,22.7777777777778,2.77777777777778,32.3333333333333,10.6666666666667,0.222222222222222,24.8888888888889,4.11111111111111,197.777777777778,46.9333333333333,20.3333333333333,5.55555555555556,12.8888888888889,42.7222222222222,0.222222222222222,0.666666666666667,16.6666666666667,8.88888888888889,73.7777777777778,345.888888888889,0.111111111111111,0.333333333333333,23
