"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2019-08-08,"NYJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-16,"CHI",29,37,78.4,374,10.1,13,3,0,1,2,136,15,18,40,2.2,0,2,22,68,44,24,2,8,2,1,1,0,0,6,0,7,1,1,100,23,4,4,100,2,64,32,0,40,3,6,2,0,6,5,211,42.2,17,8,14,57.1,0,0,0,11,115,414,1,1
2019-08-22,"CIN",25,33.5,74.2,312,9.2,12.95,3,0.5,1.5,11,126.7,12,26.5,100.5,3.4,0.5,7,17.5,59,37.5,21.5,2.5,16.5,1,0.5,1.5,1,0,4,0.5,6.5,1,1,100,35,3.5,3.5,100,2.5,78,31.35,0,41.5,3.5,26,6.75,0,13,4,166,41.25,20.5,6.5,12.5,51.3,0,0.5,0,8.5,85,412.5,0,1.5
2019-08-29,"NE",23,33,69.2666666666667,297,8.9,13.6,2,0.333333333333333,2,13,113.966666666667,12,26.3333333333333,85.6666666666667,3,1,6.66666666666667,19.3333333333333,60,37.3333333333333,22.6666666666667,3.33333333333333,20.3333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667,0,5.33333333333333,0.333333333333333,6,1,1,100,37,3,3,100,2.66666666666667,75.6666666666667,28.8,0,37.6666666666667,3.66666666666667,43,10.9333333333333,0.333333333333333,31.3333333333333,4,167.666666666667,41.7666666666667,19.6666666666667,6,12.6666666666667,47.0333333333333,0.333333333333333,1,16.6666666666667,7.33333333333333,68.3333333333333,382.666666666667,-0.333333333333333,1.33333333333333
2019-09-08,"DAL",24.75,38.75,65.35,305.5,8.15,13.1,2.25,0.75,2.25,13.75,104.35,13,25.25,87.5,3.3,1,6.25,21.75,57.75,37.75,20,3.25,21,0.75,0.25,0.75,0.75,0,5,0.25,6.25,1.25,1.25,100,35.75,2.5,2.5,100,2,56.75,28.8,0,28.25,3.5,41,11.125,0.25,30.5,3.75,155.75,41.325,20.25,7,14.5,47.775,0.75,1.75,25,7.75,76,393,-0.25,1
2019-09-15,"BUF",26.4,40.6,66.04,308.2,7.84,12.44,2,0.6,2,11.8,102.36,13.6,23.6,100.2,4.42,1,6.6,24.4,57.4,37.8,19.6,2.6,16.8,0.6,0.2,0.6,0.6,0,4.6,0.2,6,1.2,1.2,100,34.2,2.4,2.4,100,2,54.6,27.35,0,28.2,3.2,34.2,9.6,0.2,25.4,3.8,157.8,41.36,21.2,6,13.8,41.86,0.8,2,26.66,7.8,74.8,408.4,-0.6,1.2
2019-09-22,"TB",26.3333333333333,41.3333333333333,64.6666666666667,297,7.43333333333333,11.9666666666667,1.83333333333333,0.833333333333333,1.83333333333333,11.3333333333333,95.6833333333333,13.6666666666667,23,105,4.75,1,6.66666666666667,25,59,38,21,2.66666666666667,16.6666666666667,0.5,0.166666666666667,0.5,0.5,0,4,0.166666666666667,5.33333333333333,1,1.16666666666667,83.3333333333333,28.5,2.33333333333333,2.33333333333333,100,2,52.1666666666667,25.88,0,27.3333333333333,3.16666666666667,41,12.1666666666667,0.166666666666667,31.1666666666667,4,171.833333333333,42.5333333333333,21.1666666666667,5.5,13.5,39.05,0.833333333333333,2,30.55,7.66666666666667,69,402,-0.833333333333333,1
2019-09-29,"WAS",25.8571428571429,40.5714285714286,64.5571428571428,299.142857142857,7.61428571428571,12.3428571428571,1.85714285714286,0.714285714285714,2.28571428571429,13.1428571428571,98.1142857142857,13.2857142857143,22.4285714285714,100.285714285714,4.61428571428571,1.14285714285714,6.42857142857143,25.8571428571429,60.4285714285714,38.7142857142857,21.7142857142857,2.85714285714286,17.8571428571429,0.571428571428571,0.142857142857143,0.428571428571429,0.428571428571429,0,4,0.142857142857143,5.42857142857143,1,1.14285714285714,85.7142857142857,29.5714285714286,2.42857142857143,2.42857142857143,100,1.85714285714286,47.8571428571429,25.2333333333333,0,26.5714285714286,2.85714285714286,37,12.2857142857143,0.142857142857143,28.5714285714286,4.14285714285714,182.142857142857,43.4285714285714,20.5714285714286,5.57142857142857,13.4285714285714,40.0714285714286,0.857142857142857,1.85714285714286,40.4714285714286,7.42857142857143,67.5714285714286,399.428571428571,-0.857142857142857,1.14285714285714
2019-10-06,"MIN",25.5,39.375,65.7625,289.875,7.575,12.025,1.75,0.875,2,11.5,95.6,13.25,24.25,108.25,4.5875,1.125,6.5,23,59.25,36.375,22.875,2.875,18.5,1,0.25,0.375,0.375,0,4.5,0.125,5.5,1,1.125,87.5,29.625,2.5,2.5,100,1.625,41.875,25.2333333333333,0,23.25,3,33.375,11,0.125,25.5,4,180,44.875,21,5.875,13.375,42.75,0.875,1.75,47.9125,7.125,64.75,398.125,-0.75,1.25
2019-10-10,"NE",25,39.2222222222222,64.6,274,7.16666666666667,11.6555555555556,1.66666666666667,0.888888888888889,2.22222222222222,14.1111111111111,92.3,12.6666666666667,23.7777777777778,103.333333333333,4.43333333333333,1,6.33333333333333,23.5555555555556,60.5555555555556,37,23.5555555555556,2.88888888888889,19.4444444444444,0.888888888888889,0.222222222222222,0.555555555555556,0.444444444444444,0,4.22222222222222,0.111111111111111,5.33333333333333,1,1.11111111111111,88.8888888888889,29.8888888888889,2.33333333333333,2.33333333333333,100,1.66666666666667,45.6666666666667,27.0571428571429,0,26.4444444444444,2.77777777777778,31.5555555555556,11.6666666666667,0.111111111111111,24.5555555555556,3.88888888888889,174.888888888889,44.8555555555556,20.6666666666667,6.11111111111111,13.6666666666667,43.5555555555556,0.777777777777778,1.88888888888889,42.5888888888889,6.88888888888889,62.5555555555556,377.333333333333,-0.666666666666667,1.11111111111111
