"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2019-08-10,"ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-16,"WAS",21,27,77.8,178,6.6,8.8,2,0,1,7,119.9,10,32,75,2.3,0,3,0,54,40,14,3,10,1,0,2,0,0,4,0,5,1,1,100,0,2,2,100,1,26,26,0,26,4,20,5,0,10,6,264,44,15,7,16,43.8,1,2,50,8,65,253,0,1
2019-08-24,"NYG",19.5,26.5,73.5,174,6.55,9.65,1.5,1,2.5,13,95.35,10.5,27,69.5,2.6,0,3,7.5,57.5,42.5,15,2.5,5.5,1,0,1,0,0,4.5,0,6,1.5,1.5,100,0,1.5,1.5,100,1.5,33.5,23.25,0,23.5,3.5,19.5,5.65,0,10,5,244,50,14.5,6,14,42.75,0.5,1.5,25,7,67.5,243.5,0,0.5
2019-08-30,"PHI",19.3333333333333,28,69.4333333333333,174,6.23333333333333,9.76666666666667,1.33333333333333,0.666666666666667,2.33333333333333,14,93.3666666666667,10.3333333333333,25,68.3333333333333,2.76666666666667,0.333333333333333,3.33333333333333,12.3333333333333,60.3333333333333,41.6666666666667,18.6666666666667,2,5.33333333333333,0.666666666666667,0,1,0.333333333333333,0,4,0,5.33333333333333,1.33333333333333,1.33333333333333,100,0,1.33333333333333,1.66666666666667,83.3333333333333,2,46,23.4,0,26.3333333333333,2.33333333333333,13,5.65,0,6.66666666666667,5.66666666666667,291,51.6666666666667,15.3333333333333,5.66666666666667,14,40.4,0.333333333333333,1,16.6666666666667,9,81,242.333333333333,0,0.666666666666667
2019-09-10,"DET",17.25,28,61.9,157.5,5.65,9.95,1,0.75,2.5,12.25,79.3,9,25.5,70.75,2.8,0.25,3.25,11.75,60.5,42.25,18.25,2.25,10,1.25,0,1,0.5,0,4.25,0,6.25,1.75,1.75,100,0,1,1.25,83.3333333333333,1.75,40.75,23.8,0,26,2.25,24.25,13.4333333333333,0,12.75,5.75,283.5,49.625,14.25,4.75,13.75,34.15,0.25,1,12.5,8.75,76.25,228.25,0,0.75
2019-09-16,"MIA",17,26.6,64.76,162,6.24,10.44,1.2,0.8,2.4,13.4,86.8,9.2,27.6,90.4,3.18,0.6,4,12.8,57.6,41.4,16.2,1.8,8,2,0.2,0.8,0.4,0,5.8,0,7.4,1.8,1.8,100,0,2,2.2,87.5,1.8,41.6,23.54,0,25.4,2.4,46.8,21.5,0.2,25.8,5.2,249.2,47.16,15,5,13.8,35.9,0.6,1.4,23.34,8.4,70.8,252.4,0,0.8
2019-09-20,"CLE",18.3333333333333,29,64.1333333333333,188.333333333333,6.5,10.9333333333333,1.16666666666667,1,2.5,13.5,84.7666666666667,10.5,26.1666666666667,82.3333333333333,3.01666666666667,0.5,3.83333333333333,14,56.3333333333333,40.5,15.8333333333333,2.16666666666667,14.3333333333333,1.66666666666667,0.166666666666667,1,0.666666666666667,0,4.83333333333333,0,7.16666666666667,1.83333333333333,1.83333333333333,100,0,1.66666666666667,2,70,1.5,34.6666666666667,23.54,0,21.1666666666667,2.16666666666667,39.6666666666667,18,0.166666666666667,22.1666666666667,5.16666666666667,251.5,48.0666666666667,16,4.66666666666667,13.1666666666667,34.9166666666667,0.5,1.16666666666667,19.45,8.16666666666667,67.3333333333333,270.666666666667,0,0.833333333333333
2019-09-30,"JAC",17.8571428571429,29.2857142857143,61.8857142857143,184.428571428571,6.31428571428571,10.9857142857143,1,1.14285714285714,2.42857142857143,12.7142857142857,78.1142857142857,10.2857142857143,26.7142857142857,85.8571428571429,3.1,0.714285714285714,4,15,57.5714285714286,40.2857142857143,17.2857142857143,2.42857142857143,16.5714285714286,1.42857142857143,0.142857142857143,1.14285714285714,0.571428571428571,0,4.71428571428571,0,6.85714285714286,1.71428571428571,1.71428571428571,100,0,1.71428571428571,2,75,1.42857142857143,32.8571428571429,23.2833333333333,0,21.2857142857143,2.14285714285714,35.7142857142857,16,0.142857142857143,20.7142857142857,5.42857142857143,264.714285714286,48.2142857142857,15.7142857142857,4.85714285714286,13.4285714285714,35.6428571428571,0.571428571428571,1.14285714285714,30.9571428571429,7.85714285714286,65.5714285714286,270.285714285714,0,0.857142857142857
2019-10-07,"DEN",17.75,29.875,60.4,179.375,6.05,10.8375,1,1,2.5,14,77.6,9.75,25.125,79.375,3.0125,0.625,3.75,17,58.5,41.875,16.625,2.375,15.875,1.375,0.125,1.25,0.75,0,4.75,0,6.75,1.75,1.75,100,0,1.5,1.75,75,1.625,33.75,21.8571428571429,0,20.75,2,32.125,14.7142857142857,0.125,19,5.625,274.75,48.35,15,4.625,13.375,34.075,0.5,1.125,27.0875,7.625,62.75,258.75,0,0.75
2019-10-14,"IND",16.8888888888889,29,58.7444444444444,180.444444444444,6.33333333333333,11.8333333333333,1.22222222222222,1,2.33333333333333,13.4444444444444,79.8777777777778,9.44444444444444,26.5555555555556,106.444444444444,3.62222222222222,0.666666666666667,4.55555555555556,16.8888888888889,58.8888888888889,42.7777777777778,16.1111111111111,2.55555555555556,17.7777777777778,1.33333333333333,0.111111111111111,1.33333333333333,0.666666666666667,0,4.88888888888889,0,7.11111111111111,1.77777777777778,1.88888888888889,96.3,0,1.77777777777778,2,78.5714285714286,1.66666666666667,33.3333333333333,21,0,20.8888888888889,2.22222222222222,36.4444444444444,15.1,0.111111111111111,22.5555555555556,5.33333333333333,259.111111111111,47.9444444444444,15.3333333333333,4.77777777777778,13.3333333333333,35.4222222222222,0.444444444444444,1,24.0777777777778,7.22222222222222,59.4444444444444,286.888888888889,0,0.777777777777778
