"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2019-08-08,"DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-18,"MIN",14,24,58.3,150,6.3,11.9,1,0,2,17,93.6,7,34,151,4.4,1,6,14,56,37,19,3,19,1,0,1,0,0,7,1,8,2,3,66.7,55,2,2,100,5,100,20,0,34,3,0,0,0,0,6,272,45.3,18,7,16,43.8,0,0,0,15,131,301,1,0,NA
2019-08-24,"LAC",13,25.5,51.35,147.5,5.85,12.15,0.5,0.5,1.5,10.5,70.15,7,28.5,113.5,3.85,0.5,4.5,19.5,66,45.5,20.5,1.5,9.5,1,0.5,0.5,0,0,4.5,0.5,10.5,3,3.5,83.35,53.5,1.5,1.5,100,4,93.5,24.5,0,37.5,3,19,6.35,0,9.5,4.5,210.5,47.5,15.5,5.5,14,38.55,0,0,0,12,118,261,0.5,0,NA
2019-08-29,"OAK",14.3333333333333,26,55.2333333333333,159,6.13333333333333,11.8333333333333,0.333333333333333,0.333333333333333,1.33333333333333,9.66666666666667,74.7333333333333,7.66666666666667,33,137.333333333333,4.03333333333333,1.33333333333333,7.66666666666667,18,61,42.6666666666667,18.3333333333333,1.33333333333333,10.3333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0,0,3.66666666666667,0.333333333333333,8.66666666666667,2.33333333333333,2.66666666666667,88.9,55,1.66666666666667,2,88.9,3.66666666666667,72.6666666666667,19.7666666666667,0,29,2.33333333333333,12.6666666666667,4.23333333333333,0,6.33333333333333,4,181.666666666667,45.4333333333333,18.3333333333333,5.66666666666667,13.6666666666667,41.1,0.666666666666667,1,22.2333333333333,10.3333333333333,97,296.333333333333,0.333333333333333,0,NA
2019-09-08,"CIN",12,23,50.35,139.25,6.025,14.425,0.75,0.25,1.75,15,82.175,6.75,31.75,136.5,4.225,1,7,17.25,67.75,43,24.75,1.75,13.25,0.5,0.25,0.5,0.25,0,3.25,0.25,7.75,2,2.25,91.675,51.25,1.75,2,91.675,3.75,74.75,19.9,0,30.25,2,10.75,4.425,0,6,5,227.25,45.45,16,4.75,13,35.375,0.5,0.75,16.675,10.25,100,275.75,0.5,0,NA
2019-09-15,"PIT",12.4,22.4,54.28,143.4,6.42,14.32,1,0.2,2.2,19,92.62,6.6,30.4,123.6,3.96,1,6.4,17.8,66.6,43,23.6,2.4,15.2,0.4,0.2,1.2,0.8,0,3.8,0.2,6.8,1.6,1.8,91.675,41,2,2.2,93.34,3.2,64,20.12,0,28.4,1.6,8.6,4.425,0,4.8,5.6,257,45.76,15.2,4.6,12.8,34.96,0.4,0.6,13.34,9.8,91,267,0.8,0.2,21
2019-09-22,"NO",15.1666666666667,24.5,59.05,165.166666666667,6.65,13.65,1.33333333333333,0.166666666666667,2.5,20.1666666666667,99.0166666666667,8,30.8333333333333,128.166666666667,4.06666666666667,1,6.66666666666667,19.1666666666667,62.6666666666667,41,21.6666666666667,2.16666666666667,13.8333333333333,0.5,0.166666666666667,1,0.666666666666667,0,3.66666666666667,0.166666666666667,6.33333333333333,1.33333333333333,1.66666666666667,73.34,34.1666666666667,2.33333333333333,2.5,94.45,3,57.1666666666667,18.6833333333333,0,25.6666666666667,1.66666666666667,8.83333333333333,4.54,0,5.66666666666667,5.33333333333333,248.333333333333,46.6833333333333,16.8333333333333,4.66666666666667,12.8333333333333,35.55,0.5,0.666666666666667,27.7833333333333,9.83333333333333,91.3333333333333,293.333333333333,0.5,0.5,24.5
2019-09-29,"ARI",17.5714285714286,28.1428571428571,59.7571428571429,199.571428571429,6.85714285714286,13.5142857142857,1.42857142857143,0.142857142857143,2.14285714285714,17.2857142857143,99.5285714285714,9.42857142857143,30.1428571428571,125.285714285714,4.08571428571429,1.14285714285714,6.42857142857143,21.1428571428571,62.7142857142857,38.7142857142857,24,1.85714285714286,11.8571428571429,0.428571428571429,0.142857142857143,0.857142857142857,0.714285714285714,0,3.42857142857143,0.142857142857143,5.85714285714286,1.14285714285714,1.42857142857143,73.34,29.2857142857143,2.42857142857143,2.57142857142857,95.2428571428571,2.85714285714286,55.7142857142857,19.3714285714286,0,26.1428571428571,1.85714285714286,9.28571428571429,4.45,0,6,5.14285714285714,236.428571428571,45.9142857142857,18.1428571428571,4.71428571428571,13,35.5714285714286,0.571428571428571,1.14285714285714,27.3857142857143,9.42857142857143,85.8571428571429,324.857142857143,0.428571428571429,0.571428571428571,25.3333333333333
2019-10-03,"LA",18.125,28.125,62.1125,202.75,7,13.1875,1.375,0.125,2.375,17,101.375,9.5,29.75,124,4.1125,1.125,6.75,19.75,62.75,38.375,24.375,2.125,14.75,0.5,0.25,0.75,0.625,0,3.25,0.125,6.25,1.25,1.5,77.7833333333333,29.75,2.5,2.625,95.8375,2.625,51.375,19.575,0,25.5,1.875,7.75,3.6,0,5.25,5,228.25,45.525,18.5,4.625,12.625,36.125,0.5,1,23.9625,9.125,83.25,326.75,0.5,0.5,25.75
2019-10-13,"CLE",18,27.5555555555556,63.4222222222222,209.333333333333,7.48888888888889,13.4777777777778,1.66666666666667,0.111111111111111,2.22222222222222,15.7777777777778,106.977777777778,9.77777777777778,31.2222222222222,128.777777777778,4.08888888888889,1,7.11111111111111,20.7777777777778,61.7777777777778,38,23.7777777777778,1.88888888888889,13.1111111111111,0.555555555555556,0.222222222222222,0.777777777777778,0.666666666666667,0,3.66666666666667,0.111111111111111,6.22222222222222,1.22222222222222,1.55555555555556,73.8142857142857,31.1111111111111,2.55555555555556,2.66666666666667,96.3,2.44444444444444,49.3333333333333,21.0666666666667,0,26.3333333333333,1.77777777777778,6.88888888888889,3.15,0,4.66666666666667,4.88888888888889,224,45.7444444444444,19.2222222222222,4.44444444444444,12.3333333333333,35.4444444444444,0.555555555555556,1,32.4111111111111,8.66666666666667,79,338.111111111111,0.555555555555556,0.555555555555556,26.6
2019-10-20,"BAL",18.5,28.1,64.05,216.8,7.6,13.41,1.7,0.1,2.3,15.3,108.04,10.5,31.9,132.9,4.13,1.1,7.2,21.5,60.7,37.5,23.2,1.7,11.8,0.8,0.2,0.8,0.7,0,4.1,0.1,6.4,1.3,1.6,77.0875,31.8,2.5,2.7,93.34,2.3,46.5,21.06,0,25.8,1.6,6.2,3.15,0,4.2,4.8,217.2,45.07,20.2,4.6,12.4,36.52,0.5,0.9,29.17,8.8,77.6,349.7,0.8,0.6,27.5
2019-10-27,"ATL",18.6363636363636,29.2727272727273,62.6636363636364,219,7.44545454545455,13.2909090909091,1.63636363636364,0.181818181818182,2.18181818181818,13.9090909090909,104.145454545455,10.4545454545455,31.3636363636364,130.454545454545,4.12727272727273,1,7.27272727272727,22.2727272727273,60.0909090909091,37.0909090909091,23,1.63636363636364,10.9090909090909,0.727272727272727,0.181818181818182,0.818181818181818,0.636363636363636,0,4.18181818181818,0.0909090909090909,6.72727272727273,1.45454545454545,1.81818181818182,76.8555555555556,32.0909090909091,2.36363636363636,2.54545454545455,93.9454545454546,2.36363636363636,47.5454545454545,20.9,0,25.4545454545455,1.63636363636364,6.72727272727273,3.46666666666667,0,4.36363636363636,4.63636363636364,211.454545454545,45.6363636363636,20.1818181818182,5.09090909090909,12.8181818181818,38.5454545454545,0.454545454545455,0.818181818181818,26.5181818181818,8.18181818181818,72.1818181818182,349.454545454545,0.545454545454545,0.636363636363636,25.8571428571429
2019-11-03,"TB",18.25,28.5,63.275,215,7.54166666666667,13.2666666666667,1.66666666666667,0.166666666666667,2.16666666666667,13.6666666666667,106.441666666667,10.3333333333333,31.5,132.166666666667,4.16666666666667,1,7.41666666666667,22.0833333333333,60.5833333333333,37.6666666666667,22.9166666666667,1.66666666666667,11.5833333333333,0.75,0.166666666666667,0.916666666666667,0.75,0,4.08333333333333,0.0833333333333333,6.91666666666667,1.5,1.83333333333333,79.17,33.9166666666667,2.41666666666667,2.58333333333333,94.45,2.25,45.3333333333333,20.9083333333333,0,25.0833333333333,1.5,6.16666666666667,3.46666666666667,0,4,4.58333333333333,210.416666666667,45.9833333333333,20,4.91666666666667,12.5,38.1083333333333,0.416666666666667,0.75,24.3083333333333,8.25,71.1666666666667,347.166666666667,0.75,0.583333333333333,26
2019-11-11,"SF",19.0769230769231,29.6153846153846,63.5923076923077,225.153846153846,7.58461538461538,13.2461538461538,1.92307692307692,0.153846153846154,2.23076923076923,15,108.538461538462,11.3076923076923,30.7692307692308,133.153846153846,4.35384615384615,0.923076923076923,7.15384615384615,23,60.9230769230769,38.2307692307692,22.6923076923077,1.69230769230769,11.9230769230769,0.692307692307692,0.153846153846154,0.923076923076923,0.769230769230769,0,4,0.0769230769230769,7,1.53846153846154,2,76.5181818181818,34.1538461538462,2.38461538461538,2.61538461538462,92.3153846153846,2.07692307692308,41.8461538461538,20.9083333333333,0,23.1538461538462,1.53846153846154,6.84615384615385,3.87,0,4.30769230769231,4.46153846153846,207,46.7,20.8461538461538,4.69230769230769,12.1538461538462,37.1,0.384615384615385,0.692307692307692,22.4384615384615,7.92307692307692,69.1538461538462,358.307692307692,0.692307692307692,0.615384615384615,27.5555555555556
2019-11-24,"PHI",19.4285714285714,29.9285714285714,64.0928571428571,222.571428571429,7.44285714285714,12.9928571428571,1.85714285714286,0.214285714285714,2.42857142857143,17,106.992857142857,11.2857142857143,31,134.142857142857,4.35,0.928571428571429,7.21428571428571,23.0714285714286,61.5,38.2857142857143,23.2142857142857,1.92857142857143,13.4285714285714,0.714285714285714,0.142857142857143,1,0.857142857142857,0.0714285714285714,4.28571428571429,0.0714285714285714,7.14285714285714,1.57142857142857,2,78.475,35,2.42857142857143,2.64285714285714,92.8642857142857,2.14285714285714,41.9285714285714,20.4,0,23.0714285714286,1.57142857142857,8.07142857142857,4.60909090909091,0,5.42857142857143,4.64285714285714,213.785714285714,46.4428571428571,20.7142857142857,4.85714285714286,12.3571428571429,37.7857142857143,0.357142857142857,0.642857142857143,20.8357142857143,8,69.5714285714286,356.714285714286,0.571428571428571,0.785714285714286,27.5
