"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2019-08-10,"DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-19,"DEN",26,37,70.3,251,6.8,9.8,2,2,1,5,85,11,25,88,3.5,0,5,9,53,48,5,3,13,0,0,1,1,0,6,0,5,1,1,100,53,2,2,100,1,25,25,0,25,2,10,5,0,10,6,297,49.5,18,4,12,33.3,0,0,0,18,216,339,-1,0
2019-08-24,"KC",17,28.5,55.15,172,5.75,11.65,1.5,1.5,2,10,69.4,8,27,136.5,4.95,1,7,12,56.5,45,11.5,4.5,25,0.5,0,0.5,0.5,0,6,0,5.5,1,1,100,47.5,2.5,2.5,100,1.5,52.5,32.5,0,36.5,2.5,14.5,5.65,0,8.5,6,292.5,48.75,16.5,3,11.5,25.75,0,0,0,15.5,158.5,308.5,-1,0.5
2019-08-29,"LAC",18.6666666666667,29.3333333333333,60.4333333333333,200.333333333333,6.6,11.9,1.33333333333333,1,2,11.6666666666667,82.4333333333333,10,29.6666666666667,132.333333333333,4.46666666666667,1.33333333333333,7,13.6666666666667,50.6666666666667,38.3333333333333,12.3333333333333,4,21,0.333333333333333,0,0.333333333333333,0.333333333333333,0,5,0,6.66666666666667,1.33333333333333,1.33333333333333,100,43.3333333333333,2.66666666666667,2.66666666666667,100,2,57.6666666666667,29.2333333333333,0,33,2.66666666666667,16.3333333333333,6,0,9.66666666666667,4.66666666666667,233,51.5,18.6666666666667,5,12.6666666666667,37.1666666666667,0,0.333333333333333,0,11.6666666666667,114,332.666666666667,-0.666666666666667,0.333333333333333
2019-09-08,"TB",17.25,28.25,58.325,180.75,6.175,11.275,1.25,1.25,1.5,8.75,73.275,8.75,31.75,140.25,4.425,1.5,8,17,49.25,39.5,9.75,3.75,20.25,0.75,0,0.25,0.25,0,4.25,0,6.5,1.25,1.25,100,38,2.75,2.75,100,1.75,57.25,35.925,0,38.75,2.25,12.25,4.5,0,7.25,4.25,210.75,50.625,19,5,12.5,38.3,0.25,1,8.325,10.5,96,321,-0.5,0.25
2019-09-15,"CIN",17.4,28,60,176.2,6.12,10.86,1.2,1.2,1.4,8.6,74.66,8.4,31.8,131.8,4.16,1.2,7.6,17,50.2,39.4,10.8,3.6,20.2,1.2,0.4,0.6,0.4,0,5.2,0,7.4,1.6,1.8,95,39.8,2.6,2.6,100,1.4,45.8,35.925,0,31,1.8,9.8,4.5,0,5.8,3.8,186.8,49.6,18.6,5,12.6,38.34,0.2,0.8,6.66,10.6,94.2,308,0,0.4
2019-09-22,"PIT",17.5,27.6666666666667,61.5333333333333,198.833333333333,7.1,11.9333333333333,1.5,1.16666666666667,1.16666666666667,7.16666666666667,84.25,9.33333333333333,33.5,153,4.5,1.33333333333333,8.5,17,51.8333333333333,38.1666666666667,13.6666666666667,3.66666666666667,20.1666666666667,1.16666666666667,0.333333333333333,0.5,0.333333333333333,0,5.66666666666667,0,8,1.66666666666667,2,90.2833333333333,39.5,3,3,100,1.33333333333333,40.3333333333333,31.34,0,28,1.83333333333333,8.83333333333333,4,0,5.5,3.5,168.166666666667,47.5833333333333,20,5,12,41.2166666666667,0.166666666666667,0.666666666666667,5.55,10.3333333333333,91,351.833333333333,0,0.333333333333333
2019-10-07,"CLE",18.2857142857143,28.2857142857143,63.0142857142857,208.714285714286,7.28571428571429,11.9428571428571,1.42857142857143,1.28571428571429,1.14285714285714,7.42857142857143,83.9857142857143,10,34.4285714285714,155.142857142857,4.45714285714286,1.42857142857143,8.57142857142857,17.4285714285714,50.8571428571429,37.1428571428571,13.7142857142857,3.42857142857143,19.2857142857143,1.14285714285714,0.285714285714286,0.714285714285714,0.428571428571429,0,5.42857142857143,0,7.71428571428571,1.57142857142857,1.85714285714286,91.6714285714286,37.2857142857143,3,3,100,1.42857142857143,41.4285714285714,30.1166666666667,0,27.7142857142857,2.28571428571429,15.1428571428571,5.1,0,6.85714285714286,3.42857142857143,165.571428571429,47.9285714285714,20.8571428571429,5.14285714285714,11.8571428571429,43.1142857142857,0.142857142857143,0.571428571428571,4.75714285714286,9.57142857142857,88.1428571428571,363.857142857143,-0.428571428571429,0.714285714285714
2019-10-13,"LA",18.5,28.375,63.7625,204,7.1125,11.5875,1.5,1.125,1.25,7.75,87.05,10.125,35.125,170.125,4.7625,1.5,8.75,15.625,49.25,35.75,13.5,3.5,22.125,1.25,0.25,1,0.625,0,5.625,0,7.625,1.5,2.125,83.3375,38.125,3.125,3.125,100,1.375,36.75,26.3857142857143,0,24.75,2.125,17.25,8.94285714285714,0,10,3.5,166.875,47.4375,21,5.25,12.375,42.4125,0.25,0.625,16.6625,8.875,81.375,374.125,0.125,0.625
2019-10-20,"WAS",19.1111111111111,28.8888888888889,64.7555555555556,207.111111111111,7.1,11.4222222222222,1.33333333333333,1.11111111111111,1.33333333333333,8.11111111111111,86.3444444444444,10.5555555555556,35.7777777777778,162.222222222222,4.5,1.55555555555556,8.66666666666667,14.6666666666667,49.3333333333333,35.5555555555556,13.7777777777778,3.55555555555556,23,1.11111111111111,0.222222222222222,1,0.666666666666667,0,5.22222222222222,0,7.66666666666667,1.55555555555556,2.22222222222222,81.4888888888889,37.6666666666667,3,3,100,1.33333333333333,34.6666666666667,25.3375,0,24,2.22222222222222,19.5555555555556,9.4125,0,10.8888888888889,3.55555555555556,166,46.5888888888889,21.1111111111111,5.55555555555556,12.8888888888889,42.9333333333333,0.333333333333333,0.666666666666667,25.9222222222222,8.33333333333333,75.6666666666667,369.333333333333,0,0.666666666666667
2019-10-27,"CAR",18.4,28.1,63.99,201,7.09,11.54,1.2,1.1,1.4,7.8,83.69,10.3,36.1,159.7,4.4,1.4,8.5,13.2,49,35.3,13.7,3.5,23.4,1,0.2,1,0.7,0,4.7,0,7.8,1.7,2.4,80.84,36.8,2.7,2.7,100,1.2,31.2,25.3375,0,21.6,2.2,20.6,10.0333333333333,0,11.5,3.4,158.8,46.63,20.7,5.7,13.2,43.02,0.4,0.8,28.33,7.7,70.1,360.7,0,0.6
2019-10-31,"ARI",18.3636363636364,27.5454545454545,65.6090909090909,196.909090909091,7.09090909090909,11.3727272727273,1.27272727272727,1.09090909090909,1.54545454545455,8.81818181818182,86.1909090909091,10.4545454545455,36.2727272727273,166.272727272727,4.55454545454545,1.72727272727273,8.63636363636364,13.1818181818182,48.8181818181818,35.9090909090909,12.9090909090909,3.81818181818182,26.5454545454545,1.18181818181818,0.181818181818182,0.909090909090909,0.636363636363636,0,4.81818181818182,0,7.90909090909091,1.63636363636364,2.27272727272727,82.5818181818182,35.2727272727273,3,3,100,1.09090909090909,28.3636363636364,25.3375,0,19.6363636363636,2.54545454545455,23.1818181818182,9.85,0,11.7272727272727,3.36363636363636,155.363636363636,46.0545454545455,21,5.63636363636364,12.9090909090909,43.6545454545455,0.363636363636364,0.727272727272727,25.7545454545455,7.36363636363636,66.5454545454545,363.181818181818,0.181818181818182,0.545454545454545
2019-11-11,"SEA",19.1666666666667,28.3333333333333,66.45,206.333333333333,7.2,11.3666666666667,1.5,1,1.5,8.66666666666667,90.4166666666667,10.8333333333333,35.8333333333333,160.833333333333,4.45,1.58333333333333,8.33333333333333,14.1666666666667,48.75,35.8333333333333,12.9166666666667,3.75,27.4166666666667,1.08333333333333,0.166666666666667,0.833333333333333,0.583333333333333,0,4.58333333333333,0,7.58333333333333,1.5,2.08333333333333,82.5818181818182,32.3333333333333,3.08333333333333,3.08333333333333,100,1.33333333333333,31.8333333333333,24.4666666666667,0,19.9166666666667,2.58333333333333,23.3333333333333,9.70909090909091,0,11.5833333333333,3.5,161.666666666667,46.0666666666667,21,6.08333333333333,13.25,45.4083333333333,0.416666666666667,0.75,31.9416666666667,7.41666666666667,67.25,367.166666666667,0.166666666666667,0.5
2019-11-17,"ARI",19.5384615384615,29.6923076923077,65.3538461538461,207,7.00769230769231,11.2846153846154,1.46153846153846,1,1.76923076923077,10.5384615384615,88.5538461538462,11.1538461538462,35.1538461538462,155.153846153846,4.35384615384615,1.46153846153846,7.84615384615385,15.1538461538462,50.9230769230769,36.6153846153846,14.3076923076923,3.84615384615385,28.6153846153846,1.07692307692308,0.153846153846154,1.15384615384615,0.769230769230769,0.0769230769230769,4.76923076923077,0,7.76923076923077,1.61538461538462,2.23076923076923,81.95,33.4615384615385,2.92307692307692,2.92307692307692,100,1.30769230769231,31.0769230769231,24.22,0,20.0769230769231,2.61538461538462,21.6923076923077,8.95833333333333,0,10.8461538461538,3.61538461538462,167.076923076923,46.0923076923077,21,6.07692307692308,13.3846153846154,44.9923076923077,0.384615384615385,0.769230769230769,29.4846153846154,7.23076923076923,65.1538461538462,362.153846153846,0.230769230769231,0.615384615384615
2019-11-24,"GB",20.5714285714286,30.7857142857143,66.0857142857143,221.357142857143,7.15714285714286,11.3714285714286,1.64285714285714,1.07142857142857,1.78571428571429,10.9285714285714,90.4714285714286,11.7857142857143,34,146.5,4.17142857142857,1.35714285714286,7.35714285714286,15.9285714285714,51.5,37.2142857142857,14.2857142857143,3.85714285714286,27.9285714285714,1,0.142857142857143,1.21428571428571,0.857142857142857,0.142857142857143,4.71428571428571,0,7.64285714285714,1.57142857142857,2.14285714285714,83.3384615384615,34.1428571428571,2.92857142857143,2.92857142857143,100,1.42857142857143,33.8571428571429,24.1363636363636,0,20.5714285714286,2.57142857142857,20.7142857142857,8.57692307692308,0,10.5,3.5,162.357142857143,46.4071428571429,21.3571428571429,6.07142857142857,13.3571428571429,45.0785714285714,0.357142857142857,0.857142857142857,27.3785714285714,7.42857142857143,69.5714285714286,367.857142857143,0.214285714285714,0.571428571428571
2019-12-01,"BAL",20.1333333333333,30.0666666666667,66.3466666666667,221.733333333333,7.44,11.82,1.66666666666667,1,1.86666666666667,11.9333333333333,94.16,11.6,33.2,144.2,4.23333333333333,1.4,7.26666666666667,15.4,52.4666666666667,37.8666666666667,14.6,3.93333333333333,28.6,0.933333333333333,0.133333333333333,1.2,0.866666666666667,0.133333333333333,4.53333333333333,0,8,1.66666666666667,2.2,84.5285714285714,35.0666666666667,3,3,100,1.33333333333333,31.6,24.1363636363636,0,19.2,2.6,20.2666666666667,8.3,0,10.4666666666667,3.53333333333333,163.666666666667,46.3466666666667,21,5.86666666666667,13.0666666666667,44.2933333333333,0.333333333333333,0.8,25.5533333333333,7.53333333333333,70.1333333333333,365.933333333333,0.266666666666667,0.533333333333333
2019-12-08,"NO",19.8125,29.5,66.6625,217.6875,7.44375,11.76875,1.625,0.9375,1.875,11.6875,95.1625,11.3125,32.9375,146.0625,4.34375,1.375,7.25,15.6875,53.1875,38.1875,15,3.75,26.8125,0.875,0.125,1.1875,0.875,0.125,4.4375,0,7.8125,1.625,2.1875,82.2266666666667,34.875,2.9375,2.9375,100,1.375,32.5625,24.0833333333333,0,19.625,2.4375,19,8.3,0,9.8125,3.4375,159.0625,46.2625,20.625,5.75,13,43.60625,0.375,0.875,27.08125,7.4375,69.125,363.75,0.25,0.5625
2019-12-15,"ATL",20.2352941176471,29.8823529411765,67.1529411764706,225.705882352941,7.58235294117647,11.9117647058824,1.82352941176471,0.941176470588235,1.94117647058824,12.7647058823529,97.6235294117647,11.5294117647059,32.4117647058824,147,4.48823529411765,1.35294117647059,7.23529411764706,17.4705882352941,53.4705882352941,38.4705882352941,15,3.52941176470588,25.2352941176471,0.823529411764706,0.117647058823529,1.23529411764706,0.882352941176471,0.117647058823529,4.58823529411765,0,8.05882352941176,1.64705882352941,2.17647058823529,83.3375,35.2352941176471,3.11764705882353,3.11764705882353,100,1.35294117647059,31.8823529411765,23.8461538461538,0,19.7058823529412,2.35294117647059,18.0588235294118,7.94666666666667,0,9.41176470588235,3.41176470588235,157.588235294118,46.1705882352941,20.8823529411765,5.76470588235294,12.9411764705882,43.9823529411765,0.411764705882353,0.882352941176471,31.3705882352941,7.58823529411765,69,372.705882352941,0.235294117647059,0.529411764705882
2019-12-21,"LA",20.3333333333333,30.1111111111111,67.0166666666667,223.888888888889,7.47777777777778,11.7555555555556,1.77777777777778,0.888888888888889,1.88888888888889,12.4444444444444,97.2166666666667,11.4444444444444,32.1111111111111,145.5,4.48333333333333,1.33333333333333,7.27777777777778,18.1111111111111,53.2222222222222,38.3888888888889,14.8333333333333,3.44444444444444,24.3333333333333,0.777777777777778,0.111111111111111,1.22222222222222,0.888888888888889,0.111111111111111,4.66666666666667,0,8.16666666666667,1.72222222222222,2.22222222222222,84.3176470588235,35.8333333333333,3,3.05555555555556,97.0588235294118,1.38888888888889,30.9444444444444,22.6785714285714,0,20.1111111111111,2.22222222222222,17.0555555555556,7.94666666666667,0,8.88888888888889,3.44444444444444,159.055555555556,46.1611111111111,20.8333333333333,5.66666666666667,12.8888888888889,43.3888888888889,0.444444444444444,0.888888888888889,35.1833333333333,7.55555555555556,68.8888888888889,369.388888888889,0.166666666666667,0.611111111111111
