"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2019-08-08,"PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-17,"NE",30,43,69.8,263,6.1,9.7,4,0,3,29,119.5,14,33,125,3.8,0,5,10,33,27,6,1,6,1,0,2,1,0,4,0,1,0,0,NA,0,1,3,33.3,2,47,23.5,0,24,5,68,13.6,0,27,4,189,47.3,23,11,19,57.9,0,4,0,12,117,388,2,0,NA
2019-08-25,"PIT",23.5,38,60.65,234.5,6.15,11.3,3,0,2.5,21,106.2,13,28,112.5,4.05,0,4.5,16,45.5,34.5,11,1,7,1,0,1,0.5,0,3,0.5,1,0,0.5,0,0,1,2,66.65,2,34,17,0,19,2.5,34,13.6,0,13.5,5,235.5,47.15,21.5,7.5,15,47.15,0,2,0,11,97,347,1.5,0,NA
2019-08-29,"CHI",21.3333333333333,34.3333333333333,61.4333333333333,200.333333333333,5.73333333333333,11.0333333333333,2,0,4,29.6666666666667,98.2,11.3333333333333,27.6666666666667,108.666666666667,3.93333333333333,0,4.66666666666667,16.6666666666667,45,34,11,0.666666666666667,4.66666666666667,1.33333333333333,0,0.666666666666667,0.333333333333333,0,4,0.333333333333333,2.66666666666667,0.666666666666667,1,50,8,0.666666666666667,1.33333333333333,66.65,2,44.6666666666667,22.3333333333333,0,28,2,26.6666666666667,12.8,0,13,5.66666666666667,278.666666666667,48.8,19,6.66666666666667,15,42.5333333333333,0,1.66666666666667,0,9,78,309,1.33333333333333,0.333333333333333,NA
2019-09-08,"CLE",20.25,33,60.725,200.25,6.025,11.4,2,0,3.5,25.25,99.75,10.5,26.25,120.25,4.7,0,5.5,16.25,49.5,39,10.5,1.25,10.75,1,0,0.5,0.25,0,3.75,0.25,3.75,1,1.25,66.6666666666667,14.25,0.75,1.5,61.1,1.75,39.75,23,0,27.25,2.5,27.25,10.9666666666667,0,12.75,5.75,279,48.275,18.25,5.75,14,38.725,0,1.25,0,9,77.25,320.5,1,0.25,NA
2019-09-15,"IND",19,31.2,60.24,203.4,6.62,12.66,2.2,0,3.6,26.6,106.46,10.2,26.6,120.8,4.64,0.2,5.6,15.6,50.6,39.4,11.2,2,16.8,1.4,0.2,0.4,0.2,0,4.2,0.4,5.2,1.2,1.4,75,22,1.6,2.2,70.825,2,41.8,21.74,0,26.4,2,21.8,10.9666666666667,0,10.2,5.8,278.6,47.86,18.8,5,13.2,34.98,0,1,0,8.4,72.6,324.2,1.4,0.2,43
2019-09-19,"JAC",19,30.6666666666667,61.5166666666667,189.333333333333,6.23333333333333,11.9,2,0,3.66666666666667,28,104.3,9.66666666666667,26.1666666666667,121.333333333333,4.73333333333333,0.333333333333333,6.16666666666667,16.1666666666667,52.1666666666667,40,12.1666666666667,2.16666666666667,18.1666666666667,1.33333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0,4.33333333333333,0.333333333333333,5.16666666666667,1.16666666666667,1.5,70,26.5,1.66666666666667,2.16666666666667,76.66,1.83333333333333,39.1666666666667,22.45,0,26.3333333333333,2,22.5,11.475,0,11.3333333333333,5.83333333333333,280.166666666667,47.8833333333333,18.6666666666667,4.33333333333333,12.6666666666667,30.8166666666667,0,1,0,7.83333333333333,73,310.666666666667,1.5,0.166666666666667,30
2019-09-29,"ATL",19.5714285714286,32,60.9428571428571,197.857142857143,6.22857142857143,12.0857142857143,1.71428571428571,0,4.42857142857143,31.8571428571429,101.071428571429,10.4285714285714,26.1428571428571,117,4.55714285714286,0.428571428571429,6,16.7142857142857,51.5714285714286,38.4285714285714,13.1428571428571,1.85714285714286,15.5714285714286,1.14285714285714,0.142857142857143,0.285714285714286,0.285714285714286,0,4.14285714285714,0.285714285714286,4.57142857142857,1,1.28571428571429,70,22.7142857142857,1.57142857142857,2,80.55,1.71428571428571,37.1428571428571,22.8142857142857,0,26.1428571428571,1.85714285714286,19.2857142857143,9.18,0,9.71428571428571,6.14285714285714,293.285714285714,47.6857142857143,19,4.85714285714286,13.2857142857143,33.1428571428571,0,1,0,8,77,314.857142857143,1.14285714285714,0.285714285714286,22.3333333333333
2019-10-06,"BUF",19.375,31.375,61.6625,201.5,6.5,12.15,1.875,0,3.875,27.875,104.65,10.375,27.125,119.625,4.5,0.375,6.25,15.875,54.125,38.75,15.375,2.25,17.75,1,0.125,0.375,0.375,0,4.125,0.25,4.75,1,1.25,75,25.5,1.75,2.125,83.3285714285714,1.5,32.5,22.8142857142857,0,22.875,1.75,17.125,7.98333333333333,0,8.75,6,284.75,47.35,19.375,5,13.25,34.775,0,1,0,7.625,77,321.125,1.125,0.25,22.75
2019-10-13,"DEN",18.6666666666667,30.3333333333333,61.3777777777778,195.777777777778,6.53333333333333,12.3666666666667,1.66666666666667,0,4,28.4444444444444,102.577777777778,9.77777777777778,27.1111111111111,117.666666666667,4.42222222222222,0.444444444444444,6.11111111111111,15.6666666666667,54.4444444444444,39.6666666666667,14.7777777777778,2.44444444444444,17.4444444444444,1,0.111111111111111,0.333333333333333,0.333333333333333,0,4,0.222222222222222,4.33333333333333,0.888888888888889,1.55555555555556,64.2857142857143,22.6666666666667,1.66666666666667,2,85.4125,1.33333333333333,28.8888888888889,22.8142857142857,0,20.3333333333333,1.77777777777778,15.4444444444444,6.98571428571429,0,8,6,286.444444444444,47.6444444444444,18.7777777777778,4.88888888888889,13.3333333333333,34.0888888888889,0,0.888888888888889,0,7.66666666666667,75.1111111111111,313.444444444444,1.11111111111111,0.222222222222222,19.6
