"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2020-09-13,"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,"WAS",26,40,65,224,5.6,8.8,1,1,2,6,78.1,12,36,180,5,2,13,20,54,38,16,3,16,0,0,0,0,0,4,0,6,1,3,33.3,56,3,3,100,1,42,42,0,42,2,8,4,0,8,4,191,47.8,29,7,14,50,0,0,0,9,102,404,-1,0,24
2020-09-27,"DET",26,39,66.7,251,6.45,9.9,1,1,2.5,7,83.2,12.5,34,170,5,2,10.5,17.5,51.5,39,12.5,3.5,20,0,0,1,1,0,3,0,9,2,3,66.65,52.5,3,3,100,1,21,21,0,21,2,6.5,3.25,0,6,4,194,48.55,25.5,7,15.5,45.6,1,1,50,10,99.5,421,0,0,27
2020-10-04,"CAR",25,37.6666666666667,66.3666666666667,256.666666666667,6.86666666666667,10.5,1.33333333333333,1.66666666666667,2,5.33333333333333,79.5666666666667,13.6666666666667,31.6666666666667,149.666666666667,4.66666666666667,1.66666666666667,10.3333333333333,20.3333333333333,53.6666666666667,40.6666666666667,13,3.66666666666667,26,0,0,0.666666666666667,0.666666666666667,0,2.66666666666667,0,7.66666666666667,1.66666666666667,2.33333333333333,77.7666666666667,53,2.66666666666667,3,88.9,2.33333333333333,47,20.6,0,24.6666666666667,1.33333333333333,4.33333333333333,3.25,0,4,3.33333333333333,160,47.7,26.3333333333333,6,13.6666666666667,43.7333333333333,1,1,66.6666666666667,9,79,406.333333333333,-1,0,25.6666666666667
2020-10-11,"NYJ",24.75,36,69.125,225.75,6.225,9.25,1.75,1.25,1.75,4,88.85,13,29.5,144.5,4.9,1.25,9.25,23,57,41,16,2.75,19.5,0.25,0,0.5,0.5,0,3,0,6.5,1.25,1.75,77.7666666666667,39.75,2.75,3,91.675,1.75,35.25,20.6,0,18.5,1,3.25,3.25,0,3,3.75,171.75,46.125,25,5.25,12.5,41.125,0.75,0.75,50,8,66.5,370.25,-0.75,0.25,24.5
2020-10-19,"DAL",25.2,36.2,69.9,254.4,6.98,10.22,1.6,1.2,1.6,5.4,91.76,13.8,29.6,141,4.76,1.6,9.2,20.4,56,41.8,14.2,2.8,22.2,0.2,0,0.4,0.4,0,3,0,6.4,1.2,1.6,83.325,41.2,2.8,3,93.34,1.6,34.4,23.2,0,21,1.4,4.2,3.06666666666667,0,3.4,3.8,170.8,45.26,25.6,5.2,12.4,41.24,0.8,0.8,60,8.4,65,395.4,-0.8,0.2,25.6
2020-10-25,"SEA",22.5,34.1666666666667,64.5,241.5,7.05,12,1.66666666666667,1,1.5,6.33333333333333,92.1,12.6666666666667,30.5,161,5.21666666666667,1.83333333333333,9.83333333333333,18.6666666666667,58.3333333333333,44.1666666666667,14.1666666666667,2.83333333333333,21.6666666666667,0.5,0,0.666666666666667,0.666666666666667,0,3.66666666666667,0,6.66666666666667,1.16666666666667,1.5,86.66,38.6666666666667,3.16666666666667,3.33333333333333,94.45,1.33333333333333,28.6666666666667,23.2,0,17.5,1.33333333333333,3.33333333333333,2.05,0,2.66666666666667,3.83333333333333,167.5,44.0166666666667,25,5.5,12.5,43.3333333333333,0.833333333333333,0.833333333333333,66.6666666666667,8.16666666666667,61.3333333333333,402.5,0,0.166666666666667,27.6666666666667
2020-11-08,"MIA",24.1428571428571,36.1428571428571,65.4,258.428571428571,7.11428571428571,11.8,1.85714285714286,1,1.28571428571429,5.42857142857143,93.8714285714286,13.2857142857143,30.8571428571429,160.714285714286,5.15714285714286,1.71428571428571,10,20.8571428571429,60.1428571428571,44.8571428571429,15.2857142857143,2.71428571428571,20.8571428571429,0.857142857142857,0,0.571428571428571,0.571428571428571,0,3.85714285714286,0,7.57142857142857,1.42857142857143,1.85714285714286,84.7166666666667,40.1428571428571,3.28571428571429,3.42857142857143,95.2428571428571,1.28571428571429,27.5714285714286,22.76,0,18,1.28571428571429,4.28571428571429,3.64,0,3.71428571428571,3.57142857142857,157.142857142857,44.5142857142857,25.8571428571429,5.42857142857143,12.4285714285714,43.1,0.857142857142857,1,64.2857142857143,7.85714285714286,58.2857142857143,419.142857142857,0.142857142857143,0.285714285714286,29
2020-11-15,"BUF",23.75,34.875,67.325,259.125,7.5,12.0125,2,0.875,1.25,7.125,100.95,13.75,31.625,162.875,5.1125,1.625,9.5,22.5,58.625,43.875,14.75,2.75,21.625,0.75,0,0.5,0.5,0,3.625,0,7.5,1.375,1.875,79.7571428571429,39.75,3.375,3.5,95.8375,1.375,27.875,21.4666666666667,0,17.625,1.25,3.25,2.36666666666667,0,2.75,3.25,142.75,44.2,25.875,5.375,12.375,42.925,1,1.25,64.5875,7.75,59.875,422,0,0.375,29.25
2020-11-19,"SEA",23.5555555555556,34.5555555555556,67.4888888888889,256.555555555556,7.48888888888889,11.9111111111111,1.88888888888889,0.888888888888889,1.44444444444444,7.33333333333333,99.5888888888889,13.4444444444444,32,168.888888888889,5.23333333333333,1.66666666666667,10,23.3333333333333,58.5555555555556,43.4444444444444,15.1111111111111,2.44444444444444,19.2222222222222,0.888888888888889,0,0.444444444444444,0.444444444444444,0,3.66666666666667,0,8.22222222222222,1.66666666666667,2.11111111111111,82.2875,40.3333333333333,3.22222222222222,3.33333333333333,96.3,1.44444444444444,29.1111111111111,21.1857142857143,0,18.1111111111111,1.33333333333333,4.55555555555556,3.1,0,5,3.22222222222222,141.555555555556,44.1777777777778,25.8888888888889,5.33333333333333,12.4444444444444,42.4333333333333,1,1.22222222222222,68.5222222222222,7.66666666666667,57.6666666666667,425.444444444444,0,0.444444444444444,29.5555555555556
2020-11-29,"NE",24.1,35.3,67.64,256.6,7.35,11.65,1.9,0.8,1.6,7.8,99.85,13.8,30.6,157.7,5.03,1.6,9.5,23.8,58.7,43.4,15.3,2.5,18.8,0.8,0,0.4,0.4,0,3.3,0,7.7,1.5,1.9,82.2875,36.3,3.2,3.3,96.67,1.8,36.2,21.0375,0,18.8,1.4,4.9,3.2125,0,5.1,3.3,145.6,44.31,25.7,5.4,12.3,43.64,0.9,1.2,61.67,7.9,63.4,414.3,0,0.4,28.7
2020-12-06,"LA",24,35.1818181818182,67.6363636363636,247.818181818182,7.10909090909091,11.2636363636364,1.72727272727273,0.818181818181818,1.63636363636364,8,96.8636363636364,13.6363636363636,30.9090909090909,155.909090909091,4.94545454545455,1.63636363636364,9.45454545454546,23.4545454545455,58,42.8181818181818,15.1818181818182,2.54545454545455,18.4545454545455,0.909090909090909,0,0.363636363636364,0.363636363636364,0,3.36363636363636,0,7.45454545454545,1.45454545454545,1.90909090909091,78.7,37.2727272727273,3.09090909090909,3.18181818181818,96.9727272727273,1.72727272727273,34.5454545454545,20.7,0,18.7272727272727,1.36363636363636,5.09090909090909,3.63333333333333,0,5.27272727272727,3.27272727272727,143.818181818182,44.1,25.4545454545455,5.45454545454545,12.4545454545455,43.5727272727273,0.818181818181818,1.18181818181818,56.0636363636364,7.72727272727273,62.1818181818182,403.727272727273,0.0909090909090909,0.363636363636364,27.6363636363636
