"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2020-09-13,"DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,"NYG",20,36,55.6,214,5.9,12.1,3,0,1,28,104.2,15,28,149,5.3,0,7,23,62,44,18,1,9,1,0,0,0,0,6,0,9,2,2,100,35,3,3,100,3,110,36.7,0,45,1,0,0,0,0,5,213,42.6,26,2,11,18.2,1,2,50,6,48,363,1,0
2020-09-27,"ATL",19,32,59.95,191.5,5.95,11.35,2.5,1,2.5,24.5,91.1,13,30,142,4.75,0,7,18,56,42.5,13.5,2.5,15,1,0,0.5,0.5,0,5.5,0,7,1.5,2,75,34.5,2.5,2.5,100,3.5,101.5,30,0,37.5,0.5,0,0,0,0,4,173.5,43.65,22,5.5,13.5,37.25,1,1.5,75,5.5,48,333.5,0.5,0
2020-10-04,"IND",22.3333333333333,38.3333333333333,58.9333333333333,230,5.96666666666667,11.2,3,1.33333333333333,2.33333333333333,19.3333333333333,89.1,13.3333333333333,28.3333333333333,138,4.9,0,7.33333333333333,20.6666666666667,54.6666666666667,40,14.6666666666667,2.33333333333333,13.6666666666667,1,0,0.666666666666667,0.333333333333333,0,5.33333333333333,0,6.66666666666667,1.33333333333333,2,66.6666666666667,34.6666666666667,2.66666666666667,2.66666666666667,100,3.33333333333333,98,30.1,0,38.3333333333333,0.666666666666667,2,3,0,2,4,187.333333333333,47.0333333333333,22.6666666666667,5,14,33.7333333333333,1,1.66666666666667,66.6666666666667,7,58.6666666666667,368,0,0
2020-10-08,"TB",23.25,39.25,59.675,232.75,5.9,10.8,2.5,1.25,2,16.5,85.925,13,25.25,110.5,4.125,0,6,20.25,55.75,41.25,14.5,2,11.25,0.75,0,0.5,0.25,0,5.25,0,5.75,1.25,1.75,75,32.75,2,2,100,3.5,91.75,27.15,0,35.25,1.25,6,4,0,4,4.75,218.75,46.45,21,4.75,14,32.45,0.75,1.25,50,7.25,69.75,343.25,-0.25,0
2020-10-18,"CAR",24.6,39.8,62.02,227.8,5.72,10.26,2.2,1.2,2.2,20.2,85.48,13.2,23,95.4,3.8,0.2,5.2,20,54.2,41,13.2,2.2,13,0.6,0,0.6,0.4,0,5.4,0,6.2,1.4,1.8,80,35.6,2,2,100,3.4,97.2,29.66,0,37.6,1.2,6,4.5,0,4.4,4.8,220.6,46.28,20.4,4.4,13.2,31.96,0.6,1,40,7,69,323.2,-0.2,0
2020-10-26,"LA",24.3333333333333,39.6666666666667,61.5166666666667,222.833333333333,5.61666666666667,9.98333333333333,2,1.16666666666667,1.83333333333333,16.8333333333333,82.9333333333333,13.3333333333333,23.3333333333333,90,3.58333333333333,0.333333333333333,5.16666666666667,19.3333333333333,55.8333333333333,39.8333333333333,16,2.5,15,0.833333333333333,0,0.666666666666667,0.5,0,5.33333333333333,0,7,1.66666666666667,2,83.3333333333333,38.8333333333333,2,2,100,2.83333333333333,81,29.66,0,31.3333333333333,1.16666666666667,5,3.6,0,3.66666666666667,4.66666666666667,213.333333333333,45.95,20.6666666666667,4.83333333333333,13.3333333333333,34.9666666666667,0.5,0.833333333333333,33.3333333333333,7.5,72.8333333333333,312.833333333333,0.166666666666667,0
2020-11-01,"NO",24.8571428571429,39.7142857142857,62.7285714285714,223.857142857143,5.64285714285714,9.88571428571429,1.71428571428571,1.28571428571429,2.14285714285714,18.8571428571429,80.6285714285714,12.7142857142857,22.4285714285714,84.1428571428571,3.48571428571429,0.285714285714286,5,20,56.4285714285714,40.4285714285714,16,2.28571428571429,14.1428571428571,0.714285714285714,0,0.857142857142857,0.571428571428571,0.142857142857143,4.85714285714286,0,6.57142857142857,1.57142857142857,1.85714285714286,85.7142857142857,39.2857142857143,1.85714285714286,1.85714285714286,100,3,82.8571428571429,28.6333333333333,0,30.8571428571429,1,4.28571428571429,3.6,0,3.14285714285714,4.71428571428571,216.857142857143,46.1857142857143,19.7142857142857,4.71428571428571,13.4285714285714,34.0571428571429,0.571428571428571,1.28571428571429,32.1428571428571,7.28571428571429,69,308,0,0
2020-11-08,"TEN",25.25,39.875,63.425,225,5.65,9.8625,1.75,1.25,2.5,21.375,82.1375,12.625,22.5,85.625,3.575,0.25,5,20.75,58.125,41.5,16.625,2.125,13.375,0.625,0,1.125,0.5,0.125,4.625,0,7.125,1.75,2,87.5,40.75,1.875,1.875,100,3.125,80.125,26.7285714285714,0,31,1.25,5.875,3.95,0,4.25,4.625,214.75,46.6625,19.5,4.75,13.625,33.9625,0.75,1.5,36.4625,7.25,67,310.625,-0.125,0
2020-11-16,"MIN",26.4444444444444,41.2222222222222,64.0666666666667,235.444444444444,5.7,9.8,1.77777777777778,1.11111111111111,2.55555555555556,20.7777777777778,84.0555555555556,13.1111111111111,22.2222222222222,82.3333333333333,3.48888888888889,0.222222222222222,4.66666666666667,21.1111111111111,57.4444444444444,40.5555555555556,16.8888888888889,2.22222222222222,14.3333333333333,0.555555555555556,0,1,0.444444444444444,0.111111111111111,4.66666666666667,0,6.88888888888889,1.66666666666667,1.88888888888889,88.8888888888889,38.6666666666667,1.88888888888889,1.88888888888889,100,3.11111111111111,77.1111111111111,25.6,0,30.4444444444444,1.77777777777778,12.3333333333333,4.91428571428571,0,5.88888888888889,4.77777777777778,224,47,19.7777777777778,4.44444444444444,13.7777777777778,31.6666666666667,1,1.77777777777778,40.7444444444444,7,63.4444444444444,317.777777777778,-0.333333333333333,0.222222222222222
