"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2020-09-13,"BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-17,"CIN",21,39,53.8,168,4.3,9,1,1,2,21,65,10,27,138,5.1,0,6,38,52,39,13,2,14,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,0,0,1,1,1,0,1,3,137,45.7,20,3,12,25,0,3,0,8,80,306,-2,2
2020-09-27,"WAS",18.5,31,61.7,193.5,6.9,11.35,1.5,1,1,10.5,87.8,9.5,31,176.5,5.6,1.5,10,34,62,43.5,18.5,2.5,22.5,0,0,1,1,0,3.5,0,2.5,0,0.5,0,0,2.5,3,50,0,0,NA,0,0,1,7,7,0,7,2,90,44.35,21.5,4,10,43.75,0.5,2.5,25,8,78,370,-1,1
2020-10-04,"DAL",17.6666666666667,28.3333333333333,64.3333333333333,176.333333333333,6.66666666666667,10.8333333333333,1.66666666666667,0.666666666666667,1.33333333333333,11.6666666666667,97.6333333333333,10.3333333333333,33,170.333333333333,5.16666666666667,1.66666666666667,8.66666666666667,29.3333333333333,59,40.3333333333333,18.6666666666667,2.66666666666667,21,1,0,1.66666666666667,1.33333333333333,0,4.33333333333333,0,5,0.666666666666667,1,50,14,3,3.33333333333333,66.6666666666667,0.333333333333333,10.3333333333333,31,0,10.3333333333333,1.33333333333333,8.33333333333333,6.5,0,8.33333333333333,3,136.333333333333,44.8333333333333,20.6666666666667,4.33333333333333,11.3333333333333,41.0666666666667,0.666666666666667,2,50,7.33333333333333,68.6666666666667,346.666666666667,1,0.666666666666667
2020-10-11,"IND",18.25,29,64.375,182.5,6.625,10.65,2,0.5,1.5,9,102.05,11.25,34.75,204.5,5.8,2,10.5,31.5,60,42,18,2.75,21,1,0,1.75,1.5,0,4.25,0,6.5,1,1.25,66.6666666666667,21.5,3.5,3.75,75,1.25,28,25.65,0,15.75,1.25,9.5,8.125,0,9.5,3.25,145,44.325,23.75,4.5,11.25,42.175,0.5,1.5,37.5,6.75,61.5,387,1.5,0.5
2020-10-18,"PIT",19,30.8,63.08,198.2,6.68,10.92,2,0.8,1.4,8,96.64,12,34.4,188.4,5.4,1.6,9.8,29.8,57.4,40,17.4,2.4,17.4,1.2,0.2,1.4,1.2,0,4.4,0.2,7.6,1.4,1.6,75,26.4,3.4,3.6,80,2,42.2,23.7,0,18.2,1.2,8.6,7.5,0,8.6,3,134.6,44.76,23.4,5.6,12.4,45.5,0.6,1.4,50,5.8,51.2,386.6,1.2,0.4
2020-10-25,"CIN",18.3333333333333,30.3333333333333,61.5,189.333333333333,6.43333333333333,10.9333333333333,1.83333333333333,1,1.83333333333333,10,89.4333333333333,11.3333333333333,32.3333333333333,169.5,5.06666666666667,1.33333333333333,8.5,31.1666666666667,58.1666666666667,39.6666666666667,18.5,2.33333333333333,17.8333333333333,1,0.166666666666667,1.16666666666667,1,0,4.5,0.166666666666667,6.5,1.16666666666667,1.33333333333333,75,22,3,3.16666666666667,83.3333333333333,2.5,52.1666666666667,22.875,0,19.5,1.33333333333333,8.16666666666667,6.75,0,7.83333333333333,3.5,152.5,44.0166666666667,21.5,4.83333333333333,12.3333333333333,39.3,0.5,1.66666666666667,41.6666666666667,6,51.8333333333333,358.833333333333,0.666666666666667,0.333333333333333
2020-11-01,"LV",19,30.1428571428571,64.0428571428571,207.428571428571,7.07142857142857,11.3285714285714,2.28571428571429,1,1.57142857142857,8.57142857142857,96.2714285714286,12,30.8571428571429,157,4.87142857142857,1.14285714285714,8,31.5714285714286,59.7142857142857,40.5714285714286,19.1428571428571,2.57142857142857,20.2857142857143,1,0.142857142857143,1.14285714285714,1,0,5.14285714285714,0.142857142857143,6.57142857142857,1.14285714285714,1.28571428571429,80,25,3.14285714285714,3.42857142857143,82.8571428571429,2.42857142857143,50.8571428571429,22.6,0,20.1428571428571,1.14285714285714,7,6.75,0,6.71428571428571,3.14285714285714,137.857142857143,44.8714285714286,21.7142857142857,4.85714285714286,11.5714285714286,43.8857142857143,0.428571428571429,1.42857142857143,35.7142857142857,5.85714285714286,50.1428571428571,364.428571428571,0.714285714285714,0.285714285714286
2020-11-15,"HOU",18.125,29.5,62.0375,196.75,6.8,11.1875,2,0.875,1.375,7.5,92.0375,11.125,29.75,150,4.8375,1,8,29.625,62.125,41,21.125,2.5,19.125,0.875,0.125,1.125,0.875,0,4.75,0.125,6.5,1.25,1.5,77.7833333333333,27,2.75,3,82.8571428571429,2.25,48.625,24.3333333333333,0,21.75,1,6.125,6.75,0,5.875,3,134.25,46.075,20.75,4.625,11.375,42.15,0.625,1.5,43.75,6,51.25,346.75,0.5,0.375
2020-11-22,"PHI",17.4444444444444,28.4444444444444,61.8111111111111,188.777777777778,6.74444444444444,11.1666666666667,1.77777777777778,0.777777777777778,1.33333333333333,7.44444444444444,90.6555555555556,10.4444444444444,31,159,4.92222222222222,1,8.55555555555556,27.1111111111111,60.8888888888889,40.3333333333333,20.5555555555556,2.44444444444444,18.1111111111111,0.777777777777778,0.111111111111111,1,0.777777777777778,0,4.44444444444444,0.111111111111111,6.22222222222222,1.22222222222222,1.44444444444444,80.9571428571429,28.5555555555556,2.55555555555556,2.77777777777778,85,2.11111111111111,43.3333333333333,21,0,19.4444444444444,1.11111111111111,6.66666666666667,6.57142857142857,0,6.22222222222222,3.11111111111111,138.666666666667,45.7888888888889,20.6666666666667,4.77777777777778,11.4444444444444,43.0222222222222,0.555555555555556,1.44444444444444,38.8888888888889,6,52.5555555555556,347.777777777778,0.444444444444444,0.333333333333333
