"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2020-09-13,"LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,"ATL",25,39,64.1,244,6.3,10.6,1,0,3,22,92.5,14,27,136,5,1,9,20,75,48,27,1,6,1,0,0,0,0,4,0,5,1,2,50,33,2,2,100,2,48,24,0,27,1,20,20,0,20,4,156,39,24,3,12,25,1,3,33.3,7,50,380,1,0
2020-09-27,"SEA",29.5,44,66.75,344.5,7.7,11.9,1,0,2,13.5,98.75,17,29,130.5,4.5,2.5,9,29.5,72.5,44.5,28,1,6,0.5,0,0,0,0,4,0,7.5,1.5,2,75,39.5,3,3,100,3.5,77,22.6,0,29,1,11.5,11.5,0,11.5,2.5,99.5,41,28.5,5,12.5,39.4,0.5,2.5,16.65,7,62.5,475,-1,1.5
2020-10-04,"CLE",32,48.3333333333333,66.1333333333333,383.333333333333,7.83333333333333,12.2,1.66666666666667,0.666666666666667,2,12.6666666666667,97.0333333333333,18,26.3333333333333,107.333333333333,3.96666666666667,2,7.66666666666667,32.3333333333333,67.3333333333333,42.6666666666667,24.6666666666667,2,10.6666666666667,0.333333333333333,0,0.333333333333333,0,0,3.66666666666667,0,7.33333333333333,1.66666666666667,2,83.3333333333333,40.6666666666667,2.33333333333333,3,77.7666666666667,2.66666666666667,51.3333333333333,15.0666666666667,0,19.3333333333333,2,18.6666666666667,10.4333333333333,0,14,2.66666666666667,112.666666666667,42.7666666666667,28,5.66666666666667,13.3333333333333,41.8333333333333,1,2.33333333333333,44.4333333333333,8,61.3333333333333,490.666666666667,-1.33333333333333,1.33333333333333
2020-10-11,"NYG",34.25,50.75,67.275,407.75,7.95,12.2,2.25,0.75,2.25,14.75,101,20.75,24.25,101.75,4.15,1.75,7.25,36.5,66.75,41.75,25,2,8.25,0.25,0,0.25,0,0,3,0,6,1.25,1.5,83.3333333333333,30.5,2.25,2.75,83.325,3,60.25,16.75,0,21.5,2.5,22,9.825,0,17.25,2.75,117.75,43.15,29.75,5.75,12.75,45,1,2.25,45.825,7.5,62.25,509.5,-1.75,1.5
2020-10-19,"ARI",32.2,47.2,68.36,381.4,8.04,12.16,2,0.8,2.2,14.2,100.1,19.6,25.2,106.6,4.18,1.8,7.6,36,64,41,23,2,8.8,0.2,0,0.4,0.2,0.2,2.8,0,7.4,1.6,1.8,87.5,32.4,2.6,3,86.66,2.8,53.8,16.2,0,20.2,2.2,18.2,8.46,0,14.4,2.6,111.6,43.22,29.4,5.6,12,47.12,0.8,1.8,36.66,6.6,54.8,488,-1.6,1.4
2020-10-25,"WAS",32.5,48.3333333333333,67.4666666666667,359,7.46666666666667,11.4333333333333,1.83333333333333,1,2.33333333333333,15,94.3833333333333,18.8333333333333,25.5,105,4.08333333333333,1.5,7.66666666666667,36.3333333333333,61.5,39.1666666666667,22.3333333333333,1.83333333333333,9.16666666666667,0.166666666666667,0,0.333333333333333,0.166666666666667,0.166666666666667,2.66666666666667,0,6.83333333333333,1.5,1.83333333333333,80,32.6666666666667,2.33333333333333,2.66666666666667,88.8833333333333,2.5,49.5,18.1666666666667,0,21.5,2.16666666666667,15.3333333333333,7.13333333333333,0,12.1666666666667,2.66666666666667,114.666666666667,43.2333333333333,29,5.66666666666667,12.5,45.9333333333333,1.16666666666667,2,47.2166666666667,6.5,51.6666666666667,464,-2,1.5
2020-11-01,"PHI",29.4285714285714,44.5714285714286,64.9714285714286,316.142857142857,6.78571428571429,11.2857142857143,1.57142857142857,1,2.85714285714286,20.7142857142857,87.5285714285714,17.1428571428571,25.5714285714286,101.857142857143,3.95714285714286,1.28571428571429,7.14285714285714,34.7142857142857,61.8571428571429,39,22.8571428571429,1.85714285714286,8.57142857142857,0.142857142857143,0,0.285714285714286,0.142857142857143,0.142857142857143,2.57142857142857,0,6.28571428571429,1.42857142857143,1.71428571428571,83.3333333333333,34.4285714285714,2,2.28571428571429,88.8833333333333,2.42857142857143,56.2857142857143,22.5,0,28,2,13.1428571428571,6.11428571428571,0,10.4285714285714,3,129.285714285714,43.2571428571429,26.5714285714286,5.28571428571429,12.4285714285714,42.9428571428571,1,1.85714285714286,40.4714285714286,6.42857142857143,51.2857142857143,418,-1.85714285714286,1.28571428571429
2020-11-08,"PIT",28.375,44,63.4125,293.125,6.35,10.95,1.375,0.875,3,24.125,84.6625,16.25,26.75,105.75,3.9375,1.125,7.5,33.25,60.375,38.75,21.625,2.125,11.125,0.375,0,0.625,0.375,0.125,2.875,0,6.625,1.625,2,82.1428571428571,37.5,1.75,2,88.8833333333333,2.5,55.375,21.725,0,27,1.875,12,5.85,0,9.625,3,127.75,42.725,25.875,5.125,12.875,40.7,1.125,2.125,41.6625,6.5,53.375,398.875,-1.375,1.375
2020-11-22,"MIN",27.5555555555556,43.3333333333333,62.5111111111111,285,6.28888888888889,11.0222222222222,1.33333333333333,0.888888888888889,2.88888888888889,24,83.3222222222222,15.5555555555556,27.2222222222222,110,4.01111111111111,1,7.66666666666667,32.2222222222222,59.4444444444444,38.7777777777778,20.6666666666667,1.88888888888889,9.88888888888889,0.333333333333333,0,0.555555555555556,0.333333333333333,0.111111111111111,2.77777777777778,0,7.33333333333333,1.88888888888889,2.22222222222222,84.375,38.3333333333333,1.66666666666667,1.88888888888889,90.4714285714286,2.44444444444444,58.8888888888889,24.1444444444444,0,31.1111111111111,2,19.7777777777778,8.23333333333333,0,16.6666666666667,2.88888888888889,122.333333333333,42.3666666666667,25.1111111111111,5.44444444444444,13.3333333333333,41.4111111111111,1,2,37.0333333333333,6.55555555555556,55.2222222222222,395,-1.44444444444444,1.33333333333333
