"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2020-09-13,"CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,"GB",24,42,57.1,288,6.9,12.4,1,1,1,9,77.2,14,29,138,4.8,1,7,27,52,40,12,1,28,0,0,1,0,0,3,0,11,3,4,75,44,2,2,100,2,66,33,0,35,1,16,16,0,16,4,197,49.3,25,6,16,37.5,0,0,0,8,77,426,-1,0
2020-09-27,"ARI",22,37.5,58.85,253,6.75,12.3,1.5,1,2.5,17.5,84.1,12,25,113.5,4.5,1,7.5,34.5,55.5,40.5,15,1,19.5,0,0,0.5,0,0,3.5,0,7,1.5,2.5,37.5,22,2.5,2.5,100,1.5,46.5,30,0,31,0.5,8,16,0,8,4.5,234,51.75,22,6,14,43.75,0,0.5,0,7.5,73.5,366.5,-1,0
2020-10-04,"NO",22,35.3333333333333,62.9,246,7,12.3,1.66666666666667,0.666666666666667,3,24.3333333333333,95.7333333333333,13.3333333333333,25.6666666666667,105.666666666667,4.1,0.666666666666667,6,30.6666666666667,56.6666666666667,39.3333333333333,17.3333333333333,1,13.6666666666667,1,0,0.333333333333333,0,0,4.66666666666667,0,9.33333333333333,2.33333333333333,3,58.3333333333333,27.6666666666667,2.33333333333333,2.33333333333333,100,1.66666666666667,47,28,0,29.3333333333333,0.666666666666667,11.6666666666667,17.5,0,11.6666666666667,4.33333333333333,230,53,22,5.33333333333333,13.3333333333333,40.2666666666667,0.333333333333333,0.666666666666667,33.3333333333333,7.33333333333333,64.3333333333333,351.666666666667,0.333333333333333,0
2020-10-18,"JAC",20.75,34.25,60.875,232.25,6.8,12.25,2,0.75,3,22,95.375,13,24.75,101.75,4.1,0.75,5.25,31.75,59.5,40.5,19,1.25,14.75,1,0,0.5,0,0,4.25,0,7.75,1.75,2.25,58.3333333333333,20.75,2.5,2.5,100,1.75,48,27.375,0,28.5,0.5,8.75,17.5,0,8.75,4.25,227,53.375,21,5.75,13.5,42.7,1,1.25,50,6.75,60.5,334,0.25,0
2020-10-25,"ATL",20.4,33.6,60.96,230.4,6.88,12.14,1.8,0.8,2.4,17.6,92.38,12.2,27.6,117.4,4.2,1.2,6.6,28.6,57,38.8,18.2,1.2,14.2,1,0,0.8,0.2,0,4.6,0,8.2,1.8,2.4,60.425,24.8,2.8,2.8,100,1.4,38.4,27.375,0,22.8,0.4,7,17.5,0,7,3.8,199.6,51.7,21.8,5.2,13.2,39.16,1.2,1.4,60,6.8,60.4,347.8,0.4,0
2020-11-01,"IND",21.1666666666667,34,62.3666666666667,245.666666666667,7.21666666666667,12.3833333333333,1.66666666666667,0.666666666666667,2.33333333333333,17.6666666666667,95.0833333333333,12.6666666666667,26.5,108.5,4,1.16666666666667,6,27.5,58.1666666666667,39,19.1666666666667,1.33333333333333,14.5,0.833333333333333,0,1,0.333333333333333,0,4.16666666666667,0,8.66666666666667,2,2.66666666666667,63.34,29.1666666666667,2.66666666666667,2.66666666666667,100,1.5,38.6666666666667,25.9,0,22.8333333333333,0.666666666666667,6.83333333333333,12.6666666666667,0,7,3.66666666666667,195.833333333333,52.9166666666667,21.6666666666667,4.83333333333333,12.6666666666667,37.6333333333333,1,1.33333333333333,50,6.5,58.6666666666667,354.166666666667,0.5,0
2020-11-08,"MIN",21.5714285714286,35.1428571428571,61.6142857142857,253,7.2,12.6142857142857,1.85714285714286,0.714285714285714,2.71428571428571,20.7142857142857,95.3428571428571,13.2857142857143,24.5714285714286,97.1428571428571,3.74285714285714,1,5.42857142857143,29.4285714285714,60.1428571428571,40,20.1428571428571,1.42857142857143,14.5714285714286,0.714285714285714,0,1,0.285714285714286,0,3.57142857142857,0,7.85714285714286,1.71428571428571,2.42857142857143,52.7833333333333,25,2.71428571428571,2.71428571428571,100,1.57142857142857,42,26.75,0,24.2857142857143,0.714285714285714,6.14285714285714,10,0,6.28571428571429,3.85714285714286,205.285714285714,52.8428571428571,21.4285714285714,5.14285714285714,12.8571428571429,39.4,0.857142857142857,1.28571428571429,42.8571428571429,6.14285714285714,61.1428571428571,350.142857142857,0.142857142857143,0.142857142857143
2020-11-15,"WAS",22.75,36.375,62.525,257.875,7.1125,12.2625,1.875,1,2.625,19.75,92.775,14,24.875,101.125,3.875,0.875,5.875,30,60,38.5,21.5,1.375,13.75,0.625,0,0.875,0.25,0,3.5,0,7.875,1.75,2.5,54.7714285714286,27.5,2.625,2.625,100,1.75,39.75,24.0714285714286,0,22.625,0.875,9.5,11.3,0,8.125,3.625,191.25,52.05,22.5,5.25,12.75,40.725,0.75,1.125,37.5,5.75,58.125,359,-0.25,0.125
2020-11-22,"CAR",22.8888888888889,36,63.6555555555556,258.888888888889,7.22222222222222,12.1777777777778,2,0.888888888888889,2.44444444444444,18.5555555555556,96.6666666666667,13.7777777777778,24.4444444444444,101.555555555556,4,0.777777777777778,6,29.6666666666667,61.3333333333333,40.3333333333333,21,1.44444444444444,13.8888888888889,0.555555555555556,0,1,0.333333333333333,0,3.22222222222222,0,8.33333333333333,1.88888888888889,2.55555555555556,60.425,31,2.66666666666667,2.66666666666667,100,1.55555555555556,35.3333333333333,24.0714285714286,0,20.1111111111111,0.888888888888889,9.11111111111111,10.4166666666667,0,7.88888888888889,3.66666666666667,191.222222222222,51.5777777777778,22.3333333333333,5.11111111111111,12.4444444444444,40.6444444444444,0.666666666666667,1,33.3333333333333,6.11111111111111,57.7777777777778,360.444444444444,-0.111111111111111,0.111111111111111
