"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2020-09-10,"KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,"BAL",20,32,62.5,242,7.6,12.6,1,1,4,11,84.5,13,22,118,5.4,2,8,34,62,49,13,1,8,0,0,0,0,0,2,0,2,0,1,0,0,2,2,100,3,66,22,0,23,1,19,19,0,19,3,123,41,21,4,10,40,1,1,100,5,37,360,-1,0
2020-09-27,"PIT",22.5,34,65.95,247.5,7.3,11.8,1,1,4,16.5,87,14,19.5,84.5,4.2,1,5,33.5,64.5,45.5,19,2.5,17.5,0,0,0,0,0,2.5,0,6,1.5,2,50,22.5,1.5,1.5,100,2,41.5,19.5,0,20,1,14.5,14.5,0,14.5,3,131.5,43.85,19.5,3.5,9.5,36.65,0.5,1,50,4.5,29.5,332,-1.5,0.5
2020-10-04,"MIN",21.3333333333333,31.6666666666667,67.4333333333333,242,7.73333333333333,12.5,1.33333333333333,1,4.33333333333333,22,94.9,13.3333333333333,18,66,3.43333333333333,1,3.66666666666667,31.6666666666667,66,46.3333333333333,19.6666666666667,2.33333333333333,18,0,0,0.333333333333333,0,0,2.66666666666667,0,5,1,1.33333333333333,50,15,2,2,100,2.33333333333333,46.6666666666667,19.3333333333333,0,22.3333333333333,1.66666666666667,15.3333333333333,11.5666666666667,0,12.3333333333333,4,184.666666666667,45.4,17.3333333333333,4,10.3333333333333,38.3333333333333,0.333333333333333,0.666666666666667,33.3333333333333,4.33333333333333,36,308,-1.33333333333333,0.333333333333333
2020-10-11,"JAC",21,32,65.725,254,8,13.125,1.5,0.75,4,19,98.85,13,20,73.5,3.5,0.75,4,31.5,67.5,45.25,22.25,2.5,16.5,0,0,0.25,0,0,2.5,0,6.5,1.5,1.75,66.6666666666667,23.75,2,2,100,2.25,47.75,20.875,0,24,1.75,15,10.425,0,12.5,4,188.75,46.625,18,3.75,10.75,35,0.5,1,37.5,3.75,30.75,327.5,-1.25,0.5
2020-10-18,"TEN",21.8,32.6,66.86,274.6,8.44,13.38,1.8,1,3.4,15.6,100.9,13.6,20.4,84.6,3.98,0.6,4.6,28,67.6,44.4,23.2,2.8,15.6,0,0,0.4,0.4,0,2.6,0,7.6,1.8,2,75,28.2,2.2,2.2,100,1.8,38.2,20.875,0,19.2,1.6,13.8,10.14,0,11.8,3.4,157.6,43.9,19.2,4,10.6,38,0.6,1,50,4,29.6,359.2,-1,0.4
2020-10-25,"GB",22.8333333333333,33.5,68,282.166666666667,8.43333333333333,13.15,2.16666666666667,0.833333333333333,3.16666666666667,15.5,106.633333333333,14.1666666666667,21.5,85.8333333333333,3.88333333333333,0.666666666666667,4.83333333333333,30.3333333333333,67,45.3333333333333,21.6666666666667,2.66666666666667,16.6666666666667,0.166666666666667,0,0.5,0.5,0,3.16666666666667,0,7.33333333333333,1.66666666666667,1.83333333333333,80,29.8333333333333,2.33333333333333,2.5,95.8333333333333,1.83333333333333,38.3333333333333,20.6,0,19.3333333333333,1.5,11.5,8.45,0,9.83333333333333,3.5,166.166666666667,45.3,20.1666666666667,4.5,11.1666666666667,40,1,1.33333333333333,58.3333333333333,4,32.3333333333333,368,-0.5,0.333333333333333
2020-11-08,"JAC",23.7142857142857,34.2857142857143,68.9142857142857,282.714285714286,8.27142857142857,12.8,2.14285714285714,0.714285714285714,3.14285714285714,16.5714285714286,107.714285714286,14.2857142857143,21.5714285714286,84.8571428571429,3.84285714285714,0.571428571428571,4.71428571428571,31,65.5714285714286,43.5714285714286,22,2.28571428571429,14.2857142857143,0.142857142857143,0,0.428571428571429,0.428571428571429,0,2.71428571428571,0,7.42857142857143,1.71428571428571,2,77.7833333333333,31,2.28571428571429,2.42857142857143,96.4285714285714,1.57142857142857,32.8571428571429,20.6,0,16.5714285714286,1.57142857142857,12.5714285714286,8.6,0,10.4285714285714,3.57142857142857,171.714285714286,46.1571428571429,20.1428571428571,4.71428571428571,11.5714285714286,40.4142857142857,0.857142857142857,1.28571428571429,50,4.28571428571429,35.5714285714286,367.571428571429,-0.571428571428571,0.428571428571429
2020-11-15,"CLE",23.125,34,67.725,280.75,8.275,13.05,2.125,0.625,3,16.25,107.875,13.75,22.375,87.625,3.8375,0.625,5,30.25,65.125,42.875,22.25,2.25,14.5,0.25,0,0.5,0.375,0,2.75,0,7.625,1.75,2,80.9571428571429,33.875,2.375,2.5,96.875,1.5,31.25,20.5,0,17,1.375,11,8.6,0,9.125,3.75,178.125,45.9625,20,4.875,12,40.3625,0.75,1.125,43.75,4.125,33.375,368.375,-0.5,0.5
2020-11-22,"NE",22.7777777777778,33.5555555555556,67.6111111111111,266.555555555556,7.92222222222222,12.5,2,0.555555555555556,2.88888888888889,15.5555555555556,106.044444444444,13,22.3333333333333,87.8888888888889,3.86666666666667,0.555555555555556,5.33333333333333,28,64.5555555555556,42.3333333333333,22.2222222222222,2.11111111111111,13.6666666666667,0.222222222222222,0,0.444444444444444,0.333333333333333,0,2.55555555555556,0,6.88888888888889,1.55555555555556,1.88888888888889,70.8375,30.1111111111111,2.22222222222222,2.33333333333333,97.2222222222222,1.55555555555556,32.1111111111111,20.3571428571429,0,17.7777777777778,1.44444444444444,12.2222222222222,8.9,0,9.55555555555556,3.77777777777778,179.888888888889,46.2444444444444,19.5555555555556,5.11111111111111,12.2222222222222,41.4333333333333,0.666666666666667,1.11111111111111,38.8888888888889,4.33333333333333,35.1111111111111,354.444444444444,-0.444444444444444,0.444444444444444
