"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2020-09-10,"HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,"LAC",24,32,75,203,6.3,8.8,3,0,1,8,123.3,16,34,166,4.9,1,9,20,48,36,12,4,11,1,0,0,0,0,2,0,10,2,2,100,29,4,4,100,2,48,24,0,28,0,0,NA,0,0,3,136,45.3,28,7,13,53.8,1,1,100,1,5,369,1,0,34
2020-09-28,"BAL",25.5,39.5,66.2,246,6.2,10,2.5,0,1,10.5,107.1,15.5,28,145.5,5.3,0.5,8.5,20,66,42.5,23.5,3,13,1,0,0,0,0,2.5,0,9.5,2.5,2.5,100,43.5,2,2.5,50,1.5,39.5,27.5,0,29.5,0.5,8,16,0,8,4,178.5,44.75,25.5,7,14,50.25,1,1,100,6,47.5,391.5,1,0,28.5
2020-10-05,"NE",27.3333333333333,40.3333333333333,68.7333333333333,292.333333333333,7.2,10.8,3,0,0.666666666666667,7,115.9,17.6666666666667,29,141,4.96666666666667,0.666666666666667,7.33333333333333,20,59.3333333333333,37.6666666666667,21.6666666666667,3.33333333333333,17.6666666666667,0.666666666666667,0,1,0.333333333333333,0,2.66666666666667,0,7.66666666666667,1.66666666666667,2,66.6666666666667,29,2.66666666666667,3.33333333333333,60,1.33333333333333,32.6666666666667,24.6666666666667,0,26,0.666666666666667,7.66666666666667,11.5,0,7.66666666666667,3,138.333333333333,49.1666666666667,26.6666666666667,8,13.6666666666667,59.1333333333333,0.666666666666667,1.33333333333333,66.6666666666667,6,44.3333333333333,433.333333333333,0.666666666666667,0.333333333333333,30.3333333333333
2020-10-11,"LV",25.25,37.5,67.925,276.5,7.375,11.2,2.75,0,0.75,7,115.325,16.25,28,129.25,4.675,0.5,6.75,17.5,60.75,40.25,20.5,3,17.75,1.25,0.25,1,0.5,0,3.75,0,7.75,1.75,2,75,31.5,2.5,3.25,61.675,1,24.5,24.6666666666667,0,19.5,0.75,5.75,7.66666666666667,0,5.75,3.25,164.5,52.075,24.75,7,13,53.45,0.5,1,50,5.5,42.75,405.75,1.25,0.5,29.25
2020-10-19,"BUF",24.6,38.6,64.58,287.8,7.44,12.06,2.6,0.2,1.2,7,108.96,16,26.4,119.4,4.54,0.8,6,22,61,40.2,20.8,2.6,14.4,1.2,0.2,0.8,0.4,0,3.8,0,7.4,1.6,1.8,80,31.6,2.6,3.2,69.34,1.2,28.6,24.125,0,20.2,0.8,4.6,5.75,0,4.6,3.6,180.4,51.42,24,6.8,13.2,51.34,0.6,1.2,50,6.4,53,407.2,1,0.4,29.8
2020-10-25,"DEN",24,36.5,67.2833333333333,276.666666666667,7.61666666666667,11.8333333333333,2.5,0.166666666666667,1.16666666666667,6.5,112.2,15,29.6666666666667,140.333333333333,4.66666666666667,0.833333333333333,7.5,21.1666666666667,58.1666666666667,38.5,19.6666666666667,2.16666666666667,12,1.16666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0,3.83333333333333,0,7.5,1.66666666666667,1.83333333333333,83.3333333333333,32.5,2.5,3.16666666666667,68.9,1.33333333333333,29.3333333333333,22.6,0,20.5,1,4.16666666666667,4.8,0,4.16666666666667,3.33333333333333,163.666666666667,49.5166666666667,24.5,7.16666666666667,13.3333333333333,53.5,0.666666666666667,1.16666666666667,58.3333333333333,6.66666666666667,55.5,417,0.833333333333333,0.5,29.1666666666667
2020-11-01,"NYJ",23,34.8571428571429,67.3857142857143,263.571428571429,7.58571428571429,11.9285714285714,2.28571428571429,0.142857142857143,1.57142857142857,9.57142857142857,111.542857142857,14.1428571428571,28.5714285714286,134.714285714286,4.65714285714286,1,7.42857142857143,20.4285714285714,59.2857142857143,40,19.2857142857143,2.28571428571429,13.1428571428571,1.28571428571429,0.285714285714286,0.857142857142857,0.571428571428571,0,4,0,8.28571428571429,1.85714285714286,2,85.7142857142857,33.5714285714286,2.71428571428571,3.42857142857143,70.4857142857143,1.42857142857143,42.7142857142857,29.0833333333333,0.142857142857143,32.1428571428571,1.14285714285714,6.57142857142857,5.75,0,5.14285714285714,3.28571428571429,159.285714285714,48.7714285714286,23.4285714285714,6.14285714285714,12.5714285714286,45.8571428571429,0.571428571428571,1,50,5.85714285714286,49.7142857142857,398.285714285714,1.14285714285714,0.571428571428571,31.1428571428571
2020-11-08,"CAR",24.5,36.375,68.275,286.375,7.825,12.025,2.625,0.125,1.375,8.375,114.9875,15,27.5,124.125,4.3875,0.875,6.875,19,58.25,39.375,18.875,2.125,12.125,1.125,0.25,0.875,0.625,0,3.75,0,7.875,1.625,1.75,85.7142857142857,29.375,3,3.625,74.175,1.625,47.125,28.6428571428571,0.125,31.75,1.25,7.5,5.92857142857143,0,6.25,3.25,154.625,47.7625,23.625,6.25,12.625,46.85,0.625,1.25,47.9125,6,51.125,410.5,1.125,0.5,31.625
2020-11-22,"LV",25.1111111111111,37.3333333333333,68.1,294.666666666667,7.84444444444444,12.0666666666667,2.77777777777778,0.111111111111111,1.44444444444444,8.66666666666667,115.733333333333,15.3333333333333,25.6666666666667,114.333333333333,4.26666666666667,0.777777777777778,6.44444444444444,20.3333333333333,59.2222222222222,40.6666666666667,18.5555555555556,2.11111111111111,11.5555555555556,1,0.222222222222222,0.888888888888889,0.555555555555556,0,3.66666666666667,0,8,1.66666666666667,1.88888888888889,83.3375,32.2222222222222,3,3.66666666666667,74.2666666666667,1.44444444444444,41.8888888888889,28.6428571428571,0.111111111111111,28.2222222222222,1.22222222222222,7.33333333333333,5.9375,0,6.22222222222222,3,141.444444444444,46.4555555555556,23.6666666666667,6.22222222222222,12.4444444444444,47.7,0.555555555555556,1.11111111111111,42.5888888888889,6.22222222222222,53.7777777777778,409,0.888888888888889,0.555555555555556,31.7777777777778
2020-11-29,"TB",26.1,38.2,68.9,300.4,7.83,11.87,2.7,0.2,1.3,7.8,114.44,16,25.8,113.7,4.24,1,6.8,21.4,58.7,40,18.7,1.9,10.4,1,0.2,0.8,0.5,0,3.5,0,7.7,1.5,1.7,83.3375,29,3.2,3.8,76.84,1.6,44.4,27.85,0.1,28.3,1.2,6.6,5.27777777777778,0,5.6,2.9,138,47.16,24.9,6.1,12.1,48.49,0.7,1.2,48.33,6.6,57.3,414.1,0.8,0.5,32.1
