"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2020-09-13,"DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,"PHI",20,31,64.5,269,8.7,13.8,0,1,1,6,79.4,12,40,153,3.8,2,11,17,62,45,17,3,22,0,0,0,0,0,4,0,8,2,3,66.7,35,2,2,100,1,20,20,0,20,0,0,NA,0,0,3,142,47.3,23,9,17,52.9,1,1,100,5,34,422,-1,0
2020-09-27,"BUF",20,29,69.3,263.5,9.15,13.6,1.5,0.5,1,7.5,110.75,14.5,39.5,172,4.35,2,11,18,61.5,42,19.5,1.5,11,1,0,0.5,0.5,0,4.5,0,7.5,1.5,2,83.35,32.5,3,3.5,90,1,19.5,19.5,0,19.5,0.5,4,8,0,4,2.5,119,47.65,26.5,8,14.5,55.6,1,1,100,4.5,29,435.5,0.5,0.5
2020-10-04,"NYG",21,30,70.1666666666667,279.333333333333,9.33333333333333,13.7333333333333,1.66666666666667,0.666666666666667,1.33333333333333,8.33333333333333,111.033333333333,14.6666666666667,37,170.333333333333,4.63333333333333,2,11.6666666666667,23.6666666666667,59.6666666666667,40.6666666666667,19,2.33333333333333,19.6666666666667,1,0,0.666666666666667,0.666666666666667,0,3.66666666666667,0,7,1.33333333333333,2,72.2333333333333,31.6666666666667,3,3.33333333333333,93.3333333333333,1,18,18,0,18,0.333333333333333,2.66666666666667,8,0,2.66666666666667,1.66666666666667,79.3333333333333,47.65,27,7.33333333333333,13,57.0666666666667,0.666666666666667,1,66.6666666666667,4,29.3333333333333,449.666666666667,0.333333333333333,0.666666666666667
2020-10-11,"WAS",22,30.5,72.15,255,8.425,12.3,1.5,0.5,1.5,10.75,109.05,13,33.5,142.25,4.1,1.75,10.5,20,61.25,42.75,18.5,3,22.5,1,0,0.75,0.5,0,4,0,6.5,1.25,1.75,79.175,31.75,2.75,3,95,1.25,27.25,20.375,0,23.75,0.75,6,8,0,4.25,2.5,129.5,50.4333333333333,24,6.75,13,52.425,0.75,1,75,3.25,23.25,397.25,0.25,0.75
2020-10-18,"SF",21.8,30.4,71.72,264,8.74,12.78,1.6,0.6,1.4,10.4,109.58,12.6,33.8,139.6,4.02,1.8,9.8,18,58.8,40.4,18.4,4,26.2,0.8,0,0.8,0.4,0,4.2,0,6.4,1.2,1.6,83.34,31,2.8,3.2,91,1,21.8,20.375,0,19,2,11,6.8,0,5.4,3,144.6,48.075,23.2,6.6,13.4,49.94,0.6,1,60,3.6,30.6,403.6,0,0.6
2020-10-26,"CHI",21.3333333333333,31.6666666666667,68.1,253,8.15,12.3833333333333,1.66666666666667,0.666666666666667,1.16666666666667,8.66666666666667,103.316666666667,12,31.3333333333333,135.166666666667,4.33333333333333,1.5,9.33333333333333,19,60.6666666666667,40.3333333333333,20.3333333333333,3.33333333333333,21.8333333333333,0.666666666666667,0,0.666666666666667,0.333333333333333,0,4,0,6,1.16666666666667,1.5,86.1166666666667,32.8333333333333,2.5,3,84.1666666666667,1.33333333333333,29.6666666666667,20.9,0,20.8333333333333,2.16666666666667,14,7.525,0,7,3.5,169,48.16,22.1666666666667,6.16666666666667,13.1666666666667,47.1666666666667,0.5,1,50,4,31.1666666666667,388.166666666667,-0.166666666666667,0.5
2020-11-01,"MIA",21.5714285714286,31.8571428571429,68.3285714285714,247,7.9,11.9857142857143,1.71428571428571,0.571428571428571,1.14285714285714,8.71428571428571,104,12,31.7142857142857,138.714285714286,4.38571428571429,1.42857142857143,9.28571428571429,17.7142857142857,61,39.4285714285714,21.5714285714286,3.42857142857143,23.1428571428571,0.857142857142857,0,0.571428571428571,0.285714285714286,0,4.14285714285714,0,6,1.14285714285714,1.57142857142857,80.9571428571429,31.2857142857143,2.57142857142857,3,86.4285714285714,1.42857142857143,31.2857142857143,20.8333333333333,0,21.1428571428571,2.14285714285714,14,7.42,0,8.14285714285714,3.71428571428571,176.428571428571,47.5,22.4285714285714,5.85714285714286,13.1428571428571,44.8285714285714,0.428571428571429,0.857142857142857,42.8571428571429,4,33.2857142857143,385.714285714286,0,0.571428571428571
2020-11-15,"SEA",23.25,35.5,66.9625,258.625,7.6125,11.75,1.625,0.75,1.25,9.5,99.2375,12.875,31.375,137.75,4.4,1.375,9.5,19,59,37.625,21.375,3.125,20.625,0.75,0,0.75,0.5,0,4,0,5.875,1.125,1.625,77.0875,30.25,2.5,2.875,88.125,1.5,31,19.9285714285714,0,21.625,2.25,13.125,6.56666666666667,0,7.75,4,189.875,47.4714285714286,23.5,6,13.625,44.375,0.375,0.875,37.5,4.125,34.75,396.375,-0.25,0.75
2020-11-23,"TB",23.6666666666667,35.6666666666667,67.6333333333333,261.333333333333,7.61111111111111,11.6888888888889,1.44444444444444,0.666666666666667,1.44444444444444,10.5555555555556,98.9777777777778,13.1111111111111,31.1111111111111,134.222222222222,4.32222222222222,1.55555555555556,9.33333333333333,18.6666666666667,58.2222222222222,38.7777777777778,19.4444444444444,3.44444444444444,21.4444444444444,0.888888888888889,0,0.666666666666667,0.555555555555556,0,4,0,5.77777777777778,1.11111111111111,1.55555555555556,79.6333333333333,29.4444444444444,2.44444444444444,2.88888888888889,85.7444444444444,1.55555555555556,31.6666666666667,19.75,0,21.4444444444444,2.11111111111111,13.3333333333333,7.77142857142857,0,8.55555555555556,4,186.333333333333,46.475,23.5555555555556,6.33333333333333,13.7777777777778,46.1111111111111,0.444444444444444,0.888888888888889,44.4444444444444,4.11111111111111,36.3333333333333,395.555555555556,0,0.777777777777778
