"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2020-09-13,"CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,"KC",16,30,53.3,207,6.9,13,0,0,2,1,75.4,10,39,155,4,1,7,13,62,45,17,3,20,1,0,1,1,0,3,0,10,3,4,75,43,1,1,100,1,46,46,0,46,2,7,3.5,0,7,5,244,48.8,19,6,16,37.5,0,2,0,6,35,362,2,0,16
2020-09-27,"CAR",19,31.5,60,251.5,7.95,13.55,0.5,0.5,2,8,84.9,12,41.5,169,4.1,1,10,18,62,42,20,2,16.5,0.5,0,0.5,0.5,0,4,0,9,2.5,3,87.5,42,1.5,1.5,100,2.5,65.5,33.65,0,37,1.5,5,3.25,0,5,4,187.5,46.25,23.5,6,14.5,41.85,0.5,2,25,6,37.5,420.5,0.5,0,18
2020-10-04,"TB",24.3333333333333,37.3333333333333,63.8,274,7.46666666666667,12.1666666666667,0.666666666666667,0.666666666666667,2,9,85.9333333333333,14,35.3333333333333,151.666666666667,4.43333333333333,1,9,19,60,40,20,2,15.6666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,0,3,0,7.33333333333333,2,2.33333333333333,91.6666666666667,41.6666666666667,1.33333333333333,1.33333333333333,100,2,51.3333333333333,30.1,0,32.3333333333333,1.66666666666667,6.66666666666667,3.83333333333333,0,6.66666666666667,3.66666666666667,164.666666666667,44.0666666666667,24.3333333333333,7.33333333333333,14.6666666666667,50.1333333333333,0.333333333333333,1.33333333333333,16.6666666666667,6.66666666666667,45,425.666666666667,-1,1,17.3333333333333
2020-10-12,"NO",23.25,34.25,67.85,275,8.375,12.75,1.25,0.75,2,9.75,98.925,12.75,32.25,125.25,3.825,0.75,7.75,23.75,61.25,39.5,21.75,1.5,11.75,0.5,0.25,0.25,0.25,0,3.5,0,7.25,1.75,2.25,81.25,44.5,2,2,100,1.5,38.5,30.1,0,24.25,1.5,7.5,5.375,0,7.5,3.5,163.5,46.375,22,6.5,13.5,47.6,0.5,1.25,37.5,6.75,48.75,400.25,-1,1,20.75
2020-10-25,"JAC",22.6,34.2,66.04,267.8,8.1,12.84,1.8,0.6,2.2,12.8,103.68,12.6,32.2,122.4,3.76,0.6,7.2,25,62.6,40.8,21.8,1.6,11.8,0.6,0.2,0.4,0.2,0,3.6,0,6.4,1.4,2,65,35.6,2.2,2.4,95,2,44.8,26.95,0,24,1.4,7.8,6.1,0,7.8,4.2,198.6,46.78,21.4,6.8,14.2,47.5,0.4,1.2,30,5.6,41,390.2,-0.6,0.8,22
2020-11-01,"DEN",23.5,35.8333333333333,65.6333333333333,281.333333333333,8.06666666666667,12.7833333333333,2,0.5,2,11,104.916666666667,13.1666666666667,32.1666666666667,124.5,3.83333333333333,0.833333333333333,7.5,25.6666666666667,60.8333333333333,39.3333333333333,21.5,2.16666666666667,13,0.5,0.166666666666667,0.5,0.333333333333333,0,3.16666666666667,0,6.83333333333333,1.5,2.16666666666667,65.2833333333333,35.5,2.33333333333333,2.66666666666667,91.6666666666667,2,42.1666666666667,24.46,0,22.6666666666667,1.66666666666667,7.66666666666667,5.46666666666667,0,7.5,4.16666666666667,188.5,44.7333333333333,22.6666666666667,6.66666666666667,14.1666666666667,46.7333333333333,0.333333333333333,1,25,5.16666666666667,40,405.833333333333,-0.333333333333333,0.666666666666667,24.8333333333333
2020-11-08,"LV",24.2857142857143,37,65.6714285714286,280.428571428571,7.81428571428571,12.3285714285714,2.14285714285714,0.714285714285714,2,9.85714285714286,102.371428571429,13.4285714285714,33,136.714285714286,4.07142857142857,0.714285714285714,7.85714285714286,26.4285714285714,58.5714285714286,38.2857142857143,20.2857142857143,2.14285714285714,11.8571428571429,0.571428571428571,0.142857142857143,0.428571428571429,0.285714285714286,0,3.57142857142857,0,7.57142857142857,1.71428571428571,2.28571428571429,70.2428571428571,37.8571428571429,2.42857142857143,2.71428571428571,92.8571428571429,1.85714285714286,39.8571428571429,24.7166666666667,0,23.1428571428571,1.85714285714286,12,6.5,0,10.7142857142857,4,178.285714285714,43.9142857142857,23.4285714285714,6.71428571428571,14.4285714285714,46.3142857142857,0.285714285714286,1,21.4285714285714,5.28571428571429,43.8571428571429,417.142857142857,-0.428571428571429,0.571428571428571,25.5714285714286
2020-11-15,"MIA",24.75,37.625,65.8,284.375,7.7625,12.2375,2.125,0.625,2,10.375,102.8125,14,32.75,135.625,4.075,0.75,7.625,27,56.875,37.125,19.75,2,11,0.5,0.125,0.5,0.375,0,3.625,0,7.625,1.75,2.375,69.8,38.75,2.375,2.625,93.75,2,43.625,24.5142857142857,0,24.25,1.875,10.5,5.6875,0,9.375,3.875,174.25,44.5125,23.75,6.75,14.5,46.3625,0.5,1.125,31.25,5.25,44,420,-0.375,0.625,25.625
2020-11-22,"NYJ",24.2222222222222,37,65.4333333333333,272.111111111111,7.5,11.9222222222222,2.11111111111111,0.666666666666667,2,10.6666666666667,100.977777777778,13.5555555555556,32.3333333333333,131.555555555556,4,0.777777777777778,7.77777777777778,27.2222222222222,55.7777777777778,36.8888888888889,18.8888888888889,1.77777777777778,9.77777777777778,0.444444444444444,0.111111111111111,0.444444444444444,0.444444444444444,0,3.44444444444444,0,7.11111111111111,1.55555555555556,2.11111111111111,69.8,34.4444444444444,2.44444444444444,2.66666666666667,94.4444444444444,2.22222222222222,47.6666666666667,23.95,0,25,1.66666666666667,9.33333333333333,5.6875,0,8.33333333333333,4,173.888888888889,43.3666666666667,23.2222222222222,6.44444444444444,14.3333333333333,44.6333333333333,0.666666666666667,1.33333333333333,35.1888888888889,5.22222222222222,42.5555555555556,403.666666666667,-0.333333333333333,0.555555555555556,25.1111111111111
2020-11-29,"BUF",25.5,38.2,66.44,279.6,7.46,11.72,2.2,0.6,2.1,11.5,102.53,14,31.7,121.3,3.71,0.7,7.5,27.3,54.5,36,18.5,1.7,9.7,0.5,0.2,0.4,0.4,0,3.5,0,7.4,1.6,2.1,73.1555555555556,35.4,2.6,2.8,95,2.1,44.6,23.1777777777778,0,24.2,1.6,8.9,5.61111111111111,0,8,3.9,167.5,42.7,23.7,6.7,14.4,46.17,0.6,1.3,31.67,5.6,46.1,400.9,-0.3,0.6,26
