"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2020-09-13,"MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,"SEA",15,19,78.9,140,7.4,10.3,0,0,2,15,100.7,8,42,217,5.2,3,18,11,65,46,19,1,9,3,0,0,0,0,5,0,3,0,1,0,0,3,3,100,0,0,NA,0,0,1,0,0,0,0,3,119,39.7,29,5,10,50,1,1,100,3,47,357,2,1
2020-09-27,"LV",22.5,31.5,73.55,268.5,8.2,11.75,0.5,0.5,1.5,7.5,97.65,15,33.5,142,3.95,2.5,11.5,23,62.5,42,20.5,1.5,11,2,0.5,0,0,0,3,0,4.5,0.5,1.5,25,12.5,3,3,100,2,49.5,24.8,0,15,1,0,0,0,0,2.5,116,48.1,29,6,11,54.15,1,1,100,2.5,29.5,410.5,1,0.5
2020-10-05,"KC",20.6666666666667,30.3333333333333,69.2666666666667,231,7.33333333333333,11,0.666666666666667,0.666666666666667,1.66666666666667,7,89.7,12.6666666666667,35,178,4.83333333333333,2.33333333333333,12.3333333333333,22,61,40,21,1.66666666666667,11.3333333333333,1.33333333333333,0.333333333333333,1,1,0.333333333333333,4.33333333333333,0,7,1.33333333333333,2,50,19.3333333333333,3,3.33333333333333,91.6666666666667,1.66666666666667,38.6666666666667,20.9,0,15.6666666666667,1,3.66666666666667,3.66666666666667,0,3.66666666666667,2.33333333333333,109,47.9,27.6666666666667,5,11,45.2,0.666666666666667,0.666666666666667,66.6666666666667,2.33333333333333,30.6666666666667,409,1.33333333333333,0.333333333333333
2020-10-18,"DEN",20.5,32,65.475,216.25,6.65,10.625,0.75,1.25,1.75,9.75,78.225,12.5,35,179.75,4.95,1.75,11.25,23,58.25,38,20.25,1.5,10.25,1,0.25,1,1,0.25,3.75,0,6.25,1.25,1.75,62.5,25.25,2.5,2.75,93.75,1.25,29,20.9,0,11.75,1,5.75,5.75,0,5.75,2.5,121,49,26,5.25,12,43.9,1,1.25,66.675,2.75,33.75,396,0.25,0.5
2020-10-25,"SF",20.2,31,66.46,207.2,6.58,10.56,0.6,1.4,2.2,12.6,74.58,11.8,33,167.2,4.9,1.6,10,22,58.4,37.6,20.8,1.6,13.2,1.2,0.2,0.8,0.8,0.2,4,0,6.2,1.4,1.8,70,28.4,2,2.2,93.75,1.6,38.6,22.5,0,16,0.8,4.6,5.75,0,4.6,2.6,125.8,48.86,23.6,5,12.2,41.28,1,1.4,63.34,2.4,27.8,374.4,0,0.6
2020-11-01,"BUF",19.3333333333333,30,65.3833333333333,197.166666666667,6.46666666666667,10.6,0.5,1.83333333333333,2.16666666666667,13,68.7333333333333,11.5,31.1666666666667,155,4.8,1.33333333333333,9.16666666666667,23.8333333333333,59.8333333333333,39,20.8333333333333,1.5,12.1666666666667,1.33333333333333,0.166666666666667,0.666666666666667,0.666666666666667,0.166666666666667,3.66666666666667,0,6.16666666666667,1.5,1.83333333333333,75,30.5,1.66666666666667,1.83333333333333,93.75,2.33333333333333,58,23.325,0,18.8333333333333,0.666666666666667,3.83333333333333,5.75,0,3.83333333333333,2.5,119.833333333333,48.2166666666667,22.5,4.33333333333333,11.1666666666667,37.1833333333333,0.833333333333333,1.16666666666667,52.7833333333333,2.5,28.1666666666667,352.166666666667,-0.333333333333333,0.5
2020-11-09,"NYJ",18.7142857142857,29.2857142857143,64.6142857142857,192,6.45714285714286,10.7428571428571,0.428571428571429,1.57142857142857,2.14285714285714,13,70.5,11,31.5714285714286,159.714285714286,4.9,1.42857142857143,9.42857142857143,23.8571428571429,59.2857142857143,38.7142857142857,20.5714285714286,1.42857142857143,11.1428571428571,1.28571428571429,0.142857142857143,0.571428571428571,0.571428571428571,0.142857142857143,3.57142857142857,0,6.28571428571429,1.57142857142857,1.85714285714286,78.5714285714286,32.2857142857143,1.57142857142857,1.71428571428571,95,2.42857142857143,57.2857142857143,22.2,0,19.1428571428571,0.714285714285714,5.42857142857143,7.6,0,5.42857142857143,2.71428571428571,127.428571428571,47.5142857142857,22.1428571428571,4.42857142857143,11,39.0142857142857,0.714285714285714,1,45.2428571428571,2.85714285714286,29.1428571428571,351.714285714286,-0.285714285714286,0.571428571428571
2020-11-15,"BAL",19.75,30,66.175,202.25,6.625,10.6625,0.375,1.375,1.875,11.375,74.0625,11.25,32.75,159.625,4.775,1.625,10,24.25,57.375,37,20.375,1.375,10.375,1.25,0.125,0.5,0.5,0.125,3.5,0,7,1.75,2,81.25,34.625,1.75,1.875,95.8333333333333,2.625,62.625,22.6666666666667,0,20.625,0.625,4.75,7.6,0,4.75,2.5,118.875,48.95,23.125,4.875,11.375,41.275,0.75,1.125,45.8375,3.25,35.625,361.875,-0.125,0.5
2020-11-22,"HOU",19.1111111111111,28.6666666666667,67.4666666666667,194.777777777778,6.72222222222222,10.6,0.555555555555556,1.22222222222222,1.77777777777778,10.8888888888889,81.0111111111111,11.1111111111111,33.4444444444444,161.111111111111,4.73333333333333,1.55555555555556,10.1111111111111,23.4444444444444,58.3333333333333,38,20.3333333333333,1.44444444444444,10,1.22222222222222,0.111111111111111,0.444444444444444,0.444444444444444,0.111111111111111,3.55555555555556,0,6.77777777777778,1.66666666666667,1.88888888888889,83.3333333333333,33,1.77777777777778,2,91.6714285714286,2.33333333333333,55.6666666666667,22.6666666666667,0,18.3333333333333,0.555555555555556,4.22222222222222,7.6,0,4.22222222222222,2.66666666666667,124.888888888889,48.3222222222222,23.3333333333333,4.88888888888889,11.3333333333333,41.7444444444444,0.777777777777778,1.11111111111111,51.8555555555556,3.22222222222222,33.6666666666667,355.888888888889,0,0.444444444444444
2020-11-29,"ARI",19.8,29.8,67.22,210.2,6.92,10.94,0.6,1.1,1.8,11.4,83.17,11.6,32.5,153.6,4.62,1.5,9.7,23.8,58.1,37.6,20.5,1.3,9,1.1,0.1,0.4,0.4,0.1,3.4,0,6.9,1.7,1.9,85,34.2,1.8,2,92.7125,2.2,51.3,21.1428571428571,0,17.7,0.7,4.1,6.58333333333333,0,4.1,2.7,127.5,48.52,23.2,5.1,11.5,42.95,0.7,1.1,46.67,3.6,35.8,363.8,0,0.4
2020-12-06,"LAC",18.8181818181818,28.7272727272727,65.6545454545455,197.363636363636,6.63636363636364,10.7909090909091,0.545454545454545,1.18181818181818,1.90909090909091,11.7272727272727,77.7545454545455,10.9090909090909,32.2727272727273,149.636363636364,4.53636363636364,1.54545454545455,9.54545454545454,23.1818181818182,59.6363636363636,38.9090909090909,20.7272727272727,1.36363636363636,9.09090909090909,1.09090909090909,0.0909090909090909,0.363636363636364,0.363636363636364,0.0909090909090909,3.27272727272727,0,7,1.72727272727273,1.90909090909091,86.3636363636364,35.6363636363636,1.81818181818182,2,93.5222222222222,2.18181818181818,53.4545454545455,23.1875,0,20.9090909090909,0.818181818181818,9.81818181818182,10.4285714285714,0,9,2.72727272727273,131.272727272727,49.2272727272727,22.5454545454545,5,11.4545454545455,42.3545454545455,0.727272727272727,1.09090909090909,51.5181818181818,3.81818181818182,36.3636363636364,347,-0.0909090909090909,0.363636363636364
