"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2020-09-13,"TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-21,"LV",19,31,61.3,189,6.1,10.4,2,0,1,9,101.3,10,34,82,2.4,1,5,23,57,44,13,3,15,2,1,1,1,0,5,0,10,2,2,100,29,4,4,100,0,0,NA,0,0,4,59,14.8,0,18,6,264,44,18,5,15,33.3,0,1,0,6,119,271,3,0
2020-09-27,"GB",22.5,34.5,64.85,250.5,7.15,11.2,1.5,0.5,0.5,4.5,96.2,13.5,26.5,97,4.15,1.5,6.5,28.5,65.5,45,20.5,3,19,1,0.5,0.5,1,0,4,0,8,1.5,1.5,100,30,3.5,3.5,100,1,32,32,0,17.5,2,29.5,14.8,0,9,4.5,186.5,40.15,22,6,13,48.45,0,0.5,0,8,124,347.5,1.5,0
2020-10-04,"DET",24.6666666666667,35,70.1,258.666666666667,7.3,10.7666666666667,2,0.333333333333333,1,7.33333333333333,106.733333333333,13.6666666666667,24.3333333333333,105.333333333333,4.8,1,6,31.3333333333333,60,42.6666666666667,17.3333333333333,2.33333333333333,16.6666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0,3,0,9.33333333333333,2,2,100,35,3.33333333333333,3.33333333333333,100,1.66666666666667,47.3333333333333,29,0,21.6666666666667,1.66666666666667,24.3333333333333,14.4,0,10.6666666666667,4,162.666666666667,39.5333333333333,21.6666666666667,5.66666666666667,12.3333333333333,47.4666666666667,0.333333333333333,0.666666666666667,33.3333333333333,8,110.333333333333,364,0.666666666666667,0.333333333333333
2020-10-12,"LAC",23.25,32.5,71.575,251,7.75,11.3,2,0.5,1.25,10,109.15,14,28.75,120,4.575,1.5,7.75,30.75,55.25,40.75,14.5,2.5,16.25,0.75,0.25,0.25,0.5,0,3,0,8.25,1.5,1.5,100,26.25,3.75,3.75,100,1.75,42.25,23.8333333333333,0,19.75,2,26.5,13.2666666666667,0,13.5,3.5,138.5,37.9,23.5,6.75,12.75,53.45,0.5,0.75,50,7,99.5,371,0.5,0.25
2020-10-25,"CAR",25.2,35.6,71.02,263.4,7.5,11,1.8,0.6,1.4,10.4,104.5,14.6,28,115,4.42,1.6,7.4,30,57.2,39,18.2,2.6,18,0.6,0.2,0.2,0.4,0,3,0,9,1.8,1.8,100,31.6,3.6,3.6,100,2,51.4,25.2,0,22,2.8,35,12.825,0,14.6,4,167,39.68,23.4,6.4,13.2,49.42,0.4,0.6,40,6.6,91.6,378.4,0.2,0.2
2020-11-01,"CHI",26,35.8333333333333,72.7,265.666666666667,7.5,10.7666666666667,1.83333333333333,0.5,1.33333333333333,10.3333333333333,106.583333333333,14.8333333333333,28.1666666666667,118.833333333333,4.48333333333333,1.5,7.66666666666667,29,54.6666666666667,37.3333333333333,17.3333333333333,2.33333333333333,16.3333333333333,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0,2.66666666666667,0,9,1.83333333333333,1.83333333333333,100,33.5,3.5,3.5,100,2,50.6666666666667,24.86,0,23.1666666666667,2.5,29.8333333333333,11.06,0,12.8333333333333,3.33333333333333,139.166666666667,39.68,23.8333333333333,7.33333333333333,13.3333333333333,55.4666666666667,0.333333333333333,0.5,33.3333333333333,6.5,84.6666666666667,384.5,0,0.333333333333333
2020-11-08,"TB",26.7142857142857,36.5714285714286,73.1142857142857,266.571428571429,7.37142857142857,10.5142857142857,1.85714285714286,0.428571428571429,1.28571428571429,10,107.042857142857,14.2857142857143,28.4285714285714,119.285714285714,4.42857142857143,1.28571428571429,8,28.1428571428571,56.1428571428571,38.1428571428571,18,2.71428571428571,19.5714285714286,0.571428571428571,0.142857142857143,0.142857142857143,0.285714285714286,0,2.71428571428571,0,9.71428571428571,2.14285714285714,2.28571428571429,96.6666666666667,34.2857142857143,3.28571428571429,3.28571428571429,100,2.42857142857143,56.8571428571429,23.85,0,24.2857142857143,2.57142857142857,35.1428571428571,12.9333333333333,0,17,3.42857142857143,141.142857142857,39.45,23.7142857142857,6.57142857142857,13.2857142857143,49.7428571428571,0.571428571428571,0.857142857142857,38.1,6.28571428571429,79,385.857142857143,0.142857142857143,0.285714285714286
2020-11-15,"SF",27,36.375,74.3375,268.5,7.4625,10.4125,2.125,0.375,1.25,8.75,110.95,14.375,29.5,121.625,4.3375,1.25,8.375,25,53.125,36.375,16.75,2.75,20,0.875,0.125,0.125,0.25,0,3.375,0,9.5,2,2.125,97.1428571428571,34.5,3.5,3.5,100,2.125,49.75,23.85,0,21.25,2.625,34.5,12.5142857142857,0,16.75,3.125,129.875,41.1,24.125,6.875,13.375,51.5625,0.625,1,39.5875,5.875,72.625,390.125,0.25,0.5
2020-11-22,"ATL",25.5555555555556,34.8888888888889,72.8444444444444,252.333333333333,7.22222222222222,10.3555555555556,2,0.333333333333333,1.44444444444444,9.55555555555556,108.9,13.6666666666667,29.5555555555556,120.777777777778,4.27777777777778,1.33333333333333,8.22222222222222,23.6666666666667,54.2222222222222,36.8888888888889,17.3333333333333,2.66666666666667,19.4444444444444,1,0.111111111111111,0.111111111111111,0.444444444444444,0,4,0,9.44444444444444,2,2.11111111111111,97.5,36.1111111111111,3.44444444444444,3.44444444444444,100,2.22222222222222,57.7777777777778,26.2571428571429,0,27.2222222222222,2.55555555555556,30.4444444444444,10.825,0,14.8888888888889,3.33333333333333,138.222222222222,41.0875,23.3333333333333,6.33333333333333,13.2222222222222,47.6888888888889,0.555555555555556,0.888888888888889,35.1888888888889,5.77777777777778,71.3333333333333,373.111111111111,0.444444444444444,0.666666666666667
