"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2020-09-14,"NYG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,"DEN",21,32,65.6,208,6.5,10.9,3,0,2,21,117.8,14,30,141,4.7,0,5,16,52,41,11,3,17,2,0,0,0,0,5,0,8,2,2,100,41,2,3,66.7,1,33,33,0,33,3,13,4.3,0,12,4,183,45.8,19,8,15,53.3,1,1,100,3,21,349,1,1
2020-09-27,"HOU",25,36.5,68.15,254.5,6.9,10.8,2.5,0.5,1.5,15.5,108.25,14.5,26,125,4.85,0.5,4.5,18.5,53.5,40.5,13,5,39,1.5,0,0.5,0.5,0,5.5,0.5,7,1.5,1.5,100,31,2.5,3,83.35,2,60.5,31.15,0,41,2.5,19,8.4,0,15,4.5,196,43.8,19,5,13.5,35,1,1.5,75,6.5,55,379.5,0.5,1
2020-10-11,"PHI",24.3333333333333,36.3333333333333,66.7333333333333,242.333333333333,6.63333333333333,10.6333333333333,2.33333333333333,0.333333333333333,1.66666666666667,16.6666666666667,105.933333333333,14,30,139.666666666667,4.7,0.666666666666667,6.33333333333333,19.3333333333333,49.3333333333333,38.3333333333333,11,5,37,1.33333333333333,0,0.333333333333333,0.333333333333333,0,4.66666666666667,0.333333333333333,7.33333333333333,1.66666666666667,1.66666666666667,100,31.6666666666667,2.33333333333333,2.66666666666667,88.9,2,56,28.6,0,36.6666666666667,2.33333333333333,21,9.76666666666667,0,14.3333333333333,4.33333333333333,189.666666666667,43.9666666666667,21,6,15,38.1333333333333,1.33333333333333,1.66666666666667,83.3333333333333,5,41.3333333333333,382,0.666666666666667,0.666666666666667
2020-10-18,"CLE",25,35.75,69.9,239.5,6.675,10.2,2.5,0.25,1.5,14.5,110.8,13.75,30.5,138.75,4.6,1,6.5,21.75,48.75,37.5,11.25,5,36.25,1.5,0,0.25,0.25,0,4.75,0.25,7.5,1.5,1.5,100,34,3,3.25,91.675,2,54,27.45,0,33.5,2.25,18.75,8.825,0,12.25,3.75,163,43.35,22,7.25,15,46.925,1,1.25,62.5,5.75,52.5,378.25,0.75,0.75
2020-10-25,"TEN",23,33.2,68.96,221.2,6.62,10.4,2.2,0.2,1.6,15.6,108.92,12,31.8,136.8,4.38,1.4,7.6,18.8,49.2,37.2,12,4.8,33,1.6,0.2,0.4,0.2,0,5.2,0.2,7.6,1.4,1.4,100,34.2,3.4,3.6,93.34,1.8,48.8,27.56,0,32.4,2.4,22.4,9.52,0,13.2,4,172.2,43.04,21.2,6.8,14.8,44.68,1.2,1.4,70,5.8,51,358,1,0.6
2020-11-01,"BAL",24.5,35.8333333333333,68.35,229,6.43333333333333,10.0666666666667,2.16666666666667,0.666666666666667,1.33333333333333,13,102,12.5,30.6666666666667,129.666666666667,4.28333333333333,1.33333333333333,7.33333333333333,19.6666666666667,49.3333333333333,36.8333333333333,12.5,4.33333333333333,29.1666666666667,1.33333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0,5.33333333333333,0.166666666666667,7.83333333333333,1.5,1.5,100,34.8333333333333,3.33333333333333,3.5,94.45,1.66666666666667,43.5,25.8,0,29.8333333333333,2.5,32.5,12.55,0,20.5,3.66666666666667,160.166666666667,44.2,21.5,7.83333333333333,15.3333333333333,49.2666666666667,1,1.16666666666667,58.3333333333333,6.16666666666667,54,358.666666666667,0.333333333333333,0.5
2020-11-08,"DAL",24,35.2857142857143,67.9571428571429,221,6.28571428571429,9.87142857142857,2.14285714285714,0.571428571428571,1.42857142857143,12.4285714285714,101.9,12.2857142857143,28.5714285714286,118,4.1,1.28571428571429,6.71428571428571,20.2857142857143,52.2857142857143,39.2857142857143,13,4.28571428571429,27.2857142857143,1.42857142857143,0.285714285714286,0.714285714285714,0.428571428571429,0,5.14285714285714,0.142857142857143,7.28571428571429,1.28571428571429,1.28571428571429,100,29.8571428571429,3.42857142857143,3.57142857142857,95.2428571428571,1.71428571428571,44.1428571428571,25.5428571428571,0,29.2857142857143,2.28571428571429,28.5714285714286,11.4714285714286,0,18.2857142857143,4,173.428571428571,43.9142857142857,21.1428571428571,7.14285714285714,14.4285714285714,46.9857142857143,0.857142857142857,1,50,5.71428571428571,50.5714285714286,339,0.714285714285714,0.571428571428571
2020-11-15,"CIN",24.875,36.5,68.075,232,6.3625,9.8875,2.25,0.5,1.25,10.875,102.95,12.625,27.25,109,3.9125,1.125,6.125,20.125,52.625,40.125,12.5,4,26.75,1.375,0.25,0.75,0.5,0,5.125,0.125,7.125,1.375,1.375,100,33.5,3,3.375,83.3375,1.625,42.25,25.975,0,29.25,2.125,25,10.0375,0,16,4,177.125,44.775,21,6.875,14.25,45.925,0.75,1.125,43.75,5.375,46.25,341,0.875,0.5
2020-11-22,"JAC",25.1111111111111,37.5555555555556,67.0333333333333,243.222222222222,6.45555555555556,10.1555555555556,2.44444444444444,0.444444444444444,1.11111111111111,9.66666666666667,103.744444444444,13.1111111111111,26.4444444444444,101.777777777778,3.72222222222222,1,5.66666666666667,19,53,40.1111111111111,12.8888888888889,4,26.8888888888889,1.22222222222222,0.222222222222222,0.888888888888889,0.666666666666667,0,5,0.111111111111111,7.66666666666667,1.55555555555556,1.55555555555556,100,34.7777777777778,3,3.33333333333333,85.1888888888889,1.77777777777778,43,24.9,0,28.5555555555556,2.33333333333333,28.8888888888889,10.5888888888889,0,18.8888888888889,4.33333333333333,195.777777777778,45.2777777777778,21.1111111111111,6.77777777777778,14.4444444444444,44.9888888888889,0.666666666666667,1,38.8888888888889,5.44444444444444,46.1111111111111,345,1,0.444444444444444
