"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2021-08-13,"TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-21,"MIA",7,21,33.3,21,1,7.4,0,1,5,31,22.5,0,20,117,5.8,0,4,23,66,42,24,4,32,0,0,1,0,0,1,0,3,1,2,50,42,0,0,NA,6,144,24,0,38,3,32,10.7,0,12,6,324,54,6,2,12,16.7,0,1,0,11,99,138,-1,0,NA
2021-08-29,"CLE",7,18,40,43.5,2.7,10.05,0,1,4.5,27,30.2,2.5,25.5,152,5.9,1,7,30,71,42,29,2.5,17.5,0,0,0.5,0,0,2,0,4,1,1.5,75,47.5,1,1,100,5,119.5,23.9,0,33,2,18,7.35,0,8,4,213,52.5,11,2,10.5,19.45,1,2,33.35,7.5,67,195.5,-1,0,NA
2021-09-12,"PHI",9.33333333333333,20.6666666666667,44.6,82.6666666666667,3.86666666666667,11.0666666666667,0.333333333333333,0.666666666666667,4.33333333333333,25.6666666666667,49.9,4.33333333333333,25,128,5.03333333333333,0.666666666666667,6,26.3333333333333,71,37,34,1.66666666666667,11.6666666666667,0.666666666666667,0,0.333333333333333,0,0,4,0,4,1,1.33333333333333,83.3333333333333,45.3333333333333,1,1,100,4.33333333333333,105.666666666667,24.6,0,31.6666666666667,1.33333333333333,12,7.35,0,5.33333333333333,3.66666666666667,189.666666666667,50.9,11.3333333333333,2.66666666666667,11,24.0666666666667,1,2.66666666666667,30.5666666666667,6.33333333333333,68,210.666666666667,-0.666666666666667,0.666666666666667,NA
2021-09-19,"TB",12.25,24.25,48.45,96,3.875,10.25,0.25,0.5,4,26.25,55.325,5.25,25.25,127,4.975,0.5,6.25,27.75,70.25,37.75,32.5,1.5,9.5,0.5,0,0.25,0,0,3.75,0,4.5,1.25,1.5,87.5,40.75,0.75,0.75,100,3.75,86.5,22.075,0,30,1.5,11.75,6.73333333333333,0,5.75,4.25,212,49.8,13.25,2.75,11.75,23.4,1,2.75,31.25,7.75,75.75,223,-0.5,0.5,6
2021-09-26,"NYG",16.8,29,53.34,135.4,4.32,9.92,0.6,1,3.4,22.4,59.6,7.2,24.2,112.6,4.54,0.6,5.4,31.8,67,35.6,31.4,1.8,11,0.4,0,0.6,0.2,0,3.8,0,4.6,1.2,1.4,90,39.8,1,1,100,4,86.4,21.1,0,29.4,1.6,11.6,6.425,0,5.8,4.2,201,47.7,14.4,3.4,12.4,26.72,1,3,30,7.4,70.4,248,-0.8,0.4,15.5
2021-10-03,"WAS",18.5,30.1666666666667,56.95,150.666666666667,4.65,9.76666666666667,0.833333333333333,0.833333333333333,3.33333333333333,21.3333333333333,68.2,8,23.5,105.333333333333,4.36666666666667,0.5,5,28.8333333333333,65.8333333333333,36.8333333333333,29,1.83333333333333,12.5,0.333333333333333,0,0.833333333333333,0.333333333333333,0,4.5,0,4.66666666666667,1.16666666666667,1.33333333333333,91.6666666666667,39.8333333333333,1.16666666666667,1.16666666666667,100,3.83333333333333,80.3333333333333,20.3666666666667,0,28.5,1.83333333333333,13.6666666666667,6.74,0,7.33333333333333,4.5,214.833333333333,47.6333333333333,15,3.66666666666667,12.5,28.6833333333333,0.833333333333333,2.5,25,6.83333333333333,63.3333333333333,256,-0.666666666666667,0.5,16
2021-10-10,"NYJ",19.4285714285714,31.8571428571429,57.3142857142857,168.428571428571,4.91428571428571,9.98571428571429,1.28571428571429,0.714285714285714,3,19.4285714285714,74.3857142857143,9,24.1428571428571,104.428571428571,4.24285714285714,0.428571428571429,5.14285714285714,29.5714285714286,65.5714285714286,36.4285714285714,29.1428571428571,1.71428571428571,10.7142857142857,0.285714285714286,0,0.714285714285714,0.285714285714286,0,4.57142857142857,0,4.85714285714286,1.14285714285714,1.28571428571429,92.8571428571429,37.7142857142857,1.42857142857143,1.42857142857143,100,3.71428571428571,80,21.1714285714286,0,29,1.85714285714286,12.5714285714286,6.11666666666667,0,6.85714285714286,4.42857142857143,208,46.8,16.2857142857143,4.57142857142857,13,33.5142857142857,0.714285714285714,2.14285714285714,21.4285714285714,6.85714285714286,59.4285714285714,272.857142857143,-0.571428571428571,0.428571428571429,19.5
2021-10-24,"MIA",21.125,33.625,59.1125,190.125,5.225,10.0375,1.375,0.625,2.625,17,78.5,10.25,24.75,104.875,4.175,0.5,5.125,28.375,62.75,36.125,26.625,1.75,12.625,0.375,0,0.75,0.25,0,4.375,0,5.375,1.25,1.375,93.75,39.5,1.625,1.625,100,3.5,75.625,21.3375,0,29,1.875,13.375,6.6,0,7.875,4.125,189,44.45,17.75,5.125,13.125,37.3625,0.75,2,31.25,6.5,60.25,295,-0.625,0.625,21
2021-10-31,"CAR",21.5555555555556,34.3333333333333,59.4888888888889,205.111111111111,5.54444444444444,10.4111111111111,1.44444444444444,0.666666666666667,2.44444444444444,16.3333333333333,80.3777777777778,10.7777777777778,24.4444444444444,101.222222222222,4.07777777777778,0.555555555555556,5.11111111111111,28.3333333333333,64.2222222222222,37.4444444444444,26.7777777777778,1.66666666666667,12.3333333333333,0.555555555555556,0,0.666666666666667,0.222222222222222,0,4.55555555555556,0,6.11111111111111,1.44444444444444,1.55555555555556,94.4444444444444,39.1111111111111,1.77777777777778,1.77777777777778,100,3.33333333333333,72,21.3555555555556,0,28.4444444444444,1.77777777777778,13.7777777777778,7.9,0,8.88888888888889,4,182,44.1777777777778,18.1111111111111,5.22222222222222,13.1111111111111,38.3444444444444,0.666666666666667,1.77777777777778,27.7777777777778,6.11111111111111,56.7777777777778,306.333333333333,-0.555555555555556,0.666666666666667,22.5
