"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2021-08-09,"CAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-17,"CLE",25,39,64.1,337,8.6,14,2,1,2,13,99.3,16,21,94,4.5,1,4,28,53,36,17,1,9,0,0,1,0,0,5,0,5,1,1,100,0,2,2,100,1,14,14,0,14,3,13,4.3,0,8,3,137,45.7,23,7,12,58.3,0,1,0,10,69,431,0,0
2021-08-26,"CIN",22.5,34,66.55,254.5,7.25,11.65,2,0.5,2.5,13,104.2,11,27,103.5,3.95,0.5,6,22.5,52.5,35,17.5,1.5,11.5,0,0,0.5,0,0,5,0,6,1.5,2,83.35,0,1.5,2,75,0.5,7,14,0,7,3,41.5,13.8,0,23.5,4.5,209,46.25,19.5,5.5,13,43.45,0,0.5,0,9.5,66,358,0,0
2021-08-30,"CHI",22.3333333333333,33.6666666666667,66.6,231.666666666667,6.7,11.3,1.66666666666667,0.333333333333333,3.66666666666667,24.6666666666667,101.9,10.3333333333333,26.6666666666667,116.666666666667,4.46666666666667,0.666666666666667,6.66666666666667,23.6666666666667,54,38.6666666666667,15.3333333333333,1,7.66666666666667,0.333333333333333,0,1,0,0,5.66666666666667,0,4.33333333333333,1,1.33333333333333,83.35,0,1.33333333333333,1.66666666666667,83.3333333333333,1,16,15.5,0,10.6666666666667,3.33333333333333,37,11.5333333333333,0,18.3333333333333,5.66666666666667,251.333333333333,44.8333333333333,19.3333333333333,5.33333333333333,13.3333333333333,40.8666666666667,0,0.666666666666667,0,10.6666666666667,85.6666666666667,348.333333333333,0,0
2021-09-09,"BAL",20,33.75,59.5,205.25,5.95,11.475,2,0.75,4,26,90.925,9.5,27,134.25,5.025,0.75,7.75,24.5,53.5,41,12.5,1,6.75,0.5,0,0.75,0,0,5,0,4.25,1,1.25,88.9,0,1.25,1.5,87.5,1,20,21,0,16,3.5,39,11.475,0,20,5.25,232.75,44.7,20.25,5.25,13.5,39.575,0.5,1,25,9.75,82.25,339.5,0,0
2021-09-16,"LAC",18.2,33.6,54.26,178.2,5.18,10.96,1.6,1,4.4,26.4,76.16,8.6,26,124,4.78,0.6,6.8,29,56.2,42.4,13.8,1.2,7,0.4,0,0.8,0.2,0,5,0,4,1,1.4,79.175,0,1,1.2,87.5,1.8,49,24,0,22.6,3.4,35,10.44,0,17.8,5.8,265.6,45.68,18.2,4.6,13.8,34.32,0.4,1,20,9.8,85.8,302.2,0,0
2021-09-23,"MIN",18.1666666666667,33.5,54.3,183.333333333333,5.36666666666667,11.4,1.5,1.16666666666667,4.5,28,74.0166666666667,8.83333333333333,25.3333333333333,117.333333333333,4.61666666666667,0.666666666666667,6.5,29.3333333333333,56.8333333333333,42.8333333333333,14,1.33333333333333,8.5,0.333333333333333,0,0.833333333333333,0.166666666666667,0,4.33333333333333,0,4.66666666666667,1.16666666666667,1.5,83.34,0,1.16666666666667,1.33333333333333,90,1.83333333333333,48.8333333333333,24,0,23.1666666666667,3,30.1666666666667,9.7,0,15.8333333333333,5.66666666666667,258.5,45.5,18,4.66666666666667,13.8333333333333,34.55,0.333333333333333,0.833333333333333,16.6666666666667,9.16666666666667,76.6666666666667,300.666666666667,0,0
2021-09-30,"GB",17.7142857142857,31.8571428571429,56.2857142857143,180.571428571429,5.67142857142857,11.6428571428571,1.42857142857143,1,4.28571428571429,28.5714285714286,79.3285714285714,8.42857142857143,27.1428571428571,118.857142857143,4.44285714285714,0.857142857142857,6.57142857142857,26,56.7142857142857,42.7142857142857,14,1.71428571428571,9.85714285714286,0.428571428571429,0,1,0.428571428571429,0,5.14285714285714,0,5.28571428571429,1.28571428571429,1.57142857142857,86.1166666666667,0,1.42857142857143,1.57142857142857,91.6666666666667,1.57142857142857,41.8571428571429,24,0,19.8571428571429,2.71428571428571,27.7142857142857,10.1714285714286,0,15.4285714285714,5.71428571428571,258.571428571429,45.1714285714286,17.7142857142857,4.57142857142857,13.7142857142857,34.0142857142857,0.428571428571429,0.857142857142857,28.5714285714286,9.57142857142857,77.7142857142857,299.428571428571,0,0
2021-10-07,"TEN",17.5,32,55.3125,168.875,5.2875,11.3625,1.25,1.125,4.625,33,73.95,8.125,25.75,111.25,4.3375,0.75,6,25.5,58.125,43.5,14.625,1.75,10.625,0.5,0,1.25,0.5,0,5.375,0,4.625,1.125,1.375,86.1166666666667,0,1.25,1.375,91.6666666666667,1.625,41.25,23.0833333333333,0,19.75,2.5,24.125,8.775,0,13.5,6,269.75,44.9625,16.875,4.375,14,32.1125,0.375,0.75,25,8.75,70.5,280.125,0,0.125
2021-10-14,"HOU",16.6666666666667,30.6666666666667,54.7222222222222,158.888888888889,5.14444444444444,11.0111111111111,1.11111111111111,1.11111111111111,4.22222222222222,29.6666666666667,70.1777777777778,7.88888888888889,27.6666666666667,114.888888888889,4.22222222222222,0.777777777777778,6.44444444444444,24,57.2222222222222,43,14.2222222222222,1.77777777777778,10.3333333333333,0.555555555555556,0,1.44444444444444,0.666666666666667,0,5.33333333333333,0,4.88888888888889,1.22222222222222,1.44444444444444,88.1,0,1.22222222222222,1.33333333333333,92.8571428571429,1.55555555555556,39.6666666666667,23.6428571428571,0,20.5555555555556,2.33333333333333,22.3333333333333,8.68888888888889,0,12.8888888888889,5.77777777777778,259.222222222222,44.8333333333333,17,4.33333333333333,13.8888888888889,31.9666666666667,0.555555555555556,1,29.6333333333333,8.22222222222222,66,273.777777777778,0,0.111111111111111
2021-10-21,"IND",16.6,30.5,54.77,155.9,5.07,10.82,1.1,1.2,4,28.3,68.33,7.9,27.6,113.4,4.17,0.7,6.2,23.6,57.5,42.1,15.4,2.3,12.8,0.7,0,1.6,0.7,0,5.2,0,5.1,1.3,1.5,89.5875,0,1.2,1.3,93.75,1.7,40,22.475,0,20.6,2.4,20.9,8.09,0,12.4,5.8,257.6,44.4,16.5,4.5,14,32.77,0.5,0.9,26.67,8.6,69.8,269.3,0,0.2
2021-10-29,"NE",16.9090909090909,30.5454545454545,55.6545454545455,157,5.1,10.6363636363636,1,1.36363636363636,3.81818181818182,26.3636363636364,65.7363636363636,8,27.0909090909091,115.363636363636,4.34545454545455,0.636363636363636,6.18181818181818,24.8181818181818,56.6363636363636,42.2727272727273,14.3636363636364,2.09090909090909,11.6363636363636,0.636363636363636,0,1.45454545454545,0.636363636363636,0,4.81818181818182,0.0909090909090909,4.90909090909091,1.27272727272727,1.45454545454545,90.7444444444444,0,1.09090909090909,1.18181818181818,93.75,1.81818181818182,40.7272727272727,21.7555555555556,0,20.7272727272727,2.18181818181818,19,8.09,0,11.2727272727273,5.63636363636364,251,44.5727272727273,16.3636363636364,4.27272727272727,13.5454545454545,31.8090909090909,0.454545454545455,0.909090909090909,24.2454545454545,8.45454545454546,68.8181818181818,272.363636363636,0,0.363636363636364
2021-11-04,"CHI",17.5,31.4166666666667,55.8916666666667,167.833333333333,5.25833333333333,10.8333333333333,0.916666666666667,1.33333333333333,3.75,26.3333333333333,66.3,8.41666666666667,26.4166666666667,109.583333333333,4.18333333333333,0.583333333333333,5.91666666666667,24.8333333333333,57.0833333333333,42.8333333333333,14.25,2.08333333333333,11.75,0.583333333333333,0,1.41666666666667,0.583333333333333,0,4.75,0.0833333333333333,5,1.33333333333333,1.5,91.67,0,1,1.08333333333333,93.75,1.91666666666667,42.5833333333333,21.68,0,21.4166666666667,2.16666666666667,20.1666666666667,8.85454545454546,0,12.9166666666667,5.58333333333333,246.583333333333,44.1583333333333,16.3333333333333,4.25,13.5833333333333,31.5416666666667,0.416666666666667,1,22.225,8.25,67.3333333333333,277.416666666667,0,0.416666666666667
2021-11-11,"NYJ",18.5384615384615,32.7692307692308,56.4615384615385,167.692307692308,5.11538461538461,10.4692307692308,0.846153846153846,1.46153846153846,3.76923076923077,26,64.6846153846154,8.46153846153846,26.5384615384615,108.692307692308,4.13076923076923,0.615384615384615,5.92307692307692,26.0769230769231,55.8461538461538,42,13.8461538461538,2,11.5384615384615,0.615384615384615,0,1.46153846153846,0.538461538461538,0,4.61538461538461,0.0769230769230769,4.84615384615385,1.30769230769231,1.46153846153846,92.4272727272727,0,0.923076923076923,1,93.75,1.76923076923077,39.3076923076923,21.68,0,19.7692307692308,2.15384615384615,19.6153846153846,8.65833333333333,0,12.5384615384615,5.53846153846154,242.076923076923,43.6538461538462,16.7692307692308,4.38461538461539,13.9230769230769,31.6769230769231,0.461538461538462,1.15384615384615,23.0769230769231,8.38461538461539,74.6923076923077,276.384615384615,0,0.461538461538462
