"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2021-08-09,"CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-18,"DAL",21,36,58.3,303,8.4,14.6,3,1,1,4,102.4,13,28,144,5.1,0,5,27,61,43,18,1,8,2,0,1,1,0,3,0,12,3,3,100,0,3,3,100,4,91,22.8,0,27,3,19,6.3,0,9,6,245,40.8,22,4,14,28.6,1,1,100,10,98,447,0,0
2021-08-26,"BUF",20,33,60.8,255,7.65,13,2,1,1,6.5,92.25,11,26,100,3.7,0.5,4,20,61.5,42.5,19,3,17,1,0,1,0.5,0,3,0,9.5,2.5,2.5,100,0,2,2,100,3.5,91,26.55,0,35.5,3,33.5,11.15,0,16.5,6,253,42.15,19,3,12.5,23.4,0.5,0.5,50,10,82.5,355,0,0.5
2021-08-30,"IND",21.3333333333333,35,61.0333333333333,292.333333333333,8.23333333333333,13.7666666666667,2,1,0.666666666666667,4.33333333333333,94.5,13.3333333333333,26.3333333333333,89.3333333333333,3.3,0.333333333333333,3.66666666666667,17.6666666666667,62.3333333333333,44,18.3333333333333,4,27.3333333333333,0.666666666666667,0,0.666666666666667,0.333333333333333,0,3.66666666666667,0,11,3,3,100,0,2,2,100,3,76,25.3666666666667,0,31.3333333333333,3,25.6666666666667,8.53333333333333,0,14.3333333333333,5.66666666666667,247.666666666667,43.9,20,3.66666666666667,13,27.5,0.333333333333333,0.333333333333333,33.3333333333333,9.33333333333333,73,381.666666666667,0,0.333333333333333
2021-09-09,"IND",21.75,35.75,60.9,271.25,7.55,12.625,1.75,0.75,0.75,4.25,92,12.5,28,93.25,3.275,0.75,4.75,20,60.25,42,18.25,3.25,22.75,0.75,0,0.75,0.75,0,4.75,0,10.25,2.75,2.75,100,0,2,2.25,91.675,2.75,64.5,22.775,0,27.5,2.5,19.25,6.4,0,10.75,5.75,257,44.8,20.5,4.5,13.75,31.575,0.25,0.5,25,9,73.5,364.5,0,0.25
2021-09-13,"BAL",21.6,34.2,63.72,262.8,7.68,12.42,1.8,0.8,1,6.2,95.54,12.2,26.4,94.8,3.64,0.8,4.8,20.6,61.2,45.2,16,3,21,0.8,0,0.8,0.8,0.2,5,0,10.2,2.6,2.6,100,0,2.4,2.6,93.34,2.6,60,22.42,0,27.6,2.2,15.2,4.92,0,8.4,5,224.8,45.44,20.2,4.4,12.6,35.26,0.2,0.4,20,8.8,77.6,357.6,0,0.4
2021-09-23,"CAR",22,35.5,62.6166666666667,263.166666666667,7.45,12.1833333333333,2.16666666666667,0.666666666666667,0.833333333333333,5.16666666666667,97.5666666666667,12.5,26.6666666666667,97,3.68333333333333,0.666666666666667,5,21,61.5,45.1666666666667,16.3333333333333,3.16666666666667,20.3333333333333,1,0,1,0.833333333333333,0.166666666666667,6,0,10.1666666666667,2.5,2.5,100,0,2.66666666666667,2.83333333333333,94.45,2.66666666666667,59.3333333333333,21.8,0,27.1666666666667,2.16666666666667,16.6666666666667,6.1,0,9.66666666666667,5.16666666666667,227.5,44.5666666666667,20.8333333333333,4.5,12.6666666666667,35.8,0.166666666666667,0.333333333333333,16.6666666666667,8.83333333333333,80,360.166666666667,0,0.333333333333333
2021-09-30,"ATL",23,37,62.6714285714286,272.714285714286,7.41428571428571,12.1714285714286,2.14285714285714,1.14285714285714,1,7.57142857142857,92.8857142857143,13.2857142857143,24.7142857142857,92.5714285714286,3.88571428571429,0.714285714285714,5.14285714285714,22.4285714285714,62.5714285714286,44.1428571428571,18.4285714285714,2.85714285714286,17.8571428571429,0.857142857142857,0,1,0.714285714285714,0.142857142857143,5.28571428571429,0,9.14285714285714,2.14285714285714,2.28571428571429,85.7142857142857,0,2.71428571428571,2.85714285714286,95.2428571428571,2.28571428571429,50.8571428571429,21.8,0,23.2857142857143,2,15.5714285714286,6.51428571428571,0,9.57142857142857,4.85714285714286,213.857142857143,44.4857142857143,21.4285714285714,4.42857142857143,12.2857142857143,36.4,0.142857142857143,0.285714285714286,14.2857142857143,8.14285714285714,73.7142857142857,365.285714285714,0,0.285714285714286
2021-10-07,"MIA",23.75,37.5,63.675,277.125,7.425,12.1,2.25,1.125,1.25,10.25,94.9625,14.125,24.5,93.375,3.9375,0.875,5.25,24.125,61.875,44.5,17.375,2.875,17.625,0.75,0,0.875,0.625,0.125,4.875,0,8.875,2,2.125,87.5,0,2.875,3,95.8375,2.25,54.75,24.5428571428571,0,26.25,1.875,15.25,7.325,0,10,4.5,191,40.8625,22.5,4.75,12.25,39.1375,0.375,0.5,25,7.875,71.375,370.5,0,0.25
2021-10-14,"PIT",23.3333333333333,36.6666666666667,64.0111111111111,271.777777777778,7.44444444444444,12.1333333333333,2.11111111111111,1.11111111111111,1.33333333333333,11.2222222222222,94.3333333333333,13.8888888888889,24.6666666666667,94.4444444444444,3.94444444444444,0.777777777777778,5,23.3333333333333,60.7777777777778,43.5555555555556,17.2222222222222,2.88888888888889,17.4444444444444,0.888888888888889,0.111111111111111,0.888888888888889,0.666666666666667,0.222222222222222,5.22222222222222,0,8.88888888888889,2,2.22222222222222,85.1888888888889,0,2.88888888888889,3,96.3,2,48.6666666666667,24.5428571428571,0,23.3333333333333,1.88888888888889,15.6666666666667,7.56666666666667,0,10.3333333333333,4.44444444444444,189,41.1333333333333,21.8888888888889,4.44444444444444,12.1111111111111,36.8111111111111,0.333333333333333,0.444444444444444,22.2222222222222,7.66666666666667,68.6666666666667,366.222222222222,0,0.222222222222222
2021-10-21,"KC",23.6,37.2,63.8,265.9,7.21,11.8,2.1,1,1.5,11.7,94.13,13.8,23.5,91.2,4.03,0.8,5,23.8,61.3,42.4,18.9,2.6,15.7,0.8,0.1,0.9,0.6,0.2,5.4,0,8.3,1.8,2,85.1888888888889,0,2.9,3,96.67,2.1,56,26.5625,0,26.1,1.8,14.7,7.41,0,9.9,4.6,197.1,41.52,21.6,4.6,12.1,38.13,0.3,0.4,20,7.5,64.8,357.1,0,0.2
2021-10-28,"TB",23.1818181818182,36.8181818181818,63.2363636363636,257.545454545455,7.03636363636364,11.6181818181818,2,1,1.54545454545455,11.8181818181818,92.0363636363636,13.3636363636364,23.0909090909091,88.8181818181818,3.97272727272727,0.727272727272727,4.90909090909091,25.7272727272727,61.0909090909091,42.2727272727273,18.8181818181818,2.54545454545455,14.7272727272727,0.818181818181818,0.0909090909090909,0.818181818181818,0.545454545454545,0.181818181818182,5.18181818181818,0,7.90909090909091,1.72727272727273,1.90909090909091,86.67,0,2.72727272727273,2.81818181818182,96.9727272727273,2.18181818181818,56.8181818181818,26.0222222222222,0,26.2727272727273,1.63636363636364,13.3636363636364,7.41,0,9,4.63636363636364,202.636363636364,42.4363636363636,21,4.54545454545455,12,37.9727272727273,0.272727272727273,0.454545454545455,18.1818181818182,7.54545454545455,64.1818181818182,346.363636363636,0,0.181818181818182
2021-11-11,"NO",23,36.5833333333333,63.1166666666667,258.083333333333,7.1,11.7583333333333,2,0.916666666666667,1.58333333333333,12.1666666666667,93.325,13.3333333333333,23.4166666666667,92.9166666666667,4.06666666666667,0.833333333333333,5.16666666666667,26.4166666666667,61.6666666666667,42.75,18.9166666666667,2.83333333333333,15.1666666666667,1.08333333333333,0.166666666666667,0.75,0.5,0.166666666666667,5.58333333333333,0,7.83333333333333,1.66666666666667,1.83333333333333,87.8818181818182,0,2.83333333333333,3,95.5583333333333,2.16666666666667,54.6666666666667,24.97,0,25.8333333333333,1.66666666666667,14.6666666666667,8.05454545454545,0,9.66666666666667,4.75,207.666666666667,42.55,21,4.58333333333333,12.0833333333333,38.0166666666667,0.333333333333333,0.583333333333333,20.8333333333333,7.25,62.6666666666667,351,0,0.166666666666667
2021-11-18,"BAL",22.3076923076923,35.5384615384615,62.9461538461538,251.615384615385,7.13846153846154,11.9384615384615,1.92307692307692,1,1.76923076923077,13.0769230769231,91.2923076923077,13,22.8461538461538,94.2307692307692,4.28461538461538,0.846153846153846,5.07692307692308,28.3076923076923,63,42.6923076923077,20.3076923076923,2.61538461538462,14,1,0.153846153846154,0.692307692307692,0.461538461538462,0.153846153846154,5.23076923076923,0,7.38461538461539,1.53846153846154,1.69230769230769,87.8818181818182,0,2.76923076923077,2.92307692307692,95.9,2.46153846153846,58.6923076923077,24.3181818181818,0,26.3076923076923,1.53846153846154,13.5384615384615,8.05454545454545,0,8.92307692307692,4.69230769230769,203.769230769231,42.3,20.3846153846154,4.23076923076923,11.6153846153846,35.0923076923077,0.384615384615385,0.692307692307692,23.0769230769231,7,59.8461538461538,345.846153846154,0,0.153846153846154
2021-11-25,"CLE",22.0714285714286,35.6428571428571,62.1214285714286,248.428571428571,7.02857142857143,11.8785714285714,1.92857142857143,0.928571428571429,1.71428571428571,12.4285714285714,90.9642857142857,12.7857142857143,22.3571428571429,90.9285714285714,4.19285714285714,0.857142857142857,5,28,63.6428571428571,43.9285714285714,19.7142857142857,2.64285714285714,14,1,0.142857142857143,0.642857142857143,0.428571428571429,0.142857142857143,5,0,7.07142857142857,1.42857142857143,1.64285714285714,80.5583333333333,0,2.78571428571429,2.92857142857143,96.1928571428572,2.42857142857143,57,23.75,0,25.7142857142857,1.57142857142857,15.8571428571429,9.3,0,11,4.78571428571429,207.142857142857,42.2642857142857,20,4.35714285714286,11.7857142857143,35.65,0.357142857142857,0.714285714285714,21.4285714285714,7,59.7142857142857,339.357142857143,0,0.142857142857143
2021-12-02,"DEN",22.4,36.3333333333333,61.8933333333333,248.066666666667,6.91333333333333,11.7133333333333,1.93333333333333,0.933333333333333,1.66666666666667,12.4,90.2,12.8666666666667,22.2,93.4666666666667,4.34,0.866666666666667,5.13333333333333,28.4666666666667,63.3333333333333,43.2,20.1333333333333,2.46666666666667,13.0666666666667,0.933333333333333,0.133333333333333,0.6,0.4,0.133333333333333,4.8,0,6.73333333333333,1.33333333333333,1.6,74.3615384615385,0,2.73333333333333,2.93333333333333,94.2266666666667,2.4,56.4666666666667,23.8076923076923,0,26.2,1.66666666666667,18.6,10.0461538461538,0,12.4666666666667,4.6,199.933333333333,42.7466666666667,20.3333333333333,4.33333333333333,11.8,35.4933333333333,0.466666666666667,0.933333333333333,23.3333333333333,7.4,62.1333333333333,341.533333333333,0,0.2
2021-12-09,"LAC",22.5625,36.375,62.25,245.1875,6.825,11.56875,1.875,0.9375,1.8125,13.75,89.73125,12.8125,22.25,94.5625,4.36875,0.8125,5.1875,28.1875,62.625,42.75,19.875,2.4375,12.75,0.875,0.125,0.625,0.4375,0.125,4.625,0,6.5625,1.3125,1.5625,76.1928571428572,0,2.625,2.8125,94.5875,2.3125,54.75,24.1785714285714,0,26.375,1.6875,17.6875,9.47142857142857,0,11.9375,4.75,206.375,42.78125,20.3125,4.375,11.875,35.68125,0.4375,0.875,21.875,7.6875,64.5,339.75,0,0.3125
2021-12-16,"OAK",22.2941176470588,35.8235294117647,62.5117647058823,239.647058823529,6.75294117647059,11.4411764705882,1.82352941176471,0.882352941176471,1.88235294117647,14.0588235294118,90.1117647058824,12.5882352941176,22.8235294117647,97.4705882352941,4.37647058823529,0.823529411764706,5.35294117647059,28.0588235294118,61.8235294117647,42.3529411764706,19.4705882352941,2.41176470588235,13,0.823529411764706,0.117647058823529,0.588235294117647,0.411764705882353,0.117647058823529,4.70588235294118,0,6.70588235294118,1.41176470588235,1.64705882352941,77.78,0,2.47058823529412,2.64705882352941,94.5875,2.52941176470588,58.6470588235294,23.9133333333333,0,26.3529411764706,1.70588235294118,18,9.60666666666667,0,12.0588235294118,4.64705882352941,202,42.8529411764706,20.2352941176471,4.41176470588235,11.9411764705882,35.8470588235294,0.411764705882353,0.882352941176471,20.5882352941176,7.58823529411765,62.7058823529412,337.117647058824,0,0.294117647058824
2021-12-23,"CLE",21.8333333333333,35.6666666666667,61.3944444444444,233.166666666667,6.58333333333333,11.3222222222222,1.77777777777778,0.888888888888889,1.83333333333333,13.6666666666667,87.9555555555555,12.2777777777778,23.8333333333333,101.555555555556,4.36666666666667,0.888888888888889,5.5,27.3888888888889,61.0555555555556,41.8888888888889,19.1666666666667,2.55555555555556,14.1666666666667,0.777777777777778,0.111111111111111,0.666666666666667,0.5,0.111111111111111,4.66666666666667,0,7,1.5,1.72222222222222,79.16875,0,2.5,2.66666666666667,94.9058823529412,2.61111111111111,64.7222222222222,25.04375,0,29.1666666666667,1.66666666666667,17.2222222222222,9.25625,0,11.6111111111111,4.66666666666667,202.777777777778,42.8722222222222,20.1111111111111,4.61111111111111,12.3333333333333,36.1944444444444,0.5,0.944444444444444,25,7.66666666666667,63.9444444444444,334.722222222222,0,0.277777777777778
2021-12-30,"PIT",21.3684210526316,34.7894736842105,61.7631578947368,226.526315789474,6.53157894736842,11.2631578947368,1.78947368421053,0.842105263157895,1.89473684210526,14.3157894736842,89.821052631579,12,23.8421052631579,101.578947368421,4.36315789473684,0.842105263157895,5.57894736842105,27.3157894736842,60.8947368421053,41.8947368421053,19,2.42105263157895,13.4210526315789,0.736842105263158,0.105263157894737,0.631578947368421,0.473684210526316,0.105263157894737,4.57894736842105,0,6.84210526315789,1.47368421052632,1.68421052631579,80.3941176470588,0,2.42105263157895,2.57894736842105,95.1888888888889,2.63157894736842,65.3684210526316,25.0823529411765,0,29.3684210526316,1.63157894736842,16.4210526315789,8.82941176470588,0,11.1052631578947,4.68421052631579,203.631578947368,42.9210526315789,19.8421052631579,4.42105263157895,12.1052631578947,34.9473684210526,0.526315789473684,0.947368421052632,28.9473684210526,7.42105263157895,61.3684210526316,328.105263157895,0,0.263157894736842
