"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2021-08-13,"BUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-21,"PIT",20,30,66.7,141,4.7,8.5,0,0,4,29,81.3,6,26,107,4.1,1,7,16,62,42,20,2,20,0,0,1,0,0,1,0,9,3,3,100,28,0,0,NA,5,99,19.8,0,32,4,7,1.8,0,6,3,157,52.3,19,5,13,38.5,1,2,50,5,59,248,0,0,NA
2021-08-27,"IND",19.5,31,63.05,161.5,5.2,9.15,0.5,0,2.5,17,83.8,8,24,106.5,4.45,1.5,7.5,21,64.5,43,21.5,1.5,14,0,0,0.5,0,0,3.5,0,5.5,1.5,1.5,100,14,1,1,100,5.5,106.5,19.4,0,29,2.5,5,2.4,0,4.5,4,221.5,54.75,20,3.5,11,30.35,1.5,2,75,7,67.5,268,0,0,NA
2021-09-12,"SF",19.6666666666667,30.6666666666667,64.2666666666667,158,5.13333333333333,8.93333333333333,0.666666666666667,0.333333333333333,2.66666666666667,17.6666666666667,82.0333333333333,9,26,108.333333333333,4.2,1.33333333333333,6.33333333333333,23,62.3333333333333,42,20.3333333333333,1.33333333333333,10.3333333333333,0.333333333333333,0,0.333333333333333,0,0,4.33333333333333,0,5.33333333333333,1.33333333333333,1.33333333333333,100,18.6666666666667,1.33333333333333,1.33333333333333,100,5,109,22.4333333333333,0,31.6666666666667,2.33333333333333,6.33333333333333,3.1,0,6,3.66666666666667,198,53.2666666666667,18.3333333333333,5,12.6666666666667,36.9,1.33333333333333,2,66.6666666666667,6.66666666666667,60,266.333333333333,-0.333333333333333,0.333333333333333,NA
2021-09-20,"GB",24.25,37.25,64.875,197,5.225,8.925,1.25,0.5,2.75,19.25,84.675,11.5,25.5,110.25,4.35,1.25,6.75,27.5,59,39.5,19.5,1.25,9.75,0.25,0,0.5,0.5,0,3.75,0,5.25,1.25,1.5,83.3333333333333,26.25,1.5,1.5,100,4.75,95.5,20.275,0,30.5,1.75,4.75,3.1,0,4.5,3.5,186.5,52.625,21.5,4.75,13.25,34.35,1.5,2.75,60,6.25,56.25,307.25,0,0.25,33
2021-09-26,"BAL",24.6,37,66.34,204.8,5.5,9.04,1.4,0.6,2.4,17.4,87.28,11.4,24.2,109.8,4.62,1,6.8,29,58.8,40.2,18.6,1.6,13.4,0.2,0,0.4,0.4,0,3.2,0,5.2,1.2,1.4,87.5,29.6,1.6,1.6,100,4.2,87.2,21.62,0,31,1.6,5.8,4.825,0,5.6,3.2,170.6,52.8,21,4.6,12.4,36.36,1.2,2.6,48,6.8,60.6,314.6,-0.4,0.4,25
2021-10-03,"CHI",24.1666666666667,36,67.1166666666667,202.666666666667,5.61666666666667,9.18333333333333,1.16666666666667,0.5,2.33333333333333,18.6666666666667,87.8,11.5,24.6666666666667,107,4.41666666666667,1.16666666666667,6.83333333333333,27.3333333333333,56.6666666666667,39.8333333333333,16.8333333333333,2,13.8333333333333,0.333333333333333,0,0.5,0.333333333333333,0,3.66666666666667,0,5.16666666666667,1.16666666666667,1.33333333333333,90,30.5,1.66666666666667,1.66666666666667,100,3.5,72.6666666666667,21.62,0,25.8333333333333,1.5,6.66666666666667,6.06,0,6.5,3.66666666666667,187.666666666667,51.5833333333333,21,4.33333333333333,12,35.3,1,2.16666666666667,40,6.83333333333333,56.3333333333333,309.666666666667,-0.166666666666667,0.333333333333333,22.3333333333333
2021-10-10,"MIN",24.1428571428571,36.2857142857143,66.5571428571429,210.571428571429,5.78571428571429,9.65714285714286,1.28571428571429,0.428571428571429,2.57142857142857,21.8571428571429,90.2571428571429,12,24.7142857142857,104.571428571429,4.3,1,6.42857142857143,26.8571428571429,56.5714285714286,39.1428571428571,17.4285714285714,1.85714285714286,15.2857142857143,0.428571428571429,0,0.571428571428571,0.285714285714286,0,3.42857142857143,0,4.71428571428571,1,1.14285714285714,90,26.1428571428571,1.71428571428571,1.71428571428571,100,3.57142857142857,75.7142857142857,21.9333333333333,0,25.8571428571429,1.71428571428571,9.85714285714286,6.66666666666667,0,8.71428571428571,3.57142857142857,184.571428571429,52.1142857142857,21.2857142857143,4.28571428571429,11.8571428571429,35.4571428571429,1,2.28571428571429,39.0428571428571,6.42857142857143,52,315.142857142857,-0.285714285714286,0.571428571428571,20.25
2021-10-17,"CIN",23.75,36.125,65.7375,206.75,5.7,9.6625,1.125,0.5,2.75,22,87.0125,11.875,24.625,105,4.325,1,6.5,25.875,58.25,39.75,18.5,1.875,14.75,0.5,0,0.625,0.375,0,3.375,0,5.25,1.25,1.375,91.6666666666667,29.375,1.5,1.5,100,3.125,66.25,21.9333333333333,0,22.625,1.75,10.375,6.71428571428571,0,9.375,3.625,187,51.975,21.375,4.125,11.75,34.4375,0.875,2.125,34.1625,6,49.25,311.75,-0.25,0.625,19.6
2021-10-24,"LA",24.2222222222222,36.7777777777778,65.8444444444444,205.111111111111,5.57777777777778,9.38888888888889,1,0.555555555555556,2.55555555555556,20.6666666666667,84.8777777777778,11.8888888888889,23.8888888888889,97.3333333333333,4.06666666666667,1,6.11111111111111,26.7777777777778,58.6666666666667,40.2222222222222,18.4444444444444,1.88888888888889,15.5555555555556,0.555555555555556,0,0.666666666666667,0.333333333333333,0,3.55555555555556,0,5,1.22222222222222,1.33333333333333,92.8571428571429,30,1.33333333333333,1.33333333333333,100,3.22222222222222,68.7777777777778,21.9857142857143,0,23.2222222222222,1.88888888888889,12,6.9125,0,9.88888888888889,3.88888888888889,203.222222222222,52.3666666666667,20.6666666666667,4.22222222222222,12,34.5777777777778,0.888888888888889,2.11111111111111,35.9222222222222,6.33333333333333,52.3333333333333,302.444444444444,-0.222222222222222,0.555555555555556,18.1666666666667
2021-10-31,"PHI",24.1,36.8,65.48,212.4,5.77,9.69,1,0.7,2.5,19.3,83.64,11.8,24.3,101.3,4.15,0.9,6.2,26.9,58.7,39.4,19.3,1.8,14.7,0.5,0,0.6,0.3,0,3.6,0,5.8,1.5,1.6,93.75,31.7,1.3,1.3,100,3,64.6,22.6125,0,23.6,1.7,10.8,6.9125,0,8.9,3.6,186.5,50.73,20.5,4.4,12.3,35.12,1,2.2,39,6.5,54.8,313.7,-0.4,0.5,18.2857142857143
2021-11-14,"PIT",24.1818181818182,36.5454545454545,66.2090909090909,208.636363636364,5.7,9.61818181818182,0.909090909090909,0.636363636363636,2.81818181818182,22.1818181818182,84.2727272727273,11.7272727272727,23.7272727272727,97.2727272727273,4.06363636363636,0.909090909090909,5.90909090909091,28.4545454545455,59.9090909090909,39.3636363636364,20.5454545454545,1.63636363636364,13.3636363636364,0.454545454545455,0,0.545454545454545,0.272727272727273,0,3.36363636363636,0,5.27272727272727,1.36363636363636,1.54545454545455,83.3333333333333,28.8181818181818,1.18181818181818,1.18181818181818,100,3.09090909090909,70.1818181818182,23.6,0,25.1818181818182,1.63636363636364,10.8181818181818,7.36666666666667,0,9.09090909090909,3.54545454545455,182.272727272727,50.3636363636364,20,4.45454545454545,12.4545454545455,35.1727272727273,1.09090909090909,2.45454545454545,39.0909090909091,6.63636363636364,54.3636363636364,305.909090909091,-0.454545454545455,0.545454545454545,16.75
2021-11-21,"CLE",23.3333333333333,35.5833333333333,65.3583333333333,197.666666666667,5.48333333333333,9.49166666666667,0.833333333333333,0.583333333333333,2.91666666666667,23.4166666666667,82.9,11.1666666666667,25,108.25,4.21666666666667,1,6.25,27.4166666666667,61.25,39.9166666666667,21.3333333333333,1.5,12.25,0.5,0,0.666666666666667,0.416666666666667,0,3.83333333333333,0,5.16666666666667,1.33333333333333,1.58333333333333,80,28.0833333333333,1.16666666666667,1.25,93.75,3.25,74.5,23.68,0,25.5,1.75,15.8333333333333,9,0,12.3333333333333,4.08333333333333,205.75,50.0333333333333,19.75,4.41666666666667,12.9166666666667,34.0916666666667,1.16666666666667,2.41666666666667,44.1666666666667,6.75,56.8333333333333,305.916666666667,-0.166666666666667,0.5,16.6666666666667
