"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2021-08-14,"CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-23,"NO",31,46,67.4,256,5.6,8.8,2,1,4,17,88.4,15,15,46,3.1,0,3,23,60,51,9,1,8,0,0,1,0,0,7,0,1,0,1,0,0,1,1,100,2,42,21,0,56,2,14,7,0,12,4,220,55,19,7,15,46.7,1,2,50,7,49,302,-1,0,NA
2021-08-29,"DAL",33.5,52,64.75,311.5,5.95,9.7,2,1,3,16.5,87,17,17.5,45.5,2.7,0,2.5,23,54,44,10,1.5,11,0,0,0.5,0,0,5,0,4,1,2,33.35,18,1,1,100,3,69.5,22.65,0,46,3.5,25,7.1,0,13,4.5,225,50.5,21.5,8.5,17,49.65,0.5,1.5,25,5.5,44.5,357,-1,0,NA
2021-09-12,"HOU",33,48,69.8333333333333,328.333333333333,7,10.2333333333333,2.33333333333333,1,2,11,97.6666666666667,16.3333333333333,20,60,3,0.333333333333333,4.33333333333333,20,53,38.3333333333333,14.6666666666667,1,7.33333333333333,0,0,0.333333333333333,0,0,4.66666666666667,0,6,1.33333333333333,2,55.5666666666667,27,2,2,100,2.33333333333333,54.6666666666667,23.4333333333333,0,39,4,29.3333333333333,7.26666666666667,0,14.3333333333333,4,194.333333333333,48.4333333333333,22.6666666666667,7,14.6666666666667,46.4333333333333,0.333333333333333,1,16.6666666666667,6,44.6666666666667,388.333333333333,-1,0,NA
2021-09-19,"DEN",31.75,48.75,66.1,326,6.825,10.65,2.5,1.5,1.75,11.5,90.775,15.5,19,64,3.45,0.25,4.5,24.25,58.5,39.25,19.25,1,6,0,0,0.25,0,0,4,0,5.25,1,1.75,41.675,20.25,2.25,2.25,100,1.75,41,23.4333333333333,0,29.25,3.5,22.25,5.575,0,11,4.5,220,48.7,22,6,13.75,41.65,0.5,1,37.5,7,54,390,-1.5,0,21
2021-09-26,"ARI",28.2,45.6,61.36,283.6,6.16,10.2,2.2,1.6,1.6,10,80.06,13.6,18.4,66.2,3.7,0.2,4.2,24,60.8,39.6,21.2,1.4,10,0,0,0.2,0,0,3.8,0,4.4,0.8,1.8,33.34,16.2,2,2,100,1.8,56.8,32.575,0.2,43.8,3,18.2,4.86,0,9.2,4.4,221.4,50.32,20,5.6,13.2,40.6,0.6,1,50,7,57.2,349.8,-1.6,0,17
2021-09-30,"CIN",27.1666666666667,43.6666666666667,61.9166666666667,270,6.11666666666667,10.1666666666667,2,1.66666666666667,1.83333333333333,11.1666666666667,78.0666666666667,13,20.1666666666667,81.6666666666667,4,0.333333333333333,5,25.1666666666667,61.6666666666667,40.1666666666667,21.5,1.16666666666667,8.33333333333333,0.166666666666667,0,0.166666666666667,0,0,3.66666666666667,0,3.83333333333333,0.666666666666667,1.5,33.34,13.5,1.83333333333333,2.16666666666667,88.8833333333333,1.66666666666667,50.3333333333333,29.66,0.166666666666667,39.5,2.66666666666667,16.8333333333333,5.71666666666667,0,9.33333333333333,4.66666666666667,232.666666666667,49.9666666666667,20,5,12.8333333333333,36.8666666666667,0.666666666666667,1,58.3333333333333,6.5,54.3333333333333,351.666666666667,-1.83333333333333,0.333333333333333,17.6666666666667
2021-10-10,"TEN",25.7142857142857,40.8571428571429,63.1857142857143,260.285714285714,6.44285714285714,10.4285714285714,1.71428571428571,1.42857142857143,1.71428571428571,9.85714285714286,80.7,12.2857142857143,21.5714285714286,89.8571428571429,4.08571428571429,0.714285714285714,6,25,61.4285714285714,39.1428571428571,22.2857142857143,1.14285714285714,8,0.142857142857143,0,0.142857142857143,0,0,3.42857142857143,0,3.71428571428571,0.571428571428571,1.28571428571429,33.34,11.5714285714286,2,2.28571428571429,90.4714285714286,1.57142857142857,47,29.2166666666667,0.142857142857143,37.7142857142857,2.28571428571429,14.4285714285714,5.71666666666667,0,8,4.57142857142857,225.571428571429,49.3714285714286,20.1428571428571,5.14285714285714,12.7142857142857,38.7428571428571,0.714285714285714,1.14285714285714,57.1428571428571,5.85714285714286,48,350.142857142857,-1.57142857142857,0.285714285714286,18.5
2021-10-17,"MIA",25.375,39.875,64,259.75,6.6125,10.6125,1.625,1.375,1.75,10.75,82.125,12.25,22.75,103.375,4.375,0.875,6.375,26.5,61.25,39.25,22,1.375,8.625,0.125,0,0.125,0,0,3.375,0,3.375,0.5,1.25,27.7833333333333,10.125,1.875,2.25,85.4125,1.875,51.75,28.0857142857143,0.125,36,2,12.625,5.71666666666667,0,7,4.25,207.375,48.2,20.625,4.875,12.375,37.65,0.75,1.375,54.1625,5.625,46.125,363.125,-1.625,0.375,18.6
2021-10-31,"SEA",25.3333333333333,40,63.6666666666667,265.555555555556,6.72222222222222,10.8555555555556,1.55555555555556,1.22222222222222,1.77777777777778,10.3333333333333,83.3777777777778,12.6666666666667,22.3333333333333,101.222222222222,4.37777777777778,0.888888888888889,6.11111111111111,25.7777777777778,61.8888888888889,39.4444444444444,22.4444444444444,1.22222222222222,7.66666666666667,0.222222222222222,0,0.222222222222222,0,0,3.44444444444444,0,4.22222222222222,0.777777777777778,1.44444444444444,38.1,15,1.88888888888889,2.22222222222222,87.0333333333333,2,52.1111111111111,26.8625,0.111111111111111,34.5555555555556,1.77777777777778,11.2222222222222,5.71666666666667,0,6.22222222222222,4.22222222222222,201.222222222222,47.0666666666667,20.6666666666667,4.66666666666667,12.3333333333333,36.2444444444444,0.888888888888889,1.55555555555556,55.5555555555556,5.88888888888889,47,366.777777777778,-1.44444444444444,0.444444444444444,19.3333333333333
