"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2021-08-12,"PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-19,"NE",14,29,48.3,225,7.8,16.9,1,2,2,11,59,10,11,52,4.7,0,0,24,79,54,25,1,10,1,0,0,0,0,3,0,10,3,3,100,50,1,1,100,4,101,25.3,0,35,1,7,7,0,7,4,223,55.8,10,0,8,0,0,0,0,7,60,277,-1,0,NA
2021-08-27,"NYJ",14.5,28,51.95,153,5.4,12.1,0.5,2,3,20,46.75,7.5,15,67,4.5,0,3,29.5,75,50.5,24.5,0.5,5,0.5,0,0.5,0.5,0,3,0,5,1.5,1.5,100,25,0.5,0.5,100,3.5,78,21.8,0,27,0.5,3.5,7,0,3.5,4.5,236.5,52.9,12,1,9,10,0,1,0,5.5,52.5,220,-1.5,0.5,NA
2021-09-12,"ATL",17.3333333333333,28.6666666666667,60.2,195,6.7,12.2,1,1.33333333333333,2.66666666666667,15.6666666666667,73.8,9,17.6666666666667,78,4.43333333333333,0.333333333333333,4,30,73.6666666666667,47.6666666666667,26,1.33333333333333,7.33333333333333,0.666666666666667,0,1,0.666666666666667,0.333333333333333,4,0,5.66666666666667,1.33333333333333,1.33333333333333,100,28,1.66666666666667,1.66666666666667,100,3,60.6666666666667,18.8666666666667,0,22.6666666666667,0.666666666666667,5,7.5,0,5,4.33333333333333,213.666666666667,49.2666666666667,14.6666666666667,1.66666666666667,9,17.7666666666667,0.333333333333333,1,33.3333333333333,5,45,273,-0.666666666666667,0.666666666666667,NA
2021-09-19,"SF",19.75,30.25,64.425,211.5,6.9,11.6,1.5,1,2.25,12.5,86.95,10,21,101.75,4.725,0.5,5.5,24,73.5,42.75,30.75,1.75,12.5,0.5,0,0.75,0.5,0.25,3.5,0,5.75,1.25,1.25,100,31.75,2,2,100,2.75,55.5,19.15,0,22.5,1.5,8.5,6.6,0,6.5,4.25,207.5,48.775,17,2.75,10,24.875,0.25,1.25,25,7.25,56,313.25,-0.5,0.5,32
2021-09-27,"DAL",18.2,29,61.54,204.6,7,12.44,1.2,0.8,2.2,12.6,84.9,9.4,22.6,111.6,4.82,0.6,6,22.6,74,41.2,32.8,1.4,10,0.4,0,0.8,0.4,0.2,3,0,5.2,1.2,1.4,87.5,34.4,1.6,1.6,100,2.4,48.4,19.32,0,22,1.6,9.4,6.575,0,7.4,4.2,206.8,49.22,17.2,3.2,10.4,28.24,0.2,1.2,20,7.4,56.2,316.2,-0.4,0.4,21.5
2021-10-03,"KC",19.3333333333333,30.6666666666667,61.9666666666667,221,7.13333333333333,12.5333333333333,1.33333333333333,1,2.16666666666667,14.3333333333333,85.1,9.66666666666667,20.8333333333333,103.666666666667,4.9,0.5,5.16666666666667,25.6666666666667,74.5,40.1666666666667,34.3333333333333,1.83333333333333,11.3333333333333,0.333333333333333,0,0.833333333333333,0.5,0.333333333333333,2.83333333333333,0,4.83333333333333,1,1.16666666666667,87.5,28.6666666666667,1.83333333333333,1.83333333333333,100,2,40.3333333333333,19.32,0,18.3333333333333,1.83333333333333,7.5,5.12,0,7,4.5,215.333333333333,48.1833333333333,16.3333333333333,3.33333333333333,10.6666666666667,29.0833333333333,0.166666666666667,1.33333333333333,16.6666666666667,8.33333333333333,61.1666666666667,324.666666666667,-0.5,0.333333333333333,21.3333333333333
2021-10-10,"CAR",21.1428571428571,33.1428571428571,62.6428571428571,240.571428571429,7.18571428571429,12.4714285714286,1.42857142857143,0.857142857142857,2.28571428571429,16.4285714285714,87.9571428571429,11,20.5714285714286,103.571428571429,4.97142857142857,0.571428571428571,5.71428571428571,28,72.7142857142857,39.7142857142857,33,1.71428571428571,10.7142857142857,0.428571428571429,0,0.857142857142857,0.428571428571429,0.285714285714286,2.57142857142857,0,5.85714285714286,1.28571428571429,1.42857142857143,90,29,2,2,100,2.14285714285714,42.8571428571429,19.3166666666667,0,22,1.57142857142857,6.42857142857143,5.12,0,6,3.85714285714286,184.571428571429,48.1833333333333,18.2857142857143,3.71428571428571,10.8571428571429,32.0714285714286,0.285714285714286,1.42857142857143,21.4285714285714,8.42857142857143,59.4285714285714,344.142857142857,-0.285714285714286,0.285714285714286,23.5
2021-10-14,"TB",21.25,33.625,62.25,233.25,6.9,12.0375,1.25,0.875,2.25,16.375,84.8,10.625,20.75,102,4.8625,0.75,5.75,26.75,72.5,39.5,33,1.875,11.75,0.75,0,0.75,0.375,0.25,2.875,0,6,1.375,1.5,91.6666666666667,32.625,1.875,1.875,100,2.125,43.25,19.8428571428571,0,22.625,1.5,8.375,7.93333333333333,0,8,4.125,196,47.8714285714286,17.875,3.75,11.125,31.9125,0.25,1.375,18.75,8.125,59.5,335.25,-0.125,0.375,23
2021-10-24,"LV",20.2222222222222,32.7777777777778,60.4666666666667,219.888888888889,6.61111111111111,11.7666666666667,1.22222222222222,0.888888888888889,2.22222222222222,14.7777777777778,81.5777777777778,10,20.5555555555556,101.777777777778,4.91111111111111,0.888888888888889,6,26.8888888888889,73.3333333333333,39.7777777777778,33.5555555555556,1.66666666666667,10.4444444444444,0.777777777777778,0,0.666666666666667,0.333333333333333,0.222222222222222,2.88888888888889,0,5.55555555555556,1.22222222222222,1.44444444444444,78.5714285714286,29,1.88888888888889,1.88888888888889,100,1.88888888888889,38.4444444444444,19.8428571428571,0,20.1111111111111,1.44444444444444,7.44444444444444,6.8,0,7.11111111111111,4.22222222222222,198.666666666667,47.3875,17.6666666666667,3.66666666666667,11,31.7,0.333333333333333,1.33333333333333,27.7777777777778,7.66666666666667,57.4444444444444,321.666666666667,-0.111111111111111,0.333333333333333,22.8333333333333
2021-10-31,"DET",20,32.9,59.71,220.2,6.61,11.9,1.3,0.8,2.2,14.6,82.89,10.2,21.7,105.1,4.84,0.9,6.2,27.5,73.5,39.4,34.1,1.5,9.4,0.8,0,0.6,0.3,0.2,2.8,0,5.2,1.1,1.3,78.5714285714286,26.1,1.9,1.9,100,1.9,39.5,20.425,0,20.7,1.4,7.3,6.7,0,7,4.1,193.1,47.4222222222222,18.1,3.9,11.2,33.15,0.5,1.5,31.67,7.3,55.4,325.3,-0.2,0.5,22.7142857142857
2021-11-07,"LAC",19.1818181818182,31.3636363636364,60.5363636363636,210.545454545455,6.65454545454545,11.7636363636364,1.18181818181818,0.727272727272727,2,13.2727272727273,83.4545454545455,9.81818181818182,23.9090909090909,117,4.86363636363636,1.18181818181818,7.36363636363636,25.5454545454545,71.9090909090909,39.4545454545455,32.4545454545455,1.90909090909091,13.1818181818182,0.727272727272727,0,0.818181818181818,0.363636363636364,0.272727272727273,2.81818181818182,0,6,1.27272727272727,1.45454545454545,81.25,27.6363636363636,2.18181818181818,2.18181818181818,100,1.81818181818182,37.8181818181818,20.4888888888889,0,20.7272727272727,1.36363636363636,7.72727272727273,7.28888888888889,0,7.45454545454545,3.81818181818182,179.818181818182,47.38,18.9090909090909,4,11.0909090909091,34.6818181818182,0.454545454545455,1.36363636363636,28.7909090909091,6.81818181818182,51.7272727272727,327.545454545455,-0.0909090909090909,0.454545454545455,25.375
2021-11-14,"DEN",18.5,30.1666666666667,60.8833333333333,205.916666666667,6.85833333333333,12.0083333333333,1.16666666666667,0.666666666666667,1.91666666666667,12.75,86.1083333333333,9.58333333333333,25.1666666666667,121.916666666667,4.83333333333333,1.25,7.83333333333333,25.6666666666667,71.9166666666667,39.75,32.1666666666667,1.75,12.0833333333333,0.666666666666667,0,0.75,0.333333333333333,0.25,2.58333333333333,0,6,1.25,1.41666666666667,83.3333333333333,27.3333333333333,2.25,2.25,100,2,38.5,19.59,0,21,1.25,7.08333333333333,7.28888888888889,0,6.83333333333333,3.75,175.666666666667,47.0090909090909,19,4.33333333333333,11.1666666666667,37.35,0.416666666666667,1.25,26.3916666666667,6.5,49.5,327.833333333333,-0.0833333333333333,0.416666666666667,25.2222222222222
2021-11-21,"NO",18.3076923076923,29.6153846153846,61.5538461538462,203.153846153846,6.9,11.9384615384615,1.23076923076923,0.692307692307692,1.92307692307692,12.3846153846154,87.4230769230769,9.61538461538461,26.2307692307692,129.153846153846,4.88461538461538,1.15384615384615,8.15384615384615,24.6923076923077,70.3076923076923,39.3076923076923,31,1.69230769230769,12.2307692307692,0.615384615384615,0,0.846153846153846,0.384615384615385,0.307692307692308,2.53846153846154,0,6.46153846153846,1.38461538461538,1.53846153846154,85,29.2307692307692,2.30769230769231,2.30769230769231,100,1.84615384615385,35.5384615384615,19.59,0,19.3846153846154,1.30769230769231,7.23076923076923,7.01,0,7,3.69230769230769,174,47.3666666666667,19.2307692307692,4.46153846153846,11.3076923076923,38.0307692307692,0.384615384615385,1.15384615384615,24.3615384615385,6.53846153846154,52.5384615384615,332.307692307692,-0.0769230769230769,0.384615384615385,25.7
2021-11-28,"NYG",17.9285714285714,29.2142857142857,61.0285714285714,198.5,6.82142857142857,11.8928571428571,1.14285714285714,0.642857142857143,2,12.1428571428571,86.3714285714286,9.42857142857143,27.9285714285714,137.214285714286,4.87857142857143,1.28571428571429,8.57142857142857,25,68.7857142857143,38.7142857142857,30.0714285714286,1.57142857142857,11.3571428571429,0.714285714285714,0.0714285714285714,0.857142857142857,0.428571428571429,0.285714285714286,2.92857142857143,0,7.14285714285714,1.57142857142857,1.71428571428571,86.3636363636364,30.7142857142857,2.42857142857143,2.42857142857143,100,1.92857142857143,36.6428571428571,19.3545454545455,0,19.4285714285714,1.5,9.78571428571429,7.35454545454545,0,7.42857142857143,3.78571428571429,177.357142857143,47.1230769230769,19.3571428571429,5,12,39.3928571428571,0.357142857142857,1.07142857142857,22.6214285714286,6.5,52.2857142857143,335.714285714286,0.0714285714285714,0.428571428571429,27
