"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2021-08-13,"ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-21,"TB",15,23,65.2,106,4.6,9.2,2,0,4,32,110.4,8,37,138,3.7,0,6,3,43,23,20,5,31,1,0,0,0,0,4,0,11,3,3,100,44,2,2,100,2,42,21,0,22,5,105,21,0,57,5,241,48.2,17,3,13,23.1,1,1,100,9,69,244,1,0
2021-08-28,"CHI",17,23.5,72.2,128.5,5.45,9.3,2.5,0,3.5,30,123.85,8.5,35.5,112.5,3.15,0,5.5,3,43,27,16,4,25,1.5,0,2.5,0.5,0.5,6,0,10.5,2.5,2.5,100,51,3,3,100,2,44,22,0,25,3.5,60,14.25,0,34,6,291,48.45,16,2.5,13,19.25,1,1.5,75,7.5,64,241,2,0
2021-09-12,"ARI",17.6666666666667,26.3333333333333,67.9333333333333,161,6,10.1666666666667,2,0.666666666666667,2.66666666666667,20,104.366666666667,8.66666666666667,38.3333333333333,135.333333333333,3.46666666666667,0.666666666666667,7.33333333333333,11,43.3333333333333,27.6666666666667,15.6666666666667,3,19,1,0,1.66666666666667,0.333333333333333,0.333333333333333,5,0,9,2,2,100,41,3,3,100,2,41.3333333333333,20.6666666666667,0,23,3.33333333333333,45.3333333333333,11.2666666666667,0,26.3333333333333,5,238.333333333333,47.0666666666667,18.3333333333333,4,14.3333333333333,26.5666666666667,1.33333333333333,2,72.2333333333333,8.33333333333333,79,296.333333333333,0.666666666666667,0
2021-09-19,"SEA",18.75,28.75,66.225,161.25,5.625,10.1,1.75,0.75,3.5,29,97.25,9.5,34.25,123,3.575,0.75,6.75,17.75,46.5,33,13.5,2.75,16.5,1,0,1.25,0.25,0.25,4.5,0,7,1.5,1.75,75,30.75,2.5,2.75,87.5,1.75,34.5,19,0,20.75,2.5,34,11.2666666666667,0,19.75,4.5,216.5,47.875,18,4.25,14.25,28.85,1.25,2.25,62.5,8,73.5,284.25,0,0.5
2021-09-26,"IND",20.4,31,66.48,193,6.1,10.66,1.4,0.6,3.4,28.6,96.7,10.8,35.4,140.8,3.92,1.2,7.6,20.2,47,32,15,2.8,17.8,0.8,0,1,0.2,0.2,4,0,8.6,2,2.4,76,31.8,2.6,2.8,90,2.6,47.6,18.54,0,20.4,2.6,33.6,11.125,0,18.4,4,192,47.7,21,4.6,14.2,31.66,1,2,50,7.4,67.8,333.8,-0.2,0.6
2021-10-03,"NYJ",20,30.3333333333333,66.5166666666667,192.166666666667,6.25,10.7,1.66666666666667,0.833333333333333,3,25.3333333333333,96.2833333333333,10.8333333333333,35.6666666666667,147.333333333333,4.08333333333333,1,8,19.5,48.1666666666667,31.6666666666667,16.5,2.66666666666667,17.5,0.666666666666667,0,1,0.166666666666667,0.166666666666667,4.5,0,8,1.83333333333333,2.16666666666667,80,31.8333333333333,2.5,2.66666666666667,91.6666666666667,2.5,44.8333333333333,18.0333333333333,0,19.6666666666667,2.66666666666667,35.3333333333333,11.84,0,18.3333333333333,3.5,167,46.75,21.5,4.83333333333333,13.8333333333333,34.7166666666667,1,1.83333333333333,58.3333333333333,6.83333333333333,60.5,339.5,-0.666666666666667,0.666666666666667
2021-10-10,"JAC",21.4285714285714,33,65.7571428571429,200.857142857143,6.1,10.5857142857143,1.57142857142857,0.714285714285714,3.57142857142857,28.1428571428571,94.7,11.7142857142857,35.8571428571429,151.571428571429,4.18571428571429,1,8.28571428571429,20.5714285714286,48,32.8571428571429,15.1428571428571,2.42857142857143,16.1428571428571,0.714285714285714,0,1.14285714285714,0.142857142857143,0.142857142857143,4.14285714285714,0,8.28571428571429,2,2.42857142857143,79.2857142857143,33.8571428571429,2.28571428571429,2.42857142857143,92.8571428571429,2.14285714285714,38.4285714285714,18.0333333333333,0,16.8571428571429,2.71428571428571,36.5714285714286,12.3166666666667,0,18.8571428571429,3.71428571428571,170,45.4428571428571,22.7142857142857,4.85714285714286,14.5714285714286,33.5142857142857,1.14285714285714,2,59.5285714285714,7,65.8571428571429,352.428571428571,-0.428571428571429,0.571428571428571
2021-10-18,"BUF",20.5,31.625,65.4875,198.75,6.3875,11.025,1.5,0.625,3.5,26.25,96.3125,11.5,35.875,155.625,4.3,1.25,8.75,20.375,49.375,34.625,14.75,2.375,16.25,0.75,0,1.125,0.25,0.25,4.375,0,8.125,1.875,2.25,81.875,33.875,2.5,2.75,91.25,1.875,33.625,18.0333333333333,0,14.75,2.375,32,12.3166666666667,0,16.5,3.75,170,45.075,22.75,4.875,14.125,35.0125,1.125,1.875,64.5875,7,63.125,354.375,-0.125,0.5
2021-10-24,"KC",20.2222222222222,31.3333333333333,65.1111111111111,200.666666666667,6.5,11.1333333333333,1.33333333333333,0.666666666666667,3.11111111111111,23.3333333333333,93.4444444444444,11.2222222222222,34.3333333333333,154.555555555556,4.55555555555556,1.55555555555556,8.44444444444444,21.5555555555556,52,36.6666666666667,15.3333333333333,2.44444444444444,16.4444444444444,0.777777777777778,0,1.11111111111111,0.222222222222222,0.222222222222222,4.55555555555556,0,8.33333333333333,1.88888888888889,2.22222222222222,83.8888888888889,34.8888888888889,2.66666666666667,2.88888888888889,92.2222222222222,2.44444444444444,44.5555555555556,18.1571428571429,0,16.5555555555556,2.22222222222222,28.4444444444444,10.5571428571429,0,14.6666666666667,3.55555555555556,163,46.0111111111111,22,4.77777777777778,13.6666666666667,35.5666666666667,1.11111111111111,1.77777777777778,68.5222222222222,7,66.2222222222222,355.222222222222,-0.111111111111111,0.444444444444444
