"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2022-08-11,"TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-21,"ARI",28,35,80,259,7.4,9.6,1,0,3,9,108.1,12,31,130,4.2,1,7,10,45,35,10,2,13,2,0,0,1,0,4,0,11,3,3,100,47,2,2,100,3,64,21.3,0,24,1,27,27,0,27,4,191,47.8,19,8,17,47.1,1,1,100,6,54,389,2,1,NA
2022-08-27,"WAS",25.5,31,82.6,238,7.7,9.6,2,0.5,2,6,115.15,11.5,28.5,102.5,3.55,0.5,6,13.5,51.5,34.5,17,2.5,14,2,0,0,0.5,0,3.5,0,8.5,2,2,100,38,2.5,2.5,100,1.5,32,21.3,0,12,1,19.5,19.5,0,19.5,3.5,172.5,49.55,18,5.5,12.5,42.3,0.5,0.5,50,9,85,340.5,1.5,0.5,NA
2022-09-11,"NYJ",22.6666666666667,28.3333333333333,79.7,252.333333333333,9.2,11.9,1.66666666666667,0.333333333333333,1.33333333333333,4,119.8,10,23.6666666666667,75.3333333333333,2.86666666666667,0.666666666666667,4.66666666666667,14,60.3333333333333,37,23.3333333333333,3.33333333333333,18,1.33333333333333,0,0,0.333333333333333,0,3,0,7.33333333333333,1.66666666666667,1.66666666666667,100,38,2.33333333333333,2.33333333333333,100,1.66666666666667,35,20.9,0,15.3333333333333,1.33333333333333,13,13,0,13.6666666666667,4.33333333333333,209.333333333333,48.7666666666667,15,4,11,32.3666666666667,0.333333333333333,0.333333333333333,33.3333333333333,7.33333333333333,67.3333333333333,327.666666666667,1,0.333333333333333,NA
2022-09-18,"MIA",21.25,28.75,73.95,242,8.65,12.05,2,0.5,1.5,3.5,114.425,9.5,23,72.25,2.9,0.5,4.5,12.75,63,40.25,22.75,3.25,16.5,1.25,0,0.5,0.5,0,3.25,0,7,1.5,1.5,100,34.5,2.5,2.5,100,1.25,26.25,20.9,0,11.5,1.5,14,11.875,0,12.5,4.75,229.75,48.7,14.5,4.25,11.5,33.9,0.25,0.25,25,6.75,57.75,314.25,1,0.25,24
2022-09-25,"NE",21.2,28.8,73.64,257.2,9.12,12.66,2.2,0.4,1.2,2.8,120.06,10.2,23.4,88.8,3.56,0.6,4.8,18.6,62.4,40,22.4,2.8,14.8,1.4,0,0.4,0.4,0,4,0,7.2,1.4,1.4,100,37.8,3,3,100,1.2,41.6,48.2666666666667,0.2,29.8,1.4,12.2,10.5,0,11,4.2,200,47.06,16.2,4,11.2,33.12,0.4,0.8,26.66,5.6,47.2,346,1.2,0.2,31
2022-10-02,"BUF",20.6666666666667,28.8333333333333,71.7166666666667,248.666666666667,8.78333333333333,12.5666666666667,2.5,0.5,1.66666666666667,4.33333333333333,118.433333333333,10.3333333333333,23.8333333333333,105.333333333333,4.16666666666667,0.666666666666667,5.33333333333333,19.8333333333333,62,40.8333333333333,21.1666666666667,2.83333333333333,15.5,1.66666666666667,0,0.666666666666667,0.5,0,4.33333333333333,0,7.16666666666667,1.33333333333333,1.33333333333333,100,40.8333333333333,3.16666666666667,3.33333333333333,96.6666666666667,1.16666666666667,38.8333333333333,42.45,0.166666666666667,29,1.5,19.3333333333333,13.3333333333333,0,16.3333333333333,4,188.833333333333,46.6,16.6666666666667,4.16666666666667,11.1666666666667,35.1833333333333,0.333333333333333,0.666666666666667,22.2166666666667,5,41,354,1.33333333333333,0.333333333333333,33
2022-10-09,"CIN",20.5714285714286,28.8571428571429,71.3285714285714,232.285714285714,8.18571428571429,11.8,2.28571428571429,0.714285714285714,1.71428571428571,5.14285714285714,110.514285714286,9.85714285714286,25.1428571428571,113.428571428571,4.27142857142857,0.714285714285714,6.42857142857143,20.2857142857143,59.8571428571429,39.4285714285714,20.4285714285714,2.57142857142857,15,1.57142857142857,0,0.714285714285714,0.571428571428571,0,4.85714285714286,0,7.28571428571429,1.42857142857143,1.42857142857143,100,42.2857142857143,3,3.14285714285714,97.1428571428571,1.28571428571429,39,37.96,0.142857142857143,28.8571428571429,1.28571428571429,16.5714285714286,13.3333333333333,0,14,3.85714285714286,183.571428571429,47.1857142857143,17.4285714285714,4.42857142857143,11.4285714285714,36.7571428571429,0.428571428571429,0.857142857142857,26.1857142857143,5.57142857142857,45.1428571428571,345.714285714286,1.14285714285714,0.285714285714286,29.75
2022-10-16,"NYG",20.375,29.25,69.8375,224.5,7.825,11.475,2.125,0.75,1.625,5,105.65,9.5,25.5,118.625,4.425,0.625,7.25,19.875,59.375,39.375,20,2.625,16.5,1.5,0,0.625,0.5,0,4.875,0,8,1.75,1.75,100,44.25,2.75,2.875,97.5,1.25,36,34.1333333333333,0.125,27.125,1.25,15,12,0,12.75,3.625,170.5,46.225,18,4.5,11.375,37.85,0.375,0.875,22.9125,5.625,45.5,343.125,1,0.25,27.6
2022-10-23,"CLE",20,29.5555555555556,67.9777777777778,221.222222222222,7.63333333333333,11.5777777777778,2,0.777777777777778,1.66666666666667,6.11111111111111,101.811111111111,9.88888888888889,25.3333333333333,128.888888888889,4.91111111111111,0.666666666666667,7.55555555555556,20.3333333333333,59.4444444444444,39.7777777777778,19.6666666666667,2.77777777777778,16.6666666666667,1.33333333333333,0,0.666666666666667,0.555555555555556,0,4.55555555555556,0,8,1.77777777777778,1.88888888888889,96.3,43.1111111111111,2.66666666666667,2.77777777777778,97.7777777777778,1.11111111111111,32,34.1333333333333,0.111111111111111,24.1111111111111,1.22222222222222,14.6666666666667,12,0,12.6666666666667,3.44444444444444,162.111111111111,46.3666666666667,18.5555555555556,4.44444444444444,11.2222222222222,38.0888888888889,0.333333333333333,0.777777777777778,20.3666666666667,6.11111111111111,48.6666666666667,350.111111111111,0.777777777777778,0.333333333333333,26.3333333333333
2022-10-27,"TB",18.9,28.2,66.81,208.5,7.46,11.75,1.8,0.7,1.8,8.1,99.65,9.4,27.2,132,4.78,0.8,7.9,20.3,59.8,39.8,20,3,18.5,1.2,0,0.9,0.7,0,4.2,0,8.3,1.9,2,96.67,44.3,2.6,2.7,98,1,28.8,34.1333333333333,0.1,21.7,1.2,17.8,15.7777777777778,0,16,3.4,164,47.76,18.4,4.7,11.6,38.95,0.5,0.9,28.33,5.8,49.1,340.5,0.8,0.4,25.8571428571429
2022-11-07,"NO",19.6363636363636,29.0909090909091,67.2,209.727272727273,7.30909090909091,11.4818181818182,1.81818181818182,0.636363636363636,1.90909090909091,8.81818181818182,100.127272727273,9.90909090909091,27.7272727272727,141,4.98181818181818,0.818181818181818,8.18181818181818,20.4545454545455,58.9090909090909,39.4545454545455,19.4545454545455,3,18.6363636363636,1.09090909090909,0,0.818181818181818,0.727272727272727,0,4.45454545454545,0,8.36363636363636,1.90909090909091,2.09090909090909,93.9454545454546,43,2.63636363636364,2.72727272727273,98.1818181818182,1.18181818181818,32.7272727272727,32.6857142857143,0.0909090909090909,22.7272727272727,1.36363636363636,18.6363636363636,15.1,0,15.7272727272727,3.45454545454545,168.181818181818,48.1909090909091,19.1818181818182,4.81818181818182,11.7272727272727,39.6090909090909,0.454545454545455,0.909090909090909,25.7545454545455,5.90909090909091,53.8181818181818,350.727272727273,0.818181818181818,0.363636363636364,26
