"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2022-08-13,"IND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-20,"DEN",29,42,69,304,7.2,10.7,0,3,2,6,60.6,14,19,65,3.4,2,3,24,73,50,23,4,31,1,0,1,1,1,6,0,7,2,2,100,48,1,1,100,5,112,22.4,0,43,4,26,6.5,0,16,2,120,60,18,5,12,41.7,1,2,50,11,90,369,-3,2,NA
2022-08-26,"CAR",27.5,35.5,79.35,303,8.8,11.15,1,1.5,1,3,96.8,16,23,136.5,5.55,3,8.5,19.5,63.5,46.5,17,2.5,25,0.5,0,1,0.5,0.5,5,0,6.5,1,1,100,24,3.5,3.5,100,4.5,98.5,21.85,0,36,2,13,6.5,0,8,1.5,79,49,25,3.5,7.5,54.2,0.5,1,25,9.5,79,439.5,-1.5,1,NA
2022-09-08,"LA",24,32.3333333333333,74.7,238.666666666667,7.26666666666667,10.3,0.666666666666667,1.33333333333333,1.66666666666667,14,85.8333333333333,12.6666666666667,23.6666666666667,118,4.76666666666667,2,7.66666666666667,20,61.6666666666667,42,19.6666666666667,1.66666666666667,16.6666666666667,0.333333333333333,0,0.666666666666667,0.333333333333333,0.333333333333333,4,0,4.33333333333333,0.666666666666667,0.666666666666667,100,16,2.33333333333333,2.33333333333333,100,4,88.6666666666667,22.2333333333333,0,34.6666666666667,2.66666666666667,20,7.5,0,12.3333333333333,2.33333333333333,106,46,20.6666666666667,3.33333333333333,9,44.4666666666667,1,2.33333333333333,30,7.33333333333333,59.3333333333333,356.666666666667,-1.33333333333333,0.666666666666667,NA
2022-09-19,"TEN",24.5,32,77,252,7.8,10.575,1.25,1.5,1.75,11.75,92.375,13.25,24,118.75,4.775,1.75,7.5,17.5,63.25,43.25,20,3,24.75,1,0,0.5,0.25,0.25,4.5,0,5,0.75,0.75,100,22.25,2.75,2.75,100,3,66.5,22.2333333333333,0,26,2.25,20,11.6666666666667,0,14.25,1.75,79.5,46,21.25,4.75,9.25,55.85,0.75,1.75,22.5,6.75,53.25,370.75,-1.25,1,31
2022-09-25,"MIA",24.8,33.6,74.6,264.2,7.8,10.9,1.8,1.2,1.6,10.2,98.42,13.2,24,115.2,4.66,1.4,7.2,15.4,60,41.8,18.2,2.8,23,1.2,0.2,0.4,0.6,0.2,5,0,6.2,1,1,100,27.6,3.2,3.2,100,2.4,53.2,22.2333333333333,0,20.8,2.6,24.2,11.325,0,14.6,2,92.6,46.575,21.6,4.8,10,52.38,1,2,31.34,7,52.4,379.4,-0.2,0.8,36
2022-10-02,"BAL",27.6666666666667,38.5,73.2833333333333,283.833333333333,7.51666666666667,10.6666666666667,1.83333333333333,1,2,11.5,97.8,14.5,23.8333333333333,115.166666666667,4.71666666666667,1.16666666666667,7.5,16.3333333333333,56.6666666666667,38.6666666666667,18,2.66666666666667,21.6666666666667,1,0.166666666666667,0.333333333333333,0.5,0.166666666666667,4.66666666666667,0.166666666666667,6,1,1.16666666666667,87.5,28,3,3,100,2.16666666666667,47.1666666666667,20.925,0,20.1666666666667,2.66666666666667,25.5,11.2,0,14.5,1.83333333333333,82.3333333333333,43.46,23.1666666666667,5.83333333333333,11.3333333333333,53.8333333333333,1.16666666666667,2.16666666666667,37.2333333333333,7,52.3333333333333,399,-0.333333333333333,0.833333333333333,30.3333333333333
2022-10-09,"PIT",26.4285714285714,38.1428571428571,70.3571428571429,272,7.24285714285714,10.7428571428571,1.71428571428571,1,1.85714285714286,11.5714285714286,93.6,14.4285714285714,24,116.571428571429,4.75714285714286,1.14285714285714,7.42857142857143,16.8571428571429,58,39.1428571428571,18.8571428571429,2.57142857142857,20,1.14285714285714,0.142857142857143,0.285714285714286,0.428571428571429,0.142857142857143,4.57142857142857,0.142857142857143,6.71428571428571,1.28571428571429,1.42857142857143,90,29.5714285714286,2.85714285714286,2.85714285714286,100,2.14285714285714,47,21.34,0,23.2857142857143,2.42857142857143,22.8571428571429,10.5,0,13.4285714285714,2,90,43.7666666666667,23,5.57142857142857,11.2857142857143,51.3428571428571,1.14285714285714,2,46.2,6.57142857142857,49.2857142857143,388.571428571429,-0.285714285714286,0.857142857142857,28.5
2022-10-16,"KC",25.875,37.875,69.2,292,7.8375,11.85,2,1,1.625,10.125,97.9625,14.5,23.25,117,5,1.125,7,15.125,59.375,40.375,19,2.625,19.625,1.125,0.125,0.25,0.5,0.125,5.25,0.125,6.875,1.25,1.5,83.3333333333333,30.25,3.125,3.125,100,2.125,45.625,20.7833333333333,0,24.625,2.125,20,10.5,0,11.75,2,92.5,45.3714285714286,22.75,5.5,11,51.875,1,1.75,40.425,6.375,46.625,409,-0.25,0.875,30.4
2022-10-30,"GB",26,38.1111111111111,69.0111111111111,294.888888888889,7.84444444444444,11.8888888888889,2.11111111111111,0.888888888888889,1.55555555555556,10.2222222222222,100.144444444444,14.8888888888889,24.1111111111111,117.888888888889,4.88888888888889,1,7,15.6666666666667,58.3333333333333,40.3333333333333,18,2.66666666666667,19.5555555555556,1.22222222222222,0.111111111111111,0.222222222222222,0.444444444444444,0.111111111111111,5.22222222222222,0.111111111111111,6.77777777777778,1.22222222222222,1.44444444444444,85.7142857142857,31.2222222222222,3.11111111111111,3.11111111111111,100,2,43.4444444444444,21.5285714285714,0,24.7777777777778,2.11111111111111,18.4444444444444,9.42857142857143,0,11.1111111111111,2,94.2222222222222,46.45,23.1111111111111,5.33333333333333,11,50.1555555555556,1,1.88888888888889,39.6333333333333,6.44444444444444,45.3333333333333,412.777777777778,-0.111111111111111,0.888888888888889,29.3333333333333
