"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2022-08-12,"ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-21,"NYG",22,33,66.7,274,8.3,13.4,1,0,3,21,105,11,28,62,2.2,1,4,36,56,38,18,3,19,0,0,0,0,0,6,0,11,3,3,100,58,2,2,100,3,85,28.3,0,41,2,4,2,0,4,5,238,47.6,16,8,16,50,0,0,0,11,104,336,-1,1,NA
2022-08-27,"LA",23.5,35.5,66.25,238,6.8,10.9,0.5,0,2,15,92.5,11,25,65.5,2.65,1.5,4,30.5,63.5,46.5,17,2,10,0.5,0,0.5,1,0,7,0,10.5,3,3.5,87.5,54,1.5,1.5,100,2.5,89.5,37.65,0,57,1,2,2,0,2,4,191.5,47.95,17,6,14.5,40.4,1,1,50,9.5,81.5,303.5,0,1,NA
2022-09-11,"PIT",25.6666666666667,36.6666666666667,69.8,251.666666666667,6.93333333333333,10.6333333333333,0.666666666666667,0,2,18,97.3666666666667,13,21.6666666666667,60,2.86666666666667,1,3.33333333333333,22.6666666666667,61.6666666666667,44.6666666666667,17,2,14,0.333333333333333,0,1.33333333333333,1.33333333333333,0,5.33333333333333,0,10.3333333333333,3,3.33333333333333,91.6666666666667,49,1.33333333333333,1.33333333333333,100,1.66666666666667,59.6666666666667,37.65,0,38,1.66666666666667,10,5.35,0,11.6666666666667,4,188.333333333333,47.1333333333333,17.6666666666667,5.33333333333333,13.3333333333333,39.0666666666667,1,1,66.6666666666667,8,72.6666666666667,311.666666666667,0.666666666666667,0.666666666666667,NA
2022-09-18,"DAL",27.5,40.75,67.925,263.5,6.6,10.525,1,1,3.25,23.25,88.45,15.25,24.75,78.25,3.125,0.75,3.75,22.75,60.25,43.25,17,1.75,11,0.25,0,1.25,1,0,5,0,9.25,2.75,3.25,85.425,51.5,1,1.25,75,1.25,44.75,37.65,0,28.5,2.5,15.25,5.63333333333333,0,11.25,3.75,180.75,48.525,21.25,6,14,41.8,1,1.5,58.325,7,61.25,341.75,-0.75,0.75,20
2022-09-25,"NYJ",26.8,39.8,67.68,243.8,6.2,10.08,1,0.8,3.8,25.4,88.74,14.8,24.8,80.4,3.22,0.6,3.6,22.2,58.4,42.8,15.6,1.6,9.8,0.2,0,1.2,1,0,4.6,0,9.2,2.8,3.2,88.34,51.2,0.8,1,75,1,35.8,37.65,0,22.8,2.2,16.2,9.225,0,13,4,191.8,48.26,20.8,6,14.6,40.5,1,1.4,66.66,7,56,324.2,-0.4,0.6,18.5
2022-09-29,"MIA",26.1666666666667,39.1666666666667,67.05,246.666666666667,6.38333333333333,10.4,1.33333333333333,0.666666666666667,3.5,23.5,93.1,14.3333333333333,25.3333333333333,78.5,3.1,0.5,4,20.5,59.6666666666667,42.8333333333333,16.8333333333333,2,13.6666666666667,0.5,0,1.5,1.16666666666667,0,5.16666666666667,0,9.16666666666667,2.66666666666667,3.16666666666667,84.7333333333333,49.8333333333333,1.16666666666667,1.33333333333333,80,0.833333333333333,29.8333333333333,37.65,0,19,2.16666666666667,17.3333333333333,9.68,0,13.3333333333333,3.83333333333333,183.5,48.1,20.6666666666667,6.16666666666667,14.5,42.0833333333333,0.833333333333333,1.33333333333333,55.55,6.66666666666667,51.6666666666667,325.166666666667,0.166666666666667,0.666666666666667,21.3333333333333
2022-10-09,"BAL",25.4285714285714,38.1428571428571,66.8428571428571,254.857142857143,6.82857142857143,11.0285714285714,1.42857142857143,0.571428571428571,3.14285714285714,21,96.6571428571429,13.8571428571429,26,76.8571428571429,2.97142857142857,0.571428571428571,4,19.7142857142857,58.7142857142857,42,16.7142857142857,1.85714285714286,13.1428571428571,0.714285714285714,0,1.28571428571429,1,0,5.14285714285714,0,9.14285714285714,2.57142857142857,3,86.9142857142857,50.8571428571429,1.42857142857143,1.57142857142857,83.3333333333333,0.714285714285714,25.5714285714286,37.65,0,16.2857142857143,2,18.1428571428571,11.9,0,14.7142857142857,3.85714285714286,180,46.9142857142857,20,6.42857142857143,14.5714285714286,43.6857142857143,0.714285714285714,1.28571428571429,47.6142857142857,6.57142857142857,54.8571428571429,331.714285714286,0.428571428571429,0.571428571428571,22.75
2022-10-16,"NO",25.25,37.75,67.0625,246.75,6.65,10.775,1.375,0.625,3.125,21.75,94.9125,13.375,25.375,79.875,3.2,0.625,4.375,19.625,58.875,41.625,17.25,1.75,12,0.75,0,1.125,0.875,0,4.875,0,8.625,2.375,2.75,88.55,49.5,1.5,1.625,85.7142857142857,0.875,29.125,34.1,0,17.875,1.75,15.875,11.9,0,12.875,3.875,176.75,45.8625,20,6.125,14,43.225,0.625,1.25,41.6625,6.25,50.5,326.625,0.375,0.5,21.6
2022-10-23,"ATL",25.5555555555556,37.6666666666667,68.0222222222222,249.666666666667,6.73333333333333,10.7666666666667,1.55555555555556,0.555555555555556,3.11111111111111,22.3333333333333,98.3666666666667,13.3333333333333,24.1111111111111,79.3333333333333,3.44444444444444,0.666666666666667,4.66666666666667,20.3333333333333,60.3333333333333,41,19.3333333333333,1.66666666666667,11.4444444444444,0.666666666666667,0,1,0.777777777777778,0,4.77777777777778,0,8.33333333333333,2.22222222222222,2.55555555555556,89.8222222222222,49.7777777777778,1.66666666666667,1.77777777777778,87.5,1.11111111111111,32.7777777777778,30.75,0,18.6666666666667,1.77777777777778,17.7777777777778,12.5571428571429,0,13.4444444444444,3.77777777777778,171.666666666667,45.6222222222222,20.1111111111111,6.11111111111111,13.5555555555556,45.0888888888889,0.555555555555556,1.11111111111111,37.0333333333333,5.88888888888889,48.2222222222222,329,0.222222222222222,0.555555555555556,23
