"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2022-08-13,"DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-20,"BUF",24,41,58.5,285,7,11.9,2,0,0,0,96.1,14,22,39,1.8,0,0,7,61,40,21,2,21,1,0,0,0,0,6,0,5,1,1,100,52,2,2,100,0,0,NA,0,0,3,45,15,0,27,4,176,44,19,5,13,38.5,0,3,0,8,64,324,1,0,NA
2022-08-27,"MIN",27,41.5,64.95,263.5,6.4,10.3,1.5,0,0.5,9.5,95.75,13,19.5,35.5,1.85,0,1.5,24.5,56.5,40,16.5,1,10.5,0.5,0,0,0,0,3,0,7,2,2,100,53.5,1,1,100,3,80,26.7,0,17.5,1.5,22.5,15,0,13.5,3,140,48,18.5,5,12.5,40.1,0.5,2.5,25,5.5,42,299,0.5,0,NA
2022-09-12,"SEA",26.3333333333333,39.3333333333333,67.1,257,6.6,10.1333333333333,1,0.333333333333333,0.333333333333333,6.33333333333333,90.1,12,21.3333333333333,73,3.2,0.333333333333333,3.66666666666667,20.6666666666667,57,39.6666666666667,17.3333333333333,2.33333333333333,22.3333333333333,0.333333333333333,0,1,0.333333333333333,0.333333333333333,3.66666666666667,0,8.33333333333333,2.33333333333333,2.33333333333333,100,52.3333333333333,1.33333333333333,1.33333333333333,100,2.33333333333333,53.3333333333333,13.35,0,11.6666666666667,1.33333333333333,16.3333333333333,9.5,0,10.3333333333333,3.33333333333333,152,46.6666666666667,19.3333333333333,5,12.6666666666667,39.5666666666667,0.666666666666667,2,50,6.33333333333333,48,330,0.333333333333333,0,NA
2022-09-18,"HOU",27,40,67.575,275.25,6.925,10.525,1,0.25,0.75,7.25,92.9,12.25,21,80.5,3.7,0.25,4,19.75,56.5,37.75,18.75,2.25,21.25,0.25,0,1.5,0.5,0.25,3.25,0,8.75,2.5,2.75,93.75,49.25,1.25,1.25,100,2.5,52.75,14.5666666666667,0,14,1.25,13,7.33333333333333,0,8.5,2.75,123,44,19.5,5.75,13.25,43,0.5,1.75,37.5,7.75,62.5,355.75,0,0.5,16
2022-09-25,"SF",24.4,38.2,63.1,260.4,6.84,11.54,1,0.4,1.2,9.4,87.62,12,23,94.2,3.92,0.2,4.2,17.6,55.2,37,18.2,2.4,21.6,0.2,0,1.6,0.4,0.2,3.4,0,9,2.6,2.8,95,49.4,1.2,1.2,100,2.2,45.6,15.175,0,14.6,1.8,22.2,9.2,0,10.6,3.2,141.2,43.76,19.6,5.2,13,39.4,0.6,1.6,50,8.8,70,354.6,-0.2,0.4,16
2022-10-02,"LV",23.6666666666667,37.3333333333333,62.6833333333333,243.666666666667,6.5,11.15,0.833333333333333,0.333333333333333,1.66666666666667,11.8333333333333,85.65,11.3333333333333,24.6666666666667,95.3333333333333,3.78333333333333,0.333333333333333,4.33333333333333,16.3333333333333,54.6666666666667,35.6666666666667,19,2.66666666666667,23.3333333333333,0.333333333333333,0,1.5,0.666666666666667,0.166666666666667,3.83333333333333,0.166666666666667,8,2.33333333333333,2.66666666666667,87.5,50.3333333333333,1,1,100,2,40.3333333333333,14.94,0,14.5,1.66666666666667,20,9.16,0,10.3333333333333,4.33333333333333,197,44.4,18.6666666666667,5.33333333333333,14,38.1,0.5,1.33333333333333,41.6666666666667,8.16666666666667,63.3333333333333,339,0.333333333333333,0.333333333333333,14.3333333333333
2022-10-06,"IND",22.7142857142857,35.5714285714286,63.4428571428571,239.428571428571,6.8,11.5428571428571,1,0.285714285714286,1.85714285714286,13.4285714285714,91.2571428571429,10.7142857142857,24,93.8571428571429,3.85714285714286,0.428571428571429,4.42857142857143,18.5714285714286,57,37.4285714285714,19.5714285714286,2.57142857142857,22.1428571428571,0.285714285714286,0,1.28571428571429,0.571428571428571,0.142857142857143,3.85714285714286,0.142857142857143,7.57142857142857,2.14285714285714,2.42857142857143,89.2857142857143,47.1428571428571,1.14285714285714,1.28571428571429,93.34,1.71428571428571,34.5714285714286,14.94,0,12.4285714285714,1.85714285714286,26.5714285714286,11.3,0,13.1428571428571,4.42857142857143,203.285714285714,44.9428571428571,17.7142857142857,5,13.5714285714286,36.5571428571429,0.571428571428571,1.42857142857143,42.8571428571429,8,61.4285714285714,333.285714285714,0.142857142857143,0.428571428571429,16.5
2022-10-17,"LAC",22.5,36,62.2375,240.75,6.75,11.725,0.875,0.5,2.125,14.75,86.7125,10.75,24.5,97.75,3.9375,0.375,4.625,17.75,59.75,37.625,22.125,3,25.75,0.5,0,1.5,0.5,0.125,4,0.125,7.75,2.25,2.625,87.5,46.875,1,1.125,93.34,1.625,32.75,15.7833333333333,0,13.375,1.875,24,10.1142857142857,0,11.875,4.5,206.5,45.05,17.75,4.625,13.75,33.65,0.625,1.5,43.75,7.875,59.875,338.5,0.125,0.375,15
2022-10-23,"NYJ",21.6666666666667,35.1111111111111,61.2777777777778,231.777777777778,6.63333333333333,11.8111111111111,0.888888888888889,0.444444444444444,2.33333333333333,16.2222222222222,86.7,10.4444444444444,24.3333333333333,97.7777777777778,3.97777777777778,0.333333333333333,4.44444444444444,17.8888888888889,61.7777777777778,39.6666666666667,22.1111111111111,2.88888888888889,24.4444444444444,0.555555555555556,0,1.33333333333333,0.444444444444444,0.111111111111111,4.55555555555556,0.111111111111111,8,2.33333333333333,2.66666666666667,88.8888888888889,47.3333333333333,1,1.11111111111111,94.45,1.55555555555556,32,17.2428571428571,0,14.7777777777778,1.88888888888889,21.3333333333333,8.85,0,10.5555555555556,4.77777777777778,219.444444444444,45.1666666666667,17.2222222222222,4.55555555555556,13.7777777777778,33.0888888888889,0.555555555555556,1.33333333333333,38.8888888888889,8.11111111111111,70,329.555555555556,0.111111111111111,0.444444444444444,15.1666666666667
