"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2022-08-13,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-19,"LA",19,29,65.5,176,6.1,9.4,2,3,1,3,65.8,8,24,99,4.1,0,4,13,75,53,22,5,32,1,0,2,2,0,2,0,5,1,2,50,49,2,2,100,2,45,22.5,0,25,3,22,7.3,0,15,6,339,56.5,14,3,12,25,0,0,0,11,99,275,0,0,NA
2022-08-25,"SF",20.5,30.5,67.15,167.5,5.55,8.9,2.5,1.5,1.5,14,90.2,10,25.5,107,4.2,0,5,16.5,70,45.5,24.5,5.5,34,0.5,0,1.5,1.5,0,2.5,0,5.5,1,1.5,75,45.5,2.5,2.5,100,2.5,52.5,21.25,0,25.5,3.5,32.5,9.05,0,22.5,5.5,300,54.35,17,4,12,33.35,0.5,0.5,50,10,84.5,274.5,-0.5,1,NA
2022-09-11,"IND",16.3333333333333,25,63.8,139,5.66666666666667,9.86666666666667,2,1.33333333333333,2,13.3333333333333,84.0333333333333,8,29,123.333333333333,4.23333333333333,0.333333333333333,6.33333333333333,11,68.6666666666667,44.3333333333333,24.3333333333333,4.66666666666667,30.3333333333333,1,0,1.33333333333333,1,0,4,0,5.33333333333333,1,1.66666666666667,66.6666666666667,45.3333333333333,2.33333333333333,2.33333333333333,100,2,42.6666666666667,21.8333333333333,0,24.6666666666667,3.66666666666667,29.6666666666667,8.03333333333333,0,18.3333333333333,5.33333333333333,275,51.2333333333333,17,4.66666666666667,12.6666666666667,36.5333333333333,0.333333333333333,0.333333333333333,33.3333333333333,8.66666666666667,71.3333333333333,262.333333333333,0,0.666666666666667,NA
2022-09-18,"DEN",18,28,63.4,159.75,5.75,10,2,1,2.25,14.5,87.75,9,28.75,111.75,3.875,0.25,5.75,13.25,74,46.5,27.5,4,25.75,1,0,1.5,1,0,5.75,0,6,1.25,1.75,75,45.25,2.25,2.25,100,1.5,32,21.8333333333333,0,18.5,2.75,22.25,8.03333333333333,0,13.75,5.75,285.75,49.775,17.75,4.75,13.25,35.725,0.25,0.25,25,8,63.5,271.5,0.25,0.75,20
2022-09-25,"CHI",18.2,30,60.72,158.6,5.42,9.86,1.6,0.8,2.4,16.2,82.84,8.4,26.6,105.4,3.98,0.2,6,13.8,71,45.2,25.8,3.8,24.2,1,0,1.2,0.8,0,5.8,0,6.6,1.6,2,80,45,1.8,1.8,100,1.4,30,21.875,0,19.2,2.4,19.2,7.775,0,12.4,5.6,282.2,50.54,17.2,4.2,13.2,31.66,0.4,0.8,26.66,8,69.6,264,0.4,0.6,14.5
2022-10-02,"LAC",18.5,30.3333333333333,61.0166666666667,171.666666666667,5.75,10.2666666666667,1.5,1,2.16666666666667,14.8333333333333,80.7666666666667,8.5,26.1666666666667,103.166666666667,3.95,0.333333333333333,6,15.3333333333333,69.6666666666667,44.6666666666667,25,4,24.1666666666667,1.16666666666667,0,1,0.666666666666667,0,5.33333333333333,0,6.83333333333333,1.66666666666667,2,83.3333333333333,44,1.83333333333333,1.83333333333333,100,1.16666666666667,25,21.875,0,16,2.16666666666667,21.1666666666667,12.42,0,15.5,5.5,275.5,50.1833333333333,17.1666666666667,4,13,30.55,0.5,0.833333333333333,38.8833333333333,7.16666666666667,62.1666666666667,274.833333333333,0.333333333333333,0.5,16.3333333333333
2022-10-09,"JAC",19.5714285714286,31,62.9142857142857,177.857142857143,5.8,10.1571428571429,1.57142857142857,1.14285714285714,2.42857142857143,17.1428571428571,81.8714285714286,8.85714285714286,24.4285714285714,107.142857142857,4.72857142857143,0.428571428571429,5.42857142857143,18,69,44.1428571428571,24.8571428571429,3.57142857142857,21,1,0,1,0.714285714285714,0,4.85714285714286,0,6.71428571428571,1.57142857142857,2,78.5714285714286,43.4285714285714,2,2,100,1.14285714285714,24.8571428571429,22.3,0,17.1428571428571,2.14285714285714,19.2857142857143,11.0166666666667,0,13.8571428571429,5.14285714285714,258.428571428571,50.4428571428571,17,4,12.8571428571429,30.9428571428571,0.428571428571429,1,33.3285714285714,7.42857142857143,62.8571428571429,285,0.142857142857143,0.428571428571429,18.25
2022-10-23,"LV",19.125,30.125,63.3875,172.125,5.7625,9.9875,1.375,1,2.25,16,81.875,8.5,25.25,108.25,4.6,0.5,5.625,16.5,68,44.25,23.75,3.125,18.375,1.125,0,0.875,0.625,0,5.25,0,6.75,1.625,2,81.25,44.375,1.875,1.875,100,1.125,24.75,22.5833333333333,0,18,2.125,18.5,10.3714285714286,0,13.375,5.25,262.75,50.2375,16.75,4.125,12.875,31.8875,0.375,0.875,29.1625,7,58.125,280.375,0.375,0.375,17.2
2022-10-30,"TEN",20.1111111111111,31.3333333333333,63.9333333333333,185.888888888889,5.92222222222222,10.0777777777778,1.44444444444444,1,2.11111111111111,14.8888888888889,83.4222222222222,8.88888888888889,25,108.222222222222,4.61111111111111,0.444444444444444,6,18.8888888888889,65.5555555555556,43.6666666666667,21.8888888888889,2.88888888888889,16.8888888888889,1,0,0.777777777777778,0.555555555555556,0,4.77777777777778,0,6.88888888888889,1.66666666666667,2.11111111111111,79.6333333333333,45.5555555555556,1.88888888888889,1.88888888888889,100,1.44444444444444,30.6666666666667,22.1428571428571,0,18.7777777777778,2,16.5555555555556,9.2,0,12,4.77777777777778,239.666666666667,50.7666666666667,17.2222222222222,4.66666666666667,13.1111111111111,35.0111111111111,0.444444444444444,1,31.4777777777778,6.55555555555556,53.2222222222222,294.111111111111,0.222222222222222,0.333333333333333,17.6666666666667
