"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2022-08-13,"BUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-20,"DET",24,37,64.9,187,5.1,9.1,3,1,4,31,96.5,9,26,101,3.9,0,5,27,62,42,20,2,6,3,0,2,2,0,5,0,4,1,1,100,24,1,2,50,3,74,24.7,0,40,0,0,NA,0,0,5,264,52.8,17,6,16,37.5,2,4,50,9,67,288,3,1,NA
2022-08-27,"TB",22.5,32.5,69.95,224,7.2,11.1,3,0.5,3.5,22.5,118.85,11,22,65.5,2.8,0,2.5,27,69,45.5,23.5,2.5,11.5,2,0,1,1,0,5.5,0,6,1.5,1.5,100,32,1.5,2,75,4,102.5,25.45,0,36,0.5,6.5,13,0,6.5,4.5,232,51.4,15,6.5,14.5,45.65,1,2,25,6.5,48.5,289.5,2,0.5,NA
2022-09-11,"HOU",20,29,69.3666666666667,197.333333333333,6.96666666666667,10.8666666666667,2,0.333333333333333,3.33333333333333,19,108.7,9.33333333333333,23,83.6666666666667,3.46666666666667,1,4,21.3333333333333,64.3333333333333,44,20.3333333333333,2,9.33333333333333,1.33333333333333,0,0.666666666666667,0.666666666666667,0,4,0,7,1.66666666666667,1.66666666666667,100,36.6666666666667,2,2.33333333333333,83.3333333333333,3,86,34.6333333333333,0,41.6666666666667,2.66666666666667,27.6666666666667,11.5,0,10,4.66666666666667,239,51.1333333333333,14.3333333333333,5.33333333333333,13,40.4333333333333,0.666666666666667,1.33333333333333,16.6666666666667,6,45.3333333333333,281,1.33333333333333,0.333333333333333,NA
2022-09-18,"JAC",23,34.25,68.025,233,6.925,10.9,1.75,0.5,3,17.25,102.3,12,26.75,107,3.775,1,5.75,21,63.25,45.25,18,2.25,11.5,1,0,0.75,0.75,0,3.5,0,7.25,1.75,2,91.675,38.75,2,2.25,87.5,2.25,64.5,34.6333333333333,0,31.25,3.25,29.25,9.93333333333333,0,10.25,4.5,224,49.55,19,5.5,13.5,40.325,0.5,1.25,12.5,6.25,56.25,340,0.75,0.5,20
2022-09-25,"KC",21.6,33.4,65.08,219.2,6.64,11.16,1.4,1,3.4,20,88.64,10.8,24,96.4,3.86,0.8,5.2,21.6,64.6,47.2,17.4,1.8,9.2,0.8,0,0.6,0.6,0,3.4,0,5.8,1.4,1.6,91.675,31,1.6,1.8,87.5,2.4,63.2,30.8,0,29.8,3.2,27.2,9.025,0,10.4,4.6,224.6,48.72,17,4.8,12.8,36.26,0.4,1.4,10,6,51,315.6,0,0.4,10
2022-10-02,"TEN",22.5,34,66.4,212.166666666667,6.33333333333333,10.6666666666667,1.5,0.833333333333333,3.66666666666667,24.1666666666667,91.5166666666667,11,24.5,94,3.71666666666667,0.666666666666667,5.16666666666667,20.8333333333333,62.5,45.5,17,1.66666666666667,8.5,0.833333333333333,0,0.5,0.666666666666667,0,3.83333333333333,0,6.16666666666667,1.5,1.66666666666667,93.34,34.3333333333333,1.66666666666667,1.83333333333333,90,2.33333333333333,62.1666666666667,30.34,0,30,2.83333333333333,24.3333333333333,9.22,0,10.3333333333333,4.33333333333333,212.833333333333,49.15,17.3333333333333,5,13.1666666666667,36.8833333333333,0.5,1.66666666666667,13.8833333333333,5.66666666666667,48.1666666666667,306.166666666667,0.166666666666667,0.5,13.3333333333333
2022-10-06,"DEN",23.1428571428571,34.4285714285714,67.3428571428571,228.571428571429,6.68571428571429,11.0285714285714,1.57142857142857,0.857142857142857,3.57142857142857,24.8571428571429,94.1142857142857,11.8571428571429,24.2857142857143,86,3.42857142857143,0.571428571428571,4.85714285714286,21.2857142857143,61.5714285714286,43.7142857142857,17.8571428571429,1.85714285714286,10.2857142857143,0.714285714285714,0,0.428571428571429,0.571428571428571,0,3.28571428571429,0,6,1.42857142857143,1.71428571428571,86.1166666666667,33.2857142857143,1.71428571428571,1.85714285714286,91.6666666666667,2,53.2857142857143,30.34,0,25.7142857142857,2.71428571428571,23.7142857142857,9.35,0,10.8571428571429,4,192,46.9142857142857,17.8571428571429,5.28571428571429,13.1428571428571,39.3,0.428571428571429,1.42857142857143,11.9,5.85714285714286,48.4285714285714,314.571428571429,-0.285714285714286,0.714285714285714,14.25
2022-10-16,"JAC",23.5,35.25,66.85,225,6.4625,10.8625,1.375,1,3.875,28.125,89.8625,12.125,24.5,88.5,3.5125,0.5,4.75,19.75,62.375,43.5,18.875,2.125,12,0.875,0,0.625,0.5,0,3.75,0,6.75,1.75,2,88.1,35.625,1.5,1.625,91.6666666666667,1.75,46.625,30.34,0,22.5,2.75,23.5,9.05714285714286,0,11.125,4.375,206.75,46.5875,18,5.125,13.5,37.5125,0.375,1.25,10.4125,6.125,50.375,313.5,-0.25,0.625,13.8
2022-10-23,"TEN",25.5555555555556,37.7777777777778,67.4666666666667,243.222222222222,6.48888888888889,10.6888888888889,1.55555555555556,0.888888888888889,3.44444444444444,25,91.8333333333333,13.2222222222222,23.5555555555556,83.6666666666667,3.43333333333333,0.555555555555556,4.66666666666667,20.5555555555556,63,43.3333333333333,19.6666666666667,2.33333333333333,13.8888888888889,0.777777777777778,0,0.666666666666667,0.555555555555556,0,3.33333333333333,0,6.88888888888889,1.77777777777778,2,89.5875,36.3333333333333,1.55555555555556,1.66666666666667,92.8571428571429,1.88888888888889,49,29.0666666666667,0,23.7777777777778,2.66666666666667,23,9.1125,0,12,4.22222222222222,196,45.4888888888889,19.2222222222222,5.66666666666667,13.6666666666667,40.7555555555556,0.333333333333333,1.11111111111111,9.25555555555555,6.22222222222222,50.5555555555556,326.888888888889,-0.111111111111111,0.555555555555556,17.1666666666667
2022-10-30,"WAS",26.3,38.4,68.22,241.6,6.36,10.36,1.5,1,3.4,24.1,90.27,13.1,22.9,81.8,3.47,0.5,4.7,20.4,63.1,43.1,20,2.3,14.1,0.7,0,0.6,0.6,0,3.3,0,6.6,1.7,1.9,90.7444444444444,37.7,1.5,1.6,93.75,2,48.9,27.2,0,23.2,2.7,25.4,9.84444444444444,0,13.2,4.3,194,44.46,19,5.5,13.6,39.76,0.4,1.1,18.33,6,48.3,323.4,-0.3,0.6,16.1428571428571
2022-11-06,"NE",25.4545454545455,37,68.7363636363636,236.818181818182,6.52727272727273,10.4909090909091,1.36363636363636,0.909090909090909,3.27272727272727,23,91.1636363636364,12.6363636363636,23.4545454545455,86.6363636363636,3.58181818181818,0.545454545454545,4.72727272727273,20.0909090909091,63.5454545454545,42.8181818181818,20.7272727272727,2.27272727272727,14,0.727272727272727,0,0.545454545454545,0.545454545454545,0,3.36363636363636,0,6.90909090909091,1.81818181818182,2,91.67,38.4545454545455,1.45454545454545,1.54545454545455,94.4444444444444,1.81818181818182,44.4545454545455,27.2,0,21.0909090909091,2.63636363636364,24.8181818181818,9.81,0,12.9090909090909,4.27272727272727,197,45.5818181818182,18.6363636363636,5.45454545454545,13.4545454545455,39.9363636363636,0.363636363636364,1,16.6636363636364,5.72727272727273,46.1818181818182,323.454545454545,-0.363636363636364,0.727272727272727,16.125
2022-11-13,"LV",24.5833333333333,36.3333333333333,67.3166666666667,220.666666666667,6.10833333333333,10.1916666666667,1.25,0.916666666666667,3.75,26.0833333333333,87.3666666666667,11.8333333333333,23.3333333333333,85.9166666666667,3.575,0.5,4.66666666666667,20.5833333333333,63.0833333333333,43,20.0833333333333,2.41666666666667,14,0.666666666666667,0,0.666666666666667,0.583333333333333,0,3.08333333333333,0,6.58333333333333,1.75,2,87.8818181818182,38.5833333333333,1.33333333333333,1.41666666666667,94.4444444444444,1.83333333333333,44.5833333333333,26.675,0,21.3333333333333,2.75,25.25,9.6,0,12.8333333333333,4.66666666666667,209.583333333333,45.0083333333333,17.75,5,13.5,36.6083333333333,0.333333333333333,1.08333333333333,15.275,5.41666666666667,43.5833333333333,306.583333333333,-0.333333333333333,0.666666666666667,14.6666666666667
2022-11-20,"PHI",24.3076923076923,35.6923076923077,67.9076923076923,219.692307692308,6.20769230769231,10.2230769230769,1.23076923076923,0.846153846153846,3.53846153846154,25.1538461538462,89.0692307692308,11.6923076923077,23.8461538461538,95.2307692307692,3.83076923076923,0.615384615384615,4.92307692307692,20.5384615384615,62.6923076923077,42.5384615384615,20.1538461538462,2.38461538461538,14.1538461538462,0.615384615384615,0,0.615384615384615,0.538461538461538,0,3.46153846153846,0,6.61538461538461,1.76923076923077,2.07692307692308,86.1166666666667,39.3076923076923,1.30769230769231,1.38461538461538,95,1.76923076923077,42.7692307692308,26.0444444444444,0,21.3076923076923,2.76923076923077,25.3846153846154,9.55,0,12.9230769230769,4.53846153846154,204.461538461538,45.2153846153846,17.9230769230769,5.07692307692308,13.3076923076923,37.9846153846154,0.307692307692308,1,14.1,5.30769230769231,42.1538461538462,314.923076923077,-0.384615384615385,0.692307692307692,15.7
2022-11-28,"PIT",24.2142857142857,35.4285714285714,68.1928571428572,217.214285714286,6.17857142857143,10.1571428571429,1.14285714285714,0.785714285714286,3.57142857142857,25.3571428571429,89.1142857142857,11.5,24,95.5,3.82857142857143,0.642857142857143,4.85714285714286,20.2857142857143,62.7857142857143,42.4285714285714,20.3571428571429,2.42857142857143,14.3571428571429,0.571428571428571,0,0.714285714285714,0.642857142857143,0,3.42857142857143,0,6.85714285714286,1.85714285714286,2.21428571428571,85.2615384615385,40.1428571428571,1.28571428571429,1.35714285714286,95.4545454545455,1.64285714285714,39.7142857142857,26.0444444444444,0,19.7857142857143,2.71428571428571,25.3571428571429,9.77692307692308,0,13.2142857142857,4.5,204.714285714286,45.7,17.6428571428571,5.07142857142857,13.4285714285714,37.65,0.285714285714286,1,13.0928571428571,5.5,45.5714285714286,312.714285714286,-0.285714285714286,0.714285714285714,15.7272727272727
