"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2022-08-13,"LAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-19,"HOU",10,17,58.8,123,7.2,13.3,2,0,2,10,122.9,5,35,109,3.1,2,10,22,60,38,22,2,10,1,0,1,0,0,5,0,3,0,0,NA,0,3,3,100,2,36,18,0,20,1,5,5,0,5,3,158,52.7,21,8,12,66.7,1,1,100,2,10,232,1,0,NA
2022-08-27,"CIN",17.5,26,65.1,176,6.85,11.95,1,0,4,23,108.05,8,27.5,77.5,2.7,1.5,6.5,23,60.5,39.5,21,2,17.5,0.5,0,2.5,1,0.5,5,0,5.5,1,1,100,21.5,2.5,2.5,100,1.5,25.5,16.5,0,17.5,2.5,8,3.9,0,8.5,4.5,219,49.7,20,5.5,13,44.05,1.5,1.5,100,4.5,55.5,253.5,1,0.5,NA
2022-09-08,"BUF",16.3333333333333,23.6666666666667,67.9666666666667,157.666666666667,6.7,11.3666666666667,0.666666666666667,0,3.33333333333333,22.6666666666667,103.633333333333,7.66666666666667,28.6666666666667,90.6666666666667,3.06666666666667,1.33333333333333,6.66666666666667,20.6666666666667,58,39.6666666666667,18.3333333333333,2,19.6666666666667,0.333333333333333,0,1.66666666666667,0.666666666666667,0.333333333333333,4,0,4,0.666666666666667,0.666666666666667,100,14.3333333333333,2,2,100,1.33333333333333,24.3333333333333,18.3333333333333,0,19,1.66666666666667,5.33333333333333,3.9,0,5.66666666666667,4.33333333333333,212.333333333333,49.7333333333333,18,5,12.3333333333333,41.5,1.66666666666667,1.66666666666667,100,3.66666666666667,42,248.333333333333,0,1,NA
2022-09-18,"ATL",19.5,28,68.65,166,6.2,10.6,0.75,0.75,4.25,29.25,93.5,9.25,26,81,3.025,1,5.75,23.25,59.5,41,18.5,2,16,0.75,0,1.75,1,0.25,3.75,0,4,0.75,0.75,100,25,1.75,1.75,100,2,35,17.95,0,19.5,1.25,4,3.9,0,4.25,4.25,204.25,48.55,18.25,5.25,12.5,42.675,1.75,2,91.675,3.75,39,247,0.25,0.75,10
2022-09-25,"ARI",21,29.6,69.92,187.2,6.48,10.5,1.2,1,3.6,23.4,94.94,10.6,26,77.8,2.92,1,5.8,24,60.4,40.4,20,2.2,17.8,1,0,1.6,1,0.2,3.6,0,4.6,0.8,0.8,100,24,2.2,2.2,100,1.8,31,17.36,0,18.6,1.2,3,2.26666666666667,0,3.2,3.4,163.4,48.55,19.4,5.4,12,46.14,1.4,1.8,73.34,3.6,43.4,265,0.2,0.8,20.5
2022-10-03,"SF",20.5,28.8333333333333,70.2666666666667,195.833333333333,7,11.05,1,0.833333333333333,3.16666666666667,21.1666666666667,96.3833333333333,10.5,25,81.5,3.26666666666667,1.16666666666667,5.66666666666667,22,62.1666666666667,42.8333333333333,19.3333333333333,2.16666666666667,18,0.833333333333333,0,1.33333333333333,0.833333333333333,0.166666666666667,3.5,0,5.16666666666667,1,1,100,26.6666666666667,2.16666666666667,2.16666666666667,100,1.66666666666667,31,19.6333333333333,0,20.6666666666667,1.66666666666667,9.83333333333333,4.45,0,6.33333333333333,3.33333333333333,158.666666666667,47.84,18.6666666666667,5,11.3333333333333,44.7,1.16666666666667,1.5,61.1166666666667,4,42,277.333333333333,0,0.833333333333333,20.3333333333333
2022-10-09,"DAL",22.1428571428571,31.5714285714286,69.7571428571429,196.428571428571,6.6,10.6,0.857142857142857,0.857142857142857,3.71428571428571,25.8571428571429,92.7571428571429,11.2857142857143,24,78,3.25714285714286,1,5.28571428571429,22.2857142857143,60.4285714285714,40.8571428571429,19.5714285714286,1.85714285714286,15.4285714285714,0.714285714285714,0,1.28571428571429,0.714285714285714,0.142857142857143,3.42857142857143,0,5.71428571428571,1.28571428571429,1.28571428571429,100,28.4285714285714,1.85714285714286,1.85714285714286,100,1.85714285714286,34.8571428571429,19.5857142857143,0,20.8571428571429,1.42857142857143,8.42857142857143,4.45,0,5.42857142857143,3.42857142857143,168.714285714286,49.4166666666667,19,5,11.8571428571429,43.0714285714286,1.28571428571429,1.57142857142857,66.6714285714286,3.57142857142857,36.7142857142857,274.428571428571,-0.285714285714286,0.857142857142857,17.5
2022-10-16,"CAR",23,33.125,69.275,207.5,6.5875,10.65,0.875,0.875,3.875,27,91.8375,11.125,22.875,73,3.1625,0.875,4.875,22.25,60.125,39.625,20.5,2,16.75,0.625,0,1.25,0.625,0.125,3.375,0,5.5,1.25,1.375,91.6666666666667,28.5,1.75,1.75,100,1.625,30.5,19.5857142857143,0,18.25,1.625,9.75,4.82,0,6.5,3.75,175.5,47.6714285714286,18.375,5.125,12.5,42.1,1.25,1.5,70.8375,3.5,35.25,280.5,-0.625,1,16
2022-10-30,"SF",23.3333333333333,33.1111111111111,70.3333333333333,212.111111111111,6.68888888888889,10.5444444444444,0.888888888888889,0.888888888888889,3.55555555555556,24.4444444444444,92.3111111111111,11.6666666666667,23.5555555555556,77.2222222222222,3.23333333333333,1,4.88888888888889,20.8888888888889,59.3333333333333,38,21.3333333333333,2,15.8888888888889,0.666666666666667,0,1.11111111111111,0.555555555555556,0.111111111111111,3.44444444444444,0,5.55555555555556,1.22222222222222,1.33333333333333,92.8571428571429,27.6666666666667,1.88888888888889,1.88888888888889,100,1.55555555555556,29.5555555555556,19.8875,0,18.6666666666667,1.55555555555556,10.3333333333333,6.51666666666667,0,7.44444444444444,3.88888888888889,182.666666666667,47.7125,18.7777777777778,5.22222222222222,12.4444444444444,42.9777777777778,1.11111111111111,1.33333333333333,62.9666666666667,3.88888888888889,36.7777777777778,289.333333333333,-0.555555555555556,0.888888888888889,17.3333333333333
