"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2022-08-13,"TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-20,"LV",20,28,71.4,193,6.9,10.9,1,0,3,25,106,9,14,49,3.5,0,3,24,77,43,34,2,13,1,0,1,1,1,4,0,14,4,4,100,53,2,2,100,2,46,23,0,26,3,31,10.3,0,18,4,174,43.5,12,2,10,20,0,0,0,2,10,242,2,0,NA
2022-08-27,"PHI",22.5,33,68.6,248,7.45,11.55,1,0,2,14,102.6,11.5,16,43,2.8,0,2.5,19.5,69,37.5,31.5,3,20.5,0.5,0,0.5,0.5,0.5,4.5,0,10.5,3,3.5,83.35,55,1.5,1.5,100,1,23,23,0,13,3,28,9.3,0,17,3,122.5,39.5,14,4,11,35,0,0.5,0,3,17,291,0.5,0.5,NA
2022-09-11,"NE",20.6666666666667,31,66.7333333333333,262.333333333333,8.56666666666667,13.5333333333333,2,0,1.66666666666667,11.6666666666667,115.1,13.3333333333333,22.3333333333333,96.3333333333333,3.8,0.333333333333333,4.66666666666667,16.3333333333333,65.3333333333333,35.6666666666667,29.6666666666667,2.66666666666667,20,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,4.33333333333333,0,11,2.66666666666667,3,88.9,55,3,3,100,0.666666666666667,15.3333333333333,23,0,8.66666666666667,3,17.3333333333333,5.76666666666667,0,11.3333333333333,2.66666666666667,118,44.5,18.3333333333333,4.66666666666667,11,41.5,0,0.333333333333333,0,2.66666666666667,18,358.666666666667,0.333333333333333,0.666666666666667,NA
2022-09-18,"BAL",21.25,31.5,67.475,257.25,8.25,13.075,1.75,0,2,15.75,112.425,13.25,22.5,88.5,3.55,0.25,4.25,14,63.75,36,27.75,2.5,20,0.75,0.25,1,0.75,0.5,4.75,0,10.25,2.5,2.75,91.675,53.5,2.75,2.75,100,1,18.5,18.5,0,10.5,2.25,13,5.76666666666667,0,8.5,3,134.25,44.825,18.25,5,11.75,41.85,0.25,0.5,25,3,18.5,345.75,1,0.5,20
2022-09-25,"BUF",24.2,35.2,68.38,298,8.44,13.06,2.6,0.4,1.8,14.2,114.76,15,21.6,88,3.8,0.2,4.4,18.8,62.2,35.8,26.4,2,16,0.6,0.2,0.8,0.6,0.4,4.2,0,9.4,2,2.2,91.675,42.8,3.4,3.4,100,1,18.4,18.3333333333333,0,12,2,12,6.325,0,8.4,2.8,123.8,44.06,20,5.4,11.6,46.2,0.6,0.8,40,4,25,386,0.4,0.4,31
2022-09-29,"CIN",22.3333333333333,32.6666666666667,67.8166666666667,276.833333333333,8.46666666666667,13.2666666666667,2.33333333333333,0.333333333333333,1.83333333333333,14.3333333333333,114.25,13.8333333333333,20.8333333333333,80.1666666666667,3.56666666666667,0.5,4.33333333333333,18.8333333333333,65.6666666666667,39.3333333333333,26.3333333333333,2.33333333333333,16.3333333333333,0.5,0.166666666666667,1,0.666666666666667,0.333333333333333,5,0,8.33333333333333,1.66666666666667,1.83333333333333,91.675,35.6666666666667,3.33333333333333,3.33333333333333,100,1.33333333333333,24.3333333333333,18.25,0,13.8333333333333,1.66666666666667,10,6.325,0,7,3.16666666666667,139.5,43.9833333333333,19.1666666666667,5,11,44.75,0.5,0.666666666666667,33.3333333333333,4,24.1666666666667,357,0.5,0.333333333333333,27.6666666666667
2022-10-09,"NYJ",22.2857142857143,33.2857142857143,66.6285714285714,279.142857142857,8.38571428571429,13.3428571428571,2.14285714285714,0.571428571428571,1.71428571428571,13.7142857142857,108.242857142857,13.7142857142857,21,80.8571428571429,3.61428571428571,0.428571428571429,4.14285714285714,20,65,38.8571428571429,26.1428571428571,2.14285714285714,14.8571428571429,0.428571428571429,0.142857142857143,0.857142857142857,0.571428571428571,0.285714285714286,4.57142857142857,0,8.42857142857143,1.85714285714286,2.14285714285714,88.34,37.4285714285714,2.85714285714286,3,85.7142857142857,1.42857142857143,26.8571428571429,18.8,0,15.2857142857143,1.57142857142857,9.42857142857143,6.26,0,6.85714285714286,3.14285714285714,141,44.8428571428571,19.2857142857143,4.57142857142857,10.8571428571429,41.2142857142857,0.428571428571429,0.714285714285714,28.5714285714286,4.28571428571429,26.5714285714286,360,0.142857142857143,0.285714285714286,24.5
2022-10-16,"MIN",21.875,33.375,65.2875,264,7.9125,12.7625,1.875,0.625,1.75,13,101.8,13,21.625,87.875,3.825,0.625,4.625,22.5,63.75,38.375,25.375,2.125,15.875,0.375,0.125,0.75,0.5,0.25,4.25,0,8,1.75,2.125,81.95,38.5,2.75,2.875,87.5,1.25,23.5,18.8,0,13.375,1.5,8,4.88333333333333,0,6,3.125,139.75,44.7,19.25,4.5,10.875,40.6125,0.375,0.875,25,5.125,36,351.875,-0.125,0.375,23
2022-10-23,"PIT",22.7777777777778,34.8888888888889,65.1222222222222,277.444444444444,7.94444444444444,12.8888888888889,1.88888888888889,0.777777777777778,2.22222222222222,15.2222222222222,100.355555555556,13.5555555555556,21.4444444444444,86.2222222222222,3.81111111111111,0.555555555555556,4.66666666666667,22.6666666666667,62.2222222222222,37.2222222222222,25,2.22222222222222,16.2222222222222,0.333333333333333,0.111111111111111,0.777777777777778,0.444444444444444,0.222222222222222,4.33333333333333,0,7.55555555555556,1.66666666666667,2.11111111111111,77.3857142857143,39.1111111111111,2.55555555555556,2.66666666666667,88.8888888888889,1.22222222222222,23.6666666666667,19.8333333333333,0,14.6666666666667,1.66666666666667,7.33333333333333,4.28571428571429,0,5.77777777777778,3.44444444444444,158.333333333333,45.4222222222222,19.6666666666667,4.44444444444444,11.2222222222222,39.2777777777778,0.444444444444444,1,27.7777777777778,5.66666666666667,42.7777777777778,363.666666666667,-0.444444444444444,0.444444444444444,21.8333333333333
