"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2022-08-13,"MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-20,"TEN",30,38,78.9,301,7.9,10.5,2,1,2,13,107.7,15,31,88,2.8,1,5,26,42,32,10,3,25,0,0,1,0,0,1,0,6,1,2,50,55,3,3,100,3,60,20,0,26,2,5,2.5,0,5,4,182,45.5,22,6,13,46.2,1,1,100,4,34,389,-2,1,NA
2022-08-27,"IND",22,33.5,63.6,191,5.35,9.45,1,1,3,25,76.3,9.5,26.5,90.5,3.5,0.5,4.5,19.5,53.5,37,16.5,3.5,22,0.5,0,0.5,0,0,1.5,0,4.5,1,1.5,75,53.5,1.5,1.5,100,2.5,59,24.5,0,29.5,1.5,2.5,1.25,0,2.5,5.5,267.5,47.95,15.5,4,13,30.8,0.5,1.5,50,4,32,281.5,-1.5,1,NA
2022-09-11,"DAL",20.6666666666667,30.6666666666667,66.4,187,5.96666666666667,9.7,0.666666666666667,0.666666666666667,2.33333333333333,18.3333333333333,81.8,8.33333333333333,27.3333333333333,91.3333333333333,3.4,0.666666666666667,5.33333333333333,22,50.6666666666667,34.6666666666667,16,3.33333333333333,18.6666666666667,0.333333333333333,0,0.333333333333333,0,0,1.33333333333333,0,4.33333333333333,1,1.66666666666667,66.6666666666667,45.6666666666667,1.33333333333333,1.33333333333333,100,3.33333333333333,73.3333333333333,23.1333333333333,0,28.3333333333333,2,6,2.26666666666667,0,6,6,285,47.2,15,3,12.3333333333333,23.5666666666667,0.666666666666667,1.33333333333333,66.6666666666667,4.33333333333333,32,278.333333333333,-1,0.666666666666667,NA
2022-09-18,"NO",20,29.75,66.475,189,6.275,10.225,0.75,0.75,2.25,18,83.175,8.5,28.75,106.5,3.7,0.5,6.25,17.25,50.75,35.25,15.5,3.5,20.25,0.5,0,0.25,0,0,2.5,0,6.5,1.75,2.5,70,46,1.25,1.25,100,2.5,55,23.1333333333333,0,21.25,2.25,11.5,4.025,0,7,5.25,251.75,48.075,15.75,3.5,12.75,26.6,0.5,1,50,4.5,30.25,295.5,-0.75,0.5,19
2022-09-25,"GB",19.6,30.6,63.76,188.8,6.12,10.3,0.8,0.6,2,14.8,82.4,8.4,29,99.6,3.44,0.4,5.2,15.8,52.8,35,17.8,4,21.8,1,0.2,0.8,0.4,0,3.2,0,6.8,1.8,2.4,76,46.2,1.4,1.4,100,2.2,46.8,20.85,0,19.8,2.2,12.6,4.92,0,9,5.4,247.2,46.1,15.2,3.8,13.6,27.16,0.4,1,40,5.2,44.4,288.4,0.2,0.6,19.5
2022-10-02,"KC",21.5,32.5,65.4333333333333,199.166666666667,6.1,10.0333333333333,0.833333333333333,0.5,2.16666666666667,15.6666666666667,85.0666666666667,9.5,26.5,88.6666666666667,3.26666666666667,0.333333333333333,4.5,15.5,54.5,36.5,18,3.5,19.3333333333333,1,0.166666666666667,1,0.5,0,2.83333333333333,0,6.66666666666667,1.83333333333333,2.33333333333333,80,46,1.16666666666667,1.16666666666667,100,2,42.3333333333333,20.68,0,19.8333333333333,2.33333333333333,14.8333333333333,5.55,0,10.1666666666667,5.5,255.5,46.6666666666667,15.8333333333333,3.5,13.1666666666667,25.6666666666667,0.5,1,50,5.33333333333333,43.6666666666667,287.833333333333,0.166666666666667,0.833333333333333,17
2022-10-09,"ATL",24,35.2857142857143,66.8,224,6.25714285714286,10.0142857142857,1.14285714285714,0.428571428571429,2,15.1428571428571,89.3,11.4285714285714,23.5714285714286,76.4285714285714,2.87142857142857,0.428571428571429,4.14285714285714,19.1428571428571,57.4285714285714,37.8571428571429,19.5714285714286,3.42857142857143,19.5714285714286,1,0.142857142857143,0.857142857142857,0.428571428571429,0,3,0,6.71428571428571,1.71428571428571,2.14285714285714,82.8571428571429,45.8571428571429,1.57142857142857,1.57142857142857,100,2,43.5714285714286,21.4833333333333,0,21,2,12.7142857142857,5.55,0,8.71428571428571,5.14285714285714,236.857142857143,45.9571428571429,17.4285714285714,3.85714285714286,12.7142857142857,30.5714285714286,0.428571428571429,0.857142857142857,42.8571428571429,5.28571428571429,43.1428571428571,300.428571428571,0,1,20.5
2022-10-16,"PIT",25.375,37.375,66.8625,239.875,6.325,10.0125,1.125,0.375,1.75,13.25,89.725,12.125,23.5,75.5,2.8875,0.5,4.5,18.625,57.875,38.25,19.625,3.625,21.75,0.875,0.125,0.875,0.375,0,2.875,0,6.75,1.75,2.125,85,45.625,1.5,1.5,100,1.875,40.375,20.9857142857143,0,20.625,2,16.125,7.61428571428571,0,10.625,5,231.875,46.375,18.5,4.5,13.125,33.7875,0.375,0.875,37.5,5.375,43.375,315.375,0,0.875,20.6
2022-10-23,"CAR",25.3333333333333,37.6666666666667,66.3777777777778,238.666666666667,6.25555555555556,9.97777777777778,1.11111111111111,0.333333333333333,1.77777777777778,13.3333333333333,89.5111111111111,12,23.7777777777778,75.4444444444444,2.88888888888889,0.444444444444444,4.77777777777778,18.7777777777778,58.1111111111111,38.1111111111111,20,3.44444444444444,21.3333333333333,0.777777777777778,0.111111111111111,0.777777777777778,0.333333333333333,0,2.88888888888889,0,7.33333333333333,2,2.33333333333333,86.6666666666667,46.5555555555556,1.33333333333333,1.33333333333333,100,1.88888888888889,41.8888888888889,21.7375,0,21.3333333333333,2.11111111111111,15.8888888888889,7.25,0,10.1111111111111,5,231.666666666667,46.3333333333333,18.6666666666667,4.44444444444444,13.2222222222222,33.2111111111111,0.555555555555556,1,44.4444444444444,5.44444444444444,43.2222222222222,314.111111111111,0,0.777777777777778,20.1666666666667
