"","Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam","Fav.Comp","Fav.PassAtt","Fav.CompPCT","Fav.PassYds","Fav.PassYPA","Fav.PassYPR","Fav.PassTD","Fav.OINT","Fav.OSCK","Fav.OSCKYDS","Fav.QBR","Fav.P1st","Fav.RushAtt","Fav.RushYds","Fav.RushYPA","Fav.RushTD","Fav.R1st","Fav.PA","Fav.Tckl","Fav.Solo","Fav.AstTckl","Fav.DSck","Fav.DSCKYds","Fav.INT","Fav.INTTD","Fav.FF","Fav.FumRec","Fav.FumTD","Fav.PassDef","Fav.Sfty","Fav.KPts","Fav.FGM","Fav.FGA","Fav.FGPct","Fav.FGLng","Fav.XPM","Fav.XPA","Fav.XPPct","Fav.KR","Fav.KRYds","Fav.KRAvg","Fav.KRTD","Fav.KRLng","Fav.PR","Fav.PRYds","Fav.PRAvg","Fav.PRTD","Fav.PRLng","Fav.Punts","Fav.PuntYds","Fav.PuntAvg","Fav.X1st","Fav.X3rdCon","Fav.X3rdAtt","Fav.X3rdPct","Fav.X4thCon","Fav.X4thAtt","Fav.X4thPct","Fav.Pen","Fav.PenYds","Fav.TotYds","Fav.PlusMinus","Fav.FUML.turnovers","UD.Comp","UD.PassAtt","UD.CompPCT","UD.PassYds","UD.PassYPA","UD.PassYPR","UD.PassTD","UD.OINT","UD.OSCK","UD.OSCKYDS","UD.QBR","UD.P1st","UD.RushAtt","UD.RushYds","UD.RushYPA","UD.RushTD","UD.R1st","UD.PA","UD.Tckl","UD.Solo","UD.AstTckl","UD.DSck","UD.DSCKYds","UD.INT","UD.INTTD","UD.FF","UD.FumRec","UD.FumTD","UD.PassDef","UD.Sfty","UD.KPts","UD.FGM","UD.FGA","UD.FGPct","UD.FGLng","UD.XPM","UD.XPA","UD.XPPct","UD.KR","UD.KRYds","UD.KRAvg","UD.KRTD","UD.KRLng","UD.PR","UD.PRYds","UD.PRAvg","UD.PRTD","UD.PRLng","UD.Punts","UD.PuntYds","UD.PuntAvg","UD.X1st","UD.X3rdCon","UD.X3rdAtt","UD.X3rdPct","UD.X4thCon","UD.X4thAtt","UD.X4thPct","UD.Pen","UD.PenYds","UD.TotYds","UD.PlusMinus","UD.FUML.turnovers"
"1",2018-09-06,08:20:00,"Home","PHI","NFC East","ATL","NFC South",-1,44.5,18,12,"No",6,30,"U","Favorite","Favorite","PHI","PHI",23.5,40.75,57.975,226.5,5.575,10.95,1.5,2,5,30,67.175,11.5,22.25,100,4.35,0,6.25,20.5,58,43.25,14.75,3,17,0.75,0,0.75,0.25,0,3.5,0,1.5,0.25,0.5,50,0,0.75,1,83.35,3,74.5,24.85,0,19.25,3,20.25,7.625,0,16.5,5.5,271.25,49.5,19.25,4,14,27.425,0.5,2.25,14.575,7.75,70.25,326.5,0,1.25,16.5,32.25,51.1,175.5,5.475,11.5,0.5,1,2.75,12.5,61.775,8.25,22,71.5,3.275,0.25,3.5,24,58.25,46.5,11.75,2.75,14,1,0,0.25,0.5,0,2.75,0,2.25,0.5,0.75,50,0,0.75,0.75,100,2.75,60,21.925,0,27,2,7.5,3.875,0,5.75,6.25,283.5,45.75,12.75,4.25,13.25,32.45,0.25,2,8.325,7.25,57,247,0,0.25
"2",2018-09-09,01:00:00,"Home","BAL","AFC North","BUF","AFC East",-7.5,39,47,3,"No",44,50,"O","Favorite","Favorite","BAL","BAL",17,28.8,58.82,163.4,5.64,10.96,1.6,0.6,3.6,19.6,86,8.6,34.2,159,4.58,0.8,9,14.4,54,38.4,15.6,4.2,33.6,1.8,0.2,1.4,1,0,6,0,9.8,2.4,3.4,76.68,6.2,2.6,2.6,100,2.4,54.4,23.12,0,26.8,3,22.2,6.94,0,11,5.4,250,47.88,20,3.4,13.4,24.38,0.8,0.8,80,6.6,53.4,322.4,0.4,0.4,20,33.75,59.5,205.25,5.95,11.475,2,0.75,4,26,90.925,9.5,27,134.25,5.025,0.75,7.75,24.5,53.5,41,12.5,1,6.75,0.5,0,0.75,0,0,5,0,4.25,1,1.25,88.9,0,1.25,1.5,87.5,1,20,21,0,16,3.5,39,11.475,0,20,5.25,232.75,44.7,20.25,5.25,13.5,39.575,0.5,1,25,9.75,82.25,339.5,0,0
"3",2018-09-09,01:00:00,"Away","PIT","AFC North","CLE","AFC North",-3.5,41,21,21,"Yes",0,42,"O","Underdog","Tie","CLE","Tie",18.5,29.5,62.7,232,8.3,14.175,2.25,1,2.25,15.5,104.075,10,27.25,97.75,3.55,1.25,5.75,23.75,61.25,39.75,21.5,3.5,23.5,1,0,1.75,1,0,3.25,0,7.5,1.75,1.75,100,0,2.25,2.25,100,2.75,54.25,17.675,0,20.75,2,12.5,6.76666666666667,0,6.25,5,226.75,45.45,19,3.75,12.25,31.825,0.25,0.75,25,9,83.5,329.75,0,0,16.25,28.5,56.425,196.5,6.8,12.875,1,0.25,2,15,87.6,9,32.75,128.75,3.95,1,7,11.5,54.5,40,14.5,3.25,18.25,0.75,0.25,0.75,0.5,0,5.5,0.25,4.75,1,1,100,0,1.75,1.75,100,2.5,60.25,23.75,0,26,5,30,6.15,0,12,7.75,326,41.9,17.75,4,14.5,27.2,0.75,1.25,50,8.75,87.5,325.25,0,0.5
"4",2018-09-09,01:00:00,"Away","CIN","AFC North","IND","AFC South",-1,47.5,34,23,"No",11,57,"O","Favorite","Favorite","CIN","CIN",21.75,35.75,60.9,271.25,7.55,12.625,1.75,0.75,0.75,4.25,92,12.5,28,93.25,3.275,0.75,4.75,20,60.25,42,18.25,3.25,22.75,0.75,0,0.75,0.75,0,4.75,0,10.25,2.75,2.75,100,0,2,2.25,91.675,2.75,64.5,22.775,0,27.5,2.5,19.25,6.4,0,10.75,5.75,257,44.8,20.5,4.5,13.75,31.575,0.25,0.5,25,9,73.5,364.5,0,0.25,22,35.25,63.075,248.75,7.175,12.225,1.5,0.75,2.25,18.5,92.75,11.75,28.75,83,3,0.5,5.75,20,61.5,42.25,19.25,2.75,19.75,0.5,0,1.5,0.75,0,4.75,0,8.5,2.25,2.25,100,0,1.75,1.75,100,2.5,55.5,18.95,0,22,2.5,13,7.5,0,9,4.5,198,43.8,19.75,6.75,16.25,42.425,1.25,1.75,79.175,8.5,83.75,331.75,0,1
"5",2018-09-09,01:00:00,"Away","TEN","AFC South","MIA","AFC East",-1,43.5,20,27,"No",-7,47,"O","Underdog","Underdog","MIA","MIA",19.5,32.75,59.2,183,5.425,10.225,1.25,0.5,3,19.75,82.425,9.5,22.75,71.25,3.15,0,3.25,22.5,62.5,42.5,20,1.5,14.5,0.5,0,1.25,0.25,0,5.5,0,2.5,0.5,0.5,100,0,1,1,100,3,75,24.925,0,36.75,2.25,4.5,1.875,0,4.75,6.25,281.75,44.275,16,4.75,14,33.8,0.5,2,16.675,11.25,100.5,254.25,0,0.5,26.5,41.25,64.3,221.5,5.35,9.125,1,1.25,3,17.75,74.575,12.25,21.75,101.25,4.875,1,5.25,21.75,63.5,38.75,24.75,2.5,13.75,1,0,0.25,0.25,0,3.75,0,9,2.5,3,85.425,0,1.5,1.5,100,2.5,62.75,27,0,21.75,2.75,16.5,6.83333333333333,0,8.75,4.5,217.25,47.8,19.75,3.25,13.5,22.25,1,2,33.35,6.5,49.5,322.75,0,0.5
"6",2018-09-09,01:00:00,"Home","MIN","NFC North","SF","NFC West",-6,46.5,24,16,"No",8,40,"U","Favorite","Favorite","MIN","MIN",23,35.75,64.725,194.25,5.575,9.6,1.75,0.25,3,25.5,95.4,10.5,30,107.25,3.6,0.75,6.5,16.25,52.5,39.5,13,3.5,26.75,1,0,0.75,0,0,4.5,0,5.5,1.25,2,62.5,0,1.75,1.75,100,2,52,25.075,0,32.25,4.25,31.5,9.3,0,17,5.5,253.25,46.2,19.75,5.75,15.5,33.1,0.75,1.25,50,6.5,54.5,301.5,0,0.75,22,33.5,65.875,264.5,7.675,12.4,0.5,1.25,1.5,11.75,80.925,11.75,27.5,100.25,3.65,1.5,6,20.75,54.75,41.75,13,1.5,10.25,0.25,0,0.5,0.25,0,4.75,0,5.75,1.5,1.5,100,0,1.25,1.25,100,3.25,75,21.525,0,31.5,3.5,29.25,8.125,0,18.25,4.25,174,41.625,20.25,6,13,45.95,0.75,1.25,62.5,9,82.75,364.75,0,1
"7",2018-09-09,01:00:00,"Home","NE","AFC East","HOU","AFC South",-6,49.5,27,20,"No",7,47,"U","Favorite","Favorite","NE","NE",22,35.5,61.825,179,5.075,8.475,1,0.5,1,5.25,77.725,8.75,29.25,134.75,4.625,1.25,8.5,18.5,64.5,37.5,27,3.5,22.75,0.75,0,1,0.5,0.25,4.75,0,7,1.75,2,91.675,0,1.75,1.75,100,2,31.5,17.5,0,16.75,2.25,6.5,2.025,0,4,5.5,268.75,48.675,21.25,5.25,14.25,36.625,0.75,1,37.5,6,66,313.75,0,0.5,18,31.75,57.225,188,5.925,10.825,1.5,0.75,1.25,7.25,82.325,10,26.25,103.5,3.925,0.75,4.5,12.5,58.5,42.25,16.25,0.5,4.25,1.5,0,0,0,0,5.75,0,3.25,0.5,1,66.6666666666667,0,1.75,2,87.5,2.25,58,26.125,0,32,2.5,13.25,5.3,0,7.5,5.25,232,43.875,18.75,3.25,11.5,29.1,1,1.75,54.175,7.75,62.75,291.5,0,0.25
"8",2018-09-09,01:00:00,"Home","NO","NFC South","TB","NFC South",-10,50,40,48,"No",-8,88,"O","Underdog","Underdog","TB","TB",18,25,71.675,164.25,6.6,10.125,0.5,1,2,13,81.675,8.25,33,155,4.75,2,11.5,11.75,55.75,39.75,16,3.5,21.75,0.75,0.25,1.25,0.75,0,4.5,0,6.25,1.75,1.75,100,0,1,1,100,2.5,71.75,27.4,0,24.75,2.25,14.25,5.25,0,8.25,2.5,118.25,47.3,21.5,5,12,41.3,1.25,1.75,75,6,55.75,319.25,0,0.75,26.25,40.75,63.65,284.5,6.925,11.55,1.75,0.5,1.5,13,93.725,15.5,25.5,81.25,3.175,0.75,4.5,24,58.75,45.75,13,1.75,8.5,0.25,0,0.75,0.5,0,5.25,0,7.5,1.75,2,91.675,0,2.25,2.75,85.425,4.25,102.25,23.925,0,32,0.75,3.5,4.66666666666667,0,3.5,4,169.5,41.775,22.75,5.75,13.75,41.75,0.75,1.25,58.325,6.5,76.75,365.75,0,0.5
"9",2018-09-09,01:00:00,"Away","JAC","AFC South","NYG","NFC East",-2.5,43,20,15,"No",5,35,"U","Favorite","Favorite","JAC","JAC",21.5,32,67.025,208.75,6.625,11.1,0.25,0.75,4.5,26,80.85,11.5,30.25,117.5,3.825,1.75,7.5,12.5,47.75,42,5.75,3.5,21,0.25,0,1,0.75,0.25,4.75,0,5.5,1.25,1.75,62.5,0,1.75,1.75,100,2.75,57.75,22.525,0,29,2.75,26.75,5.175,0,16.5,4,170.75,42.95,20.75,6,14,42.975,1,1.5,66.675,7.5,70,326.25,0,0.25,21,37.75,56.775,205.25,5.675,10.375,0.75,0.5,1.5,11.75,76.175,10,26.25,111.25,4.275,1,5.75,17.5,56.25,41.5,14.75,2.25,14.25,0.75,0,0.75,0.5,0,6,0,6.5,1.75,1.75,100,0,1.25,1.75,68.75,1.75,34.75,20.5333333333333,0,20,4,49.75,9.675,0.25,23.5,6,262,43.425,19.5,5,14.5,34.325,0.25,1,12.5,6.25,52.5,316.5,0,0.25
"10",2018-09-09,04:04:00,"Home","LAC","AFC West","KC","AFC West",-3.5,48,28,38,"No",-10,66,"O","Underdog","Underdog","KC","KC",17,26.75,66.425,138,4.925,8.95,0.75,0.5,3.5,23.5,86.725,6.75,29.25,128.75,4.375,1,7.5,23.75,53,35.25,17.75,2.25,12.75,0.5,0,0.75,0.75,0,3.75,0,5.75,1.25,1.5,83.3333333333333,0,2,2,100,3,79.25,28.75,0,38,3,29.5,10.275,0.25,26.5,5,232.25,46.825,17.25,5.25,13,40.075,0.25,1,12.5,9.5,97.75,266.75,0,0.75,25.5,38.5,67.025,274,7.225,10.9,1.75,0.75,1.25,4,95.85,15,20.75,62.5,2.95,0,3,19.75,47,35.75,11.25,0.75,2,1,0.5,0.5,0.25,0,4.5,0,8.75,2.25,2.25,100,0,2,2,100,3.75,94.25,25.2,0,35.25,2.5,21.75,7.925,0,19.5,3.25,140.25,43.25,19.75,7,13.5,49.625,0.5,1,16.675,7.25,80,336.5,0,0
