"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"12/30","@SEA
      L",18,34,52.9,113,3.3,8.3,1,0,6,36,74.3,8,0,0,24,85,3.5,0,4,27,62,36,26,6,43,1,0,0,0,0,2,0,10,3,3,"100.0",0,1,1,"100.0",1,18,"18.0",0,18,5,66,"13.2",0,45,5,247,49.4,12,4,8,4,17,23.5,1,2,50,3,20,198,85,3.5,0,113,3.3,8.3,1,18,66,20,0,0,0,1,2
"12/23","LAR
      L",18,31,58.1,159,5.1,10.1,1,0,4,23,85.7,6,0,0,18,104,5.8,0,6,31,61,51,10,2,24,0,0,1,1,0,3,0,3,1,2,"50.0",0,0,1,"0.0",0,0,"-",0,0,1,1,"1.0",0,1,5,246,49.2,15,6,6,2,11,18.2,1,2,50,7,54,263,104,5.8,0,159,5.1,10.1,1,0,1,54,0,0,1,0,0
"12/16","@ATL
      L",23,36,63.9,193,5.4,10.6,1,2,7,50,69.6,10,0,0,22,60,2.7,1,6,40,52,42,10,2,11,0,0,0,0,0,5,0,2,0,0,"-",0,2,2,"100.0",0,0,"-",0,0,3,31,"10.3",0,16,7,336,48,18,6,10,3,13,23.1,2,2,100,8,75,253,60,2.7,1,193,5.4,10.6,1,0,31,75,0,2,0,0,1
"12/9","DET
      L",26,41,63.4,218,5.3,9.2,0,1,3,22,69.2,17,0,0,21,61,2.9,0,2,17,48,42,6,1,5,0,0,1,1,0,1,0,3,1,2,"50.0",0,0,0,"-",1,17,"17.0",0,17,5,26,"5.2",0,12,6,299,49.8,22,2,17,6,16,37.5,0,1,0,8,83,279,61,2.9,0,218,5.3,9.2,0,17,26,83,0,1,1,0,0
"12/2","@GB
      W",11,26,42.3,133,5.1,13.5,0,0,2,16,61.2,8,0,0,29,182,6.3,2,8,17,58,51,7,1,6,0,0,0,0,0,2,0,8,2,2,"100.0",0,2,2,"100.0",0,0,"-",0,0,3,14,"4.7",0,8,6,269,44.8,18,8,8,5,13,38.5,0,0,0,7,49,315,182,6.3,2,133,5.1,13.5,0,0,14,49,0,0,0,0,0
"11/25","@LAC
      L",12,19,63.2,87,4.6,8.8,1,1,2,18,73.4,4,0,0,24,62,2.6,0,5,45,63,40,23,4,23,0,0,1,1,0,2,0,4,1,2,"50.0",0,1,1,"100.0",6,139,"23.2",0,33,1,26,"26.0",0,26,5,246,49.2,10,5,4,4,12,33.3,0,1,0,3,35,149,62,2.6,0,87,4.6,8.8,1,139,26,35,0,1,1,0,0
"11/18","OAK
      L",9,20,45,128,6.4,15.1,3,2,1,8,67.9,7,0,0,31,154,5,0,5,23,65,47,18,4,19,0,0,0,0,0,3,0,3,0,0,"-",0,3,3,"100.0",1,32,"32.0",0,32,4,38,"9.5",0,18,8,418,52.3,13,5,7,3,11,27.3,0,0,0,7,62,282,154,5,0,128,6.4,15.1,3,32,38,62,0,2,0,0,0
"11/11","@KC
      L",22,39,56.4,166,4.3,9.5,1,2,5,42,58.5,13,0,0,25,94,3.8,1,7,26,49,38,11,5,37,0,0,1,0,0,1,0,2,0,0,"-",0,2,2,"100.0",3,89,"29.7",0,36,3,8,"2.7",0,6,5,247,49.4,21,7,13,7,14,50,1,2,50,3,30,260,94,3.8,1,166,4.3,9.5,1,89,8,30,0,2,0,0,0
"10/28","SF
      W",23,40,57.5,233,5.8,11,2,1,3,19,82.5,15,0,0,21,88,4.2,0,3,15,54,42,12,4,30,0,0,0,0,0,5,0,4,1,1,"100.0",0,1,1,"100.0",0,0,"-",0,0,0,0,"-",0,0,5,229,45.8,20,3,15,6,14,42.9,0,0,0,9,62,321,88,4.2,0,233,5.8,11,2,0,0,62,0,1,0,0,1
"10/18","DEN
      L",21,39,53.8,154,3.9,9.2,1,3,6,40,44.2,8,0,0,21,69,3.3,0,4,45,52,37,15,2,11,1,0,0,0,0,2,0,4,1,1,"100.0",0,1,1,"100.0",5,77,"15.4",0,22,2,17,"8.5",0,9,6,304,50.7,14,4,8,4,14,28.6,0,1,0,7,45,223,69,3.3,0,154,3.9,9.2,1,77,17,45,0,3,0,1,2
"10/14","@MIN
      L",21,31,67.7,208,6.7,11.4,0,1,4,32,77.4,9,0,0,20,60,3,1,5,27,70,41,29,4,17,1,0,1,1,1,7,0,5,1,1,"100.0",0,2,2,"100.0",3,60,"20.0",0,27,3,17,"5.7",0,10,6,288,48,16,5,9,0,10,0,0,2,0,5,30,268,60,3,1,208,6.7,11.4,0,60,17,30,0,1,1,1,1
"10/7","@SF
      W",10,25,40,164,6.6,17,1,0,1,6,77.1,5,0,0,23,56,2.4,2,4,18,89,67,22,4,49,2,0,3,3,1,9,0,4,0,0,"-",0,4,4,"100.0",0,0,"-",0,0,1,0,"0.0",0,0,8,317,39.6,10,4,5,2,12,16.7,0,0,0,5,46,220,56,2.4,2,164,6.6,17,1,0,0,46,0,0,3,2,0
"9/30","SEA
      L",15,27,55.6,171,6.3,12,1,0,1,9,88.5,9,0,0,28,92,3.3,1,6,20,55,54,1,2,12,0,0,2,0,0,0,0,5,1,3,"33.3",0,2,2,"100.0",2,55,"27.5",0,29,1,0,"0.0",0,0,5,253,50.6,18,6,9,5,12,41.7,0,0,0,5,38,263,92,3.3,1,171,6.3,12,1,55,0,38,0,0,0,0,1
"9/23","CHI
      L",17,26,65.4,168,6.5,11.4,2,3,4,25,73.6,8,0,0,18,53,2.9,0,3,16,65,49,16,3,26,1,0,1,1,0,6,0,2,0,0,"-",0,2,2,"100.0",0,0,"-",0,0,2,7,"3.5",0,7,4,203,50.8,13,3,8,3,10,30,0,1,0,6,43,221,53,2.9,0,168,6.5,11.4,2,0,7,43,0,3,1,1,1
"9/16","@LAR
      L",17,27,63,83,3.1,5.3,0,1,1,7,53,4,0,0,15,54,3.6,0,1,34,67,48,19,2,12,1,0,0,0,0,3,0,0,0,0,"-",0,0,0,"-",3,49,"16.3",0,19,0,0,"-",0,0,8,403,50.4,5,1,4,3,12,25,1,1,100,9,47,137,54,3.6,0,83,3.1,5.3,0,49,0,47,0,1,0,1,0
"9/9","WAS
      L",20,34,58.8,145,4.3,7.7,0,1,2,8,57.6,6,0,0,15,68,4.5,1,7,24,71,56,15,3,8,0,0,2,1,0,1,0,0,0,0,"-",0,0,0,"-",0,0,"-",0,0,2,44,"22.0",0,44,5,263,52.6,14,7,6,1,8,12.5,0,1,0,9,67,213,68,4.5,1,145,4.3,7.7,0,0,44,67,0,1,1,0,1
"8/30","DEN
      L",11,21,52.4,78,3.7,10.1,1,0,4,33,83.6,6,0,0,21,84,4,0,4,21,58,46,12,1,7,1,0,0,0,0,3,0,4,1,1,"100.0",0,1,1,"100.0",2,32,"16.0",0,19,3,17,"5.7",0,10,6,288,48,10,4,6,4,12,33.3,0,0,0,5,31,162,84,4,0,78,3.7,10.1,1,32,17,31,0,0,0,1,1
"8/26","@DAL
      W",13,24,54.2,63,2.6,5.2,0,0,1,5,59.7,2,0,0,27,146,5.4,1,5,3,65,45,20,5,33,3,1,4,5,1,6,0,9,2,3,"66.7",0,3,3,"100.0",0,0,"-",0,0,3,21,"7.0",0,11,8,376,47,8,5,2,2,13,15.4,0,0,0,9,86,209,146,5.4,1,63,2.6,5.2,0,0,21,86,0,0,5,3,0
"8/17","@NO
      W",21,32,65.6,211,6.6,10,1,0,0,0,94.7,14,0,0,26,65,2.5,1,1,15,56,40,16,4,40,2,0,2,2,0,3,0,8,2,3,"66.7",0,2,2,"100.0",3,72,"24.0",0,26,2,28,"14.0",0,19,6,270,45,18,1,14,5,14,35.7,0,0,0,13,110,276,65,2.5,1,211,6.6,10,1,72,28,110,0,0,2,2,0
"8/11","LAC
      W",12,26,46.2,118,4.5,10.3,1,1,2,6,57.2,4,0,0,21,56,2.7,1,4,17,57,50,7,4,17,1,0,2,3,1,6,0,6,1,1,"100.0",0,3,3,"100.0",3,76,"25.3",0,30,3,63,"21.0",0,38,9,417,46.3,11,4,4,0,11,0,1,1,100,11,110,174,56,2.7,1,118,4.5,10.3,1,76,63,110,0,1,3,1,0
