"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"12/30","@HOU
      L",15,28,53.6,89,3.2,7.1,0,1,3,18,47.8,4,0,0,16,30,1.9,0,2,20,69,53,16,6,26,0,0,0,1,0,4,0,3,1,1,"100.0",0,0,0,"-",1,40,"40.0",0,40,3,17,5.7,0,17,9,449,49.9,6,2,4,3,13,23.1,0,0,0,8,68,119,30,1.9,0,89,3.2,7.1,0,40,17,68,0,1,1,0,1
"12/23","@MIA
      W",17,24,70.8,118,4.9,8.5,0,0,6,27,86.3,8,0,0,32,126,3.9,1,8,7,38,33,5,3,25,1,1,1,1,0,2,0,5,1,2,"50.0",0,2,2,"100.0",0,0,"-",0,0,4,46,11.5,0,44,5,188,37.6,19,8,8,6,13,46.2,0,0,0,10,97,244,126,3.9,1,118,4.9,8.5,0,0,46,97,0,0,1,1,1
"12/16","WAS
      L",9,17,52.9,20,1.2,6.3,0,1,6,37,35.7,2,0,0,26,172,6.6,0,9,16,54,48,6,3,15,0,0,1,0,0,2,0,7,2,2,"100.0",0,1,1,"100.0",1,25,"25.0",0,25,3,84,28,1,74,5,262,52.4,11,9,2,5,13,38.5,0,0,0,8,55,192,172,6.6,0,20,1.2,6.3,0,25,84,55,0,1,0,0,1
"12/6","@TEN
      L",25,43,58.1,195,4.5,9.6,1,0,4,45,81.5,11,0,0,20,60,3,0,5,30,58,37,21,1,0,1,0,0,0,0,1,1,1,0,0,"-",0,1,1,"100.0",3,50,"16.7",0,31,2,0,0,0,1,5,250,50,17,5,11,2,12,16.7,2,5,40,7,67,255,60,3,0,195,4.5,9.6,1,50,0,67,0,0,0,1,1
"12/2","IND
      W",18,24,75,132,5.5,8.3,0,0,3,18,90.6,7,0,0,27,79,2.9,0,2,0,55,46,9,3,24,1,0,1,1,0,7,0,6,2,2,"100.0",0,0,0,"-",0,0,"-",0,0,1,8,8,0,8,7,329,47,11,2,7,6,15,40,0,0,0,8,74,211,79,2.9,0,132,5.5,8.3,0,0,8,74,0,0,1,1,1
"11/25","@BUF
      L",12,23,52.2,107,4.7,10.6,1,2,3,20,46.8,6,0,0,39,226,5.8,2,13,24,48,34,14,0,0,0,0,2,0,0,5,0,3,0,1,"0.0",0,3,3,"100.0",3,62,"20.7",0,22,2,33,16.5,0,21,6,287,47.8,25,13,6,5,13,38.5,0,0,0,10,90,333,226,5.8,2,107,4.7,10.6,1,62,33,90,0,2,0,0,0
"11/18","PIT
      L",10,18,55.6,64,3.6,10.4,0,0,6,40,72.5,5,0,0,43,179,4.2,1,9,20,39,33,6,2,17,3,0,0,0,0,6,0,10,3,3,"100.0",0,1,1,"100.0",2,25,"12.5",0,16,2,36,18,0,25,9,415,46.1,15,9,5,6,18,33.3,0,0,0,11,111,243,179,4.2,1,64,3.6,10.4,0,25,36,111,0,0,0,3,1
"11/11","@IND
      L",27,39,69.2,324,8.3,12,2,0,0,0,111.5,16,0,0,34,91,2.7,1,6,29,40,34,6,0,0,1,0,0,0,0,2,0,8,2,3,"66.7",0,2,3,"66.7",3,108,"36.0",0,47,1,1,1,0,1,3,138,46,24,6,16,9,17,52.9,1,1,100,8,61,415,91,2.7,1,324,8.3,12,2,108,1,61,0,0,0,1,1
"10/28","PHI
      L",24,41,58.5,265,6.5,11.9,1,0,4,21,88.1,10,0,0,17,70,4.1,0,5,24,56,43,13,4,24,1,0,1,1,0,4,0,12,4,4,"100.0",0,0,0,"-",1,29,"29.0",0,29,2,31,15.5,0,23,2,96,48,16,5,10,6,14,42.9,1,2,50,5,45,335,70,4.1,0,265,6.5,11.9,1,29,31,45,0,0,1,1,1
"10/21","HOU
      L",27,42,64.3,189,4.5,8,1,1,4,28,75.2,11,0,0,22,70,3.2,0,4,20,48,35,13,1,8,0,0,0,0,0,2,0,1,0,0,"-",0,1,1,"100.0",1,5,"5.0",0,5,1,21,21,0,21,6,274,45.7,15,4,11,9,19,47.4,0,1,0,2,15,259,70,3.2,0,189,4.5,8,1,5,21,15,0,1,0,0,2
"10/14","@DAL
      L",15,26,57.7,139,5.3,9.9,1,1,3,10,70.8,7,0,0,18,65,3.6,0,3,40,67,49,18,3,11,0,0,0,0,0,4,0,1,0,0,"-",0,1,1,"100.0",1,31,"31.0",0,31,2,-2,-1,0,6,6,248,41.3,10,3,7,4,11,36.4,0,1,0,4,30,204,65,3.6,0,139,5.3,9.9,1,31,-2,30,0,1,0,0,1
"10/7","@KC
      L",33,61,54.1,401,6.6,13,1,4,5,29,54.7,20,0,0,17,101,5.9,1,6,30,58,39,19,1,15,2,0,0,0,0,4,0,2,0,0,"-",0,2,2,"100.0",2,30,"15.0",0,22,1,6,6,0,6,3,108,36,29,6,20,7,16,43.8,3,5,60,5,45,502,101,5.9,1,401,6.6,13,1,30,6,45,0,4,0,2,1
"9/30","NYJ
      W",29,38,76.3,377,9.9,13.4,2,1,2,11,114.8,16,0,0,34,126,3.7,1,5,12,33,30,3,3,23,0,0,0,0,0,2,1,11,3,3,"100.0",0,2,2,"100.0",2,21,"10.5",0,13,4,11,2.8,0,8,4,185,46.3,23,5,16,6,15,40,1,1,100,9,89,503,126,3.7,1,377,9.9,13.4,2,21,11,89,0,1,0,0,2
"9/23","TEN
      L",21,34,61.8,145,4.3,7.4,0,0,3,10,72.5,6,0,0,19,87,4.6,0,6,9,52,48,4,3,25,0,0,0,0,0,1,0,6,2,2,"100.0",0,0,0,"-",1,25,"25.0",0,25,2,11,5.5,0,11,6,273,45.5,12,6,6,5,14,35.7,0,1,0,8,75,232,87,4.6,0,145,4.3,7.4,0,25,11,75,0,0,0,0,1
"9/16","NE
      W",29,45,64.4,376,8.4,13,4,1,0,0,111,22,0,0,24,104,4.3,0,5,20,49,45,4,2,14,0,0,1,1,0,0,0,7,1,1,"100.0",0,4,4,"100.0",3,36,"12.0",0,26,2,21,10.5,0,16,3,106,35.3,27,5,22,10,14,71.4,0,0,0,7,71,480,104,4.3,0,376,8.4,13,4,36,21,71,0,1,1,0,1
"9/9","@NYG
      W",18,33,54.5,168,5.1,9.8,1,1,1,8,67.2,13,0,0,28,137,4.9,0,4,15,63,42,21,2,14,1,1,0,1,0,6,0,8,2,2,"100.0",0,2,2,"100.0",2,45,"22.5",0,27,2,10,5,0,10,7,264,37.7,17,4,13,4,13,30.8,0,0,0,11,119,305,137,4.9,0,168,5.1,9.8,1,45,10,119,0,1,1,1,0
"8/30","@TB
      W",15,28,53.6,194,6.9,13.1,0,0,1,2,75.9,10,0,0,36,151,4.2,2,9,10,55,47,8,3,22,1,0,1,1,1,9,0,7,2,2,"100.0",0,1,1,"100.0",1,33,"33.0",0,33,3,17,5.7,0,9,4,163,40.8,19,9,10,8,17,47.1,2,3,66.7,9,85,345,151,4.2,2,194,6.9,13.1,0,33,17,85,0,0,1,1,0
"8/25","ATL
      W",24,30,80,259,8.6,11.8,0,2,5,24,78.2,12,0,0,30,147,4.9,2,9,6,35,35,0,4,20,0,0,0,0,0,3,0,5,1,2,"50.0",0,2,2,"100.0",3,57,"19.0",0,23,1,-1,-1,0,0,3,133,44.3,22,9,12,6,13,46.2,1,1,100,5,30,406,147,4.9,2,259,8.6,11.8,0,57,-1,30,0,2,0,0,0
"8/18","@MIN
      W",23,36,63.9,183,5.1,10,0,1,6,48,70.5,13,0,0,29,100,3.4,2,5,10,53,38,15,4,30,0,0,3,2,0,5,0,2,0,1,"0.0",0,2,2,"100.0",2,33,"16.5",0,33,6,90,15,0,56,7,299,42.7,20,5,13,4,14,28.6,1,1,100,13,140,283,100,3.4,2,183,5.1,10,0,33,90,140,0,1,2,0,0
"8/9","NO
      L",24,34,70.6,199,5.9,9.5,1,0,6,30,98.8,11,0,0,26,72,2.8,1,7,24,48,48,0,3,12,0,0,0,0,0,2,0,8,2,2,"100.0",0,2,2,"100.0",5,108,"21.6",0,27,1,1,1,0,1,2,88,44,22,7,11,6,12,50,0,1,0,3,25,271,72,2.8,1,199,5.9,9.5,1,108,1,25,0,0,0,0,1
