"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/4","@HOU
      L",25,48,52.1,253,5.3,11.2,1,0,3,27,76.7,14,0,0,30,172,5.7,0,10,22,72,46,26,7,28,0,0,1,1,0,2,0,13,4,4,"100.0",47,1,1,"100.0",0,0,"-",0,0,1,8,"8.0",0,8,4,179,44.8,24,10,14,11,21,52.4,0,1,0,7,64,425,172,5.7,0,253,5.3,11.2,1,0,8,64,0,0,1,0,1
"12/29","NYJ
      L",21,40,52.5,236,5.9,11.3,0,2,1,1,49.7,10,0,0,20,73,3.7,0,6,13,58,42,16,2,14,1,0,0,0,0,4,0,6,2,2,"100.0",29,0,0,"-",3,65,"21.7",0,24,1,4,"4.0",0,4,6,215,35.8,17,6,10,4,14,28.6,0,0,0,5,40,309,73,3.7,0,236,5.9,11.3,0,65,4,40,-2,2,0,1,1
"12/21","@NE
      L",13,26,50,176,6.8,16,2,0,4,32,102.7,8,0,0,23,92,4,0,6,24,75,54,21,0,0,0,0,1,1,0,0,0,5,1,1,"100.0",35,2,2,"100.0",2,57,"28.5",0,35,1,17,"17.0",0,17,6,266,44.3,14,6,8,2,11,18.2,1,2,50,7,46,268,92,4,0,176,6.8,16,2,57,17,46,1,0,1,0,0
"12/15","@PIT
      W",13,25,52,131,5.2,10.7,1,1,1,8,65.3,7,0,0,38,130,3.4,1,10,10,48,37,11,4,24,4,0,3,1,0,5,0,5,1,1,"100.0",36,2,2,"100.0",2,45,"22.5",0,27,1,12,"12.0",0,12,6,249,41.5,17,10,7,6,14,42.9,1,1,100,8,70,261,130,3.4,1,131,5.2,10.7,1,45,12,70,3,1,1,4,1
"12/8","BAL
      L",17,39,43.6,105,2.7,8.6,1,0,6,41,62.6,7,0,0,23,104,4.5,0,4,24,64,39,25,1,6,1,0,0,0,0,4,0,9,3,3,"100.0",48,0,0,"-",5,82,"16.4",0,22,2,22,"11.0",0,15,7,300,42.9,16,4,7,4,17,23.5,0,1,0,5,49,209,104,4.5,0,105,2.7,8.6,1,82,22,49,0,0,0,1,1
"11/28","@DAL
      W",20,25,80,232,9.3,12.9,2,0,4,27,136.5,11,0,0,34,124,3.6,1,8,15,63,45,18,4,32,1,0,3,1,0,10,0,8,2,3,"66.7",41,2,3,"66.7",3,56,"18.7",0,32,0,0,"-",0,0,3,126,42,22,8,11,6,14,42.9,2,2,100,7,53,356,124,3.6,1,232,9.3,12.9,2,56,0,53,2,0,1,1,0
"11/24","DEN
      W",15,25,60,180,7.2,12.3,2,1,1,5,92.9,8,0,0,47,244,5.2,0,13,3,37,30,7,4,33,1,0,0,0,0,8,0,8,2,2,"100.0",39,2,2,"100.0",2,41,"20.5",0,25,5,41,"8.2",0,17,4,128,32,22,13,8,8,16,50,0,0,0,12,90,424,244,5.2,0,180,7.2,12.3,2,41,41,90,0,1,0,1,0
"11/17","@MIA
      W",21,33,63.6,256,7.8,12.2,3,0,0,0,117.7,12,0,0,34,168,4.9,1,9,20,60,40,20,7,43,0,0,0,1,0,3,0,13,3,3,"100.0",51,4,4,"100.0",1,44,"44.0",0,44,3,21,"7.0",0,14,5,218,43.6,22,9,12,5,14,35.7,1,1,100,5,50,424,168,4.9,1,256,7.8,12.2,3,44,21,50,1,0,1,0,0
"11/10","@CLE
      L",22,41,53.7,260,6.3,12.1,0,0,1,6,73.8,12,0,0,20,84,4.2,2,6,19,58,41,17,2,17,0,0,0,0,0,6,1,2,0,2,"0.0",0,2,2,"100.0",5,115,"23.0",0,27,2,34,"17.0",0,22,4,199,49.8,20,6,12,5,13,38.5,0,2,0,7,40,344,84,4.2,2,260,6.3,12.1,0,115,34,40,0,0,0,0,0
"11/3","WAS
      W",14,20,70,146,7.3,11.4,1,0,2,14,110.4,7,0,0,39,122,3.1,2,10,9,60,34,26,4,28,0,0,1,0,0,2,0,6,1,1,"100.0",42,3,3,"100.0",2,90,"45.0",0,66,0,0,"-",0,0,3,120,40,18,10,7,6,12,50,1,2,50,2,20,268,122,3.1,2,146,7.3,11.4,1,90,0,20,0,0,0,0,0
