"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/19","@SF
      L","31","39","79.5","296","7.6","10.5","2","2","3","30","97.2","16","0","0","16","62","3.9","1","4","37","51","37","14","1.0","8","0","0","0","0","0","2","0","2","0","0","-","0","2","2","100.0","2","29","14.5","0","23","0","0","-","0","0","4","172","43.0","21","4","16","3","9","33.3","2","2","100.0","6","46","358","62","3.9","1","296","7.6","10.5","2","29","0","46","-3","2","0","0","1"
"1/12","SEA
      W","16","27","59.3","235","8.7","15.2","2","0","2","8","113.7","12","0","0","30","109","3.6","2","7","23","54","40","14","5.0","12","0","0","0","0","0","2","0","4","0","0","-","0","4","4","100.0","2","22","11.0","0","12","1","6","6.0","0","6","4","173","43.3","22","7","12","9","14","64.3","0","0","0.0","4","30","344","109","3.6","2","235","8.7","15.2","2","22","6","30","0","0","0","0","0"
"12/29","@DET
      W","27","55","49.1","312","5.7","12.0","2","1","1","11","72.0","18","0","0","30","120","4.0","0","6","20","41","33","8","1.0","7","1","0","0","0","0","5","0","11","3","4","75.0","40","2","2","100.0","4","89","22.3","0","33","2","17","8.5","0","16","5","221","44.2","25","6","18","8","20","40.0","2","2","100.0","9","97","432","120","4.0","0","312","5.7","12.0","2","89","17","97","0","1","0","1","0"
"12/23","@MIN
      W","26","40","65.0","199","5.0","8.3","0","1","3","17","68.3","14","0","0","32","184","5.8","2","8","10","45","28","17","5.0","40","1","0","0","0","0","5","0","9","3","3","100.0","42","0","1","0.0","0","0","-","0","0","4","26","6.5","0","11","5","234","46.8","22","8","14","5","14","35.7","0","0","0.0","2","20","383","184","5.8","2","199","5.0","8.3","0","0","26","20","-2","1","0","1","2"
"12/15","CHI
      W","16","33","48.5","192","5.8","12.7","1","0","1","11","78.2","7","0","0","24","100","4.2","2","5","13","66","55","11","3.0","15","2","0","1","1","0","6","0","3","0","0","-","0","3","3","100.0","2","71","35.5","0","45","1","12","12.0","0","12","7","250","35.7","12","5","7","5","15","33.3","1","3","33.3","4","30","292","100","4.2","2","192","5.8","12.7","1","71","12","30","3","0","1","2","0"
"12/8","WAS
      W","18","28","64.3","167","6.0","10.8","1","0","4","28","96.6","9","0","0","28","174","6.2","1","9","15","60","40","20","4.0","29","1","0","2","0","0","4","0","8","2","2","100.0","33","2","2","100.0","0","0","-","0","0","4","51","12.8","0","18","4","161","40.3","18","9","9","5","13","38.5","2","2","100.0","5","34","341","174","6.2","1","167","6.0","10.8","1","0","51","34","0","0","0","1","1"
"12/1","@NYG
      W","21","33","63.6","243","7.4","11.6","4","0","0","0","125.4","13","0","0","26","79","3.0","0","2","13","58","40","18","0.0","0","3","0","0","0","0","7","0","7","1","1","100.0","47","4","4","100.0","3","72","24.0","0","33","1","3","3.0","0","3","3","140","46.7","19","2","13","7","13","53.8","1","1","100.0","7","54","322","79","3.0","0","243","7.4","11.6","4","72","3","54","3","0","0","3","0"
"11/24","@SF
      L","23","37","62.2","81","2.2","5.2","1","0","5","38","76.3","8","0","0","28","117","4.2","0","5","37","44","30","14","3.0","26","0","0","0","0","0","1","0","0","0","0","-","0","0","0","-","2","40","20.0","0","21","2","-3","-1.5","0","-1","6","223","37.2","19","5","8","1","15","6.7","1","3","33.3","5","50","198","117","4.2","0","81","2.2","5.2","1","40","-3","50","-1","0","0","0","1"
"11/10","CAR
      W","17","29","58.6","225","7.8","13.7","0","0","2","8","84.4","9","0","0","27","163","6.0","3","10","16","62","44","18","3.0","26","1","0","1","1","0","7","0","6","1","1","100.0","47","3","3","100.0","0","0","-","0","0","0","0","-","0","0","4","141","35.3","23","10","9","4","9","44.4","0","0","0.0","10","64","388","163","6.0","3","225","7.8","13.7","0","0","0","64","2","0","1","1","0"
"11/3","@LAC
      L","23","35","65.7","139","4.0","7.0","1","0","3","22","85.5","11","0","0","11","45","4.1","0","1","26","74","46","28","2.0","11","0","0","0","0","0","0","0","3","1","1","100.0","54","0","0","-","5","123","24.6","0","36","1","0","0.0","0","0","5","188","37.6","13","1","11","2","10","20.0","0","1","0.0","8","45","184","45","4.1","0","139","4.0","7.0","1","123","0","45","0","0","0","0","0"
