"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"12/29","@JAX
      L",12,25,48,143,5.7,13.5,0,0,3,19,69.1,7,0,0,27,132,4.9,2,9,38,59,39,20,3,9,1,0,1,0,0,2,0,8,2,2,"100.0",50,2,2,100,4,114,"28.5",0,46,2,20,"10.0",0,18,3,133,44.3,17,9,7,4,12,33.3,0,1,0,4,36,275,132,4.9,2,143,5.7,13.5,0,114,20,36,-1,0,0,1,2
"12/22","CAR
      W",14,27,51.9,106,3.9,8.5,0,0,3,13,63.7,6,0,0,32,218,6.8,3,14,6,67,52,15,5,37,3,0,0,0,0,7,0,8,1,1,"100.0",35,5,5,100,0,0,"-",0,0,3,195,"65.0",2,84,3,140,46.7,25,14,6,4,11,36.4,1,2,50,0,0,324,218,6.8,3,106,3.9,8.5,0,0,195,0,3,0,0,3,0
"12/16","@NO
      L",18,34,52.9,159,4.7,9.2,0,0,1,6,66.4,8,0,0,17,46,2.7,1,5,34,69,42,27,0,0,0,0,0,0,0,0,0,1,0,0,"-",0,1,1,100,1,19,"19.0",0,19,0,0,"-",0,0,6,222,37,16,5,8,3,12,25,1,2,50,7,49,205,46,2.7,1,159,4.7,9.2,0,19,0,49,0,0,0,0,0
"12/8","@TB
      L",19,36,52.8,243,6.8,13.2,2,0,1,8,93.6,7,0,0,22,66,3,1,6,38,72,47,25,1,7,3,1,1,1,0,5,0,9,2,3,"66.7",50,3,3,100,0,0,"-",0,0,2,34,"17.0",0,19,4,177,44.3,16,6,7,6,16,37.5,2,3,66.7,3,35,309,66,3,1,243,6.8,13.2,2,0,34,35,3,0,1,3,1
"12/1","TEN
      L",25,40,62.5,309,7.7,12.8,1,2,3,10,74.9,15,0,0,24,82,3.4,1,6,31,66,42,24,6,44,0,0,2,2,0,1,0,5,1,4,"25.0",28,2,2,100,1,15,"15.0",0,15,2,32,"16.0",0,23,3,148,49.3,22,6,15,5,12,41.7,0,0,0,6,40,391,82,3.4,1,309,7.7,12.8,1,15,32,40,-1,2,2,0,1
"11/21","@HOU
      L",16,25,64,121,4.8,8.1,0,0,1,8,76.9,9,0,0,39,175,4.5,2,10,20,53,33,20,1,1,1,0,2,0,0,3,0,5,1,1,"100.0",36,2,2,100,3,50,"16.7",0,18,0,0,"-",0,0,5,239,47.8,19,10,9,9,15,60,0,1,0,3,29,296,175,4.5,2,121,4.8,8.1,0,50,0,29,1,0,0,1,0
"11/17","JAX
      W",15,24,62.5,125,5.2,9.9,1,1,3,23,76.4,9,0,0,36,264,7.3,3,12,13,55,41,14,2,17,1,0,0,0,0,9,0,7,1,1,"100.0",34,4,4,100,3,54,"18.0",0,25,3,9,"3.0",0,8,3,129,43,23,12,9,4,11,36.4,1,2,50,3,20,389,264,7.3,3,125,5.2,9.9,1,54,9,20,-1,1,0,1,1
"11/10","MIA
      L",18,39,46.2,191,4.9,11.3,1,3,1,13,38.8,12,0,0,29,109,3.8,0,7,16,61,45,16,3,10,1,0,1,1,0,6,0,6,2,2,"100.0",39,0,1,0,0,0,"-",0,0,3,38,"12.7",0,21,4,172,43,19,7,12,5,13,38.5,0,2,0,3,25,300,109,3.8,0,191,4.9,11.3,1,0,38,25,-1,3,1,1,0
"11/3","@PIT
      L",21,31,67.7,189,6.1,10.8,3,1,5,38,107.9,12,0,0,29,139,4.8,0,8,26,61,46,15,1,8,1,0,2,1,0,2,1,4,1,2,"50.0",25,1,2,50,5,121,"24.2",0,36,0,0,"-",0,0,3,135,45,22,8,12,4,12,33.3,2,3,66.7,7,89,328,139,4.8,0,189,6.1,10.8,3,121,0,89,-1,1,1,1,2
"10/27","DEN
      W",15,25,60,191,7.6,13.5,0,0,4,11,85.8,9,0,0,31,127,4.1,1,7,13,65,47,18,3,8,0,0,1,0,0,1,0,9,3,4,"75.0",55,0,1,0,2,76,"38.0",0,47,1,8,"8.0",0,8,5,232,46.4,19,7,9,4,12,33.3,0,0,0,10,103,318,127,4.1,1,191,7.6,13.5,0,76,8,103,-1,0,0,0,1
