"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"2/2","SF
      W",26,42,61.9,268,6.4,11,2,2,4,18,78.1,13,0,0,29,129,4.4,2,12,20,51,31,20,1,9,2,0,0,0,0,6,0,7,1,1,"100.0",31,4,4,"100.0",3,58,"19.3",0,29,0,0,"-",0,0,2,100,50,26,12,13,6,14,42.9,2,3,66.7,4,24,397,129,4.4,2,268,6.4,11,2,58,0,24,0,2,0,2,0
"1/19","TEN
      W",23,35,65.7,292,8.3,12.8,3,0,2,2,120.4,14,0,0,27,112,4.1,2,10,24,54,34,20,3,27,0,0,0,0,0,5,0,5,0,0,"-",0,5,5,"100.0",5,105,"21.0",0,35,2,7,"3.5",0,7,3,122,40.7,27,10,14,6,10,60,1,1,100,9,61,404,112,4.1,2,292,8.3,12.8,3,105,7,61,0,0,0,0,0
"1/12","HOU
      W",23,35,65.7,316,9,14,5,0,1,5,134.6,16,0,0,21,118,5.6,2,9,31,61,43,18,5,40,0,0,1,1,0,5,0,9,1,1,"100.0",24,6,7,"85.7",6,142,"23.7",0,58,2,1,"0.5",0,1,4,123,30.8,29,9,16,2,8,25,0,0,0,4,37,434,118,5.6,2,316,9,14,5,142,1,37,0,0,1,0,1
"12/29","LAC
      W",16,25,64,174,7,10.9,1,1,0,0,81.1,5,0,0,23,162,7,2,9,21,68,44,24,3,23,2,0,0,0,0,5,0,7,1,1,"100.0",40,4,4,"100.0",2,117,"58.5",1,104,3,21,"7.0",0,15,2,103,51.5,16,9,5,7,10,70,0,0,0,5,39,336,162,7,2,174,7,10.9,1,117,21,39,1,1,0,2,0
"12/22","@CHI
      W",23,33,69.7,244,7.4,10.9,2,0,1,7,112.1,15,0,0,29,106,3.7,1,6,3,45,37,8,3,24,0,0,0,0,0,2,0,8,2,2,"100.0",56,2,3,"66.7",2,57,"28.5",0,32,2,10,"5.0",0,9,2,93,46.5,25,6,15,6,11,54.5,0,0,0,9,71,350,106,3.7,1,244,7.4,10.9,2,57,10,71,0,0,0,0,0
"12/15","DEN
      W",27,34,79.4,327,9.6,12.6,2,1,3,13,115.7,17,0,0,25,92,3.7,0,7,3,43,28,15,2,9,1,0,0,0,0,5,0,9,3,3,"100.0",44,0,0,"-",1,20,"20.0",0,20,2,-2,"-1.0",0,0,2,79,39.5,27,7,17,6,11,54.5,0,0,0,5,45,419,92,3.7,0,327,9.6,12.6,2,20,-2,45,0,1,0,1,0
"12/8","@NE
      W",26,40,65,271,6.8,10.9,1,1,1,12,83.6,13,0,0,29,75,2.6,1,3,16,52,42,10,3,20,1,0,0,0,0,2,0,11,3,3,"100.0",48,2,2,"100.0",3,73,"24.3",0,31,3,20,"6.7",0,9,4,131,32.8,20,3,13,5,16,31.3,1,1,100,10,136,346,75,2.6,1,271,6.8,10.9,1,73,20,136,-1,1,0,1,1
"12/1","OAK
      W",15,29,51.7,163,5.6,11.7,1,0,1,12,81.8,10,0,0,29,96,3.3,3,8,9,56,32,24,2,12,2,1,1,1,0,4,0,8,1,1,"100.0",50,5,5,"100.0",1,23,"23.0",0,23,0,0,"-",0,0,2,83,41.5,22,8,10,7,11,63.6,0,1,0,0,0,259,96,3.3,3,163,5.6,11.7,1,23,0,0,3,0,1,2,0
"11/18","@LAC
      W",19,32,59.4,180,5.6,9.6,1,1,1,2,72.7,9,0,0,27,130,4.8,2,7,17,69,35,34,2,8,4,0,1,0,0,11,0,6,1,1,"100.0",41,3,3,"100.0",0,0,"-",0,0,2,22,"11.0",0,15,6,240,40,18,7,9,6,13,46.2,0,0,0,8,102,310,130,4.8,2,180,5.6,9.6,1,0,22,102,3,1,0,4,0
"11/10","@TEN
      L",36,51,70.6,433,8.5,12.4,3,0,2,13,117,20,0,0,25,97,3.9,0,6,35,51,34,17,4,35,0,0,1,1,0,3,0,14,4,5,"80.0",43,2,3,"66.7",4,90,"22.5",0,30,1,5,"5.0",0,5,1,26,26,28,6,20,7,14,50,1,2,50,9,80,530,97,3.9,0,433,8.5,12.4,3,90,5,80,0,0,1,0,1
