"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"12/29","ATL
      L",13,24,54.2,193,8,15.5,2,2,1,8,75.2,8,0,0,21,136,6.5,0,5,28,70,53,17,6,27,0,0,1,1,1,6,0,2,0,3,0,0,2,2,"100.0",3,61,"20.3",0,21,0,0,"-",0,0,3,120,40,14,5,8,1,8,12.5,1,1,100,12,97,329,136,6.5,0,193,8,15.5,2,61,0,97,-2,2,1,0,1
"12/21","HOU
      L",25,48,52.1,329,6.9,13.4,1,4,3,6,46.8,15,0,0,21,106,5,1,4,23,54,40,14,5,23,1,0,2,1,0,6,0,8,2,3,66.7,50,2,2,"100.0",5,74,"14.8",0,18,2,3,"1.5",0,2,2,81,40.5,19,4,15,9,17,52.9,0,1,0,6,45,435,106,5,1,329,6.9,13.4,1,74,3,45,-3,4,1,1,1
"12/15","@DET
      W",28,42,66.7,446,10.6,16.4,4,1,2,12,124.9,19,0,0,29,49,1.7,0,4,17,44,39,5,2,10,2,1,1,1,0,8,0,8,1,2,50,46,5,5,"100.0",2,43,"21.5",0,23,1,0,"0.0",0,0,3,109,36.3,23,4,19,7,14,50,1,2,50,9,70,495,49,1.7,0,446,10.6,16.4,4,43,0,70,2,1,1,2,0
"12/8","IND
      W",35,49,71.4,467,9.5,13.5,4,3,1,7,103.6,24,0,0,28,75,2.7,1,5,35,46,32,14,1,8,0,0,1,1,0,5,0,8,1,1,100,44,5,5,"100.0",1,26,"26.0",0,26,2,3,"1.5",0,7,2,91,45.5,29,5,24,8,15,53.3,1,1,100,6,104,542,75,2.7,1,467,9.5,13.5,4,26,3,104,-3,3,1,0,1
"12/1","@JAX
      W",21,33,63.6,241,7.3,12.8,0,0,4,27,89,12,0,0,31,74,2.4,2,5,11,49,33,16,5,47,2,0,3,2,1,8,0,8,2,2,100,37,2,2,"100.0",0,0,"-",0,0,2,18,"9.0",0,13,4,193,48.3,19,5,12,7,17,41.2,1,2,50,8,44,315,74,2.4,2,241,7.3,12.8,0,0,18,44,3,0,2,2,1
"11/24","@ATL
      W",18,28,64.3,313,11.2,17.4,3,2,0,0,108.2,13,0,0,34,133,3.9,1,7,22,62,42,20,6,46,1,0,2,1,1,16,0,5,1,1,100,32,2,5,"40.0",0,0,"-",0,0,2,13,"6.5",0,11,4,175,43.8,20,7,13,6,13,46.2,0,0,0,8,51,446,133,3.9,1,313,11.2,17.4,3,0,13,51,0,2,1,1,0
"11/17","NO
      L",30,51,58.8,298,5.8,10.4,2,4,2,15,57.1,14,0,0,8,36,4.5,0,2,34,58,47,11,1,9,0,0,1,0,0,2,0,5,1,1,100,55,2,2,"100.0",1,16,"16.0",0,16,1,7,"7.0",0,7,3,129,43,21,2,14,5,13,38.5,0,1,0,7,55,334,36,4.5,0,298,5.8,10.4,2,16,7,55,-4,4,0,0,0
"11/10","ARI
      W",30,48,62.5,339,7.1,11.9,1,2,4,19,74.8,15,0,0,26,118,4.5,2,7,27,51,39,12,2,8,1,0,1,1,0,6,0,12,3,3,100,45,3,3,"100.0",1,17,"17.0",0,17,2,9,"4.5",0,6,3,142,47.3,26,7,15,7,15,46.7,0,0,0,9,94,457,118,4.5,2,339,7.1,11.9,1,17,9,94,-1,2,1,1,1
"11/3","@SEA
      L",29,44,65.9,319,7.3,11.6,2,0,2,16,103.9,19,0,0,26,99,3.8,2,7,40,62,38,24,3,31,0,0,2,1,0,6,0,10,2,3,66.7,45,4,4,"100.0",3,78,"26.0",0,39,3,32,"10.7",0,19,4,161,40.3,29,7,19,6,14,42.9,1,1,100,10,82,418,99,3.8,2,319,7.3,11.6,2,78,32,82,0,0,1,0,1
"10/27","@TEN
      L",21,43,48.8,283,6.6,14.3,2,2,3,18,68.1,17,0,0,30,106,3.5,0,5,27,52,34,18,3,19,0,0,2,1,0,8,0,9,3,3,100,48,0,0,"-",2,47,"23.5",0,25,3,45,"15.0",0,40,3,129,43,23,5,17,7,15,46.7,1,2,50,9,87,389,106,3.5,0,283,6.6,14.3,2,47,45,87,-3,2,1,0,2
