"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/3","@TB
      L",29,44,65.9,258,5.9,9.1,2,0,1,7,97.3,17,0,0,26,127,4.9,1,6,44,51,33,18,1,8,1,0,0,0,0,2,0,9,2,2,"100.0",22,3,3,"100.0",2,53,"26.5",0,27,0,0,"-",0,0,1,43,43,25,6,17,7,14,50,2,3,66.7,4,48,385,127,4.9,1,258,5.9,9.1,2,53,0,48,-1,0,0,1,2
"12/27","@KC
      L",27,35,77.1,277,7.9,11.1,2,0,4,23,121.1,17,0,0,23,90,3.9,0,4,17,49,35,14,0,0,2,0,0,0,0,5,0,2,0,1,"0.0",0,2,2,"100.0",0,0,"-",0,0,0,0,"-",0,0,5,222,44.4,23,4,17,6,12,50,0,0,0,7,45,367,90,3.9,0,277,7.9,11.1,2,0,0,45,1,0,0,2,1
"12/20","TB
      L",34,49,69.4,332,6.8,10.5,3,0,3,24,110.6,21,0,0,13,37,2.8,0,2,31,54,39,15,3,25,0,0,1,0,0,0,0,9,2,2,"100.0",52,3,3,"100.0",0,0,"-",0,0,1,4,"4.0",0,4,5,242,48.4,23,2,21,6,15,40,1,2,50,3,28,369,37,2.8,0,332,6.8,10.5,3,0,4,28,0,0,0,0,0
"12/13","@LAC
      L",22,33,66.7,249,7.5,12,2,3,2,14,73.2,11,0,0,20,70,3.5,0,6,20,71,56,15,1,3,1,0,2,0,0,2,0,5,1,1,"100.0",45,2,2,"100.0",1,22,"22.0",0,22,3,40,"13.3",0,20,2,85,42.5,19,6,11,9,12,75,0,0,0,4,35,319,70,3.5,0,249,7.5,12,2,22,40,35,-2,3,0,1,0
"12/6","NO
      L",19,39,48.7,262,6.7,14.4,1,0,3,11,80.4,12,0,0,21,70,3.3,0,4,21,74,51,23,2,15,0,0,2,1,0,2,0,10,3,3,"100.0",53,1,1,"100.0",0,0,"-",0,0,2,12,"6.0",0,7,5,218,43.6,21,4,12,5,13,38.5,0,1,0,1,15,332,70,3.3,0,262,6.7,14.4,1,0,12,15,0,0,1,0,1
"11/29","LV
      W",22,39,56.4,179,4.6,8.4,2,1,1,6,75.3,13,0,0,32,125,3.9,1,5,6,54,31,23,5,37,1,1,4,4,0,5,0,19,5,5,"100.0",54,4,4,"100.0",1,16,"16.0",0,16,1,4,"4.0",0,4,3,99,33,23,5,13,9,19,47.4,1,1,100,6,49,304,125,3.9,1,179,4.6,8.4,2,16,4,49,4,1,4,1,0
"11/22","@NO
      L",19,37,51.4,196,5.3,12.2,0,2,8,36,48.5,10,0,0,14,52,3.7,0,1,24,65,43,22,3,23,0,0,1,1,0,2,0,9,3,3,"100.0",52,0,0,"-",1,18,"18.0",0,18,1,0,"0.0",0,0,5,250,50,14,1,10,2,14,14.3,2,3,66.7,7,53,248,52,3.7,0,196,5.3,12.2,0,18,0,53,-1,2,1,0,0
"11/8","DEN
      W",25,35,71.4,271,7.7,11.4,3,1,2,13,112.1,15,0,0,32,92,2.9,1,5,27,51,37,14,1,11,1,0,1,0,0,6,0,10,2,2,"100.0",52,4,4,"100.0",0,0,"-",0,0,1,13,"13.0",0,13,5,183,36.6,23,5,15,6,13,46.2,0,0,0,5,61,363,92,2.9,1,271,7.7,11.4,3,0,13,61,0,1,0,1,0
"10/29","@CAR
      W",21,30,70,270,9,13.4,0,1,2,11,85.6,14,0,0,36,131,3.6,2,10,17,44,33,11,3,22,1,0,0,0,0,3,0,13,4,4,"100.0",37,1,2,"50.0",0,0,"-",0,0,0,0,"-",0,0,1,39,39,28,10,14,3,9,33.3,0,0,0,6,63,401,131,3.6,2,270,9,13.4,0,0,0,63,0,1,0,1,0
"10/25","DET
      L",31,42,73.8,322,7.7,10.9,1,0,2,16,105.1,19,0,0,26,66,2.5,2,5,23,59,35,24,2,18,0,0,0,0,0,1,0,2,0,0,"-",0,2,2,"100.0",4,78,"19.5",0,23,0,0,"-",0,0,4,180,45,26,5,19,7,14,50,1,2,50,8,53,388,66,2.5,2,322,7.7,10.9,1,78,0,53,-1,0,0,0,1
"10/18","@MIN
      W",30,40,75,363,9.1,12.4,4,0,2,8,136.6,17,0,0,37,99,2.7,0,5,23,44,27,17,1,10,3,0,0,0,0,8,0,16,4,4,"100.0",50,4,4,"100.0",2,48,"24.0",0,29,3,36,"12.0",0,24,2,68,34,24,5,17,9,17,52.9,3,3,100,5,25,462,99,2.7,0,363,9.1,12.4,4,48,36,25,2,0,0,3,1
"10/11","CAR
      L",21,37,56.8,207,5.6,10.8,0,1,2,19,63.6,11,0,0,24,166,6.9,1,10,23,64,41,23,0,0,0,0,0,0,0,2,0,10,3,3,"100.0",54,1,1,"100.0",2,47,"23.5",0,24,1,3,"3.0",0,3,3,139,46.3,21,10,11,6,13,46.2,1,1,100,3,40,373,166,6.9,1,207,5.6,10.8,0,47,3,40,-1,1,0,0,0
