"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/3","BAL
      L",6,21,28.6,48,2.3,8,0,2,0,0,0,1,0,0,19,147,7.7,0,7,38,78,43,35,0,0,1,0,0,0,0,4,0,3,1,1,"100.0",38,0,0,"-",2,34,"17.0",0,18,2,26,"13.0",0,28,7,339,"48.4",10,7,1,1,9,11.1,0,0,0,3,29,195,147,7.7,0,48,2.3,8,0,34,26,29,-1,2,0,1,0
"12/27","@HOU
      W",29,38,76.3,371,9.8,12.8,2,0,0,0,123.9,18,0,0,33,169,5.1,2,7,31,46,31,15,1,2,0,0,4,1,0,4,0,13,3,4,"75.0",48,4,4,"100.0",1,24,"24.0",0,24,1,7,"7.0",0,7,1,40,"40.0",27,7,18,6,13,46.2,1,2,50,5,35,540,169,5.1,2,371,9.8,12.8,2,24,7,35,1,0,1,0,0
"12/21","PIT
      W",7,13,53.8,78,6,12.7,1,0,2,11,101.1,6,0,0,41,152,3.7,2,7,17,47,34,13,1,12,1,0,2,2,0,10,0,9,2,3,"66.7",34,3,3,"100.0",0,0,"-",0,0,2,17,"8.5",0,11,7,319,"45.6",13,7,6,4,14,28.6,0,0,0,2,16,230,152,3.7,2,78,6,12.7,1,0,17,16,3,0,2,1,0
"12/13","DAL
      L",28,38,73.7,208,5.5,7.9,1,0,2,14,96.6,13,0,0,30,101,3.4,0,5,30,49,31,18,2,14,0,0,0,0,0,4,0,1,0,0,"-",0,1,1,"100.0",2,47,"23.5",0,24,0,0,"-",0,0,2,90,"45.0",18,5,13,9,16,56.3,1,4,25,3,25,309,101,3.4,0,208,5.5,7.9,1,47,0,25,-3,0,0,0,3
"12/6","@MIA
      L",17,27,63,156,5.8,11.4,1,2,6,37,65.8,6,0,0,17,40,2.4,0,4,19,66,41,25,0,0,0,0,1,1,0,4,0,1,0,1,"0.0",0,1,1,"100.0",1,24,"24.0",0,24,2,13,"6.5",0,9,6,297,"49.5",12,4,6,3,12,25,2,2,100,6,62,196,40,2.4,0,156,5.8,11.4,1,24,13,62,-1,2,1,0,0
"11/29","NYG
      L",17,29,58.6,115,4,8,1,1,2,21,67.6,5,0,0,15,40,2.7,0,4,19,73,48,25,0,0,0,0,1,1,0,7,0,5,1,1,"100.0",44,2,2,"100.0",5,164,"32.8",1,103,2,44,"22.0",0,29,5,243,"48.6",11,4,5,3,10,30,1,1,100,3,27,155,40,2.7,0,115,4,8,1,164,44,27,-2,1,1,0,2
"11/22","@WAS
      L",25,44,56.8,202,4.6,9.3,1,1,4,31,69.6,12,0,0,18,70,3.9,0,4,20,61,35,26,2,5,1,0,1,0,0,5,0,3,1,3,"33.3",53,0,1,"0.0",0,0,"-",0,0,2,19,"9.5",0,10,5,243,"48.6",18,4,12,3,13,23.1,0,2,0,3,31,272,70,3.9,0,202,4.6,9.3,1,0,19,31,-1,1,0,1,1
"11/15","@PIT
      L",21,40,52.5,185,4.6,10.1,1,0,4,28,76.4,9,0,0,21,139,6.6,0,7,36,57,34,23,0,0,0,0,0,0,0,6,0,4,1,1,"100.0",37,1,1,"100.0",3,63,"21.0",0,23,2,13,"6.5",0,13,9,401,"44.6",16,7,9,0,13,0,2,3,66.7,6,65,324,139,6.6,0,185,4.6,10.1,1,63,13,65,-2,0,0,0,2
"11/1","TEN
      W",26,37,70.3,249,6.7,9.6,2,0,0,0,106.7,16,0,0,32,118,3.7,2,7,20,53,36,17,1,10,1,0,0,0,0,5,0,7,1,1,"100.0",33,4,4,"100.0",4,97,"24.3",0,49,0,0,"-",0,0,3,130,"43.3",27,7,16,10,15,66.7,1,1,100,7,45,367,118,3.7,2,249,6.7,9.6,2,97,0,45,1,0,0,1,0
"10/25","CLE
      L",36,48,75,387,8.1,11.7,3,1,4,35,113.4,24,0,0,21,81,3.9,1,5,37,46,26,20,0,0,1,0,0,0,0,2,0,10,2,2,"100.0",37,4,4,"100.0",4,75,"18.8",0,24,1,11,"11.0",0,11,0,0,"-",31,5,24,6,9,66.7,1,1,100,7,45,468,81,3.9,1,387,8.1,11.7,3,75,11,45,-1,1,0,1,1
