"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/12","@LAR
      L",20,32,62.5,258,8.1,13.3,1,0,1,8,99.2,11,0,0,22,50,2.3,2,6,30,73,50,23,0,0,0,0,0,0,0,3,0,2,0,0,"-",0,2,2,"100.0",3,60,"20.0",0,28,0,0,"-",0,0,4,165,41.3,19,6,11,1,10,10,3,4,75,4,26,308,50,2.3,2,258,8.1,13.3,1,60,0,26,0,0,0,0,0
"1/5","SEA
      W",22,33,66.7,216,6.5,10.3,1,1,1,10,83.6,11,0,0,34,164,4.8,2,9,22,52,31,21,1,7,0,0,0,0,0,2,0,6,1,2,"50.0",0,3,3,"100.0",1,15,"15.0",0,15,6,80,"13.3",0,51,5,225,45,23,9,11,4,11,36.4,0,0,0,6,36,380,164,4.8,2,216,6.5,10.3,1,15,80,36,0,1,0,0,0
"12/30","@NYG
      W",27,44,61.4,368,8.4,14.3,4,0,4,19,120.2,18,0,0,22,51,2.3,1,4,35,68,40,28,1,3,1,0,1,1,0,3,0,4,0,1,"0.0",0,4,4,"100.0",3,70,"23.3",0,27,0,0,"-",0,0,3,116,38.7,23,4,18,11,17,64.7,2,2,100,6,46,419,51,2.3,1,368,8.4,14.3,4,70,0,46,0,0,1,1,1
"12/23","TB
      W",20,25,80,152,6.1,8.1,1,0,1,9,106.8,9,0,0,24,80,3.3,1,6,20,70,47,23,3,16,0,0,1,2,1,6,0,9,2,2,"100.0",0,3,3,"100.0",1,20,"20.0",0,20,1,13,"13.0",0,13,4,166,41.5,16,6,9,3,9,33.3,0,0,0,10,67,232,80,3.3,1,152,6.1,8.1,1,20,13,67,0,0,2,0,0
"12/16","@IND
      L",24,39,61.5,180,4.6,8.6,0,1,3,26,64.7,12,0,0,22,112,5.1,0,6,23,59,46,13,0,0,0,0,1,1,0,3,0,0,0,1,"0.0",0,0,0,"-",0,0,"-",0,0,1,2,"2.0",0,2,2,81,40.5,19,6,12,4,12,33.3,1,5,20,9,74,292,112,5.1,0,180,4.6,8.6,0,0,2,74,0,1,1,0,0
"12/9","PHI
      W",42,54,77.8,434,8,10.8,3,2,3,21,104.9,23,0,0,36,142,3.9,0,6,23,39,29,10,2,6,0,0,1,1,0,3,0,11,3,4,"75.0",0,2,2,"100.0",2,27,"13.5",0,19,2,14,"7.0",0,14,2,102,51,32,6,23,9,18,50,1,1,100,11,110,576,142,3.9,0,434,8,10.8,3,27,14,110,0,2,1,0,1
"11/29","NO
      W",24,28,85.7,209,7.5,10.4,1,0,7,40,115.6,11,0,0,31,99,3.2,0,7,10,50,32,18,2,16,1,0,2,0,0,6,0,7,2,2,"100.0",0,1,1,"100.0",0,0,"-",0,0,1,8,"8.0",0,8,3,153,51,21,7,11,7,14,50,0,0,0,8,80,308,99,3.2,0,209,7.5,10.4,1,0,8,80,0,0,0,1,2
"11/22","WAS
      W",22,31,71,258,8.3,13.1,2,0,4,31,121.6,11,0,0,34,146,4.3,2,8,23,47,37,10,3,17,3,0,2,0,0,10,0,7,1,1,"100.0",0,4,4,"100.0",1,19,"19.0",0,19,0,0,"-",0,0,6,287,47.8,20,8,11,6,14,42.9,0,1,0,4,30,404,146,4.3,2,258,8.3,13.1,2,19,0,30,0,0,0,3,0
"11/18","@ATL
      W",22,32,68.8,191,6,9.5,0,0,2,17,86.5,10,0,0,29,132,4.6,2,9,19,52,36,16,3,17,1,0,0,0,0,4,0,10,3,3,"100.0",0,1,2,"50.0",0,0,"-",0,0,0,0,"-",0,0,3,133,44.3,20,9,10,7,13,53.8,0,0,0,2,20,323,132,4.6,2,191,6,9.5,0,0,0,20,0,0,0,1,0
"11/11","@PHI
      W",26,36,72.2,239,6.6,10.4,1,0,4,31,102.8,14,0,0,28,171,6.1,2,9,20,47,45,2,2,10,1,0,0,0,0,8,0,9,2,3,"66.7",0,3,3,"100.0",0,0,"-",0,0,1,0,"0.0",0,0,4,163,40.8,23,9,14,8,16,50,1,1,100,5,37,410,171,6.1,2,239,6.6,10.4,1,0,0,37,0,0,0,1,0
