"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/3","LV
      L",25,41,61,324,7.9,13.6,2,0,2,15,103.6,15,0,0,32,122,3.8,1,5,32,57,31,26,3,12,2,0,2,2,0,6,0,11,3,6,"50.0",37,2,2,"100.0",1,16,"16.0",0,16,2,32,"16.0",0,19,4,168,42,24,5,15,7,16,43.8,0,1,0,4,28,446,122,3.8,1,324,7.9,13.6,2,16,32,28,4,0,2,2,0
"12/27","@LAC
      L",24,47,51.1,263,5.6,11,0,2,2,1,50.3,15,0,0,28,133,4.8,1,8,19,52,37,15,2,26,0,0,1,0,0,4,0,10,3,4,"75.0",52,1,1,"100.0",5,111,"22.2",0,28,3,46,"15.3",0,21,3,124,41.3,23,8,15,7,17,41.2,2,2,100,6,44,396,133,4.8,1,263,5.6,11,0,111,46,44,-2,2,0,0,0
"12/19","BUF
      L",20,32,62.5,115,3.6,6.6,1,0,3,17,81.8,10,0,0,28,140,5,2,8,48,58,37,21,1,7,0,0,1,1,0,1,0,1,0,1,"0.0",0,1,3,"33.3",0,0,"-",0,0,1,0,"0.0",0,0,6,291,48.5,19,8,10,6,14,42.9,0,0,0,7,33,255,140,5,2,115,3.6,6.6,1,0,0,33,0,0,1,0,1
"12/13","@CAR
      W",21,27,77.8,269,10,13.3,4,0,1,11,149.5,13,0,0,30,96,3.2,0,7,27,56,46,10,4,38,0,0,0,0,0,3,0,2,0,0,"-",0,2,4,"50.0",1,5,"5.0",0,5,1,83,"83.0",1,83,4,177,44.3,23,7,13,3,8,37.5,0,0,0,2,18,365,96,3.2,0,269,10,13.3,4,5,83,18,-1,0,0,0,1
"12/6","@KC
      L",15,28,53.6,151,5.4,10.1,2,2,0,0,63.2,10,0,0,33,179,5.4,0,7,22,58,35,23,1,5,0,0,0,0,0,6,0,4,1,2,"50.0",53,1,1,"100.0",3,77,"25.7",0,31,1,-2,"-2.0",0,-2,3,115,38.3,19,7,10,7,13,53.8,0,1,0,4,31,330,179,5.4,0,151,5.4,10.1,2,77,-2,31,-2,2,0,0,0
"11/29","NO
      L",1,9,11.1,12,1.3,13,0,2,1,1,0,1,0,0,33,100,3,0,5,31,64,41,23,3,15,1,0,2,0,0,3,0,3,1,1,"100.0",58,0,0,"-",0,0,"-",0,0,0,0,"-",0,0,7,332,47.4,6,5,1,1,10,10,0,0,0,2,10,112,100,3,0,12,1.3,13,0,0,0,10,-2,2,0,1,1
"11/22","MIA
      W",18,30,60,270,9,15,0,1,0,0,75.7,9,0,0,33,189,5.7,2,8,13,53,37,16,6,33,1,0,0,0,0,5,0,8,2,2,"100.0",47,2,2,"100.0",1,22,"22.0",0,22,3,10,"3.3",0,9,3,156,52,19,8,9,4,12,33.3,1,2,50,8,70,459,189,5.7,2,270,9,15,0,22,10,70,-1,1,0,1,1
"11/15","@LV
      L",23,47,48.9,247,5.3,11.2,1,4,2,10,37.3,14,0,0,19,66,3.5,0,4,37,64,39,25,0,0,0,0,0,0,0,1,0,6,2,2,"100.0",50,0,0,"-",3,57,"19.0",0,28,0,0,"-",0,0,4,201,50.3,20,4,14,7,15,46.7,1,1,100,7,37,313,66,3.5,0,247,5.3,11.2,1,57,0,37,-5,4,0,0,1
"11/8","@ATL
      L",25,48,52.1,302,6.3,12.5,2,1,1,11,77.9,17,0,0,22,103,4.7,1,3,34,60,47,13,2,13,1,0,0,0,0,5,0,9,2,2,"100.0",43,3,3,"100.0",6,145,"24.2",0,30,1,8,"8.0",0,8,5,225,45,23,3,17,7,16,43.8,0,2,0,5,65,405,103,4.7,1,302,6.3,12.5,2,145,8,65,0,1,0,1,0
"11/1","LAC
      W",26,41,63.4,243,5.9,9.5,3,1,2,5,94.4,11,0,0,16,108,6.8,1,3,30,78,56,22,2,3,2,0,0,0,0,5,0,7,1,1,"100.0",35,4,4,"100.0",1,23,"23.0",0,23,1,8,"8.0",0,8,6,325,54.2,17,3,11,5,13,38.5,0,0,0,8,70,351,108,6.8,1,243,5.9,9.5,3,23,8,70,1,1,0,2,0
"10/25","KC
      L",24,40,60,234,5.8,10.6,0,2,3,20,57.7,11,0,0,33,177,5.4,2,12,43,43,29,14,4,28,0,0,2,1,0,0,0,4,1,1,"100.0",43,1,2,"50.0",0,0,"-",0,0,1,0,"0.0",0,0,3,161,53.7,24,12,11,5,14,35.7,0,2,0,5,34,411,177,5.4,2,234,5.8,10.6,0,0,0,34,-3,2,1,0,2
"10/18","@NE
      W",10,24,41.7,164,6.8,18.9,0,2,2,25,34.9,7,0,0,37,135,3.6,0,7,12,58,38,20,4,24,2,0,3,1,0,6,0,18,6,6,"100.0",54,0,0,"-",2,28,"14.0",0,15,0,0,"-",0,0,2,77,38.5,15,7,7,4,14,28.6,0,0,0,2,20,299,135,3.6,0,164,6.8,18.9,0,28,0,20,1,2,1,2,0
"10/1","@NYJ
      W",19,31,61.3,242,7.8,12.7,2,3,0,0,67.6,10,0,0,32,117,3.7,2,4,28,64,44,20,6,54,0,0,0,0,0,6,0,13,3,3,"100.0",54,4,4,"100.0",1,17,"17.0",0,17,2,51,"25.5",0,41,1,49,49,21,4,10,6,12,50,0,0,0,8,94,359,117,3.7,2,242,7.8,12.7,2,17,51,94,-3,3,0,0,0
"9/27","TB
      L",25,39,64.1,184,4.7,9.2,1,2,6,45,67.1,9,0,0,14,42,3,0,2,28,53,39,14,2,12,0,0,0,0,0,3,0,4,1,1,"100.0",56,1,1,"100.0",0,0,"-",0,0,0,0,"-",0,0,6,226,37.7,13,2,9,5,14,35.7,0,1,0,4,30,226,42,3,0,184,4.7,9.2,1,0,0,30,-2,2,0,0,0
"9/20","@PIT
      L",19,39,48.7,215,5.5,14.5,2,1,7,61,78.6,12,0,0,26,104,4,0,5,26,52,42,10,1,10,1,0,1,1,0,5,0,7,2,3,"66.7",49,1,1,"100.0",3,56,"18.7",0,22,2,15,"7.5",0,9,4,169,42.3,23,5,12,5,15,33.3,0,2,0,4,30,319,104,4,0,215,5.5,14.5,2,56,15,30,0,1,1,1,1
"9/14","TEN
      L",22,33,66.7,216,6.5,9.8,1,0,0,0,95,12,0,0,26,107,4.1,1,6,16,71,51,20,1,2,0,0,0,0,0,5,0,2,0,0,"-",0,2,2,"100.0",0,0,"-",0,0,2,16,"8.0",0,9,5,244,48.8,19,6,12,3,9,33.3,0,1,0,5,56,323,107,4.1,1,216,6.5,9.8,1,0,16,56,-1,0,0,0,1
