"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/3","MIN
      L",20,31,64.5,288,9.3,14.6,3,1,1,5,114,12,0,0,22,129,5.9,2,9,37,62,47,15,3,22,0,0,2,0,0,5,0,5,1,1,"100.0",54,2,3,"66.7",3,109,"36.3",0,70,2,22,"11.0",0,12,2,101,50.5,21,9,12,5,10,50,1,1,100,7,51,417,129,5.9,2,288,9.3,14.6,3,109,22,51,-2,1,0,0,1
"12/26","TB
      L",21,31,67.7,113,3.6,7.2,0,1,4,39,65.5,5,0,0,15,73,4.9,0,4,47,63,41,22,2,14,0,0,1,0,0,1,0,1,0,0,"-",0,1,1,"100.0",2,46,"23.0",0,27,2,78,"39.0",1,74,8,382,47.8,12,4,5,1,10,10,0,1,0,11,117,186,73,4.9,0,113,3.6,7.2,0,46,78,117,-2,1,0,0,1
"12/20","@TEN
      L",27,38,71.1,307,8.1,11.4,1,1,0,0,92.8,18,0,0,27,123,4.6,2,8,46,71,46,25,1,5,0,0,0,0,0,2,1,5,1,1,"100.0",53,2,3,"66.7",4,116,"29.0",0,43,1,-1,"-1.0",0,-1,1,36,36,27,8,18,7,12,58.3,0,1,0,3,33,430,123,4.6,2,307,8.1,11.4,1,116,-1,33,-3,1,0,0,2
"12/13","GB
      L",27,40,67.5,242,6.1,10.1,1,0,4,31,95.1,17,0,0,15,51,3.4,2,5,31,58,45,13,0,0,0,0,0,0,0,4,0,6,1,1,"100.0",32,3,3,"100.0",2,95,"47.5",0,71,0,0,"-",0,0,3,134,44.7,27,5,17,5,10,50,0,0,0,4,30,293,51,3.4,2,242,6.1,10.1,1,95,0,30,0,0,0,0,0
"12/6","@CHI
      W",27,42,64.3,400,9.5,14.9,3,1,2,2,109.4,18,0,0,22,60,2.7,2,5,30,67,43,24,2,18,0,0,1,1,0,1,0,4,0,0,"-",0,4,5,"80.0",5,71,"14.2",0,23,2,20,"10.0",0,11,3,132,44,24,5,18,6,11,54.5,1,2,50,7,45,460,60,2.7,2,400,9.5,14.9,3,71,20,45,0,1,1,0,0
"11/26","HOU
      L",28,43,65.1,279,6.5,10.5,1,1,4,16,83,17,0,0,29,109,3.8,2,8,41,40,29,11,2,11,0,0,1,1,0,3,0,5,1,1,"100.0",29,2,2,"100.0",4,90,"22.5",0,28,0,0,"-",0,0,3,138,46,28,8,17,6,13,46.2,1,3,33.3,4,44,388,109,3.8,2,279,6.5,10.5,1,90,0,44,-2,1,1,0,2
"11/22","@CAR
      L",18,33,54.5,145,4.4,9.9,0,0,5,33,70,9,0,0,17,40,2.4,0,0,20,69,39,30,1,0,2,0,1,0,0,6,0,0,0,1,"0.0",0,0,0,"-",0,0,"-",0,0,2,16,"8.0",0,12,6,253,42.2,10,0,9,3,14,21.4,1,3,33.3,4,20,185,40,2.4,0,145,4.4,9.9,0,0,16,20,1,0,0,2,1
"11/15","WAS
      W",24,33,72.7,267,8.1,11.5,3,0,1,9,127.8,12,0,0,21,105,5,0,7,27,72,55,17,2,15,0,0,2,1,0,1,0,12,3,3,"100.0",59,3,3,"100.0",0,0,"-",0,0,1,6,"6.0",0,6,4,191,47.8,21,7,12,4,10,40,0,0,0,9,55,372,105,5,0,267,8.1,11.5,3,0,6,55,1,0,1,0,0
"11/8","@MIN
      L",31,45,68.9,292,6.5,9.8,2,3,2,13,74.8,19,0,0,27,129,4.8,0,9,34,59,28,31,1,8,0,0,0,0,0,3,0,8,2,3,"66.7",45,2,2,"100.0",3,24,"8.0",0,11,2,33,"16.5",0,21,2,93,46.5,30,9,19,6,12,50,0,0,0,3,37,421,129,4.8,0,292,6.5,9.8,2,24,33,37,-3,3,0,0,0
"11/1","IND
      L",24,42,57.1,297,7.1,14,3,1,5,39,96.9,17,0,0,13,29,2.2,0,2,41,72,46,26,2,15,0,0,1,0,0,0,0,3,0,1,"0.0",0,3,3,"100.0",2,62,"31.0",0,33,1,2,"2.0",0,2,5,262,52.4,20,2,17,7,14,50,0,1,0,4,76,326,29,2.2,0,297,7.1,14,3,62,2,76,-2,1,0,0,1
"10/25","@ATL
      W",25,36,69.4,322,8.9,13.6,1,0,2,18,108.6,15,0,0,21,64,3,1,3,22,64,40,24,2,16,0,0,2,1,0,2,0,11,3,4,"75.0",51,2,2,"100.0",2,40,"20.0",0,23,2,6,"3.0",0,7,3,177,59,21,3,15,3,10,30,0,1,0,5,50,386,64,3,1,322,8.9,13.6,1,40,6,50,1,0,1,0,0
"10/18","@JAX
      W",19,31,61.3,223,7.2,11.7,1,1,0,0,80.4,9,0,0,39,180,4.6,3,12,16,47,32,15,1,12,1,0,2,1,0,6,0,10,2,3,"66.7",41,4,4,"100.0",0,0,"-",0,0,0,0,"-",0,0,2,90,45,25,12,9,3,12,25,2,2,100,7,60,403,180,4.6,3,223,7.2,11.7,1,0,0,60,1,1,1,1,0
"10/4","NO
      L",17,31,54.8,191,6.2,12.1,3,1,3,15,94.3,12,0,0,22,90,4.1,1,3,35,68,44,24,2,18,1,0,1,0,0,3,0,3,0,0,"-",0,3,3,"100.0",2,51,"25.5",0,26,0,0,"-",0,0,4,218,54.5,18,3,12,7,14,50,3,3,100,5,49,281,90,4.1,1,191,6.2,12.1,3,51,0,49,0,1,0,1,0
"9/27","@ARI
      W",22,31,71,232,7.5,12.3,2,0,4,38,119,16,0,0,27,90,3.3,0,3,23,59,37,22,1,2,3,0,0,0,0,7,0,14,4,4,"100.0",39,2,2,"100.0",2,48,"24.0",0,26,1,19,"19.0",0,19,4,222,55.5,22,3,16,4,12,33.3,1,1,100,7,46,322,90,3.3,0,232,7.5,12.3,2,48,19,46,3,0,0,3,0
"9/20","@GB
      L",20,33,60.6,218,6.6,12.2,2,1,4,26,91,10,0,0,21,89,4.2,1,8,42,59,41,18,1,11,0,0,0,0,0,4,0,3,0,1,"0.0",0,3,3,"100.0",1,27,"27.0",0,27,0,0,"-",0,0,5,271,54.2,19,8,10,6,12,50,0,1,0,7,70,307,89,4.2,1,218,6.6,12.2,2,27,0,70,-1,1,0,0,0
"9/13","CHI
      L",24,42,57.1,288,6.9,12.4,1,1,1,9,77.2,14,0,0,29,138,4.8,1,7,27,52,40,12,1,28,0,0,1,0,0,3,0,11,3,4,"75.0",44,2,2,"100.0",2,66,"33.0",0,35,1,16,"16.0",0,16,4,197,49.3,25,7,14,6,16,37.5,0,0,0,8,77,426,138,4.8,1,288,6.9,12.4,1,66,16,77,-1,1,0,0,0
