"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/16","@GB
      L",21,27,77.8,148,5.5,8.3,1,0,4,26,105.9,11,0,0,19,96,5.1,1,6,32,72,37,35,0,0,0,0,1,0,0,4,0,4,1,1,100,37,1,1,"100.0",4,96,"24.0",0,38,0,0,"-",0,0,4,202,"50.5",17,6,11,2,8,25,0,1,0,3,35,244,96,5.1,1,148,5.5,8.3,1,96,0,35,0,0,0,0,0
"1/9","@SEA
      W",12,25,48,169,6.8,15.3,1,0,3,15,86.1,7,0,0,43,164,3.8,1,9,20,46,33,13,5,32,1,1,1,1,0,4,0,12,3,3,100,40,3,3,"100.0",2,62,"31.0",0,36,1,9,"9.0",0,9,7,317,"45.3",16,9,7,3,15,20,0,2,0,2,15,333,164,3.8,1,169,6.8,15.3,1,62,9,15,2,0,1,1,0
"1/3","ARI
      W",22,38,57.9,223,5.9,10.5,0,1,2,8,64.7,12,0,0,30,110,3.7,0,7,7,46,33,13,4,26,1,1,1,0,0,6,1,10,3,3,100,34,1,1,"100.0",3,63,"21.0",0,23,0,0,"-",0,0,5,222,"44.4",21,7,12,6,15,40,1,1,100,5,38,333,110,3.7,0,223,5.9,10.5,0,63,0,38,-1,1,0,1,1
"12/27","@SEA
      L",24,43,55.8,216,5,9.8,0,1,3,18,61.6,15,0,0,29,118,4.1,0,4,20,61,35,26,5,28,0,0,0,0,0,3,0,9,3,3,100,51,0,0,"-",3,62,"20.7",0,26,3,11,"3.7",0,9,4,169,"42.3",20,4,15,9,19,47.4,0,2,0,5,45,334,118,4.1,0,216,5,9.8,0,62,11,45,-1,1,0,0,0
"12/20","NYJ
      L",22,34,64.7,189,5.6,9.5,2,1,3,20,89,9,0,0,19,114,6,0,4,23,64,39,25,2,11,0,0,1,0,0,3,0,8,2,2,100,45,2,2,"100.0",2,48,"24.0",0,24,3,65,"21.7",0,34,5,179,"35.8",16,4,9,2,11,18.2,0,1,0,5,43,303,114,6,0,189,5.6,9.5,2,48,65,43,-1,1,0,0,0
"12/10","NE
      W",16,25,64,132,5.3,8.6,1,1,1,5,74.9,6,0,0,36,186,5.2,1,10,3,60,37,23,6,33,1,1,0,0,0,3,0,6,1,1,100,35,3,3,"100.0",1,13,"13.0",0,13,1,8,"8.0",0,8,6,248,"41.3",17,10,6,3,14,21.4,2,2,100,5,35,318,186,5.2,1,132,5.3,8.6,1,13,8,35,0,1,0,1,0
"12/6","@ARI
      W",37,47,78.7,344,7.3,9.5,1,0,1,7,104.9,19,0,0,31,119,3.8,3,8,28,47,34,13,2,33,1,1,1,1,0,5,0,8,1,2,50,39,5,5,"100.0",2,45,"22.5",0,26,3,18,"6.0",0,9,1,44,"44.0",30,8,19,9,15,60,1,3,33.3,6,75,463,119,3.8,3,344,7.3,9.5,1,45,18,75,1,0,1,1,1
"11/29","SF
      L",19,31,61.3,182,5.9,10.4,0,2,2,16,52.9,8,0,0,28,126,4.5,1,5,23,74,47,27,2,19,1,0,3,2,1,6,0,8,2,2,100,48,2,2,"100.0",0,0,"-",0,0,3,9,"3.0",0,7,7,343,"49.0",14,5,8,4,13,30.8,0,0,0,3,27,308,126,4.5,1,182,5.9,10.4,0,0,9,27,-1,2,2,1,2
"11/23","@TB
      W",39,51,76.5,376,7.4,9.6,3,2,0,0,99.8,19,0,0,20,37,1.9,0,1,24,54,31,23,1,7,2,0,0,0,0,6,0,9,2,3,66.7,40,3,3,"100.0",0,0,"-",0,0,2,4,"2.0",0,2,5,217,"43.4",22,1,19,8,15,53.3,0,0,0,5,65,413,37,1.9,0,376,7.4,9.6,3,0,4,65,0,2,0,2,0
"11/15","SEA
      W",27,37,73,283,7.6,11.2,0,0,3,19,96.9,15,0,0,29,106,3.7,3,8,16,52,48,4,6,28,2,0,0,1,0,4,0,5,1,1,100,23,2,3,"66.7",2,37,"18.5",0,20,1,15,"15.0",0,15,4,158,"39.5",24,8,15,9,15,60,1,1,100,4,49,389,106,3.7,3,283,7.6,11.2,0,37,15,49,2,0,1,2,1
