"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/3","@KC
      W",22,31,71,281,9.1,13.7,3,0,3,21,134.1,16,0,0,35,135,3.9,2,10,21,43,29,14,1,1,0,0,0,1,0,2,1,4,0,0,"-",0,4,4,"100.0",2,25,"12.5",0,18,0,0,"-",0,0,2,87,43.5,29,10,16,3,7,42.9,0,1,0,4,23,416,135,3.9,2,281,9.1,13.7,3,25,0,23,1,0,1,0,0
"12/27","DEN
      W",21,33,63.6,227,6.9,12,1,0,2,26,97.2,12,0,0,20,89,4.4,0,3,16,72,41,31,2,1,2,0,0,0,0,5,0,13,4,4,"100.0",43,1,1,"100.0",3,107,"35.7",0,53,0,0,"-",0,0,4,193,48.3,16,3,12,3,12,25,1,1,100,6,45,316,89,4.4,0,227,6.9,12,1,107,0,45,2,0,0,2,0
"12/17","@LV
      W",22,32,68.8,306,9.6,14.3,2,0,1,8,121.1,16,0,0,29,96,3.3,2,6,27,71,47,24,1,3,1,0,0,0,0,3,0,6,1,3,"33.3",22,3,3,"100.0",2,39,"19.5",0,21,1,10,"10.0",0,10,2,71,35.5,27,6,16,7,12,58.3,0,0,0,3,20,402,96,3.3,2,306,9.6,14.3,2,39,10,20,1,0,0,1,0
"12/13","ATL
      W",36,44,81.8,240,5.5,6.8,2,1,1,3,95.4,14,0,0,26,105,4,0,8,17,48,40,8,2,14,3,0,0,0,0,5,0,8,2,2,"100.0",43,2,2,"100.0",3,109,"36.3",0,76,1,1,"1.0",0,1,3,151,50.3,23,8,14,9,15,60,0,0,0,6,40,345,105,4,0,240,5.5,6.8,2,109,1,40,2,1,0,3,0
"12/6","NE
      L",26,53,49.1,188,3.5,8,0,2,3,21,43.7,12,0,0,15,70,4.7,0,4,45,65,40,25,1,4,0,0,1,0,0,1,0,0,0,2,"0.0",0,0,0,"-",6,125,"20.8",0,31,0,0,"-",0,0,4,206,51.5,17,4,12,7,18,38.9,1,5,20,5,30,258,70,4.7,0,188,3.5,8,0,125,0,30,-2,2,0,0,0
"11/29","@BUF
      L",31,52,59.6,291,5.6,10.2,1,1,3,25,75.5,16,0,0,24,76,3.2,1,5,27,58,41,17,3,17,1,0,1,2,0,3,0,3,1,1,"100.0",27,0,1,"0.0",5,73,"14.6",0,23,0,0,"-",0,0,6,286,47.7,24,5,16,3,16,18.8,4,5,80,5,91,367,76,3.2,1,291,5.6,10.2,1,73,0,91,2,1,2,1,0
"11/22","NYJ
      W",37,49,75.5,347,7.1,9.9,3,0,3,19,116.5,18,0,0,26,29,1.1,0,5,28,43,28,15,1,9,1,1,0,0,0,4,0,10,2,2,"100.0",44,4,4,"100.0",1,17,"17.0",0,17,1,5,"5.0",0,5,3,110,36.7,28,5,18,9,15,60,0,1,0,9,78,376,29,1.1,0,347,7.1,9.9,3,17,5,78,0,0,0,1,1
"11/15","@MIA
      L",20,32,62.5,174,5.4,9.4,2,1,2,13,86.3,10,0,0,29,99,3.4,1,9,29,47,35,12,0,0,0,0,0,1,0,2,0,3,0,0,"-",0,3,3,"100.0",4,80,"20.0",0,31,0,0,"-",0,0,5,171,34.2,19,9,10,4,13,30.8,2,3,66.7,5,31,273,99,3.4,1,174,5.4,9.4,2,80,0,31,0,1,1,0,0
"11/8","LV
      L",28,42,66.7,312,7.4,11.6,2,0,2,14,105.9,18,0,0,31,128,4.1,1,6,31,45,29,16,1,5,0,0,1,1,0,4,0,8,2,3,"66.7",45,2,2,"100.0",3,70,"23.3",0,32,2,0,"0.0",0,0,3,146,48.7,26,6,18,7,15,46.7,2,2,100,5,45,440,128,4.1,1,312,7.4,11.6,2,70,0,45,0,0,1,0,1
"11/1","@DEN
      L",29,44,65.9,275,6.3,9.6,3,2,2,3,87.1,15,0,0,38,210,5.5,0,10,31,45,32,13,2,5,1,0,0,0,0,6,0,12,3,3,"100.0",52,3,3,"100.0",1,26,"26.0",0,26,3,38,"12.7",0,30,3,117,39,28,10,15,7,16,43.8,0,1,0,6,67,485,210,5.5,0,275,6.3,9.6,3,26,38,67,-1,2,0,1,0
