"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/3","NYJ
      W",22,31,71,238,7.7,11.9,4,0,3,23,135.9,15,0,0,29,166,5.7,0,7,14,59,45,14,3,27,2,0,0,0,0,4,0,4,0,0,"-",0,4,4,"100.0",3,55,"18.3",0,21,3,36,"12.0",0,17,6,272,45.3,23,7,15,6,12,50,0,0,0,6,47,404,166,5.7,0,238,7.7,11.9,4,55,36,47,2,0,0,2,0
"12/28","BUF
      L",9,21,42.9,56,2.7,8.7,0,0,3,22,53.3,3,0,0,24,145,6,1,6,38,65,50,15,0,0,0,0,1,0,0,0,0,3,1,1,"100.0",45,0,1,"0.0",4,74,"18.5",0,27,1,5,"5.0",0,5,7,362,51.7,11,6,3,4,12,33.3,0,0,0,4,25,201,145,6,1,56,2.7,8.7,0,74,5,25,0,0,0,0,0
"12/20","@MIA
      L",17,27,63,186,6.9,12.3,0,0,3,23,86.8,8,0,0,22,117,5.3,0,7,22,74,50,24,2,12,1,0,0,0,0,2,0,12,4,4,"100.0",45,0,0,"-",0,0,"-",0,0,2,16,"8.0",0,13,2,93,46.5,18,7,8,2,9,22.2,0,1,0,2,20,303,117,5.3,0,186,6.9,12.3,0,0,16,20,0,0,0,1,1
"12/10","@LAR
      L",14,23,60.9,113,4.9,10.4,0,1,6,33,61.1,4,0,0,29,107,3.7,0,6,24,61,42,19,1,5,1,0,0,0,0,1,0,3,1,1,"100.0",29,0,0,"-",0,0,"-",0,0,5,47,"9.4",0,21,6,310,51.7,10,6,4,3,13,23.1,0,3,0,5,27,220,107,3.7,0,113,4.9,10.4,0,0,47,27,0,1,0,1,0
"12/6","@LAC
      W",14,22,63.6,126,5.7,9.3,2,0,1,4,110,7,0,0,43,165,3.8,2,12,0,56,35,21,3,21,2,0,0,0,0,9,0,9,1,1,"100.0",32,6,6,"100.0",0,0,"-",0,0,3,145,"48.3",1,70,4,197,49.3,22,12,7,6,14,42.9,1,1,100,3,15,291,165,3.8,2,126,5.7,9.3,2,0,145,15,2,0,0,2,0
"11/29","ARI
      W",9,18,50,69,3.8,9.3,0,2,3,15,23.6,4,0,0,30,110,3.7,2,8,17,75,52,23,2,10,1,0,0,0,0,2,0,8,2,2,"100.0",50,2,2,"100.0",2,75,"37.5",0,53,2,67,"33.5",0,58,3,169,56.3,16,8,4,4,11,36.4,1,1,100,6,42,179,110,3.7,2,69,3.8,9.3,0,75,67,42,-1,2,0,1,0
"11/22","@HOU
      L",26,40,65,349,8.7,14,1,0,2,16,102.6,16,0,0,24,86,3.6,1,6,27,56,34,22,0,0,0,0,0,0,0,2,0,8,2,2,"100.0",45,2,2,"100.0",1,12,"12.0",0,12,2,3,"1.5",0,3,3,151,50.3,22,6,16,7,13,53.8,0,1,0,7,55,435,86,3.6,1,349,8.7,14,1,12,3,55,0,0,0,0,0
"11/15","BAL
      W",14,18,77.8,135,7.5,10.1,2,0,1,7,136.6,10,0,0,39,173,4.4,1,11,17,66,46,20,2,7,1,0,0,0,0,4,0,5,1,1,"100.0",20,2,3,"66.7",0,0,"-",0,0,0,0,"-",0,0,4,173,43.3,25,11,10,5,11,45.5,1,1,100,3,18,308,173,4.4,1,135,7.5,10.1,2,0,0,18,1,0,0,1,0
"11/9","@NYJ
      W",27,35,77.1,274,7.8,10.1,0,0,0,0,99,13,0,0,41,159,3.9,3,14,27,44,25,19,1,5,1,0,0,0,0,3,0,12,3,3,"100.0",51,3,3,"100.0",4,100,"25.0",0,31,0,0,"-",0,0,1,59,59,30,14,13,8,14,57.1,1,2,50,6,81,433,159,3.9,3,274,7.8,10.1,0,100,0,81,1,0,0,1,0
"11/1","@BUF
      L",15,25,60,161,6.4,11.6,0,0,2,13,81.1,8,0,0,34,188,5.5,2,11,24,56,37,19,1,5,1,0,0,0,0,3,0,7,2,2,"100.0",43,1,1,"100.0",3,53,"17.7",0,21,1,15,"15.0",0,15,4,173,43.3,20,11,8,5,10,50,0,0,0,5,35,349,188,5.5,2,161,6.4,11.6,0,53,15,35,0,0,0,1,1
"10/25","SF
      L",15,25,60,147,5.9,10.8,0,4,2,15,39.5,10,0,0,22,94,4.3,0,5,33,67,46,21,1,7,2,0,0,0,0,2,0,6,2,2,"100.0",41,0,0,"-",6,155,"25.8",0,33,0,0,"-",0,0,2,90,45,17,5,10,1,6,16.7,0,0,0,3,30,241,94,4.3,0,147,5.9,10.8,0,155,0,30,-2,4,0,2,0
"10/18","DEN
      L",19,27,70.4,171,6.3,10.3,0,2,4,24,60,9,0,0,25,117,4.7,1,5,18,59,36,23,2,25,2,0,0,0,0,5,0,6,2,2,"100.0",41,0,0,"-",3,77,"25.7",0,33,0,0,"-",0,0,3,145,48.3,14,5,9,4,13,30.8,1,2,50,1,4,288,117,4.7,1,171,6.3,10.3,0,77,0,4,-1,2,0,2,1
"10/5","@KC
      L",20,37,54.1,172,4.6,9.5,1,3,2,18,43.8,12,0,0,35,185,5.3,0,8,26,50,32,18,1,7,0,0,1,1,0,2,0,4,1,1,"100.0",43,1,1,"100.0",0,0,"-",0,0,1,12,"12.0",0,12,3,157,52.3,21,8,12,6,15,40,2,3,66.7,4,43,357,185,5.3,0,172,4.6,9.5,1,0,12,43,-3,3,1,0,1
"9/27","LV
      W",17,28,60.7,156,5.6,9.5,1,1,2,6,73.8,8,0,0,38,250,6.6,2,14,20,58,36,22,2,12,0,0,3,3,1,7,0,12,3,3,"100.0",33,3,4,"75.0",1,17,"17.0",0,17,1,11,"11.0",0,11,2,95,47.5,25,14,8,3,11,27.3,0,0,0,2,33,406,250,6.6,2,156,5.6,9.5,1,17,11,33,2,1,3,0,0
"9/20","@SEA
      L",30,44,68.2,397,9,13.2,1,1,1,0,94.6,22,0,0,25,67,2.7,2,5,35,60,38,22,2,13,1,1,0,0,0,1,0,6,1,2,"50.0",25,3,3,"100.0",4,99,"24.8",0,30,1,0,"0.0",0,0,2,113,56.5,29,5,22,7,12,58.3,1,1,100,2,12,464,67,2.7,2,397,9,13.2,1,99,0,12,0,1,0,1,0
