"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/10","CLE
      L",47,68,69.1,501,7.4,10.7,4,4,0,0,85.5,29,0,0,16,52,3.3,1,5,48,55,38,17,0,0,0,0,0,0,0,6,0,5,1,1,"100.0",49,2,2,100,6,146,"24.3",0,28,2,16,8,0,11,3,125,41.7,34,5,29,8,15,53.3,3,3,100,4,25,553,52,3.3,1,501,7.4,10.7,4,146,16,25,-5,4,0,0,1
"1/3","@CLE
      L",26,44,59.1,309,7,12.2,2,1,1,8,87,13,0,0,20,85,4.3,0,5,24,58,42,16,4,30,0,0,0,0,0,4,0,10,3,3,"100.0",46,1,1,100,2,53,"26.5",0,29,1,3,3,0,3,3,130,43.3,18,5,13,8,17,47.1,2,2,100,2,15,394,85,4.3,0,309,7,12.2,2,53,3,15,-1,1,0,0,0
"12/27","IND
      W",34,49,69.4,332,6.8,10,3,0,1,9,109.3,18,0,0,14,22,1.6,1,4,24,66,45,21,5,32,1,0,1,1,0,4,0,4,0,0,"-",0,4,4,100,4,76,"19.0",0,22,3,21,7,0,8,6,288,48,26,4,18,4,11,36.4,0,1,0,6,49,354,22,1.6,1,332,6.8,10,3,76,21,49,2,0,1,1,0
"12/21","@CIN
      L",20,38,52.6,158,4.2,8.5,1,1,1,12,62.4,6,0,0,23,86,3.7,1,5,27,56,36,20,2,11,0,0,0,0,0,4,0,5,1,1,"100.0",25,2,2,100,1,30,"30.0",0,30,3,19,6.3,0,11,6,313,52.2,12,5,6,4,16,25,1,2,50,4,30,244,86,3.7,1,158,4.2,8.5,1,30,19,30,-3,1,0,0,2
"12/13","@BUF
      L",21,37,56.8,177,4.8,8.9,2,2,1,10,65.9,10,0,0,17,47,2.8,0,3,26,60,39,21,1,8,1,0,2,1,0,8,0,1,0,0,"-",0,1,1,100,2,40,"20.0",0,25,1,0,0,0,0,8,318,39.8,14,3,10,1,10,10,0,0,0,3,55,224,47,2.8,0,177,4.8,8.9,2,40,0,55,0,2,1,1,0
"12/7","WAS
      L",33,53,62.3,305,5.8,9.2,2,1,0,0,82.7,13,0,0,14,21,1.5,0,1,23,69,41,28,3,23,0,0,1,0,0,8,0,5,1,1,"100.0",37,2,2,100,1,32,"32.0",0,32,3,28,9.3,0,17,6,266,44.3,17,1,13,6,15,40,0,2,0,6,45,326,21,1.5,0,305,5.8,9.2,2,32,28,45,-1,1,0,0,0
"12/2","BAL
      W",36,51,70.6,266,5.2,7.4,1,1,0,0,81,16,0,0,20,68,3.4,0,5,14,44,35,9,3,20,1,1,0,1,0,3,0,7,2,2,"100.0",27,1,2,50,3,52,"17.3",0,26,2,6,3,0,6,4,177,44.3,22,5,16,6,14,42.9,0,2,0,5,40,334,68,3.4,0,266,5.2,7.4,1,52,6,40,0,1,1,1,1
"11/22","@JAX
      W",32,46,69.6,267,5.8,8.3,2,1,0,0,89.7,12,0,0,27,106,3.9,1,7,3,42,29,13,2,18,4,0,1,0,0,8,0,9,2,3,"66.7",47,3,3,100,0,0,"-",0,0,3,19,6.3,0,14,5,216,43.2,23,7,12,7,17,41.2,1,1,100,6,42,373,106,3.9,1,267,5.8,8.3,2,0,19,42,3,1,0,4,0
"11/15","CIN
      W",27,46,58.7,333,7.2,12.3,4,0,0,0,110.1,17,0,0,20,44,2.2,0,2,10,56,40,16,4,28,0,0,2,2,0,4,0,12,3,3,"100.0",45,3,3,100,3,49,"16.3",0,23,4,60,15,0,42,7,345,49.3,22,2,17,6,16,37.5,0,0,0,6,45,377,44,2.2,0,333,7.2,12.3,4,49,60,45,2,0,2,0,0
"11/8","@DAL
      W",31,45,68.9,309,6.9,10,3,0,0,0,110.3,15,0,0,18,46,2.6,0,2,19,55,46,9,2,23,1,0,1,1,0,5,0,6,2,2,"100.0",59,0,2,0,1,29,"29.0",0,29,1,0,0,0,0,4,203,50.8,20,2,15,5,13,38.5,0,2,0,3,16,355,46,2.6,0,309,6.9,10,3,29,0,16,2,0,1,1,0
"11/1","@BAL
      W",21,32,65.6,173,5.4,8.7,2,0,2,9,101.3,11,0,0,16,48,3,1,3,24,70,54,16,4,16,2,1,3,2,0,4,0,4,0,0,"-",0,4,4,100,2,48,"24.0",0,26,1,5,5,0,5,6,253,42.2,19,3,11,3,9,33.3,0,0,0,3,30,221,48,3,1,173,5.4,8.7,2,48,5,30,3,0,2,2,1
"10/25","@TEN
      W",32,49,65.3,268,5.5,8.4,2,3,0,0,67.4,15,0,0,25,94,3.8,1,6,24,50,35,15,2,10,0,0,0,0,0,6,0,9,2,2,"100.0",38,3,3,100,1,17,"17.0",0,17,3,83,27.7,0,57,2,100,50,23,6,15,13,18,72.2,0,0,0,8,69,362,94,3.8,1,268,5.5,8.4,2,17,83,69,-3,3,0,0,0
"10/18","CLE
      W",15,23,65.2,148,6.4,11.2,1,0,2,20,101.4,5,0,0,37,129,3.5,3,12,7,51,36,15,4,20,2,1,1,0,0,7,0,8,1,1,"100.0",35,5,5,100,1,28,"28.0",0,28,3,37,12.3,0,17,5,209,41.8,18,12,5,5,14,35.7,2,2,100,6,45,277,129,3.5,3,148,6.4,11.2,1,28,37,45,2,0,0,2,0
"10/11","PHI
      W",27,34,79.4,231,6.8,8.9,3,0,1,8,125.4,13,0,0,32,136,4.3,2,7,29,47,35,12,5,34,2,0,0,0,0,5,0,8,1,1,"100.0",41,5,5,100,2,48,"24.0",0,24,2,12,6,0,6,2,83,41.5,25,7,13,11,15,73.3,0,0,0,8,86,367,136,4.3,2,231,6.8,8.9,3,48,12,86,1,0,0,2,1
"9/27","HOU
      W",23,36,63.9,218,6.1,10.3,2,0,2,19,101.3,13,0,0,38,169,4.4,1,10,21,41,34,7,5,33,1,0,0,0,0,3,0,8,2,2,"100.0",33,2,2,100,2,47,"23.5",0,28,2,25,12.5,0,13,4,177,44.3,25,10,13,8,18,44.4,2,2,100,2,14,387,169,4.4,1,218,6.1,10.3,2,47,25,14,1,0,0,1,0
"9/20","DEN
      W",29,41,70.7,301,7.3,10.7,2,1,1,10,98.7,15,0,0,22,109,5,1,4,21,55,40,15,7,61,1,0,1,1,0,6,1,6,1,1,"100.0",21,3,3,100,3,88,"29.3",0,49,2,25,12.5,0,18,5,209,41.8,19,4,15,2,12,16.7,1,2,50,10,89,410,109,5,1,301,7.3,10.7,2,88,25,89,0,1,1,1,1
"9/14","@NYG
      W",21,32,65.6,208,6.5,10.9,3,0,2,21,117.8,14,0,0,30,141,4.7,0,5,16,52,41,11,3,17,2,0,0,0,0,5,0,8,2,2,"100.0",41,2,3,66.7,1,33,"33.0",0,33,3,13,4.3,0,12,4,183,45.8,19,5,14,8,15,53.3,1,1,100,3,21,349,141,4.7,0,208,6.5,10.9,3,33,13,21,1,0,0,2,1
