"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/9","PIT
      L",16,32,50,132,4.1,8.8,0,2,3,9,36.1,5,0,0,36,249,6.9,1,14,16,72,47,25,1,9,1,0,0,0,0,3,0,7,2,2,"100.0",46,1,1,"100.0",5,113,"22.6",0,27,1,0,"0.0",0,0,7,268,38.3,20,14,5,3,14,21.4,1,2,50,1,5,381,249,6.9,1,132,4.1,8.8,0,113,0,5,-2,2,0,1,1
"1/2","LAR
      L",20,32,62.5,162,5.1,9.9,0,1,5,35,66.8,9,0,0,32,165,5.2,0,10,20,54,38,16,1,9,2,1,1,1,0,3,0,13,4,4,"100.0",46,1,1,"100.0",1,22,"22.0",0,22,0,0,"-",0,0,3,139,46.3,19,10,9,4,14,28.6,3,3,100,4,24,327,165,5.2,0,162,5.1,9.9,0,22,0,24,1,1,1,2,1
"12/26","@CIN
      L",28,40,70,295,7.4,10.9,2,1,1,9,98.3,19,0,0,16,39,2.4,1,2,41,72,42,30,3,27,0,0,0,0,0,6,0,3,0,0,"-",0,3,3,"100.0",4,61,"15.3",0,24,0,0,"-",0,0,3,133,44.3,21,2,19,6,11,54.5,0,1,0,6,27,334,39,2.4,1,295,7.4,10.9,2,61,0,27,-1,1,0,0,0
"12/19","GB
      L",28,40,70,211,5.3,7.7,2,0,1,4,99.5,12,0,0,26,143,5.5,2,10,31,59,36,23,3,18,0,0,0,0,0,1,0,6,1,1,"100.0",38,3,3,"100.0",4,105,"26.3",0,34,0,0,"-",0,0,1,42,42,24,10,12,7,13,53.8,2,4,50,8,56,354,143,5.5,2,211,5.3,7.7,2,105,0,56,0,0,0,0,0
"12/12","@CLE
      L",31,42,73.8,271,6.5,9.3,1,0,4,16,100,15,0,0,23,118,5.1,1,5,24,61,40,21,0,0,1,0,0,0,0,4,0,10,3,3,"100.0",55,1,1,"100.0",3,54,"18.0",0,23,0,0,"-",0,0,5,228,45.6,21,5,15,1,12,8.3,3,4,75,10,129,389,118,5.1,1,271,6.5,9.3,1,54,0,129,-1,0,0,1,2
"12/5","@PIT
      L",23,37,62.2,219,5.9,11,1,1,7,34,80.1,12,0,0,25,107,4.3,1,7,20,60,36,24,1,0,0,0,0,0,0,3,0,7,2,2,"100.0",35,1,1,"100.0",2,61,"30.5",0,35,2,12,"6.0",0,12,4,203,50.8,22,7,12,8,16,50,0,0,0,10,55,326,107,4.3,1,219,5.9,11,1,61,12,55,-1,1,0,0,0
"11/28","CLE
      W",20,32,62.5,155,4.8,8.3,1,4,2,10,46.5,6,0,0,43,148,3.4,0,12,10,52,35,17,3,25,0,0,1,2,0,7,0,10,3,3,"100.0",52,1,1,"100.0",0,0,"-",0,0,3,36,"12.0",0,22,3,136,45.3,22,12,6,7,15,46.7,1,1,100,5,54,303,148,3.4,0,155,4.8,8.3,1,0,36,54,-2,4,2,0,0
"11/21","@CHI
      W",26,36,72.2,176,4.9,8.4,0,1,6,43,76,12,0,0,34,123,3.6,1,9,13,44,30,14,3,19,0,0,1,1,0,5,0,10,3,3,"100.0",46,1,1,"100.0",2,50,"25.0",0,25,2,19,"9.5",0,12,6,260,43.3,23,9,12,7,16,43.8,1,1,100,6,36,299,123,3.6,1,176,4.9,8.4,0,50,19,36,0,1,1,0,0
"11/11","@MIA
      L",26,43,60.5,210,4.9,9.2,1,1,4,28,73.6,12,0,0,23,94,4.1,0,7,22,51,37,14,4,24,0,0,2,0,0,5,0,4,1,2,"50.0",46,1,1,"100.0",1,21,"21.0",0,21,1,9,"9.0",0,9,8,321,40.1,23,7,12,2,14,14.3,0,0,0,4,20,304,94,4.1,0,210,4.9,9.2,1,21,9,20,-2,1,0,0,1
"11/7","MIN
      W",27,41,65.9,253,6.2,9.9,3,2,3,13,88.1,15,0,0,45,247,5.5,1,17,31,52,34,18,0,0,0,0,0,0,0,5,0,10,2,2,"100.0",37,4,4,"100.0",1,24,"24.0",0,24,1,14,"14.0",0,14,3,125,41.7,36,17,15,6,15,40,3,3,100,8,61,500,247,5.5,1,253,6.2,9.9,3,24,14,61,-2,2,0,0,0
